"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","8",8,0,0,0,0,98
"2","Akron, OH","60",48,0,0,12,1,68
"3","Albany, GA","16",14,2,0,0,0,96
"4","Albany-Schenectady-Troy, NY","99",88,0,0,11,1,75
"5","Albuquerque,  NM","175",136,0,3,36,2,100
"6","Alexandria, LA","26",26,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","171",131,0,0,40,2,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","24",24,0,0,0,0,97
"10","Ames, IA","10",10,0,0,0,0,94
"11","Anchorage,  AK","19",12,4,3,0,0,100
"12","Anderson, IN","6",6,0,0,0,0,64
"13","Anderson, SC","24",24,0,0,0,0,89
"14","Ann Arbor, MI","20",15,0,0,5,1,71
"15","Anniston-Oxford, AL","4",4,0,0,0,0,83
"16","Appleton, WI","35",31,4,0,0,0,81
"17","Asheville, NC","101",99,2,0,0,0,94
"18","Athens-Clarke County, GA","51",22,0,3,26,1,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1356",643,10,4,699,12,100
"20","Atlantic City-Hammonton,  NJ","60",56,0,4,0,0,100
"21","Auburn-Opelika,  AL","64",64,0,0,0,0,100
"22","Augusta-Richmond County, GA-SC","83",83,0,0,0,0,75
"23","Austin-Round Rock,  TX","815",508,16,0,291,3,100
"24","Bakersfield, CA","198",99,6,8,85,11,86
"25","Baltimore-Towson,  MD","268",223,0,0,45,2,100
"26","Bangor, ME","12",8,4,0,0,0,53
"27","Barnstable Town, MA","32",30,2,0,0,0,87
"28","Baton Rouge, LA","169",169,0,0,0,0,93
"29","Battle Creek, MI","11",2,0,0,9,1,68
"30","Bay City, MI","1",1,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","304",32,0,0,272,24,71
"32","Bellingham, WA","38",23,2,3,10,1,77
"33","Bend,  OR","48",41,2,0,5,1,100
"34","Billings, MT","20",20,0,0,0,0,92
"35","Binghamton, NY","2",2,0,0,0,0,15
"36","Birmingham-Hoover,  AL","184",130,0,0,54,2,100
"37","Bismarck, ND","54",54,0,0,0,0,98
"38","Bloomington, IN","57",13,4,0,40,1,85
"39","Bloomington-Normal, IL","21",15,0,0,6,1,86
"40","Boise City-Nampa,  ID","121",119,2,0,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","384",270,10,4,100,12,100
"42","Boulder, CO","25",15,0,0,10,2,72
"43","Bowling Green, KY","19",19,0,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","93",84,0,4,5,1,100
"45","Bremerton-Silverdale, WA","46",46,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","198",48,2,0,148,3,89
"47","Brownsville-Harlingen, TX","81",61,10,0,10,2,83
"48","Brunswick, GA","25",25,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","170",43,4,0,123,1,78
"50","Burlington, NC","40",40,0,0,0,0,95
"51","Burlington-South Burlington, VT","11",11,0,0,0,0,86
"52","Canton-Massillon, OH","39",35,0,4,0,0,82
"53","Cape Coral-Fort Myers,  FL","143",90,0,0,53,3,100
"54","Carson City,  NV","1",1,0,0,0,0,100
"55","Casper, WY","37",37,0,0,0,0,85
"56","Cedar Rapids, IA","131",75,4,16,36,3,91
"57","Champaign-Urbana, IL","160",13,0,0,147,9,83
"58","Charleston, WV","35",11,0,24,0,0,47
"59","Charleston-North Charleston-Summerville,  SC","441",215,0,0,226,12,NA
"60","Charlottesville, VA","42",37,0,0,5,1,70
"61","Chattanooga, TN-GA","74",63,2,0,9,1,75
"62","Cheyenne, WY","5",5,0,0,0,0,98
"63","Chicago-Naperville-Joliet,  IL-IN-WI","1030",693,16,76,245,21,NA
"64","Cincinnati-Middletown,  OH-KY-IN","322",276,2,22,22,4,100
"65","Clarksville, TN-KY","75",67,0,0,8,1,22
"66","Cleveland, TN","29",21,0,8,0,0,74
"67","Cleveland-Elyria-Mentor,  OH","276",219,4,4,49,9,100
"68","Coeur dAlene, ID","74",47,0,8,19,1,99
"69","College Station-Bryan, TX","183",31,0,0,152,17,99
"70","Colorado Springs,  CO","105",92,0,0,13,2,100
"71","Columbia, MO","41",39,2,0,0,0,100
"72","Columbia,  SC","215",186,0,0,29,1,100
"73","Columbus, GA-AL","70",39,0,0,31,3,73
"74","Columbus, IN","13",13,0,0,0,0,99
"75","Columbus,  OH","435",201,0,67,167,10,100
"76","Corpus Christi, TX","66",66,0,0,0,0,83
"77","Corvallis, OR","16",16,0,0,0,0,54
"78","Cumberland, MD-WV","6",6,0,0,0,0,5
"79","Dallas-Fort Worth-Arlington,  TX","2205",1118,4,14,1069,11,100
"80","Dalton, GA","27",17,2,3,5,1,95
"81","Danville, IL","0",0,0,0,0,0,4
"82","Danville, VA","6",6,0,0,0,0,55
"83","Davenport-Moline-Rock Island,  IA-IL","22",22,0,0,0,0,NA
"84","Decatur, AL","7",7,0,0,0,0,67
"85","Decatur, IL","1",1,0,0,0,0,18
"86","Deltona-Daytona Beach-Ormond Beach,  FL","89",76,0,0,13,1,NA
"87","Des Moines-West Des Moines,  IA","562",220,4,0,338,16,100
"88","Detroit-Warren-Livonia,  MI","207",187,8,7,5,1,100
"89","Dothan, AL","22",22,0,0,0,0,85
"90","Dover,  DE","47",47,0,0,0,0,100
"91","Dubuque, IA","12",12,0,0,0,0,84
"92","Duluth, MN-WI","47",39,0,3,5,1,69
"93","Durham,  NC","127",109,4,4,10,1,100
"94","Eau Claire, WI","89",44,0,0,45,4,91
"95","El Centro, CA","2",2,0,0,0,0,71
"96","El Paso, TX","367",367,0,0,0,0,96
"97","Elizabethtown, KY","14",14,0,0,0,0,62
"98","Elkhart-Goshen, IN","38",35,0,3,0,0,97
"99","Elmira, NY","1",1,0,0,0,0,11
"100","Erie, PA","10",10,0,0,0,0,74
"101","Eugene-Springfield, OR","41",34,0,0,7,1,100
"102","Evansville, IN-KY","54",38,2,3,11,2,89
"103","Fairbanks,  AK","2",2,0,0,0,0,100
"104","Fargo, ND-MN","105",75,0,0,30,1,78
"105","Farmington,  NM","34",30,0,4,0,0,100
"106","Fayetteville, NC","156",72,0,0,84,5,93
"107","Fayetteville-Springdale-Rogers,  AR-MO","468",72,8,0,388,22,93
"108","Flagstaff, AZ","15",15,0,0,0,0,91
"109","Flint, MI","12",12,0,0,0,0,63
"110","Florence, SC","41",29,0,0,12,1,99
"111","Florence-Muscle Shoals, AL","24",11,0,0,13,2,88
"112","Fond du Lac, WI","34",2,2,0,30,1,44
"113","Fort Collins-Loveland,  CO","59",55,0,4,0,0,100
"114","Fort Smith, AR-OK","22",22,0,0,0,0,92
"115","Fort Walton Beach-Crestview-Destin,  FL","27",20,0,0,7,1,77
"116","Fort Wayne,  IN","75",61,2,0,12,1,100
"117","Fresno, CA","147",131,0,0,16,3,81
"118","Gadsden, AL","6",6,0,0,0,0,62
"119","Gainesville, FL","44",20,0,0,24,1,99
"120","Gainesville, GA","16",16,0,0,0,0,94
"121","Glens Falls, NY","24",24,0,0,0,0,77
"122","Goldsboro, NC","20",20,0,0,0,0,79
"123","Grand Forks, ND-MN","89",10,2,0,77,1,221
"124","Grand Junction,  CO","77",77,0,0,0,0,100
"125","Grand Rapids-Wyoming,  MI","96",96,0,0,0,0,100
"126","Great Falls, MT","7",7,0,0,0,0,91
"127","Greeley,  CO","103",89,0,3,11,1,100
"128","Green Bay, WI","34",24,0,0,10,1,80
"129","Greensboro-High Point,  NC","318",131,0,0,187,11,100
"130","Greenville, NC","25",23,2,0,0,0,99
"131","Greenville,  SC","144",139,0,0,5,1,100
"132","Gulfport-Biloxi, MS","216",95,78,20,23,4,93
"133","Hagerstown-Martinsburg, MD-WV","92",88,4,0,0,0,96
"134","Hanford-Corcoran, CA","78",6,0,72,0,0,78
"135","Harrisburg-Carlisle, PA","68",66,2,0,0,0,54
"136","Harrisonburg,  VA","33",33,0,0,0,0,100
"137","Hartford-West Hartford-East Hartford,  CT","122",83,28,0,11,2,88
"138","Hattiesburg, MS","48",0,0,0,48,8,92
"139","Hickory-Lenoir-Morganton, NC","68",68,0,0,0,0,98
"140","Hinesville-Fort Stewart, GA","4",4,0,0,0,0,68
"141","Holland-Grand Haven, MI","62",62,0,0,0,0,77
"142","Honolulu,  HI","138",37,0,4,97,2,100
"143","Hot Springs, AR","3",3,0,0,0,0,97
"144","Houma-Bayou Cane-Thibodaux, LA","33",31,2,0,0,0,94
"145","Houston-Sugar Land-Baytown,  TX","2974",1808,20,3,1143,50,100
"146","Huntington-Ashland, WV-KY-OH","3",3,0,0,0,0,8
"147","Huntsville, AL","439",172,0,0,267,11,98
"148","Idaho Falls, ID","31",31,0,0,0,0,97
"149","Indianapolis-Carmel,  IN","487",305,0,4,178,5,100
"150","Iowa City, IA","55",43,0,0,12,1,94
"151","Ithaca, NY","5",5,0,0,0,0,58
"152","Jackson, MI","2",2,0,0,0,0,61
"153","Jackson, MS","97",97,0,0,0,0,94
"154","Jackson, TN","25",17,0,8,0,0,92
"155","Jacksonville,  FL","337",277,4,0,56,5,100
"156","Jacksonville, NC","63",55,4,4,0,0,97
"157","Janesville, WI","12",12,0,0,0,0,79
"158","Jefferson City, MO","8",8,0,0,0,0,70
"159","Johnson City, TN","25",25,0,0,0,0,99
"160","Johnstown, PA","1",1,0,0,0,0,7
"161","Jonesboro, AR","50",50,0,0,0,0,92
"162","Joplin, MO","11",9,2,0,0,0,49
"163","Kalamazoo-Portage, MI","25",25,0,0,0,0,70
"164","Kankakee-Bradley, IL","5",5,0,0,0,0,30
"165","Kansas City,  MO-KS","313",176,6,118,13,2,100
"166","Kennewick-Pasco-Richland, WA","67",51,0,0,16,2,89
"167","Killeen-Temple-Fort Hood, TX","87",75,12,0,0,0,81
"168","Kingsport-Bristol-Bristol, TN-VA","32",30,2,0,0,0,58
"169","Kingston, NY","16",16,0,0,0,0,70
"170","Knoxville, TN","159",121,0,0,38,3,84
"171","Kokomo, IN","4",4,0,0,0,0,79
"172","La Crosse, WI-MN","22",20,2,0,0,0,3
"173","Lafayette, IN","71",39,0,0,32,4,90
"174","Lafayette, LA","61",50,0,0,11,1,85
"175","Lake Charles, LA","44",18,4,0,22,1,83
"176","Lake Havasu City-Kingman, AZ","46",46,0,0,0,0,100
"177","Lakeland-Winter Haven,  FL","145",145,0,0,0,0,100
"178","Lancaster, PA","101",52,0,0,49,4,63
"179","Lansing-East Lansing, MI","14",14,0,0,0,0,81
"180","Laredo,  TX","65",47,2,3,13,1,100
"181","Las Cruces,  NM","71",71,0,0,0,0,100
"182","Las Vegas-Paradise,  NV","912",332,0,4,576,12,100
"183","Lawrence, KS","241",15,2,0,224,10,96
"184","Lawton, OK","18",18,0,0,0,0,89
"185","Lebanon, PA","13",13,0,0,0,0,92
"186","Lewiston, ID-WA","3",1,2,0,0,0,55
"187","Lewiston-Auburn, ME","16",10,0,0,6,1,71
"188","Lexington-Fayette, KY","305",69,4,92,140,5,98
"189","Lima, OH","0",0,0,0,0,0,11
"190","Lincoln, NE","63",47,2,0,14,2,87
"191","Little Rock-North Little Rock, AR","137",135,2,0,0,0,91
"192","Logan, UT-ID","64",19,0,0,45,2,3
"193","Longview, TX","14",9,0,0,5,1,73
"194","Longview, WA","14",14,0,0,0,0,73
"195","Los Angeles-Long Beach-Santa Ana,  CA","1085",267,44,15,759,28,NA
"196","Lubbock, TX","41",41,0,0,0,0,96
"197","Lynchburg, VA","44",35,0,0,9,1,86
"198","Macon, GA","17",9,8,0,0,0,54
"199","Madera, CA","25",25,0,0,0,0,89
"200","Madison,  WI","84",66,10,3,5,1,100
"201","Manchester-Nashua, NH","88",45,2,0,41,2,91
"202","Mansfield, OH","7",5,2,0,0,0,74
"203","McAllen-Edinburg-Mission,  TX","242",199,0,43,0,0,100
"204","Medford, OR","39",33,0,0,6,1,100
"205","Memphis,  TN-MS-AR","126",126,0,0,0,0,100
"206","Merced, CA","7",7,0,0,0,0,81
"207","Miami-Fort Lauderdale-Pompano Beach,  FL","447",230,8,22,187,15,NA
"208","Midland,  TX","32",32,0,0,0,0,100
"209","Milwaukee-Waukesha-West Allis,  WI","124",107,8,4,5,1,100
"210","Minneapolis-St. Paul-Bloomington,  MN-WI","562",445,2,13,102,4,NA
"211","Mobile, AL","284",56,0,0,228,12,95
"212","Modesto, CA","49",30,2,0,17,1,85
"213","Monroe, LA","20",15,0,0,5,1,85
"214","Monroe, MI","7",7,0,0,0,0,54
"215","Montgomery, AL","18",18,0,0,0,0,91
"216","Morgantown, WV","6",1,0,0,5,1,91
"217","Morristown, TN","28",24,4,0,0,0,80
"218","Mount Vernon-Anacortes, WA","13",13,0,0,0,0,83
"219","Muncie, IN","7",7,0,0,0,0,77
"220","Muskegon-Norton Shores, MI","18",13,0,0,5,1,60
"221","Myrtle Beach-North Myrtle Beach-Conway,  SC","122",101,0,0,21,1,99
"222","Napa, CA","19",19,0,0,0,0,69
"223","Naples-Marco Island,  FL","49",45,0,4,0,0,100
"224","Nashville-Davidson--Murfreesboro,  TN","458",323,0,0,135,6,NA
"225","New Orleans-Metairie-Kenner,  LA","289",163,28,0,98,1,100
"226","New York-Northern New Jersey-Long Island,  NY-NJ-PA","1845",707,148,105,885,54,NA
"227","Norwich-New London, CT","20",16,4,0,0,0,94
"228","Ocala,  FL","48",44,4,0,0,0,100
"229","Ocean City,  NJ","63",43,12,0,8,1,100
"230","Odessa,  TX","15",15,0,0,0,0,100
"231","Ogden-Clearfield, UT","103",103,0,0,0,0,84
"232","Oklahoma City,  OK","275",250,4,6,15,1,100
"233","Olympia, WA","88",57,2,0,29,3,82
"234","Omaha-Council Bluffs,  NE-IA","320",273,2,0,45,2,100
"235","Orlando-Kissimmee,  FL","435",362,2,4,67,4,100
"236","Oshkosh-Neenah, WI","110",73,2,0,35,3,83
"237","Owensboro, KY","18",16,2,0,0,0,97
"238","Oxnard-Thousand Oaks-Ventura, CA","37",20,0,0,17,1,97
"239","Palm Bay-Melbourne-Titusville,  FL","88",82,0,6,0,0,100
"240","Palm Coast, FL","18",18,0,0,0,0,100
"241","Panama City-Lynn Haven, FL","42",30,0,12,0,0,97
"242","Parkersburg-Marietta-Vienna, WV-OH","6",6,0,0,0,0,0
"243","Pascagoula, MS","40",40,0,0,0,0,98
"244","Pensacola-Ferry Pass-Brent,  FL","82",78,4,0,0,0,100
"245","Peoria, IL","29",29,0,0,0,0,59
"246","Philadelphia-Camden-Wilmington,  PA-NJ-DE-MD","901",522,12,6,361,16,NA
"247","Pine Bluff, AR","29",5,0,0,24,2,89
"248","Pittsburgh,  PA","266",254,8,4,0,0,100
"249","Pittsfield, MA","1",1,0,0,0,0,19
"250","Pocatello, ID","15",15,0,0,0,0,92
"251","Port St. Lucie,  FL","44",44,0,0,0,0,100
"252","Portland-South Portland-Biddeford,  ME","77",65,2,10,0,0,89
"253","Portland-Vancouver-Beaverton,  OR-WA","361",264,8,4,85,9,NA
"254","Prescott, AZ","33",31,2,0,0,0,84
"255","Providence-New Bedford-Fall River,  RI-MA","129",98,0,0,31,5,86
"256","Provo-Orem, UT","128",80,2,8,38,3,97
"257","Pueblo,  CO","24",24,0,0,0,0,100
"258","Punta Gorda,  FL","38",29,0,4,5,1,100
"259","Racine, WI","21",21,0,0,0,0,69
"260","Raleigh-Cary,  NC","648",338,0,0,310,15,100
"261","Rapid City, SD","21",15,0,0,6,1,98
"262","Reading, PA","26",17,2,0,7,1,48
"263","Redding, CA","49",49,0,0,0,0,93
"264","Reno-Sparks,  NV","79",79,0,0,0,0,100
"265","Richmond,  VA","333",255,0,4,74,2,100
"266","Riverside-San Bernardino-Ontario,  CA","539",487,0,21,31,4,NA
"267","Rochester, MN","38",30,0,0,8,1,87
"268","Rochester, NY","71",59,4,3,5,1,62
"269","Rockford, IL","58",32,6,20,0,0,97
"270","Rocky Mount, NC","21",21,0,0,0,0,78
"271","Rome, GA","11",11,0,0,0,0,99
"272","Sacramento--Arden-Arcade--Roseville,  CA","304",288,0,0,16,2,NA
"273","Salem, OR","35",25,0,0,10,2,85
"274","Salinas, CA","32",15,2,0,15,3,92
"275","Salisbury, MD","16",7,0,0,9,1,67
"276","Salt Lake City,  UT","472",133,2,3,334,15,100
"277","San Angelo,  TX","17",17,0,0,0,0,100
"278","San Antonio,  TX","754",440,12,4,298,14,100
"279","San Diego-Carlsbad-San Marcos,  CA","204",145,0,4,55,1,100
"280","San Francisco-Oakland-Fremont,  CA","271",229,8,0,34,5,100
"281","San Jose-Sunnyvale-Santa Clara,  CA","204",84,0,11,109,9,100
"282","San Luis Obispo-Paso Robles, CA","24",24,0,0,0,0,67
"283","Sandusky, OH","0",0,0,0,0,0,0
"284","Santa Barbara-Santa Maria, CA","23",16,0,0,7,1,71
"285","Santa Cruz-Watsonville, CA","12",12,0,0,0,0,64
"286","Santa Fe,  NM","9",9,0,0,0,0,100
"287","Santa Rosa-Petaluma, CA","29",29,0,0,0,0,92
"288","Savannah, GA","99",99,0,0,0,0,87
"289","Scranton--Wilkes-Barre, PA","15",15,0,0,0,0,24
"290","Seattle-Tacoma-Bellevue,  WA","1101",410,108,58,525,12,100
"291","Sebastian-Vero Beach,  FL","30",30,0,0,0,0,100
"292","Sheboygan, WI","7",2,0,0,5,1,47
"293","Sherman-Denison, TX","0",0,0,0,0,0,2
"294","Shreveport-Bossier City, LA","62",62,0,0,0,0,98
"295","Sioux City, IA-NE-SD","10",10,0,0,0,0,96
