"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","9",9,0,0,0,0,98
"2","Akron, OH","63",57,0,0,6,1,68
"3","Albany, GA","21",16,2,3,0,0,96
"4","Albany-Schenectady-Troy, NY","67",63,0,4,0,0,75
"5","Albuquerque,  NM","163",127,0,3,33,1,100
"6","Alexandria, LA","26",26,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","144",144,0,0,0,0,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","289",37,0,0,252,20,97
"10","Ames, IA","100",7,0,0,93,3,94
"11","Anchorage,  AK","71",41,0,4,26,5,100
"12","Anderson, IN","6",6,0,0,0,0,64
"13","Anderson, SC","46",34,12,0,0,0,89
"14","Ann Arbor, MI","32",23,0,4,5,1,71
"15","Anniston-Oxford, AL","11",11,0,0,0,0,83
"16","Appleton, WI","44",36,8,0,0,0,81
"17","Asheville, NC","126",116,0,10,0,0,94
"18","Athens-Clarke County, GA","35",13,0,0,22,4,79
"19","Atlanta-Sandy Springs-Marietta,  GA","1797",1144,4,4,645,18,100
"20","Atlantic City-Hammonton,  NJ","49",42,2,0,5,1,100
"21","Auburn-Opelika,  AL","74",68,2,4,0,0,100
"22","Augusta-Richmond County, GA-SC","130",130,0,0,0,0,75
"23","Austin-Round Rock,  TX","830",702,18,4,106,2,100
"24","Bakersfield, CA","174",95,6,4,69,5,86
"25","Baltimore-Towson,  MD","439",304,0,0,135,4,100
"26","Bangor, ME","14",14,0,0,0,0,53
"27","Barnstable Town, MA","28",28,0,0,0,0,87
"28","Baton Rouge, LA","156",156,0,0,0,0,93
"29","Battle Creek, MI","11",2,0,0,9,1,68
"30","Bay City, MI","1",1,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","108",12,0,0,96,1,71
"32","Bellingham, WA","35",29,0,0,6,1,77
"33","Bend,  OR","62",60,2,0,0,0,100
"34","Billings, MT","33",33,0,0,0,0,92
"35","Binghamton, NY","1",1,0,0,0,0,15
"36","Birmingham-Hoover,  AL","193",180,0,0,13,1,100
"37","Bismarck, ND","143",83,0,0,60,2,98
"38","Bloomington, IN","39",27,2,0,10,1,85
"39","Bloomington-Normal, IL","110",55,0,0,55,7,86
"40","Boise City-Nampa,  ID","168",152,4,12,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","604",330,20,25,229,17,100
"42","Boulder, CO","20",15,0,0,5,1,72
"43","Bowling Green, KY","40",28,0,0,12,1,99
"44","Bradenton-Sarasota-Venice,  FL","113",102,6,0,5,1,100
"45","Bremerton-Silverdale, WA","42",42,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","132",49,2,0,81,1,89
"47","Brownsville-Harlingen, TX","74",52,14,8,0,0,83
"48","Brunswick, GA","29",29,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","70",65,0,0,5,1,78
"50","Burlington, NC","58",58,0,0,0,0,95
"51","Burlington-South Burlington, VT","57",20,2,0,35,1,86
"52","Canton-Massillon, OH","23",18,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","87",61,0,20,6,1,100
"54","Carson City,  NV","0",0,0,0,0,0,100
"55","Casper, WY","16",16,0,0,0,0,85
"56","Cedar Rapids, IA","75",67,0,8,0,0,91
"57","Champaign-Urbana, IL","72",20,0,0,52,3,83
"58","Charleston, WV","23",18,0,0,5,1,47
"59","Charleston-North Charleston-Summerville,  SC","294",220,2,0,72,5,NA
"60","Charlottesville, VA","54",54,0,0,0,0,70
"61","Chattanooga, TN-GA","96",84,2,0,10,1,75
"62","Cheyenne, WY","23",15,0,8,0,0,98
"63","Chicago-Naperville-Joliet,  IL-IN-WI","968",671,8,42,247,20,NA
"64","Cincinnati-Middletown,  OH-KY-IN","312",244,0,3,65,7,100
"65","Clarksville, TN-KY","175",87,0,40,48,6,22
"66","Cleveland, TN","25",13,4,8,0,0,74
"67","Cleveland-Elyria-Mentor,  OH","238",177,0,11,50,6,100
"68","Coeur dAlene, ID","51",32,2,0,17,1,99
"69","College Station-Bryan, TX","459",45,0,0,414,19,99
"70","Colorado Springs,  CO","144",123,0,0,21,2,100
"71","Columbia, MO","24",20,4,0,0,0,100
"72","Columbia,  SC","288",256,0,0,32,2,100
"73","Columbus, GA-AL","76",56,0,3,17,1,73
"74","Columbus, IN","20",20,0,0,0,0,99
"75","Columbus,  OH","422",210,6,76,130,9,100
"76","Corpus Christi, TX","70",70,0,0,0,0,83
"77","Corvallis, OR","3",3,0,0,0,0,54
"78","Cumberland, MD-WV","9",9,0,0,0,0,5
"79","Dallas-Fort Worth-Arlington,  TX","1802",1320,36,4,442,19,100
"80","Dalton, GA","25",17,0,3,5,1,95
