"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","18",18,0,0,0,0,98
"2","Akron, OH","23",16,0,0,7,1,68
"3","Albany, GA","14",9,2,3,0,0,96
"4","Albany-Schenectady-Troy, NY","22",22,0,0,0,0,75
"5","Albuquerque,  NM","130",103,0,3,24,1,100
"6","Alexandria, LA","15",15,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","99",71,0,0,28,2,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","39",39,0,0,0,0,97
"10","Ames, IA","3",3,0,0,0,0,94
"11","Anchorage,  AK","6",6,0,0,0,0,100
"12","Anderson, IN","1",1,0,0,0,0,64
"13","Anderson, SC","8",8,0,0,0,0,89
"14","Ann Arbor, MI","10",10,0,0,0,0,71
"15","Anniston-Oxford, AL","5",3,2,0,0,0,83
"16","Appleton, WI","10",8,2,0,0,0,81
"17","Asheville, NC","70",64,0,0,6,1,94
"18","Athens-Clarke County, GA","15",15,0,0,0,0,79
"19","Atlanta-Sandy Springs-Marietta,  GA","359",347,0,0,12,1,100
"20","Atlantic City-Hammonton,  NJ","22",19,0,3,0,0,100
"21","Auburn-Opelika,  AL","48",48,0,0,0,0,100
"22","Augusta-Richmond County, GA-SC","114",114,0,0,0,0,75
"23","Austin-Round Rock,  TX","708",467,8,0,233,7,100
"24","Bakersfield, CA","66",55,2,4,5,1,86
"25","Baltimore-Towson,  MD","233",142,2,3,86,2,100
"26","Bangor, ME","5",5,0,0,0,0,53
"27","Barnstable Town, MA","25",25,0,0,0,0,87
"28","Baton Rouge, LA","124",122,2,0,0,0,93
"29","Battle Creek, MI","0",0,0,0,0,0,68
"30","Bay City, MI","1",1,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","31",31,0,0,0,0,71
"32","Bellingham, WA","22",19,0,3,0,0,77
"33","Bend,  OR","25",25,0,0,0,0,100
"34","Billings, MT","23",23,0,0,0,0,92
"35","Binghamton, NY","3",3,0,0,0,0,15
"36","Birmingham-Hoover,  AL","105",91,0,0,14,2,100
"37","Bismarck, ND","1",1,0,0,0,0,98
"38","Bloomington, IN","10",10,0,0,0,0,85
"39","Bloomington-Normal, IL","13",8,0,0,5,1,86
"40","Boise City-Nampa,  ID","170",64,0,106,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","237",156,12,13,56,7,100
"42","Boulder, CO","42",11,0,3,28,2,72
"43","Bowling Green, KY","15",15,0,0,0,0,99
"44","Bradenton-Sarasota-Venice,  FL","78",70,0,0,8,1,100
"45","Bremerton-Silverdale, WA","14",14,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","19",19,0,0,0,0,89
"47","Brownsville-Harlingen, TX","99",35,16,48,0,0,83
"48","Brunswick, GA","18",18,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","134",42,0,0,92,1,78
"50","Burlington, NC","22",22,0,0,0,0,95
"51","Burlington-South Burlington, VT","7",7,0,0,0,0,86
"52","Canton-Massillon, OH","12",7,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","48",35,0,4,9,1,100
"54","Cape Girardeau-Jackson, MO-IL","5",1,4,0,0,0,0
"55","Carson City,  NV","1",1,0,0,0,0,100
"56","Casper, WY","12",12,0,0,0,0,85
"57","Cedar Rapids, IA","27",8,0,4,15,1,91
"58","Champaign-Urbana, IL","99",33,0,18,48,8,83
"59","Charleston, WV","8",6,2,0,0,0,47
"60","Charleston-North Charleston-Summerville,  SC","138",124,0,4,10,1,NA
"61","Charlottesville, VA","45",36,4,0,5,1,70
"62","Chattanooga, TN-GA","67",58,2,0,7,1,75
"63","Cheyenne, WY","11",11,0,0,0,0,98
"64","Chicago-Naperville-Joliet,  IL-IN-WI","521",188,6,7,320,4,NA
"65","Cincinnati-Middletown,  OH-KY-IN","175",115,6,3,51,5,100
"66","Clarksville, TN-KY","65",55,2,8,0,0,22
"67","Cleveland, TN","24",12,0,12,0,0,74
"68","Cleveland-Elyria-Mentor,  OH","87",80,2,0,5,1,100
"69","Coeur dAlene, ID","20",20,0,0,0,0,99
"70","College Station-Bryan, TX","30",30,0,0,0,0,99
