"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units","5-Inf_Units_Stucture","Monthly_Coverage_Percent"
"1","Abilene, TX","19",19,0,0,0,0,98
"2","Akron, OH","36",31,0,0,5,1,68
"3","Albany, GA","15",13,2,0,0,0,96
"4","Albany-Schenectady-Troy, NY","102",44,0,20,38,4,75
"5","Albuquerque,  NM","120",93,0,11,16,1,100
"6","Alexandria, LA","55",55,0,0,0,0,99
"7","Allentown-Bethlehem-Easton,  PA-NJ","96",96,0,0,0,0,100
"8","Altoona, PA","1",1,0,0,0,0,9
"9","Amarillo, TX","41",37,0,4,0,0,97
"10","Ames, IA","5",5,0,0,0,0,94
"11","Anchorage,  AK","23",19,0,4,0,0,100
"12","Anderson, IN","4",4,0,0,0,0,64
"13","Anderson, SC","16",16,0,0,0,0,89
"14","Ann Arbor, MI","13",8,0,0,5,1,71
"15","Anniston-Oxford, AL","66",16,4,0,46,1,83
"16","Appleton, WI","25",23,2,0,0,0,81
"17","Asheville, NC","199",93,0,0,106,6,94
"18","Athens-Clarke County, GA","40",24,2,0,14,1,79
"19","Atlanta-Sandy Springs-Marietta,  GA","590",474,2,7,107,5,100
"20","Atlantic City-Hammonton,  NJ","23",23,0,0,0,0,100
"21","Auburn-Opelika,  AL","54",49,0,0,5,1,100
"22","Augusta-Richmond County, GA-SC","93",93,0,0,0,0,75
"23","Austin-Round Rock,  TX","785",493,8,11,273,8,100
"24","Bakersfield, CA","78",63,6,4,5,1,86
"25","Baltimore-Towson,  MD","212",196,2,0,14,1,100
"26","Bangor, ME","12",12,0,0,0,0,53
"27","Barnstable Town, MA","22",17,0,0,5,1,87
"28","Baton Rouge, LA","174",174,0,0,0,0,93
"29","Battle Creek, MI","0",0,0,0,0,0,68
"30","Bay City, MI","2",2,0,0,0,0,17
"31","Beaumont-Port Arthur, TX","222",102,0,0,120,4,71
"32","Bellingham, WA","21",21,0,0,0,0,77
"33","Bend,  OR","38",38,0,0,0,0,100
"34","Billings, MT","14",14,0,0,0,0,92
"35","Binghamton, NY","2",2,0,0,0,0,15
"36","Birmingham-Hoover,  AL","182",171,0,0,11,2,100
"37","Bismarck, ND","4",4,0,0,0,0,98
"38","Bloomington, IN","25",19,0,0,6,1,85
"39","Bloomington-Normal, IL","48",10,0,0,38,3,86
"40","Boise City-Nampa,  ID","135",123,0,12,0,0,100
"41","Boston-Cambridge-Quincy,  MA-NH","355",221,28,14,92,8,100
"42","Boulder, CO","10",7,0,3,0,0,72
"43","Bowling Green, KY","31",21,0,0,10,1,99
"44","Bradenton-Sarasota-Venice,  FL","107",85,0,4,18,1,100
"45","Bremerton-Silverdale, WA","28",28,0,0,0,0,79
"46","Bridgeport-Stamford-Norwalk, CT","43",26,4,7,6,1,89
"47","Brownsville-Harlingen, TX","61",57,4,0,0,0,83
"48","Brunswick, GA","25",25,0,0,0,0,82
"49","Buffalo-Niagara Falls, NY","45",45,0,0,0,0,78
"50","Burlington, NC","52",52,0,0,0,0,95
"51","Burlington-South Burlington, VT","16",13,0,3,0,0,86
"52","Canton-Massillon, OH","26",21,0,0,5,1,82
"53","Cape Coral-Fort Myers,  FL","71",58,0,0,13,2,100
"54","Cape Girardeau-Jackson, MO-IL","7",5,2,0,0,0,0
"55","Carson City,  NV","8",8,0,0,0,0,100
"56","Casper, WY","4",4,0,0,0,0,85
"57","Cedar Rapids, IA","45",36,2,7,0,0,91
"58","Champaign-Urbana, IL","12",12,0,0,0,0,83
"59","Charleston, WV","10",10,0,0,0,0,47
"60","Charleston-North Charleston-Summerville,  SC","216",206,0,3,7,1,NA
"61","Charlottesville, VA","32",27,0,0,5,1,70
"62","Chattanooga, TN-GA","76",69,2,0,5,1,75
"63","Cheyenne, WY","12",12,0,0,0,0,98
"64","Chicago-Naperville-Joliet,  IL-IN-WI","424",320,10,21,73,13,NA
"65","Cincinnati-Middletown,  OH-KY-IN","255",237,0,0,18,2,100
"66","Clarksville, TN-KY","128",102,2,8,16,3,22
"67","Cleveland, TN","21",15,2,4,0,0,74
"68","Cleveland-Elyria-Mentor,  OH","124",116,0,8,0,0,100
"69","Coeur dAlene, ID","53",53,0,0,0,0,99
"70","College Station-Bryan, TX","79",79,0,0,0,0,99
"71","Colorado Springs,  CO","104",102,2,0,0,0,100
"72","Columbia, MO","36",34,2,0,0,0,100
"73","Columbia,  SC","266",211,0,0,55,2,100
"74","Columbus, GA-AL","73",61,0,3,9,1,73
"75","Columbus, IN","13",13,0,0,0,0,99
"76","Columbus,  OH","236",210,4,4,18,3,100
"77","Corpus Christi, TX","53",53,0,0,0,0,83
"78","Corvallis, OR","1",1,0,0,0,0,54
"79","Cumberland, MD-WV","22",7,0,0,15,2,5
"80","Dallas-Fort Worth-Arlington,  TX","1623",976,18,3,626,51,100
"81","Dalton,  GA","15",15,0,0,0,0,100
"82","Danville, IL","0",0,0,0,0,0,4
"83","Danville, VA","6",6,0,0,0,0,55
"84","Davenport-Moline-Rock Island,  IA-IL","19",19,0,0,0,0,NA
"85","Decatur, AL","4",4,0,0,0,0,67
"86","Decatur, IL","2",2,0,0,0,0,18
"87","Deltona-Daytona Beach-Ormond Beach,  FL","58",52,0,0,6,1,NA
"88","Des Moines-West Des Moines,  IA","124",122,2,0,0,0,100
"89","Detroit-Warren-Livonia,  MI","63",63,0,0,0,0,100
"90","Dothan, AL","10",10,0,0,0,0,85
"91","Dover,  DE","47",47,0,0,0,0,100
"92","Dubuque, IA","30",24,6,0,0,0,84
"93","Duluth, MN-WI","18",13,0,0,5,1,69
"94","Durham-Chapel Hill,  NC","134",134,0,0,0,0,100
"95","Eau Claire, WI","9",7,2,0,0,0,91
"96","El Centro, CA","12",4,0,3,5,1,71
"97","El Paso, TX","220",220,0,0,0,0,96
"98","Elizabethtown, KY","17",17,0,0,0,0,62
"99","Elkhart-Goshen, IN","10",10,0,0,0,0,97
"100","Elmira, NY","0",0,0,0,0,0,11
"101","Erie, PA","16",12,4,0,0,0,74
"102","Eugene-Springfield, OR","41",36,0,0,5,1,100
"103","Evansville, IN-KY","29",24,0,0,5,1,89
"104","Fairbanks,  AK","2",2,0,0,0,0,100
"105","Fargo, ND-MN","0",0,0,0,0,0,78
"106","Farmington,  NM","29",20,0,9,0,0,100
"107","Fayetteville, NC","167",159,0,0,8,1,93
"108","Fayetteville-Springdale-Rogers,  AR-MO","160",58,6,0,96,9,93
"109","Flagstaff, AZ","11",11,0,0,0,0,91
"110","Flint, MI","3",3,0,0,0,0,63
"111","Florence, SC","38",29,0,0,9,1,99
"112","Florence-Muscle Shoals, AL","11",9,2,0,0,0,88
"113","Fond du Lac, WI","3",3,0,0,0,0,44
"114","Fort Collins-Loveland,  CO","26",26,0,0,0,0,100
"115","Fort Smith, AR-OK","56",34,0,0,22,2,92
"116","Fort Walton Beach-Crestview-Destin,  FL","22",17,0,0,5,1,77
"117","Fort Wayne,  IN","49",49,0,0,0,0,100
"118","Fresno, CA","148",121,2,8,17,3,81
"119","Gadsden, AL","5",5,0,0,0,0,62
"120","Gainesville, FL","38",27,0,0,11,1,99
"121","Gainesville, GA","13",11,2,0,0,0,94
"122","Glens Falls, NY","9",9,0,0,0,0,77
"123","Goldsboro, NC","13",13,0,0,0,0,79
"124","Grand Forks, ND-MN","0",0,0,0,0,0,221
"125","Grand Junction,  CO","21",21,0,0,0,0,100
"126","Grand Rapids-Wyoming,  MI","42",40,2,0,0,0,100
"127","Great Falls, MT","6",6,0,0,0,0,91
"128","Greeley,  CO","49",44,0,0,5,1,100
"129","Green Bay, WI","16",16,0,0,0,0,80
"130","Greensboro-High Point,  NC","216",104,0,0,112,6,100
"131","Greenville, NC","87",75,12,0,0,0,99
"132","Greenville,  SC","161",161,0,0,0,0,100
"133","Gulfport-Biloxi, MS","168",128,24,16,0,0,93
"134","Hagerstown-Martinsburg, MD-WV","61",61,0,0,0,0,96
"135","Hanford-Corcoran, CA","14",14,0,0,0,0,78
"136","Harrisburg-Carlisle, PA","72",56,0,0,16,1,54
"137","Harrisonburg,  VA","57",45,0,0,12,1,100
"138","Hartford-West Hartford-East Hartford,  CT","42",37,0,0,5,1,88
"139","Hattiesburg, MS","33",8,2,0,23,1,92
"140","Hickory-Lenoir-Morganton, NC","39",39,0,0,0,0,98
"141","Hinesville-Fort Stewart, GA","6",6,0,0,0,0,68
"142","Holland-Grand Haven, MI","15",15,0,0,0,0,77
"143","Honolulu,  HI","49",49,0,0,0,0,100
"144","Hot Springs, AR","3",3,0,0,0,0,97
"145","Houma-Bayou Cane-Thibodaux, LA","51",51,0,0,0,0,94
"146","Houston-Sugar Land-Baytown,  TX","2062",1708,4,0,350,11,100
