"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene* TX MSA","1193",1193,0,0,0
"2","Albany* GA MSA","5490",5490,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","28274",25551,0,0,2723
"4","Albuquerque* NM MSA","56369",56369,0,0,0
"5","Alexandria* LA MSA","3832",3832,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","24875",24259,0,230,386
"7","Altoona* PA MSA","381",381,0,0,0
"8","Amarillo* TX MSA","4748",4748,0,0,0
"9","Anchorage* AK MSA","36718",25117,11137,0,464
"10","Anniston* AL MSA","3609",3609,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","26554",17988,420,498,7648
"12","Asheville* NC MSA","15633",14059,651,0,923
"13","Athens* GA MSA","11376",10453,923,0,0
"14","Atlanta  GA MSA","510906",420310,507,1272,88817
"15","Auburn-Opelika* AL MSA","3181",3103,78,0,0
"16","Augusta-Aiken* GA-SC MSA","25524",25524,0,0,0
"17","Austin-San Marcos* TX MSA","74404",68470,522,3099,2313
"18","Bakersfield* CA MSA","32182",31391,140,222,429
"19","Bangor* ME MSA","2335",2335,0,0,0
"20","Barnstable-Yarmouth* MA MSA","24725",20040,280,0,4405
"21","Baton Rouge* LA MSA","14484",9510,58,583,4333
"22","Beaumont-Port Arthur* TX MSA","6503",6503,0,0,0
"23","Bellingham* WA MSA","16083",14061,583,242,1197
"24","Benton Harbor* MI MSA","2957",2957,0,0,0
"25","Billings* MT MSA","6812",6812,0,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","17444",14833,111,0,2500
"27","Binghamton* NY MSA","1267",1267,0,0,0
"28","Birmingham* AL MSA","48610",47118,0,0,1492
"29","Bismarck* ND MSA","6028",5412,267,349,0
"30","Bloomington* IN MSA","7207",6331,319,287,270
"31","Bloomington-Normal* IL MSA","9178",8402,0,0,776
"32","Boise City* ID MSA","62785",62068,470,247,0
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","235287",191549,4318,3399,36021
"34","Brownsville-Harlingen-San  Benito* TX MSA","15317",14626,289,238,164
"35","Bryan-College Station* TX MSA","7351",6960,391,0,0
"36","Buffalo-Niagara Falls* NY MSA","26764",25811,0,0,953
"37","Burlington* VT MSA","19510",10774,525,1647,6564
"38","Canton-Massillon* OH MSA","15080",14892,0,0,188
"39","Casper* WY MSA","2715",2715,0,0,0
"40","Cedar Rapids* IA MSA","9197",8469,0,728,0
"41","Champaign-Urbana* IL MSA","5024",4424,0,600,0
"42","Charleston-North  Charleston* SC MSA","56810",47275,309,879,8347
"43","Charleston* WV MSA","4454",4269,0,185,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","189886",172517,456,257,16656
"45","Charlottesville* VA MSA","11279",10771,102,0,406
"46","Chattanooga* TN-GA MSA","25568",25094,60,167,247
"47","Cheyenne* WY MSA","2779",2779,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","550868",487478,6346,12517,44527
"49","Chico-Paradise* CA MSA","14642",14642,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","127261",113324,2750,1142,10045
"51","Clarksville-Hopkinsville*  TN-KY MSA","8028",7078,0,145,805
"52","Cleveland-Akron  OH CMSA","154159",149706,1586,1721,1146
"53","Colorado Springs* CO MSA","72718",59601,0,0,13117
"54","Columbia* MO MSA","9450",8514,228,154,554
"55","Columbia* SC MSA","26928",26928,0,0,0
"56","Columbus* GA-AL MSA","35365",11646,0,0,23719
"57","Columbus  OH MSA","167476",142255,865,10697,13659
"58","Corpus Christi* TX MSA","9924",9522,110,292,0
"59","Corvallis OR MSA*","3484",3343,141,0,0
"60","Cumberland* MD-WV MSA","1868",1868,0,0,0
"61","Dallas-Fort Worth  TX CMSA","598139",518526,937,357,78319
"62","Danville* VA MSA","1684",1684,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","6796",6566,230,0,0
"64","Dayton-Springfield* OH MSA","33878",30420,172,2822,464
"65","Daytona Beach* FL MSA","59583",52867,1449,0,5267
"66","Decatur* Al MSA","3164",3164,0,0,0
"67","Decatur* IL MSA","1783",1783,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","313385",239279,2074,3171,68861
"69","Des Moines* IA MSA","30467",29931,89,447,0
"70","Detroit-Ann Arbor-Flint  MI  CMSA","347064",283936,4322,3893,54913
"71","Dothan* AL MSA","2147",2147,0,0,0
"72","Dover* DE MSA","7149",7149,0,0,0
"73","Dubuque* IA MSA","3097",2702,395,0,0
"74","Duluth-Superior* MN-WI MSA","7616",7314,77,225,0
"75","Eau Claire* WI MSA","13128",11633,1495,0,0
"76","El Paso* TX MSA","17708",17682,26,0,0
"77","Elkhart-Goshen* IN MSA","12360",11760,0,0,600
"78","Elmira* NY MSA","474",474,0,0,0
"79","Enid* OK MSA","660",580,80,0,0
"80","Erie* PA MSA","3625",3625,0,0,0
"81","Eugene-Springfield* OR MSA","16569",16278,291,0,0
"82","Evansville-Henderson* IN-KY  MSA","11993",11993,0,0,0
"83","Fargo-Moorhead* ND-MN MSA","7348",6845,175,0,328
"84","Fayetteville* NC MSA","8790",8669,0,121,0
"85","Fayetteville-Springdale-  Rogers* AR MSA","25060",24332,0,728,0
"86","Flagstaff* AZ-UT MSA","19658",19658,0,0,0
"87","Florence* AL MSA","1013",1013,0,0,0
"88","Florence* SC MSA","4255",3994,0,0,261
"89","Fort Collins-Loveland* CO MSA","35944",33458,0,184,2302
"90","Fort Myers-Cape Coral* FL MSA","116340",87725,3505,6485,18625
"91","Fort Pierce-Port St. Lucie*  FL MSA","49163",46943,415,1165,640
"92","Fort Smith* AR-OK MSA","6085",5555,145,385,0
"93","Fort Walton Beach* FL MSA","11196",10813,0,0,383
"94","Fort Wayne* IN MSA","35184",34228,281,0,675
"95","Fresno  CA MSA","42261",41748,309,0,204
"96","Gadsden* AL MSA","752",752,0,0,0
"97","Gainesville* FL MSA","11697",8980,58,305,2354
"98","Glens Falls* NY MSA","6065",5770,295,0,0
"99","Goldsboro* NC MSA","3608",3608,0,0,0
"100","Grand Forks* ND-MN MSA","2615",1575,240,0,800
"101","Grand Junction* CO MSA","10923",10923,0,0,0
"102","Grand Rapids-Muskegon-  Holland  MI MSA","80497",74837,1342,1188,3130
"103","Great Falls* MT MSA","952",952,0,0,0
"104","Green Bay* WI MSA","17412",11392,422,0,5598
"105","Greensboro--Winston-Salem--  High Point  NC MSA","88942",82732,370,414,5426
"106","Greenville* NC MSA","8263",6953,472,0,838
"107","Greenville-Spartanburg-  Anderson* SC MSA","50462",48348,530,0,1584
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","20949",20949,0,0,0
"109","Hartford* CT MSA","45200",42111,1409,712,968
