"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene* TX MSA","2666",2666,0,0,0
"2","Albany* GA MSA","4933",4764,169,0,0
"3","Albany-Schenectady-Troy* NY  MSA","30373",29401,0,94,878
"4","Albuquerque* NM MSA","66177",65095,0,1082,0
"5","Alexandria* LA MSA","4280",4280,0,0,0
"6","Allentown-Bethlehem-Easton*  PA MSA","23953",21421,380,232,1920
"7","Altoona* PA MSA","296",296,0,0,0
"8","Amarillo* TX MSA","10052",10052,0,0,0
"9","Anchorage* AK MSA","30469",16425,9004,3565,1475
"10","Anniston* AL MSA","3648",3638,10,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","28016",20691,1512,312,5501
"12","Asheville* NC MSA","22367",21918,0,160,289
"13","Athens* GA MSA","16300",16300,0,0,0
"14","Atlanta  GA MSA","509061",494223,277,921,13640
"15","Auburn-Opelika* AL MSA","7161",7161,0,0,0
"16","Augusta-Aiken* GA-SC MSA","26291",26291,0,0,0
"17","Austin-San Marcos* TX MSA","91041",74663,831,155,15392
"18","Bakersfield* CA MSA","47843",47843,0,0,0
"19","Bangor* ME MSA","2292",2292,0,0,0
"20","Barnstable-Yarmouth* MA MSA","16846",16322,0,0,524
"21","Baton Rouge* LA MSA","15080",10726,0,0,4354
"22","Beaumont-Port Arthur* TX MSA","3816",3816,0,0,0
"23","Bellingham* WA MSA","15794",13985,626,242,941
"24","Benton Harbor* MI MSA","3518",3518,0,0,0
"25","Billings* MT MSA","6853",6253,0,0,600
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","20034",20034,0,0,0
"27","Binghamton* NY MSA","1365",1265,100,0,0
"28","Birmingham* AL MSA","56628",56269,0,0,359
"29","Bismarck* ND MSA","9915",9249,306,360,0
"30","Bloomington* IN MSA","7577",7577,0,0,0
"31","Bloomington-Normal* IL MSA","8378",7634,494,0,250
"32","Boise City* ID MSA","66395",63945,475,1591,384
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","238319",209444,5541,4273,19061
"34","Brownsville-Harlingen-San  Benito* TX MSA","17259",15372,128,1596,163
"35","Bryan-College Station* TX MSA","8242",7507,115,0,620
"36","Buffalo-Niagara Falls* NY MSA","34015",30046,500,1200,2269
"37","Burlington* VT MSA","7154",6464,235,330,125
"38","Canton-Massillon* OH MSA","15108",14419,689,0,0
"39","Casper* WY MSA","1839",1839,0,0,0
"40","Cedar Rapids* IA MSA","12291",7255,366,243,4427
"41","Champaign-Urbana* IL MSA","9063",9063,0,0,0
"42","Charleston-North  Charleston* SC MSA","60344",55063,311,572,4398
"43","Charleston* WV MSA","3899",3072,827,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","218151",198829,605,1013,17704
"45","Charlottesville* VA MSA","17555",15782,147,0,1626
"46","Chattanooga* TN-GA MSA","27704",27150,257,50,247
"47","Cheyenne* WY MSA","4806",4806,0,0,0
