"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene* TX MSA","2807",1648,160,999,0
"2","Albany* GA MSA","5453",5453,0,0,0
"3","Albany-Schenectady-Troy* NY  MSA","40554",28654,1026,569,10305
"4","Albuquerque* NM MSA","77589",54109,0,0,23480
"5","Alexandria* LA MSA","7625",2031,0,0,5594
"6","Allentown-Bethlehem-Easton*  PA MSA","22485",21264,0,513,708
"7","Altoona* PA MSA","901",901,0,0,0
"8","Amarillo* TX MSA","7344",7344,0,0,0
"9","Anchorage* AK MSA","33583",20371,6291,0,6921
"10","Anniston* AL MSA","3646",3646,0,0,0
"11","Appleton-Oshkosh-Neenah* WI  MSA","14575",13144,654,0,777
"12","Asheville* NC MSA","16402",13911,625,0,1866
"13","Athens* GA MSA","15923",14155,1768,0,0
"14","Atlanta  GA MSA","572241",501756,2788,432,67265
"15","Auburn-Opelika* AL MSA","16846",6324,514,0,10008
"16","Augusta-Aiken* GA-SC MSA","30968",30968,0,0,0
"17","Austin-San Marcos* TX MSA","88353",70439,1157,473,16284
"18","Bakersfield* CA MSA","38589",37927,139,166,357
"19","Bangor* ME MSA","2236",1936,300,0,0
"20","Barnstable-Yarmouth* MA MSA","13474",13230,244,0,0
"21","Baton Rouge* LA MSA","11147",9717,32,0,1398
"22","Beaumont-Port Arthur* TX MSA","5499",5499,0,0,0
"23","Bellingham* WA MSA","16852",14656,624,427,1145
"24","Benton Harbor* MI MSA","2712",2712,0,0,0
"25","Billings* MT MSA","6145",6002,143,0,0
"26","Biloxi-Gulfport-Pascagoula*  MS MSA","16329",16121,0,208,0
"27","Binghamton* NY MSA","1528",1528,0,0,0
"28","Birmingham* AL MSA","57162",56575,0,0,587
"29","Bismarck* ND MSA","5329",5329,0,0,0
"30","Bloomington* IN MSA","11548",3721,171,0,7656
"31","Bloomington-Normal* IL MSA","9469",9469,0,0,0
"32","Boise City* ID MSA","64081",60546,893,1679,963
"33","Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA","188762",171474,4107,3609,9572
"34","Brownsville-Harlingen-San  Benito* TX MSA","15818",14981,231,383,223
"35","Bryan-College Station* TX MSA","10960",9027,1933,0,0
"36","Buffalo-Niagara Falls* NY MSA","22943",22384,120,0,439
"37","Burlington* VT MSA","10919",4784,0,459,5676
"38","Canton-Massillon* OH MSA","15319",14552,0,0,767
"39","Casper* WY MSA","2739",2739,0,0,0
"40","Cedar Rapids* IA MSA","8623",7024,343,293,963
"41","Champaign-Urbana* IL MSA","8723",4115,184,0,4424
"42","Charleston-North  Charleston* SC MSA","75938",61608,749,502,13079
"43","Charleston* WV MSA","3218",3218,0,0,0
"44","Charlotte-Gastonia-Rock  Hill  NC-SC MSA","204697",196332,1184,644,6537
"45","Charlottesville* VA MSA","21847",20867,130,0,850
"46","Chattanooga* TN-GA MSA","22790",22444,0,50,296
"47","Cheyenne* WY MSA","4983",4983,0,0,0
"48","Chicago-Gary-Kenosha  IL-IN-  WI CMSA","526507",446349,3856,7547,68755
"49","Chico-Paradise* CA MSA","10517",10517,0,0,0
"50","Cincinnati-Hamilton  OH-KY-  IN CMSA","131373",122660,327,2706,5680
"51","Clarksville-Hopkinsville*  TN-KY MSA","9924",8659,120,332,813
"52","Cleveland-Akron  OH CMSA","134226",131182,325,735,1984
"53","Colorado Springs* CO MSA","77331",49120,0,2086,26125
"54","Columbia* MO MSA","16100",15842,258,0,0
"55","Columbia* SC MSA","35404",35404,0,0,0
"56","Columbus* GA-AL MSA","15987",15387,150,450,0
"57","Columbus  OH MSA","158023",140279,806,4254,12684
"58","Corpus Christi* TX MSA","8027",7033,233,603,158
"59","Corvallis OR MSA*","5769",5692,77,0,0
"60","Cumberland* MD-WV MSA","1284",1284,0,0,0
"61","Dallas-Fort Worth  TX CMSA","559609",512118,820,0,46671
"62","Danville* VA MSA","3324",3324,0,0,0
"63","Davenport-Moline-Rock  Island* IA-IL MSA","8946",8946,0,0,0
"64","Dayton-Springfield* OH MSA","33104",30288,140,2676,0
"65","Daytona Beach* FL MSA","81707",75501,2668,1548,1990
"66","Decatur* Al MSA","3184",3184,0,0,0
"67","Decatur* IL MSA","810",810,0,0,0
"68","Denver-Boulder-Greeley  CO  CMSA","296392",281105,1722,5213,8352
"69","Des Moines* IA MSA","41387",40183,460,744,0
"70","Detroit-Ann Arbor-Flint  MI  CMSA","278801",253735,5920,2385,16761
"71","Dothan* AL MSA","2219",2219,0,0,0
"72","Dover* DE MSA","10495",10390,105,0,0
"73","Dubuque* IA MSA","8675",3531,483,161,4500
"74","Duluth-Superior* MN-WI MSA","3056",2757,0,299,0
"75","Eau Claire* WI MSA","7474",6574,300,600,0
"76","El Paso* TX MSA","15559",14106,273,858,322
"77","Elkhart-Goshen* IN MSA","9857",9367,0,490,0
"78","Elmira* NY MSA","634",634,0,0,0
"79","Enid* OK MSA","1631",1519,0,112,0
"80","Erie* PA MSA","2824",2824,0,0,0
"81","Eugene-Springfield* OR MSA","20832",20541,291,0,0
"82","Evansville-Henderson* IN-KY  MSA","12521",12221,300,0,0
"83","Fargo-Moorhead* ND-MN MSA","3745",2895,0,0,850
"84","Fayetteville* NC MSA","25232",10774,0,0,14458
"85","Fayetteville-Springdale-  Rogers* AR MSA","19165",19165,0,0,0
"86","Flagstaff* AZ-UT MSA","8088",8088,0,0,0
"87","Florence* AL MSA","1602",1602,0,0,0
"88","Florence* SC MSA","4817",4341,42,0,434
"89","Fort Collins-Loveland* CO MSA","36907",33936,0,448,2523
"90","Fort Myers-Cape Coral* FL MSA","112881",77402,4903,2991,27585
"91","Fort Pierce-Port St. Lucie*  FL MSA","56199",52969,97,2333,800
"92","Fort Smith* AR-OK MSA","6005",4035,170,1800,0
"93","Fort Walton Beach* FL MSA","16898",16058,0,153,687
"94","Fort Wayne* IN MSA","39205",37156,0,0,2049
"95","Fresno  CA MSA","54180",53378,0,598,204
"96","Gadsden* AL MSA","733",733,0,0,0
"97","Gainesville* FL MSA","9972",7690,0,0,2282
"98","Glens Falls* NY MSA","4728",4728,0,0,0
"99","Goldsboro* NC MSA","3788",3706,82,0,0
"100","Grand Forks* ND-MN MSA","1265",369,896,0,0
"101","Grand Junction* CO MSA","14082",13263,0,0,819
"102","Grand Rapids-Muskegon-  Holland  MI MSA","70521",66625,121,1446,2329
"103","Great Falls* MT MSA","1210",1210,0,0,0
"104","Green Bay* WI MSA","18461",15264,593,0,2604
"105","Greensboro--Winston-Salem--  High Point  NC MSA","89377",81827,363,969,6218
"106","Greenville* NC MSA","12597",8703,369,0,3525
"107","Greenville-Spartanburg-  Anderson* SC MSA","66224",65119,380,410,315
"108","Harrisburg-Lebanon-  Carlisle* PA MSA","19585",19125,0,0,460
"109","Hartford* CT MSA","34812",34279,466,0,67
"110","Hattiesburg* MS MSA","1039",889,0,0,150
"111","Hickory-Morganton-Lenoir*  NC MSA","19968",18729,1000,0,239
"112","Honolulu  HI MSA","17526",17526,0,0,0
"113","Houma* LA MSA","7113",7113,0,0,0
"114","Houston-Galveston-Brazoria  TX CMSA","432411",340357,253,7511,84290
"115","Huntington-Ashland* WV-KY-  OH MSA","488",488,0,0,0
"116","Huntsville* AL MSA","14106",10998,0,468,2640
"117","Indianapolis  IN MSA","203079",185617,1426,1346,14690
"118","Iowa City* IA MSA","13625",7518,171,0,5936
"119","Jackson* MI MSA","1460",1460,0,0,0
"120","Jackson* MS MSA","26199",26199,0,0,0
"121","Jackson* TN MSA","4592",4592,0,0,0
"122","Jacksonville  FL MSA","122771",101449,0,0,21322
"123","Jacksonville* NC MSA","6105",5866,59,180,0
"124","Jamestown* NY MSA","0",0,0,0,0
"125","Janesville-Beloit* WI MSA","2804",1884,520,225,175
"126","Johnson City-Kingsport-  Bristol* TN-VA MSA","9182",9052,130,0,0
"127","Johnstown* PA MSA","886",304,0,0,582
"128","Jonesboro* AR MSA","3415",3415,0,0,0
"129","Joplin* MO MSA","1157",1157,0,0,0
"130","Kalamazoo-Battle Creek* MI  MSA","16773",15649,0,0,1124
"131","Kansas City  MO-KS MSA","153055",139876,3752,7520,1907
"132","Killeen-Temple* TX MSA","19638",16510,723,2405,0
"133","Knoxville* TN MSA","39682",38543,227,184,728
"134","Kokomo* IN MSA","4527",3364,1163,0,0
"135","La Crosse* WI-MN MSA","3826",3500,159,167,0
"136","Lafayette* LA MSA","21043",12043,0,0,9000
"137","Lafayette* IN MSA","8108",7315,343,0,450
"138","Lake Charles* LA MSA","5982",5819,66,97,0
"139","Lakeland-Winter Haven* FL MSA","25772",25431,341,0,0
"140","Lancaster* PA MSA","14286",14286,0,0,0
"141","Lansing-East Lansing* MI MSA","15878",14051,0,0,1827
"142","Laredo* TX MSA","10900",9499,64,171,1166
"143","Las Cruces* NM MSA","10669",8714,0,1955,0
"144","Las Vegas  NV-AZ MSA","287634",266309,979,486,19860
"145","Lawrence* KS MSA","7519",6272,509,132,606
"146","Lawton* OK MSA","1529",1529,0,0,0
"147","Lewiston-Auburn* ME MSA","3892",3632,0,260,0
"148","Lexington* KY MSA","30136",28841,650,120,525
"149","Lima* OH MSA","1212",1212,0,0,0
"150","Lincoln* NE MSA","15853",14833,247,0,773
"151","Little Rock-North Little  Rock* AR MSA","34273",26874,412,90,6897
"152","Longview-Marshall* TX MSA","1714",1714,0,0,0
"153","Los Angeles-Riverside-  Orange County  CA CMSA","692147",633225,6735,7926,44261
"154","Louisville  KY-IN MSA","63811",63043,0,577,191
"155","Lubbock* TX MSA","11138",10978,160,0,0
"156","Lynchburg* VA MSA","17407",14685,872,1850,0
"157","Macon* GA MSA","16674",16604,70,0,0
"158","Madison* WI MSA","41809",36555,2727,1377,1150
"159","Mansfield* OH MSA","4402",3692,196,421,93
"160","McAllen-Edinburg-Mission*  TX MSA","28636",26774,414,1006,442
"161","Medford-Ashland* OR MSA","21297",17539,131,1095,2532
"162","Melbourne-Titusville-Palm  Bay* FL MSA","76509",70430,100,528,5451
"163","Memphis  TN-AR-MS MSA","83902",83902,0,0,0
"164","Merced* CA MSA","12799",12799,0,0,0
"165","Miami-Fort Lauderdale  FL  CMSA","254312",192655,677,805,60175
"166","Milwaukee-Racine  WI CMSA","87974",71189,4880,3536,8369
