"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","1935",1935,0,0,0
"2","Akron,* OH","33846",32317,678,468,383
"3","Albany, GA","7461",7461,0,0,0
"4","Albany-Schenectady-Troy, NY","18636",16956,1100,0,580
"5","Albuquerque,* NM","79383",79383,0,0,0
"6","Alexandria, LA","3518",3518,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","43899",42369,0,520,1010
"8","Altoona, PA","76",76,0,0,0
"9","Amarillo, TX","11021",11021,0,0,0
"10","Ames, IA","6028",3821,0,0,2207
"11","Anchorage,* AK","12963",12433,0,530,0
"12","Anderson,* IN","3897",3897,0,0,0
"13","Anderson,* SC","8812",7919,443,450,0
"14","Ann Arbor,* MI","24048",22187,0,1145,716
"15","Anniston-Oxford, AL","1804",1804,0,0,0
"16","Appleton, WI","14235",13711,110,0,414
"17","Asheville, NC","32426",31985,441,0,0
"18","Athens-Clarke County, GA","14495",14495,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","574561",539622,4618,278,30043
"20","Atlantic City,* NJ","10852",10850,2,0,0
"21","Auburn-Opelika,* AL","12111",9320,121,0,2670
"22","Augusta-Richmond County, GA-SC","25940",25940,0,0,0
"23","Austin-Round Rock,* TX","142153",124939,3028,1012,13174
"24","Bakersfield, CA","58198",54619,0,0,3579
"25","Baltimore-Towson,* MD","71515",65172,0,0,6343
"26","Bangor, ME","3178",3178,0,0,0
"27","Barnstable Town, MA","16341",16162,0,179,0
"28","Baton Rouge, LA","30047",30047,0,0,0
"29","Battle Creek, MI","1693",1693,0,0,0
"30","Bay City, MI","1057",1057,0,0,0
"31","Beaumont-Port Arthur, TX","4395",4395,0,0,0
"32","Bellingham, WA","18331",16475,458,353,1045
"33","Bend,* OR","36010",30532,2484,1453,1541
"34","Billings, MT","6260",6260,0,0,0
"35","Binghamton, NY","1375",1375,0,0,0
"36","Birmingham-Hoover,* AL","77514",76773,0,226,515
"37","Bismarck, ND","0",0,0,0,0
"38","Blacksburg-Christiansburg-Radford,  VA","8507",8299,0,0,208
"39","Bloomington, IN","5930",4529,720,236,445
"40","Bloomington-Normal, IL","7068",6483,585,0,0
"41","Boise City-Nampa,* ID","83295",80798,1375,1122,0
"42","Boston-Cambridge-Quincy,* MA-NH","102686",85893,3109,1071,12613
"43","Boulder,* CO","16069",12399,826,264,2580
"44","Bowling Green, KY","8126",8126,0,0,0
"45","Bremerton-Silverdale,* WA","14846",14607,239,0,0
"46","Bridgeport-Stamford-Norwalk,* CT","41041",39992,1049,0,0
"47","Brownsville-Harlingen, TX","20504",18224,177,1476,627
"48","Brunswick, GA","10193",9143,124,0,926
"49","Buffalo-Niagara Falls, NY","25095",24395,0,300,400
"50","Burlington,* NC","13022",12782,0,240,0
"51","Burlington-South Burlington, VT","5942",5305,284,0,353
"52","Canton-Massillon, OH","10357",10357,0,0,0
"53","Cape Coral-Fort Myers,* FL","227071",128519,16699,15909,65944
"54","Carson City,* NV","1546",1296,250,0,0
"55","Casper,* WY","2061",2061,0,0,0
"56","Cedar Rapids, IA","5459",5070,180,0,209
"57","Champaign-Urbana, IL","5647",5647,0,0,0
"58","Charleston, WV","4361",4361,0,0,0
"59","Charleston-North Charleston,* SC","74972",71468,181,238,3085
"60","Charlotte-Gastonia-Concord,* NC-SC","180628",174845,875,1389,3519
"61","Charlottesville,* VA","28542",23453,0,0,5089
"62","Chattanooga, TN-GA","29401",27263,267,259,1612
"63","Cheyenne, WY","2712",2712,0,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","433871",394406,2260,6073,31132
"65","Chico, CA","9968",9748,0,220,0
"66","Cincinnati-Middletown,* OH-KY-IN","105203",97601,910,380,6312
"67","Clarksville, TN-KY","22158",19768,0,0,2390
"68","Cleveland, TN","3463",2955,23,0,485
"69","Cleveland-Elyria-Mentor,* OH","81334",75918,1856,530,3030
"70","Coeur d""Alene, ID","19805",18277,1325,0,203
"71","College Station-Bryan, TX","7678",6050,0,0,1628
"72","Colorado Springs,* CO","59620",59620,0,0,0
