"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3902",3902,0,0,0
"2","Akron,* OH","44769",42168,823,769,1009
"3","Albany, GA","7423",6709,714,0,0
"4","Albany-Schenectady-Troy, NY","52165",39338,300,0,12527
"5","Albuquerque,* NM","72845",72758,0,87,0
"6","Alexandria, LA","4405",4405,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","69165",67154,1265,448,298
"8","Altoona, PA","2695",2695,0,0,0
"9","Amarillo, TX","13870",13870,0,0,0
"10","Ames, IA","5591",5341,0,250,0
"11","Anchorage,* AK","79559",25685,41388,0,12486
"12","Anderson,* IN","5874",5874,0,0,0
"13","Anderson,* SC","14871",14871,0,0,0
"14","Ann Arbor,* MI","34273",33607,0,304,362
"15","Anniston-Oxford, AL","1775",1775,0,0,0
"16","Appleton, WI","17829",16803,1026,0,0
"17","Asheville, NC","54000",48814,2091,1720,1375
"18","Athens-Clarke County, GA","22895",19899,0,0,2996
"19","Atlanta-Sandy Springs-Marietta,* GA","807320",661199,4914,483,140724
"20","Atlantic City,* NJ","18176",17807,185,0,184
"21","Auburn-Opelika,* AL","9857",9426,431,0,0
"22","Augusta-Richmond County, GA-SC","37947",37947,0,0,0
"23","Austin-Round Rock,* TX","166254",160518,1209,1556,2971
"24","Bakersfield, CA","74290",73788,275,227,0
"25","Baltimore-Towson,* MD","93665",86876,0,0,6789
"26","Bangor, ME","6698",5447,125,1126,0
"27","Barnstable Town, MA","22053",20590,157,1306,0
"28","Baton Rouge, LA","53182",47682,0,300,5200
"29","Battle Creek, MI","3402",3402,0,0,0
"30","Bay City, MI","1065",1065,0,0,0
"31","Beaumont-Port Arthur, TX","7090",5983,175,0,932
"32","Bellingham, WA","30246",26081,579,577,3009
"33","Bend,* OR","52382",42673,2176,1546,5987
"34","Billings, MT","9550",9550,0,0,0
"35","Binghamton, NY","3647",2195,0,0,1452
"36","Birmingham-Hoover,* AL","107493",94428,75,0,12990
"37","Bismarck, ND","13988",11477,212,2299,0
"38","Blacksburg-Christiansburg-Radford,  VA","10978",8813,0,0,2165
"39","Bloomington, IN","11409",8746,1259,316,1088
"40","Bloomington-Normal, IL","17781",9912,0,522,7347
"41","Boise City-Nampa,* ID","122494",117342,1148,3084,920
"42","Boston-Cambridge-Quincy,* MA-NH","187129",131418,4421,3471,47819
"43","Boulder,* CO","23379",22333,1046,0,0
"44","Bowling Green, KY","10673",10673,0,0,0
"45","Bremerton-Silverdale,* WA","23328",22778,199,0,351
"46","Bridgeport-Stamford-Norwalk,* CT","54777",50626,598,1661,1892
"47","Brownsville-Harlingen, TX","27557",21391,195,182,5789
"48","Brunswick, GA","13761",13012,489,0,260
"49","Buffalo-Niagara Falls, NY","30106",29626,480,0,0
"50","Burlington,* NC","17306",12747,0,435,4124
"51","Burlington-South Burlington, VT","13864",10083,551,660,2570
"52","Canton-Massillon, OH","20014",19459,0,318,237
"53","Cape Coral-Fort Myers,* FL","266759",173555,11454,14893,66857
"54","Carson City,* NV","3650",3273,377,0,0
"55","Casper,* WY","3536",3536,0,0,0
"56","Cedar Rapids, IA","13340",12530,482,0,328
"57","Champaign-Urbana, IL","7062",7062,0,0,0
"58","Charleston, WV","5079",5079,0,0,0
"59","Charleston-North Charleston,* SC","93955",81654,0,475,11826
"60","Charlotte-Gastonia-Concord,* NC-SC","263071",244755,1152,1446,15718
"61","Charlottesville,* VA","26048",22926,666,236,2220
"62","Chattanooga, TN-GA","36601",35464,411,148,578
"63","Cheyenne, WY","6701",5748,175,778,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","686630",614746,7798,17054,47032
"65","Chico, CA","17333",7455,0,982,8896
"66","Cincinnati-Middletown,* OH-KY-IN","153821",148156,1152,920,3593
"67","Clarksville, TN-KY","17149",14304,545,800,1500
"68","Cleveland, TN","7096",7026,70,0,0
"69","Cleveland-Elyria-Mentor,* OH","129953",126091,912,2950,0
"70","Coeur d""Alene, ID","27093",26289,804,0,0
"71","College Station-Bryan, TX","19654",12882,0,242,6530
"72","Colorado Springs,* CO","93976",93976,0,0,0
"73","Columbia, MO","24774",23694,760,320,0
"74","Columbia,* SC","77565",61733,0,0,15832
"75","Columbus, GA-AL","19713",18839,0,0,874
"76","Columbus, IN","4031",4031,0,0,0
"77","Columbus,* OH","187939",174335,643,3706,9255
"78","Corpus Christi, TX","15761",14855,113,0,793
"79","Corvallis,* OR","5334",5334,0,0,0
"80","Cumberland, MD-WV","2939",2879,60,0,0
"81","Dallas-Fort Worth-Arlington,* TX","723728",619817,1886,476,101549
"82","Dalton,* GA","8154",7804,0,0,350
"83","Danville, IL","80",80,0,0,0
"84","Danville,* VA","4090",3795,0,0,295
"85","Davenport-Moline-Rock Island,  IA-IL","13266",13266,0,0,0
"86","Dayton, OH","39083",38645,438,0,0
"87","Decatur, AL","5488",5488,0,0,0
"88","Decatur, IL","765",765,0,0,0
"89","Deltona-Daytona Beach-Ormond Beach,*  FL","126596",75452,0,0,51144
"90","Denver-Aurora,* CO","342430",328508,1148,616,12158
"91","Des Moines, IA","72210",69558,0,0,2652
"92","Detroit-Warren-Livonia,* MI","278089",260178,2443,3168,12300
"93","Dothan, AL","2545",2545,0,0,0
"94","Dover,* DE","23217",23217,0,0,0
"95","Dubuque, IA","7481",6960,521,0,0
"96","Duluth, MN-WI","15139",14371,418,350,0
"97","Durham,* NC","61471",60879,214,378,0
"98","Eau Claire, WI","16627",16067,330,0,230
"99","El Centro,* CA","19531",19358,0,0,173
"100","El Paso, TX","31501",26092,0,5409,0
"101","Elizabethtown, KY","8377",8237,140,0,0
"102","Elkhart-Goshen, IN","18228",17703,0,400,125
"103","Elmira, NY","1191",774,0,0,417
"104","Erie, PA","6462",5048,1206,0,208
"105","Eugene-Springfield,* OR","23230",19420,364,342,3104
"106","Evansville, IN-KY","16639",16112,337,190,0
"107","Fairbanks,* AK","5475",3827,810,838,0
"108","Fargo, ND-MN","39606",25994,0,0,13612
"109","Farmington,* NM","5959",5818,141,0,0
"110","Fayetteville, NC","23887",23515,0,0,372
"111","Fayetteville-Springdale-Rogers,  AR-MO","54076",38034,374,510,15158
"112","Flagstaff, AZ","12143",12143,0,0,0
"113","Flint,* MI","32091",32091,0,0,0
"114","Florence, SC","2306",2306,0,0,0
"115","Fond du Lac, WI","2817",2397,420,0,0
"116","Fort Collins-Loveland,* CO","47187",41822,1262,2036,2067
"117","Fort Smith, AR-OK","8344",7589,755,0,0
"118","Fort Walton Beach-Crestview-Destin,*  FL","32552",23931,0,0,8621
"119","Fort Wayne, IN","31452",25280,0,0,6172
"120","Fresno,* CA","81689",66591,422,0,14676
"121","Gadsden, AL","932",932,0,0,0
"122","Gainesville, FL","16833",13909,0,161,2763
"123","Gainesville, GA","26179",25411,228,540,0
"124","Glens Falls, NY","11357",11253,0,104,0
"125","Goldsboro,* NC","5341",5341,0,0,0
"126","Grand Forks, ND-MN","4027",1781,0,188,2058
"127","Grand Junction,* CO","23992",17642,777,0,5573
"128","Grand Rapids-Wyoming, MI","57970",56634,892,189,255
"129","Great Falls, MT","1459",1459,0,0,0
"130","Greeley,* CO","72019",69599,0,1044,1376
"131","Green Bay, WI","25351",23389,947,0,1015
"132","Greensboro-High Point,* NC","74700",53735,90,152,20723
"133","Greenville, NC","17583",14049,1334,0,2200
"134","Greenville,* SC","41142",40666,319,0,157
"135","Gulfport-Biloxi, MS","13789",12577,820,392,0
"136","Hagerstown-Martinsburg, MD-WV","39022",38633,59,180,150
"137","Hanford-Corcoran, CA","8805",7990,200,246,369
"138","Harrisburg-Carlisle, PA","23507",22887,257,233,130
"139","Harrisonburg,* VA","8025",8025,0,0,0
"140","Hartford-West Hartford-East Hartford,*  CT","47759",43491,375,0,3893
"141","Hattiesburg, MS","753",753,0,0,0
"142","Hickory-Lenoir-Morganton, NC","28287",25728,272,678,1609
"143","Hinesville-Fort Stewart,* GA","3323",3212,111,0,0
"144","Holland-Grand Haven,* MI","28574",23717,909,2249,1699
"145","Honolulu,* HI","37275",22275,0,0,15000
"146","Hot Springs, AR","1421",1421,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","9301",9301,0,0,0
"148","Houston-Baytown-Sugar Land, TX","579861",486526,579,1015,91741
"149","Huntington-Ashland, WV-KY-OH","697",697,0,0,0
"150","Huntsville, AL","9463",8635,0,0,828
"151","Idaho Falls, ID","10794",9922,164,708,0
"152","Indianapolis,* IN","192792",177747,4055,827,10163
"153","Iowa City, IA","13328",13067,0,261,0
"154","Ithaca, NY","3190",2747,0,0,443
"155","Jackson, MI","3616",3616,0,0,0
"156","Jackson, MS","40531",39000,0,241,1290
"157","Jackson, TN","8580",8075,0,505,0
"158","Jacksonville,* FL","199112",180659,400,0,18053
"159","Jacksonville, NC","10713",10713,0,0,0
"160","Janesville, WI","6554",5519,635,225,175
"161","Jefferson City, MO","3578",3578,0,0,0
"162","Johnson City, TN","18370",14008,0,270,4092
"163","Johnstown, PA","226",226,0,0,0
"164","Jonesboro, AR","8535",8535,0,0,0
"165","Joplin, MO","1580",1580,0,0,0
"166","Kalamazoo-Portage, MI","18784",16967,535,882,400
"167","Kankakee-Bradley,* IL","9423",8772,183,168,300
"168","Kansas City,* MO-KS","176832",168508,2256,5418,650
"169","Kennewick-Richland-Pasco, WA","33718",32337,177,0,1204
"170","Killeen-Temple-Fort Hood, TX","36285",23431,679,975,11200
"171","Kingsport-Bristol-Bristol, TN-VA","10627",10234,0,0,393
"172","Kingston, NY","6155",6000,155,0,0
"173","Knoxville, TN","52401",51472,0,0,929
"174","Kokomo, IN","4616",4316,300,0,0
"175","La Crosse, WI-MN","9054",8655,399,0,0
"176","Lafayette, IN","17802",17512,250,0,40
"177","Lafayette, LA","14978",14978,0,0,0
"178","Lake Charles, LA","9751",8438,81,154,1078
"179","Lakeland,* FL","62707",62585,122,0,0
"180","Lancaster, PA","28356",25533,0,282,2541
"181","Lansing-East Lansing, MI","27103",25212,552,0,1339
"182","Laredo,* TX","13385",12963,0,122,300
"183","Las Cruces,* NM","20383",20133,250,0,0
"184","Las Vegas-Paradise,* NV","594600",521764,630,19142,53064
"185","Lawrence, KS","6342",5557,785,0,0
"186","Lawton, OK","1583",1583,0,0,0
"187","Lebanon, PA","7551",7551,0,0,0
"188","Lewiston, ID-WA","369",369,0,0,0
"189","Lewiston-Auburn, ME","7285",7285,0,0,0
"190","Lexington-Fayette, KY","61760",54735,0,1603,5422
"191","Lima, OH","3049",2749,0,300,0
"192","Lincoln, NE","30428",24553,275,0,5600
"193","Little Rock-North Little Rock, AR","65740",48339,0,0,17401
"194","Logan, UT-ID","13299",11524,315,1460,0
"195","Longview, TX","2059",2059,0,0,0
"196","Longview, WA","5588",5588,0,0,0
"197","Los Angeles-Long Beach-Santa Ana,*  CA","437040",359244,4813,4234,68749
"198","Louisville, KY-IN","118150",103156,0,920,14074
"199","Lubbock, TX","33066",20320,3975,0,8771
"200","Lynchburg, VA","17341",17341,0,0,0
"201","Macon, GA","10835",10835,0,0,0
"202","Madera,* CA","22683",22683,0,0,0
"203","Madison,* WI","66733",56418,3956,2520,3839
"204","Manchester-Nashua, NH","50055",21105,2308,1275,25367
"205","Mansfield,* OH","6609",5502,0,1107,0
"206","McAllen-Edinburg-Pharr,* TX","40308",35440,890,1045,2933
"207","Medford,* OR","32482",30347,701,1118,316
"208","Memphis, TN-MS-AR","106767",104422,0,0,2345
"209","Merced, CA","35778",35778,0,0,0
"210","Miami-Fort Lauderdale-Miami Beach,  FL","508678",402286,3334,7483,95575
"211","Michigan City-La Porte, IN","3951",3951,0,0,0
"212","Midland,* TX","2910",2910,0,0,0
"213","Milwaukee-Waukesha-West Allis,* WI","90412",77596,3110,3763,5943
"214","Minneapolis-St. Paul-Bloomington,*  MN-WI","402347",349739,3269,8691,40648
"215","Missoula,* MT","1822",1706,116,0,0
"216","Mobile, AL","21847",21694,0,0,153
"217","Modesto, CA","54381",54381,0,0,0
"218","Monroe, LA","6607",5860,747,0,0
"219","Monroe,* MI","16104",15698,226,0,180
"220","Montgomery, AL","20234",20234,0,0,0
"221","Morgantown, WV","318",318,0,0,0
"222","Morristown, TN","5908",5908,0,0,0
"223","Mount Vernon-Anacortes, WA","11595",10084,404,420,687
"224","Muncie, IN","9275",4044,106,0,5125
"225","Muskegon-Norton Shores,* MI","10486",9766,720,0,0
"226","Myrtle Beach-Conway-North Myrtle Beach,  SC","68295",55515,775,424,11581
"227","Napa,* CA","20091",19864,227,0,0
"228","Naples-Marco Island,* FL","138711",97503,2866,13315,25027
"229","Nashville-Davidson--Murfreesboro,*  TN","181758",178635,2429,146,548
"230","New Haven-Milford,* CT","23003",22838,0,0,165
"231","New Orleans-Metairie-Kenner,* LA","73544",70826,2159,159,400
"232","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","584403",322673,80458,38704,142568
"233","Niles-Benton Harbor, MI","2032",2032,0,0,0
"234","Norwich-New London,* CT","14397",13810,0,77,510
"235","Ocala,* FL","44832",44357,325,150,0
"236","Ocean City,* NJ","26078",14683,2643,3722,5030
"237","Odessa,* TX","3054",3054,0,0,0
"238","Ogden-Clearfield, UT","66749",63970,848,1534,397
"239","Oklahoma City,* OK","104436",102201,1651,0,584
"240","Olympia,* WA","40275",35524,702,0,4049
"241","Omaha-Council Bluffs,* NE-IA","68298",65507,913,0,1878
"242","Orlando,* FL","456036",434623,382,1026,20005
"243","Oshkosh-Neenah, WI","13603",10023,0,0,3580
"244","Owensboro, KY","3466",3310,156,0,0
"245","Oxnard-Thousand Oaks-Ventura,* CA","45672",36218,274,0,9180
"246","Palm Bay-Melbourne-Titusville,* FL","131537",89819,615,967,40136
"247","Panama City-Lynn Haven,* FL","15564",15442,122,0,0
"248","Parkersburg-Marietta, WV-OH","1835",1835,0,0,0
"249","Pascagoula,* MS","7575",7575,0,0,0
"250","Pensacola-Ferry Pass-Brent, FL","44803",43559,878,0,366
