"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3247",3247,0,0,0
"2","Akron, OH","21863",20774,0,0,1089
"3","Albany, GA","6559",5332,138,0,1089
"4","Albany-Schenectady-Troy, NY","14772",14192,0,0,580
"5","Albuquerque,* NM","60173",56802,1128,394,1849
"6","Alexandria, LA","3659",3659,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","34478",33618,100,292,468
"8","Altoona, PA","298",298,0,0,0
"9","Amarillo, TX","13002",13002,0,0,0
"10","Ames, IA","1888",1262,0,0,626
"11","Anchorage,* AK","10127",7219,1638,1270,0
"12","Anderson, IN","4317",4317,0,0,0
"13","Anderson, SC","12516",12276,240,0,0
"14","Ann Arbor, MI","18284",17982,0,0,302
"15","Anniston-Oxford, AL","4108",4108,0,0,0
"16","Appleton, WI","8533",7856,677,0,0
"17","Asheville, NC","50018",45503,90,0,4425
"18","Athens-Clarke County, GA","17268",17268,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","646225",616891,1538,1062,26734
"20","Atlantic City,* NJ","12761",12749,0,0,12
"21","Auburn-Opelika,* AL","15163",15042,121,0,0
"22","Augusta-Richmond County, GA-SC","32745",31602,0,0,1143
"23","Austin-Round Rock,* TX","125997",121478,2335,139,2045
"24","Bakersfield, CA","66241",65700,373,168,0
"25","Baltimore-Towson,* MD","74811",71863,0,748,2200
"26","Bangor, ME","2108",1813,0,295,0
"27","Barnstable Town, MA","14952",14289,0,663,0
"28","Baton Rouge, LA","39884",36794,0,0,3090
"29","Battle Creek, MI","989",989,0,0,0
"30","Bay City, MI","126",126,0,0,0
"31","Beaumont-Port Arthur, TX","6196",6196,0,0,0
"32","Bellingham, WA","18839",14925,240,385,3289
"33","Bend,* OR","47373",45782,1299,292,0
"34","Billings, MT","2187",1376,811,0,0
"35","Binghamton, NY","1117",1117,0,0,0
"36","Birmingham-Hoover,* AL","91696",83746,0,0,7950
"37","Bismarck, ND","1567",1216,0,351,0
"38","Blacksburg-Christiansburg-Radford,  VA","264",264,0,0,0
"39","Bloomington, IN","5656",4371,540,0,745
"40","Bloomington-Normal, IL","3342",3342,0,0,0
"41","Boise City-Nampa,* ID","109470",105776,2919,775,0
"42","Boston-Cambridge-Quincy,* MA-NH","171397",105807,6464,3314,55812
"43","Boulder, CO","16922",16632,290,0,0
"44","Bowling Green, KY","12704",8928,0,0,3776
