"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","4086",4086,0,0,0
"2","Akron, OH","41794",40160,136,1038,460
"3","Albany, GA","7148",6529,382,237,0
"4","Albany-Schenectady-Troy, NY","50918",35755,173,780,14210
"5","Albuquerque,* NM","87567",85987,0,335,1245
"6","Alexandria, LA","7123",7123,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","76253",75491,277,0,485
"8","Altoona, PA","201",201,0,0,0
"9","Amarillo, TX","15239",15239,0,0,0
"10","Ames, IA","7050",7050,0,0,0
"11","Anchorage,* AK","37677",23679,7422,949,5627
"12","Anderson, IN","8579",8579,0,0,0
"13","Anderson, SC","25282",18102,180,0,7000
"14","Ann Arbor, MI","11904",11602,0,0,302
"15","Anniston-Oxford, AL","2073",2073,0,0,0
"16","Appleton, WI","18895",18735,160,0,0
"17","Asheville, NC","56040",50890,1211,1565,2374
"18","Athens-Clarke County, GA","18008",16317,0,1691,0
"19","Atlanta-Sandy Springs-Marietta,* GA","796875",760091,4472,334,31978
"20","Atlantic City,* NJ","22167",21796,362,9,0
"21","Auburn-Opelika,* AL","12468",11507,961,0,0
"22","Augusta-Richmond County, GA-SC","42755",42755,0,0,0
"23","Austin-Round Rock,* TX","230169",219344,5251,1377,4197
"24","Bakersfield, CA","91329",83839,1375,5106,1009
"25","Baltimore-Towson,* MD","133620",124188,178,668,8586
"26","Bangor, ME","8192",6235,0,1957,0
"27","Barnstable Town, MA","28710",26115,0,0,2595
"28","Baton Rouge, LA","45351",43989,0,197,1165
"29","Battle Creek, MI","1577",1577,0,0,0
"30","Bay City, MI","700",700,0,0,0
"31","Beaumont-Port Arthur, TX","13742",6390,0,0,7352
"32","Bellingham, WA","34395",22469,0,336,11590
"33","Bend,* OR","100469",85977,987,505,13000
"34","Billings, MT","7864",7864,0,0,0
"35","Binghamton, NY","2323",2323,0,0,0
"36","Birmingham-Hoover,* AL","101154",100850,0,0,304
"37","Bismarck, ND","10573",9797,426,0,350
"38","Bloomington, IN","11042",7988,1619,237,1198
"39","Bloomington-Normal, IL","8023",8023,0,0,0
"40","Boise City-Nampa,* ID","185651",183026,1776,849,0
"41","Boston-Cambridge-Quincy,* MA-NH","263752",157375,9582,3541,93254
"42","Boulder, CO","25361",21117,0,1057,3187
"43","Bowling Green, KY","11844",11844,0,0,0
"44","Bremerton-Silverdale, WA","19090",19090,0,0,0
"45","Bridgeport-Stamford-Norwalk, CT","54711",47507,140,0,7064
"46","Brownsville-Harlingen, TX","21179",20603,374,202,0
"47","Brunswick, GA","18643",16101,176,0,2366
"48","Buffalo-Niagara Falls, NY","26908",26908,0,0,0
"49","Burlington, NC","13235",13235,0,0,0
"50","Burlington-South Burlington, VT","13289",11961,938,390,0
"51","Canton-Massillon, OH","18301",18062,0,0,239
"52","Cape Coral-Fort Myers,* FL","407169",353535,1458,0,52176
"53","Carson City,* NV","3147",2897,0,250,0
"54","Casper,* WY","4602",4602,0,0,0
"55","Cedar Rapids, IA","11377",9923,561,893,0
"56","Champaign-Urbana, IL","17842",17276,256,310,0
"57","Charleston, WV","7422",6480,0,0,942
"58","Charleston-North Charleston,* SC","160557",120166,138,5264,34989
"59","Charlotte-Gastonia-Concord,* NC-SC","261941",241159,357,2153,18272
"60","Charlottesville,* VA","26169",22918,257,232,2762
"61","Chattanooga, TN-GA","31896",30143,268,248,1237
"62","Cheyenne, WY","11328",10539,0,261,528
"63","Chicago-Naperville-Joliet,* IL-IN-WI","848164",749770,8339,24745,65310
"64","Chico, CA","16451",16274,177,0,0
"65","Cincinnati-Middletown,* OH-KY-IN","191776",178148,1221,2604,9803
"66","Clarksville, TN-KY","36030",29588,0,2378,4064
"67","Cleveland, TN","8602",8502,0,100,0
"68","Cleveland-Elyria-Mentor,* OH","126244",117321,2617,1451,4855
"69","Coeur d""Alene, ID","39614",37824,978,279,533
"70","College Station-Bryan, TX","14058",14058,0,0,0
"71","Colorado Springs,* CO","92423",89255,659,653,1856
"72","Columbia, MO","26584",25172,1292,120,0
"73","Columbia,* SC","88115",82549,108,0,5458
"74","Columbus, GA-AL","21656",18717,166,131,2642
"75","Columbus, IN","4155",4155,0,0,0
"76","Columbus,* OH","209787",167342,1572,15898,24975
"77","Corpus Christi, TX","22053",21875,178,0,0
"78","Corvallis, OR","4050",3804,246,0,0
"79","Cumberland, MD-WV","1947",1747,200,0,0
"80","Dallas-Fort Worth-Arlington,* TX","834356",781407,3438,1794,47717
"81","Dalton,* GA","10782",9345,88,295,1054
"82","Danville, IL","0",0,0,0,0
"83","Danville,* VA","3088",2983,0,105,0
"84","Davenport-Moline-Rock Island,  IA-IL","11430",10457,500,0,473
"85","Dayton, OH","49420",45449,1224,0,2747
"86","Decatur, AL","4674",4674,0,0,0
"87","Decatur, IL","1451",845,0,0,606
"88","Deltona-Daytona Beach-Ormond Beach,*  FL","96452",91260,0,0,5192
"89","Denver-Aurora,* CO","399908",378208,4159,1452,16089
"90","Des Moines,* IA","90830",87986,0,0,2844
"91","Detroit-Warren-Livonia,* MI","252257",232806,623,1394,17434
"92","Dothan, AL","4117",4117,0,0,0
"93","Dover,* DE","22102",21145,0,957,0
"94","Dubuque, IA","6949",6768,0,181,0
"95","Duluth, MN-WI","14714",12665,318,239,1492
"96","Durham,* NC","69828",68195,128,0,1505
"97","Eau Claire, WI","12713",10027,2206,0,480
"98","El Centro,* CA","7436",7130,0,0,306
"99","El Paso, TX","35245",35245,0,0,0
"100","Elizabethtown, KY","9121",8861,260,0,0
"101","Elkhart-Goshen, IN","14248",14248,0,0,0
"102","Elmira, NY","541",541,0,0,0
"103","Erie, PA","10210",6774,3074,362,0
"104","Eugene-Springfield,* OR","27221",26250,692,279,0
"105","Evansville, IN-KY","20095",15636,190,450,3819
"106","Fairbanks,* AK","5881",4706,570,605,0
"107","Fargo, ND-MN","29058",20361,175,888,7634
"108","Farmington,* NM","9772",9772,0,0,0
"109","Fayetteville, NC","40616",31061,0,0,9555
"110","Fayetteville-Springdale-Rogers,  AR-MO","59615",51561,2695,695,4664
"111","Flagstaff, AZ","18286",14429,0,0,3857
"112","Flint, MI","22810",22810,0,0,0
"113","Florence, SC","4377",4377,0,0,0
"114","Florence-Muscle Shoals, AL","3463",3376,87,0,0
"115","Fond du Lac, WI","7834",3692,0,0,4142
"116","Fort Collins-Loveland,* CO","45712",41030,647,1694,2341
"117","Fort Smith, AR-OK","6956",6050,756,150,0
"118","Fort Walton Beach-Crestview-Destin,*  FL","42183",29951,0,0,12232
"119","Fort Wayne, IN","44186",41291,0,0,2895
"120","Fresno, CA","94095",86733,917,1099,5346
"121","Gadsden, AL","3002",3002,0,0,0
"122","Gainesville, FL","15789",13498,0,460,1831
"123","Gainesville, GA","21108",21108,0,0,0
"124","Glens Falls, NY","10670",10670,0,0,0
"125","Goldsboro,* NC","5579",5579,0,0,0
