"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","4707",4377,330,0,0
"2","Akron, OH","25842",24177,200,828,637
"3","Albany, GA","6503",6246,147,110,0
"4","Albany-Schenectady-Troy, NY","38142",26623,0,200,11319
"5","Albuquerque,* NM","137943",135909,0,167,1867
"6","Alexandria, LA","10029",10029,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","66607",65732,0,440,435
"8","Altoona, PA","0",0,0,0,0
"9","Amarillo, TX","17358",17358,0,0,0
"10","Ames, IA","5778",4981,0,0,797
"11","Anchorage,* AK","30777",17555,5653,474,7095
"12","Anderson, IN","4411",4411,0,0,0
"13","Anderson, SC","17535",17535,0,0,0
"14","Ann Arbor, MI","9618",7882,155,385,1196
"15","Anniston-Oxford, AL","2177",2177,0,0,0
"16","Appleton, WI","12842",11253,413,1176,0
"17","Asheville, NC","85335",82473,332,1897,633
"18","Athens-Clarke County, GA","23654",20049,0,0,3605
"19","Atlanta-Sandy Springs-Marietta,* GA","980737",852798,1162,5656,121121
"20","Atlantic City,* NJ","20111",18379,513,519,700
"21","Auburn-Opelika,* AL","23856",22858,0,0,998
"22","Augusta-Richmond County, GA-SC","46295",46295,0,0,0
"23","Austin-Round Rock,* TX","352444",293958,8537,2593,47356
"24","Bakersfield, CA","74143",66463,1000,679,6001
"25","Baltimore-Towson,* MD","130674",119018,157,0,11499
"26","Bangor, ME","4293",4293,0,0,0
"27","Barnstable Town, MA","22359",20993,0,0,1366
"28","Baton Rouge, LA","54909",53323,0,297,1289
"29","Battle Creek, MI","1515",1515,0,0,0
"30","Bay City, MI","811",811,0,0,0
"31","Beaumont-Port Arthur, TX","4893",4893,0,0,0
"32","Bellingham, WA","16560",16560,0,0,0
"33","Bend,* OR","77246",75816,1430,0,0
"34","Billings, MT","10227",10227,0,0,0
"35","Binghamton, NY","942",942,0,0,0
"36","Birmingham-Hoover,* AL","125477",118347,0,357,6773
"37","Bismarck, ND","8304",7062,0,0,1242
"38","Bloomington, IN","8577",8577,0,0,0
"39","Bloomington-Normal, IL","7855",7626,0,0,229
"40","Boise City-Nampa,* ID","162693",157898,1115,280,3400
"41","Boston-Cambridge-Quincy,* MA-NH","222202",142780,11098,6414,61910
