"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","5345",5345,0,0,0
"2","Akron, OH","13622",13092,0,0,530
"3","Albany, GA","4068",3604,301,163,0
"4","Albany-Schenectady-Troy, NY","28160",26205,840,200,915
"5","Albuquerque,* NM","56830",53337,0,434,3059
"6","Alexandria, LA","4984",4984,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","45693",43714,0,840,1139
"8","Altoona, PA","981",981,0,0,0
"9","Amarillo, TX","15794",15794,0,0,0
"10","Ames, IA","8312",6312,0,0,2000
"11","Anchorage,* AK","18399",9970,1795,0,6634
"12","Anderson, IN","1147",832,315,0,0
"13","Anderson, SC","19067",15013,607,627,2820
"14","Ann Arbor, MI","4776",4776,0,0,0
"15","Anniston-Oxford, AL","1941",1941,0,0,0
"16","Appleton, WI","9374",9174,0,0,200
"17","Asheville, NC","62658",61270,186,700,502
"18","Athens-Clarke County, GA","11949",11559,0,390,0
"19","Atlanta-Sandy Springs-Marietta,* GA","491514",409062,2955,4743,74754
"20","Atlantic City,* NJ","14418",14418,0,0,0
"21","Auburn-Opelika,* AL","17812",16324,138,0,1350
"22","Augusta-Richmond County, GA-SC","30559",30559,0,0,0
"23","Austin-Round Rock,* TX","509754",188458,1645,20511,299140
"24","Bakersfield, CA","43910",40360,735,2815,0
"25","Baltimore-Towson,* MD","130588",126783,906,721,2178
"26","Bangor, ME","2934",2746,188,0,0
"27","Barnstable Town, MA","20816",20133,0,0,683
"28","Baton Rouge, LA","65208",48680,0,0,16528
"29","Battle Creek, MI","1269",1269,0,0,0
"30","Bay City, MI","408",408,0,0,0
"31","Beaumont-Port Arthur, TX","50817",10082,0,412,40323
"32","Bellingham, WA","17619",15634,0,0,1985
"33","Bend,* OR","40132",39823,57,252,0
"34","Billings, MT","8122",8122,0,0,0
"35","Binghamton, NY","332",332,0,0,0
"36","Birmingham-Hoover,* AL","71935",71935,0,0,0
"37","Bismarck, ND","12191",11791,0,0,400
"38","Bloomington, IN","4738",4738,0,0,0
"39","Bloomington-Normal, IL","4354",4043,0,0,311
"40","Boise City-Nampa,* ID","70455",65914,2076,465,2000
"41","Boston-Cambridge-Quincy,* MA-NH","161966",102381,3431,2485,53669
"42","Boulder, CO","13970",11175,434,1558,803
"43","Bowling Green, KY","7604",6432,180,0,992
"44","Bremerton-Silverdale, WA","15771",15771,0,0,0
"45","Bridgeport-Stamford-Norwalk, CT","139948",67126,565,0,72257
"46","Brownsville-Harlingen, TX","14905",14332,73,500,0
"47","Brunswick, GA","13703",13515,188,0,0
"48","Buffalo-Niagara Falls, NY","30197",22675,0,0,7522
"49","Burlington, NC","17329",17329,0,0,0
"50","Burlington-South Burlington, VT","7179",6679,500,0,0
"51","Canton-Massillon, OH","9474",9236,0,0,238
"52","Cape Coral-Fort Myers,* FL","57112",54659,320,529,1604
"53","Carson City,* NV","753",753,0,0,0
"54","Casper, WY","4721",4721,0,0,0
"55","Cedar Rapids, IA","14958",8343,635,849,5131
"56","Champaign-Urbana, IL","39147",9238,0,0,29909
"57","Charleston, WV","7811",7811,0,0,0
"58","Charleston-North Charleston,* SC","101843",101843,0,0,0
"59","Charlotte-Gastonia-Concord,* NC-SC","272448",219326,200,1130,51792
"60","Charlottesville, VA","26167",26167,0,0,0
"61","Chattanooga, TN-GA","24412",22854,93,0,1465
"62","Cheyenne, WY","5110",5110,0,0,0
"63","Chicago-Naperville-Joliet,* IL-IN-WI","471583",384640,4701,11662,70580
"64","Chico, CA","8312",7992,0,320,0
"65","Cincinnati-Middletown,* OH-KY-IN","103956",93878,4557,602,4919
"66","Clarksville, TN-KY","18032",16268,0,0,1764
"67","Cleveland, TN","11543",6823,240,0,4480
"68","Cleveland-Elyria-Mentor,* OH","63667",59990,692,1461,1524
"69","Coeur dAlene, ID","26426",19170,1499,355,5402
"70","College Station-Bryan, TX","9339",7617,181,267,1274
"71","Colorado Springs,* CO","46719",41292,0,0,5427
"72","Columbia, MO","12271",8701,2000,0,1570
"73","Columbia,* SC","59828",56675,0,613,2540
"74","Columbus, GA-AL","14127",12139,0,136,1852
"75","Columbus, IN","7389",7389,0,0,0
"76","Columbus,* OH","114645",97740,1195,8053,7657
"77","Corpus Christi, TX","17103",13588,224,448,2843
"78","Corvallis, OR","4480",1859,379,2242,0
"79","Cumberland, MD-WV","1447",1447,0,0,0
"80","Dallas-Fort Worth-Arlington,* TX","585221",527798,3658,6226,47539
"81","Dalton, GA","6049",5568,0,172,309
"82","Danville, IL","0",0,0,0,0
"83","Danville, VA","1615",1615,0,0,0
"84","Davenport-Moline-Rock Island,  IA-IL","9706",9706,0,0,0
"85","Dayton, OH","25415",25415,0,0,0
"86","Decatur, AL","2875",2875,0,0,0
"87","Decatur, IL","828",828,0,0,0
"88","Deltona-Daytona Beach-Ormond Beach,*  FL","78360",26859,1723,0,49778
"89","Denver-Aurora,* CO","204403",189496,0,300,14607
"90","Des Moines-West Des Moines,* IA","76222",71078,300,0,4844
"91","Detroit-Warren-Livonia,* MI","82247",81458,225,239,325
"92","Dothan, AL","3427",3427,0,0,0
"93","Dover,* DE","17312",15992,0,0,1320
"94","Dubuque, IA","4174",4043,131,0,0
"95","Duluth, MN-WI","7979",7108,189,0,682
"96","Durham,* NC","56761",53947,0,0,2814
"97","Eau Claire, WI","7951",7451,0,500,0
"98","El Centro, CA","8865",8865,0,0,0
"99","El Paso, TX","46825",46825,0,0,0
"100","Elizabethtown, KY","10398",4979,140,300,4979
"101","Elkhart-Goshen, IN","14064",13834,230,0,0
"102","Elmira, NY","608",608,0,0,0
"103","Erie, PA","5667",5667,0,0,0
"104","Eugene-Springfield, OR","24147",15669,390,1687,6401
"105","Evansville, IN-KY","11296",10879,0,0,417
"106","Fairbanks,* AK","3992",3509,483,0,0
"107","Fargo, ND-MN","23261",18702,0,307,4252
"108","Farmington,* NM","6186",6186,0,0,0
"109","Fayetteville, NC","22405",20430,0,0,1975
"110","Fayetteville-Springdale-Rogers,  AR-MO","37496",32066,3196,173,2061
"111","Flagstaff, AZ","9449",9449,0,0,0
"112","Flint, MI","1909",1909,0,0,0
"113","Florence, SC","6920",6920,0,0,0
"114","Florence-Muscle Shoals, AL","2769",2769,0,0,0
"115","Fond du Lac, WI","1550",1550,0,0,0
"116","Fort Collins-Loveland,* CO","25249",23582,0,477,1190
"117","Fort Smith, AR-OK","5910",5267,313,330,0
"118","Fort Walton Beach-Crestview-Destin,  FL","9896",9627,0,269,0
"119","Fort Wayne,* IN","19831",19831,0,0,0
"120","Fresno, CA","65178",49564,1110,11361,3143
"121","Gadsden, AL","1340",1148,0,192,0
"122","Gainesville, FL","10010",7570,0,0,2440
"123","Gainesville, GA","19699",19699,0,0,0
"124","Glens Falls, NY","6470",6470,0,0,0
"125","Goldsboro, NC","4737",4737,0,0,0
"126","Grand Forks, ND-MN","5809",3809,0,0,2000
"127","Grand Junction,* CO","25572",24663,295,0,614
"128","Grand Rapids-Wyoming,* MI","29664",27873,126,226,1439
"129","Great Falls, MT","1851",1851,0,0,0
"130","Greeley,* CO","40417",40417,0,0,0
"131","Green Bay, WI","19984",12198,0,0,7786
"132","Greensboro-High Point,* NC","60391",59751,0,0,640
"133","Greenville, NC","18108",17461,647,0,0
"134","Greenville,* SC","51678",49162,10,0,2506
"135","Gulfport-Biloxi, MS","21213",19226,187,1800,0
"136","Hagerstown-Martinsburg, MD-WV","36591",36474,117,0,0
"137","Hanford-Corcoran, CA","4127",4127,0,0,0
"138","Harrisburg-Carlisle, PA","15357",15357,0,0,0
"139","Harrisonburg,* VA","31967",8078,0,0,23889
"140","Hartford-West Hartford-East Hartford,  CT","39257",34390,342,150,4375
"141","Hattiesburg, MS","415",415,0,0,0
"142","Hickory-Lenoir-Morganton, NC","24057",23887,170,0,0
"143","Hinesville-Fort Stewart, GA","1460",1460,0,0,0
"144","Holland-Grand Haven, MI","19526",18422,0,0,1104
"145","Honolulu,* HI","33685",28512,0,0,5173
"146","Hot Springs, AR","875",875,0,0,0
"147","Houma-Bayou Cane-Thibodaux, LA","10315",10315,0,0,0
"148","Houston-Sugar Land-Baytown,* TX","716042",609247,6941,652,99202
"149","Huntington-Ashland, WV-KY-OH","973",698,0,0,275
"150","Huntsville, AL","29053",29053,0,0,0
"151","Idaho Falls, ID","41837",20833,0,414,20590
"152","Indianapolis-Carmel,* IN","132150",121746,1827,1041,7536
"153","Iowa City, IA","17860",5196,738,0,11926
"154","Ithaca, NY","1627",877,250,0,500
"155","Jackson, MI","4221",1415,0,0,2806
"156","Jackson, MS","31037",30529,0,0,508
"157","Jackson, TN","6276",6276,0,0,0
"158","Jacksonville,* FL","151218",127451,240,413,23114
"159","Jacksonville, NC","12553",12320,233,0,0
"160","Janesville, WI","7056",6846,210,0,0
"161","Jefferson City, MO","2160",2160,0,0,0
"162","Johnson City, TN","10571",10571,0,0,0
"163","Johnstown, PA","108",108,0,0,0
"164","Jonesboro, AR","4479",4479,0,0,0
"165","Joplin, MO","2010",1524,0,0,486
"166","Kalamazoo-Portage, MI","7958",7958,0,0,0
"167","Kankakee-Bradley, IL","1838",1838,0,0,0
"168","Kansas City,* MO-KS","117501",103067,523,5022,8889
"169","Kennewick-Richland-Pasco, WA","21081",21081,0,0,0
"170","Killeen-Temple-Fort Hood, TX","25929",21950,3979,0,0
"171","Kingsport-Bristol-Bristol, TN-VA","6324",5480,138,0,706
"172","Kingston, NY","5664",5189,300,175,0
"173","Knoxville, TN","56143",38761,128,0,17254
"174","Kokomo, IN","1740",1740,0,0,0
"175","La Crosse, WI-MN","9182",9182,0,0,0
"176","Lafayette, IN","7316",7316,0,0,0
"177","Lafayette, LA","17652",16357,171,0,1124
"178","Lake Charles, LA","6141",5875,0,0,266
"179","Lake Havasu City-Kingman, AZ","19903",18561,908,434,0
"180","Lakeland,* FL","48898",48763,135,0,0
"181","Lancaster, PA","17314",14514,0,0,2800
"182","Lansing-East Lansing, MI","15672",6757,0,0,8915
"183","Laredo,* TX","13921",12606,0,546,769
"184","Las Cruces,* NM","22664",22328,336,0,0
"185","Las Vegas-Paradise,* NV","182297",176386,0,1864,4047
"186","Lawrence, KS","4767",4767,0,0,0
"187","Lawton, OK","1809",1809,0,0,0
"188","Lebanon, PA","4584",4584,0,0,0
"189","Lewiston, ID-WA","350",350,0,0,0
"190","Lewiston-Auburn, ME","2443",2443,0,0,0
"191","Lexington-Fayette, KY","28402",27096,0,1306,0
"192","Lima, OH","0",0,0,0,0
"193","Lincoln, NE","13606",12968,190,0,448
"194","Little Rock-North Little Rock, AR","47666",44666,0,3000,0
"195","Logan, UT-ID","10284",8876,0,991,417
"196","Longview, TX","4682",4682,0,0,0
"197","Longview, WA","6264",6264,0,0,0
"198","Los Angeles-Long Beach-Santa Ana,*  CA","290224",224296,9354,6818,49756
"199","Louisville-Jefferson County,* KY-IN","89519",63492,0,760,25267
"200","Lubbock, TX","11510",11510,0,0,0
"201","Lynchburg, VA","26734",19938,0,0,6796
"202","Macon, GA","7978",7978,0,0,0
"203","Madera, CA","9815",9815,0,0,0
"204","Madison,* WI","42809",28682,1679,1148,11300
"205","Manchester-Nashua, NH","18202",16078,1434,0,690
"206","Mansfield, OH","2049",2049,0,0,0
"207","McAllen-Edinburg-Mission,* TX","67900",59338,140,4966,3456
"208","Medford, OR","20739",19402,489,350,498
"209","Memphis,* TN-MS-AR","91395",83395,0,0,8000
"210","Merced, CA","13038",12913,125,0,0
"211","Miami-Fort Lauderdale-Miami Beach,*  FL","252558",152884,4075,2620,92979
"212","Michigan City-La Porte, IN","3463",3463,0,0,0
"213","Midland,* TX","4452",4452,0,0,0
"214","Milwaukee-Waukesha-West Allis,* WI","52738",48241,2230,1575,692
"215","Minneapolis-St. Paul-Bloomington,*  MN-WI","199009",156670,710,2309,39320
"216","Missoula,* MT","8202",8073,129,0,0
"217","Mobile, AL","24827",24671,0,0,156
"218","Modesto, CA","19028",18125,903,0,0
"219","Monroe, LA","4808",4374,51,0,383
"220","Monroe, MI","5327",4904,0,0,423
"221","Montgomery, AL","27981",17481,0,0,10500
"222","Morgantown, WV","190",190,0,0,0
"223","Morristown, TN","12237",12237,0,0,0
"224","Mount Vernon-Anacortes, WA","9394",9022,372,0,0
"225","Muncie, IN","2466",1820,646,0,0
"226","Muskegon-Norton Shores, MI","2599",2429,170,0,0
"227","Myrtle Beach-Conway-North Myrtle Beach,  SC","58025",41350,0,0,16675
"228","Napa, CA","1096",1096,0,0,0
"229","Naples-Marco Island,* FL","35615",33699,0,1916,0
"230","Nashville-Davidson--Murfreesboro,*  TN","214160",212863,447,0,850
"231","New Haven-Milford, CT","15239",12466,270,0,2503
"232","New Orleans-Metairie-Kenner,* LA","92804",62886,1479,551,27888
"233","New York-Northern New Jersey-Long Island,*  NY-NJ-PA","650561",269577,40666,42902,297416
"234","Niles-Benton Harbor, MI","2842",2842,0,0,0
"235","Norwich-New London, CT","11534",11534,0,0,0
"236","Ocala,* FL","34810",33060,1750,0,0
"237","Ocean City,* NJ","13768",13158,1,609,0
"238","Odessa,* TX","5615",5615,0,0,0
"239","Ogden-Clearfield, UT","45169",36956,0,4356,3857
"240","Oklahoma City,* OK","87738",84988,290,1672,788
"241","Olympia, WA","38453",36442,0,976,1035
"242","Omaha-Council Bluffs,* NE-IA","56708",56432,0,0,276
"243","Orlando-Kissimmee,* FL","273595",220006,2416,412,50761
"244","Oshkosh-Neenah, WI","8122",6851,210,1061,0
"245","Owensboro, KY","6834",2859,350,0,3625
"246","Oxnard-Thousand Oaks-Ventura, CA","17640",16142,0,0,1498
"247","Palm Bay-Melbourne-Titusville,* FL","47224",35532,125,1517,10050
"248","Palm Coast, FL","13808",13808,0,0,0
"249","Panama City-Lynn Haven, FL","7668",7066,302,300,0
"250","Parkersburg-Marietta-Vienna, WV-OH","1795",1795,0,0,0
"251","Pascagoula, MS","9693",6399,0,225,3069
"252","Pensacola-Ferry Pass-Brent,* FL","30063",29701,362,0,0
"253","Peoria, IL","13180",13180,0,0,0
"254","Philadelphia-Camden-Wilmington,*  PA-NJ-DE-MD","161222",150993,1333,1788,7108
"255","Phoenix-Mesa-Scottsdale,* AZ","456485",407161,271,15544,33509
"256","Pine Bluff, AR","209",209,0,0,0
"257","Pittsburgh,* PA","71618",69860,933,435,390
"258","Pittsfield, MA","4028",528,0,0,3500
"259","Pocatello, ID","5926",5926,0,0,0
"260","Port St. Lucie,* FL","41382",38861,173,803,1545
"261","Portland-South Portland-Biddeford,  ME","42607",39064,1115,663,1765
"262","Portland-Vancouver-Beaverton,* OR-WA","194186",180346,3503,1657,8680
"263","Poughkeepsie-Newburgh-Middletown,  NY","21041",18025,0,403,2613
"264","Prescott, AZ","30961",30498,463,0,0
"265","Providence-New Bedford-Fall River,  RI-MA","36739",35470,263,701,305
"266","Provo-Orem, UT","107695",99309,292,2213,5881
"267","Pueblo,* CO","10086",10086,0,0,0
"268","Punta Gorda,* FL","16736",14548,1088,0,1100
"269","Racine, WI","7475",6975,0,0,500
"270","Raleigh-Cary,* NC","224917",194781,776,290,29070
"271","Rapid City, SD","8699",8280,0,0,419
"272","Reading, PA","10876",10384,492,0,0
"273","Redding, CA","13503",13503,0,0,0
"274","Reno-Sparks,* NV","40875",38094,128,409,2244
"275","Richmond,* VA","98686",97244,0,1442,0
"276","Riverside-San Bernardino-Ontario,*  CA","291609",270124,1453,1273,18759
"277","Roanoke, VA","20604",20104,0,0,500
"278","Rochester, MN","16747",16747,0,0,0
"279","Rochester, NY","23710",23268,0,442,0
"280","Rockford, IL","18415",16820,1595,0,0
"281","Rocky Mount, NC","6112",5530,582,0,0
"282","Rome, GA","3195",3195,0,0,0
"283","Sacramento--Arden-Arcade--Roseville,*  CA","121989",118232,3757,0,0
"284","Saginaw-Saginaw Township North, MI","2301",2301,0,0,0
"285","Salem, OR","23412",22675,0,257,480
"286","Salinas, CA","23725",23725,0,0,0
"287","Salisbury, MD","2363",2363,0,0,0
"288","Salt Lake City,* UT","117327",83051,418,1388,32470
"289","San Angelo,* TX","2011",2011,0,0,0
"290","San Antonio,* TX","213219",189906,312,778,22223
"291","San Diego-Carlsbad-San Marcos,* CA","147639",82924,990,1064,62661
"292","San Francisco-Oakland-Fremont,* CA","229443",127623,1606,7300,92914
"293","San Jose-Sunnyvale-Santa Clara,* CA","79946",53105,411,0,26430
"294","San Luis Obispo-Paso Robles, CA","15016",13147,1869,0,0
"295","Sandusky, OH","0",0,0,0,0
"296","Santa Barbara-Santa Maria, CA","10715",10555,160,0,0
"297","Santa Cruz-Watsonville, CA","3710",3710,0,0,0
"298","Santa Fe,* NM","3338",3338,0,0,0
"299","Santa Rosa-Petaluma, CA","25256",17277,252,3842,3885
"300","Sarasota-Bradenton-Venice,* FL","63279",58305,435,0,4539
"301","Savannah, GA","35764",35764,0,0,0
"302","Scranton--Wilkes-Barre, PA","4557",4557,0,0,0
"303","Seattle-Tacoma-Bellevue,* WA","341144",239169,12945,16507,72523
"304","Sebastian-Vero Beach,* FL","25089",24889,0,0,200
"305","Sheboygan, WI","1635",1603,32,0,0
"306","Sherman-Denison, TX","417",417,0,0,0
"307","Shreveport-Bossier City, LA","19104",19104,0,0,0
"308","Sioux City, IA-NE-SD","2665",2665,0,0,0
"309","Sioux Falls, SD","16817",13858,900,1330,729
"310","South Bend-Mishawaka, IN-MI","11023",9993,0,250,780
"311","Spartanburg, SC","15249",15249,0,0,0
"312","Spokane, WA","29260",22520,0,0,6740
"313","Springfield, IL","4775",3508,582,361,324
"314","Springfield, MA","9375",9375,0,0,0
"315","Springfield, MO","32675",27367,1246,378,3684
"316","Springfield, OH","1857",1857,0,0,0
"317","St. Cloud, MN","11146",10705,0,0,441
"318","St. George, UT","32026",32026,0,0,0
