"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","4013",3360,653,0,0
"2","Akron, OH","13810",13315,0,0,495
"3","Albany, GA","3025",2712,150,163,0
"4","Albany-Schenectady-Troy, NY","23453",23453,0,0,0
"5","Albuquerque,* NM","47810",43582,0,1135,3093
"6","Alexandria, LA","5693",5693,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","37548",35602,370,0,1576
"8","Altoona, PA","627",627,0,0,0
"9","Amarillo, TX","14215",14215,0,0,0
"10","Ames, IA","6874",5413,0,0,1461
"11","Anchorage,* AK","14202",12034,1299,0,869
"12","Anderson, IN","833",833,0,0,0
"13","Anderson, SC","11974",11974,0,0,0
"14","Ann Arbor, MI","4626",4169,155,0,302
"15","Anniston-Oxford, AL","1699",1699,0,0,0
"16","Appleton, WI","13143",12783,360,0,0
"17","Asheville, NC","43118",42186,186,244,502
"18","Athens-Clarke County, GA","11280",11280,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","370317",304735,0,2339,63243
"20","Atlantic City,* NJ","9734",8998,0,0,736
"21","Auburn-Opelika,* AL","17298",13465,0,0,3833
"22","Augusta-Richmond County, GA-SC","28503",28443,60,0,0
"23","Austin-Round Rock,* TX","206305",168884,2503,1305,33613
"24","Bakersfield, CA","38300",35208,924,1921,247
"25","Baltimore-Towson,* MD","66497",64793,0,0,1704
"26","Bangor, ME","5036",4786,0,250,0
"27","Barnstable Town, MA","26643",25520,440,0,683
"28","Baton Rouge, LA","35164",35164,0,0,0
"29","Battle Creek, MI","1196",1196,0,0,0
"30","Bay City, MI","320",320,0,0,0
"31","Beaumont-Port Arthur, TX","6096",5302,0,0,794
"32","Bellingham, WA","5937",4852,0,0,1085
"33","Bend,* OR","30555",30219,0,336,0
"34","Billings, MT","8109",8109,0,0,0
"35","Binghamton, NY","1241",1241,0,0,0
"36","Birmingham-Hoover,* AL","55241",47588,0,0,7653
"37","Bismarck, ND","15945",14783,0,1162,0
"38","Bloomington, IN","4608",4211,397,0,0
"39","Bloomington-Normal, IL","6541",3659,0,0,2882
"40","Boise City-Nampa,* ID","51278",50155,790,333,0
"41","Boston-Cambridge-Quincy,* MA-NH","144117",119615,2198,3514,18790
"42","Boulder, CO","9429",7985,0,0,1444
"43","Bowling Green, KY","9389",7708,1269,412,0
"44","Bremerton-Silverdale, WA","27043",20519,560,0,5964
"45","Bridgeport-Stamford-Norwalk, CT","51678",50285,275,0,1118
"46","Brownsville-Harlingen, TX","12353",11388,724,241,0
"47","Brunswick, GA","10253",10253,0,0,0
"48","Buffalo-Niagara Falls, NY","33686",27851,175,860,4800
"49","Burlington, NC","7598",7598,0,0,0
"50","Burlington-South Burlington, VT","8244",7692,0,552,0
"51","Canton-Massillon, OH","8198",8198,0,0,0
"52","Cape Coral-Fort Myers,* FL","130837",39072,126,0,91639
"53","Carson City,* NV","0",0,0,0,0
"54","Casper, WY","6856",6856,0,0,0
"55","Cedar Rapids, IA","9375",8496,557,322,0
"56","Champaign-Urbana, IL","11223",10716,0,0,507
"57","Charleston, WV","2212",2059,153,0,0
"58","Charleston-North Charleston,* SC","76440",71348,0,0,5092
"59","Charlotte-Gastonia-Concord,* NC-SC","222837",177169,0,1955,43713
"60","Charlottesville, VA","25194",25194,0,0,0
"61","Chattanooga, TN-GA","17363",16098,93,0,1172
"62","Cheyenne, WY","3701",3701,0,0,0
"63","Chicago-Naperville-Joliet,* IL-IN-WI","435285",354875,4697,10478,65235
"64","Chico, CA","8306",8306,0,0,0
"65","Cincinnati-Middletown,* OH-KY-IN","81222",72793,1829,1805,4795
"66","Clarksville, TN-KY","8605",6570,925,1110,0
"67","Cleveland, TN","4919",4805,114,0,0
"68","Cleveland-Elyria-Mentor,* OH","55725",52983,610,136,1996
"69","Coeur dAlene, ID","28736",19029,434,267,9006
"70","College Station-Bryan, TX","17784",9353,0,0,8431
"71","Colorado Springs,* CO","40726",36868,1222,2147,489
"72","Columbia, MO","14270",11285,934,350,1701
"73","Columbia,* SC","40991",38666,0,350,1975
"74","Columbus, GA-AL","13573",12125,0,136,1312
"75","Columbus, IN","3430",3430,0,0,0
"76","Columbus,* OH","99555",87491,878,2392,8794
"77","Corpus Christi, TX","12759",10154,112,256,2237
"78","Corvallis, OR","464",464,0,0,0
"79","Cumberland, MD-WV","838",838,0,0,0
"80","Dallas-Fort Worth-Arlington,* TX","480570",399239,2310,296,78725
"81","Dalton, GA","4512",4159,96,0,257
"82","Danville, IL","0",0,0,0,0
"83","Danville, VA","1242",1242,0,0,0
"84","Davenport-Moline-Rock Island,  IA-IL","9443",9443,0,0,0
"85","Dayton, OH","24993",24763,230,0,0
"86","Decatur, AL","3065",3065,0,0,0
"87","Decatur, IL","0",0,0,0,0
"88","Deltona-Daytona Beach-Ormond Beach,*  FL","19092",16916,0,0,2176
"89","Denver-Aurora,* CO","205294",117889,233,1655,85517
"90","Des Moines-West Des Moines,* IA","59546",54694,150,476,4226
"91","Detroit-Warren-Livonia,* MI","73643",70665,0,665,2313
"92","Dothan, AL","2991",2991,0,0,0
"93","Dover,* DE","9683",9683,0,0,0
"94","Dubuque, IA","5452",4941,511,0,0
"95","Duluth, MN-WI","7159",5811,219,292,837
"96","Durham,* NC","34711",34711,0,0,0
"97","Eau Claire, WI","12644",11351,693,600,0
"98","El Centro, CA","11409",10069,163,293,884
"99","El Paso, TX","20838",20308,0,530,0
"100","Elizabethtown, KY","7312",3949,0,0,3363
"101","Elkhart-Goshen, IN","8108",8108,0,0,0
"102","Elmira, NY","208",208,0,0,0
"103","Erie, PA","5122",4681,441,0,0
"104","Eugene-Springfield, OR","13845",13583,262,0,0
"105","Evansville, IN-KY","10599",7037,0,600,2962
"106","Fairbanks,* AK","2542",2300,242,0,0
"107","Fargo, ND-MN","28016",23159,0,0,4857
"108","Farmington,* NM","7230",7230,0,0,0
"109","Fayetteville, NC","20407",20407,0,0,0
"110","Fayetteville-Springdale-Rogers,  AR-MO","31085",23598,1646,173,5668
"111","Flagstaff, AZ","4532",4532,0,0,0
"112","Flint, MI","4079",4079,0,0,0
"113","Florence, SC","5191",5191,0,0,0
"114","Florence-Muscle Shoals, AL","3108",3108,0,0,0
"115","Fond du Lac, WI","939",647,292,0,0
"116","Fort Collins-Loveland,* CO","28176",24987,0,432,2757
"117","Fort Smith, AR-OK","5461",4965,0,0,496
"118","Fort Walton Beach-Crestview-Destin,  FL","8367",6093,0,0,2274
"119","Fort Wayne,* IN","17990",17990,0,0,0
"120","Fresno, CA","32161",25859,0,0,6302
"121","Gadsden, AL","1437",1437,0,0,0
"122","Gainesville, FL","9946",8006,0,0,1940
"123","Gainesville, GA","17889",17889,0,0,0
"124","Glens Falls, NY","7354",6226,381,434,313
"125","Goldsboro, NC","5022",5022,0,0,0
