"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","2858",2858,0,0,0
"2","Akron, OH","14459",14001,0,69,389
"3","Albany, GA","5689",2789,150,0,2750
"4","Albany-Schenectady-Troy, NY","31616",19446,0,400,11770
"5","Albuquerque,* NM","35831",35831,0,0,0
"6","Alexandria, LA","3609",3609,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","31270",29599,127,840,704
"8","Altoona, PA","244",244,0,0,0
"9","Amarillo, TX","7944",7944,0,0,0
"10","Ames, IA","2571",2571,0,0,0
"11","Anchorage,* AK","17491",12390,0,0,5101
"12","Anderson, IN","2435",2435,0,0,0
"13","Anderson, SC","15119",15119,0,0,0
"14","Ann Arbor, MI","4772",4410,0,0,362
"15","Anniston-Oxford, AL","1409",1409,0,0,0
"16","Appleton, WI","9605",9605,0,0,0
"17","Asheville, NC","46853",45674,186,291,702
"18","Athens-Clarke County, GA","6155",5625,0,530,0
"19","Atlanta-Sandy Springs-Marietta,* GA","426293",332808,362,3450,89673
"20","Atlantic City,* NJ","6883",6883,0,0,0
"21","Auburn-Opelika,* AL","15411",15225,186,0,0
"22","Augusta-Richmond County, GA-SC","27685",27685,0,0,0
"23","Austin-Round Rock,* TX","149122",137142,2639,120,9221
"24","Bakersfield, CA","29726",26946,155,2378,247
"25","Baltimore-Towson,* MD","63257",62357,0,0,900
"26","Bangor, ME","4263",3509,754,0,0
"27","Barnstable Town, MA","20197",19350,0,164,683
"28","Baton Rouge, LA","89447",50620,270,0,38557
"29","Battle Creek, MI","747",747,0,0,0
"30","Bay City, MI","335",335,0,0,0
"31","Beaumont-Port Arthur, TX","4846",4846,0,0,0
"32","Bellingham, WA","4395",4395,0,0,0
"33","Bend,* OR","30170",29215,208,747,0
"34","Billings, MT","6771",6771,0,0,0
"35","Binghamton, NY","1123",1123,0,0,0
"36","Birmingham-Hoover,* AL","51955",50652,0,663,640
"37","Bismarck, ND","15101",7988,0,551,6562
"38","Bloomington, IN","4946",4279,408,259,0
"39","Bloomington-Normal, IL","4304",3993,0,0,311
"40","Boise City-Nampa,* ID","50487",47319,587,2581,0
"41","Boston-Cambridge-Quincy,* MA-NH","125948",96893,3224,892,24939
"42","Boulder, CO","7222",5602,0,413,1207
"43","Bowling Green, KY","8348",6200,362,0,1786
