"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3267",3267,0,0,0
"2","Akron, OH","11050",10557,0,69,424
"3","Albany, GA","2931",2628,150,153,0
"4","Albany-Schenectady-Troy, NY","29362",17306,0,0,12056
"5","Albuquerque,* NM","43478",40385,0,563,2530
"6","Alexandria, LA","4028",4028,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","27780",27176,0,0,604
"8","Altoona, PA","307",307,0,0,0
"9","Amarillo, TX","12000",9180,0,0,2820
"10","Ames, IA","3295",2685,0,0,610
"11","Anchorage,* AK","15366",12402,2236,728,0
"12","Anderson, IN","4219",4219,0,0,0
"13","Anderson, SC","18264",13962,349,1089,2864
"14","Ann Arbor, MI","2967",2665,0,0,302
"15","Anniston-Oxford, AL","1867",1867,0,0,0
"16","Appleton, WI","9264",7651,250,0,1363
"17","Asheville, NC","39781",38132,0,578,1071
"18","Athens-Clarke County, GA","11701",10405,276,1020,0
"19","Atlanta-Sandy Springs-Marietta,* GA","306205",283703,1299,3095,18108
"20","Atlantic City-Hammonton,* NJ","7850",7369,219,0,262
"21","Auburn-Opelika,* AL","19691",18487,754,450,0
"22","Augusta-Richmond County, GA-SC","23713",23713,0,0,0
"23","Austin-Round Rock,* TX","193788",183378,2603,0,7807
"24","Bakersfield, CA","26007",22216,1035,2756,0
"25","Baltimore-Towson,* MD","68589",67271,0,0,1318
"26","Bangor, ME","3647",3647,0,0,0
"27","Barnstable Town, MA","13537",12229,0,0,1308
"28","Baton Rouge, LA","65464",33318,182,220,31744
"29","Battle Creek, MI","902",566,0,0,336
"30","Bay City, MI","514",514,0,0,0
"31","Beaumont-Port Arthur, TX","9885",9885,0,0,0
"32","Bellingham, WA","10626",8621,0,862,1143
"33","Bend,* OR","23890",23890,0,0,0
"34","Billings, MT","6447",6447,0,0,0
"35","Binghamton, NY","469",469,0,0,0
"36","Birmingham-Hoover,* AL","74985",54080,543,0,20362
"37","Bismarck, ND","17863",13543,0,1040,3280
"38","Bloomington, IN","5997",4673,197,0,1127
"39","Bloomington-Normal, IL","6232",5986,0,0,246
"40","Boise City-Nampa,* ID","66831",62868,2125,1838,0
"41","Boston-Cambridge-Quincy,* MA-NH","122015",84399,1907,1121,34588
