"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","3654",3654,0,0,0
"2","Akron, OH","17667",17139,0,69,459
"3","Albany, GA","2008",1705,150,153,0
"4","Albany-Schenectady-Troy, NY","26810",15738,0,432,10640
"5","Albuquerque,* NM","30494",27235,0,422,2837
"6","Alexandria, LA","3472",3472,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","24335",24208,127,0,0
"8","Altoona, PA","669",669,0,0,0
"9","Amarillo, TX","0",0,0,0,0
"10","Ames, IA","3187",2501,0,0,686
"11","Anchorage,* AK","8315",4826,1077,591,1821
"12","Anderson, IN","829",829,0,0,0
"13","Anderson, SC","9380",9380,0,0,0
"14","Ann Arbor, MI","2883",2581,0,0,302
"15","Anniston-Oxford, AL","1023",1023,0,0,0
"16","Appleton, WI","8535",8065,470,0,0
"17","Asheville, NC","33071",32493,0,578,0
"18","Athens-Clarke County, GA","6887",4729,0,0,2158
"19","Atlanta-Sandy Springs-Marietta,* GA","224184",151774,397,2796,69217
"20","Atlantic City-Hammonton,* NJ","11903",11641,0,0,262
"21","Auburn-Opelika,* AL","8352",7796,0,0,556
"22","Augusta-Richmond County, GA-SC","17977",17977,0,0,0
"23","Austin-Round Rock,* TX","151163",112415,2227,0,36521
"24","Bakersfield, CA","19519",18307,317,590,305
"25","Baltimore-Towson,* MD","65931",47521,0,0,18410
"26","Bangor, ME","2324",2324,0,0,0
"27","Barnstable Town, MA","12677",12677,0,0,0
"28","Baton Rouge, LA","40091",28346,697,0,11048
"29","Battle Creek, MI","213",213,0,0,0
"30","Bay City, MI","245",245,0,0,0
"31","Beaumont-Port Arthur, TX","18620",6620,0,0,12000
"32","Bellingham, WA","7932",6400,0,493,1039
"33","Bend,* OR","19777",18374,644,0,759
"34","Billings, MT","9758",9758,0,0,0
"35","Binghamton, NY","402",402,0,0,0
"36","Birmingham-Hoover,* AL","40132",37222,0,0,2910
"37","Bismarck, ND","7857",5748,293,1816,0
"38","Bloomington, IN","2170",1128,197,0,845
"39","Bloomington-Normal, IL","2292",1976,0,0,316
"40","Boise City-Nampa,* ID","40970",40820,150,0,0
"41","Boston-Cambridge-Quincy,* MA-NH","98365",79740,1292,2404,14929
"42","Boulder, CO","7177",5580,0,0,1597
"43","Bowling Green, KY","6535",3669,0,2866,0
"44","Bradenton-Sarasota-Venice,* FL","51228",24059,0,0,27169
"45","Bremerton-Silverdale, WA","8274",8274,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","30666",27521,151,1400,1594
"47","Brownsville-Harlingen, TX","7830",6623,149,0,1058
"48","Brunswick, GA","8475",8475,0,0,0
"49","Buffalo-Niagara Falls, NY","16724",16564,0,0,160
"50","Burlington, NC","8106",8106,0,0,0
"51","Burlington-South Burlington, VT","5804",3574,1725,0,505
"52","Canton-Massillon, OH","4422",3982,202,0,238
"53","Cape Coral-Fort Myers,* FL","29986",25090,0,965,3931
"54","Carson City,* NV","496",496,0,0,0
"55","Casper, WY","2661",2661,0,0,0
"56","Cedar Rapids, IA","8550",6572,547,1431,0
"57","Champaign-Urbana, IL","3432",2832,0,0,600
"58","Charleston, WV","11038",4922,0,0,6116
"59","Charleston-North Charleston-Summerville,*  SC","68023",55376,132,1242,11273
"60","Charlotte-Gastonia-Concord,* NC-SC","117608",76091,443,611,40463
"61","Charlottesville, VA","12581",12581,0,0,0
"62","Chattanooga, TN-GA","15484",14112,91,0,1281
"63","Cheyenne, WY","1187",1187,0,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","191331",160686,1075,5981,23589
"65","Chico, CA","5659",5659,0,0,0
"66","Cincinnati-Middletown,* OH-KY-IN","65213",56129,654,1163,7267
"67","Clarksville, TN-KY","12809",11354,0,535,920
"68","Cleveland, TN","2339",1674,0,665,0
"69","Cleveland-Elyria-Mentor,* OH","43564",42874,160,0,530
"70","Coeur dAlene, ID","15798",14906,455,437,0
"71","College Station-Bryan, TX","30175",8405,0,0,21770
"72","Colorado Springs,* CO","36443",36443,0,0,0
"73","Columbia, MO","8386",6810,829,0,747
"74","Columbia,* SC","59065",42745,623,0,15697
"75","Columbus, GA-AL","8727",5338,0,136,3253
"76","Columbus, IN","4005",4005,0,0,0
"77","Columbus,* OH","45174",38968,226,180,5800
"78","Corpus Christi, TX","8803",8803,0,0,0
"79","Corvallis, OR","984",984,0,0,0
"80","Cumberland, MD-WV","1249",949,0,0,300
"81","Dallas-Fort Worth-Arlington,* TX","498617",294273,343,4723,199278
"82","Dalton, GA","2108",1812,0,0,296
"83","Danville, IL","0",0,0,0,0
"84","Danville, VA","869",869,0,0,0
"85","Davenport-Moline-Rock Island,  IA-IL","5508",3952,200,0,1356
"86","Dayton, OH","16086",12720,0,0,3366
"87","Decatur, AL","2141",2141,0,0,0
"88","Decatur, IL","877",877,0,0,0
"89","Deltona-Daytona Beach-Ormond Beach,*  FL","22326",17963,339,0,4024
"90","Denver-Aurora,* CO","127968",90160,479,0,37329
"91","Des Moines-West Des Moines,* IA","30720",30540,180,0,0
