"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","994",994,0,0,0
"2","Akron, OH","5493",5177,0,69,247
"3","Albany, GA","1068",915,0,153,0
"4","Albany-Schenectady-Troy, NY","8380",8380,0,0,0
"5","Albuquerque,* NM","17563",15953,0,0,1610
"6","Alexandria, LA","1085",1085,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","11095",10801,0,0,294
"8","Altoona, PA","0",0,0,0,0
"9","Amarillo, TX","5584",5584,0,0,0
"10","Ames, IA","2187",235,0,0,1952
"11","Anchorage,* AK","3095",1892,1203,0,0
"12","Anderson, IN","661",661,0,0,0
"13","Anderson, SC","2938",2938,0,0,0
"14","Ann Arbor, MI","1697",1395,0,0,302
"15","Anniston-Oxford, AL","155",155,0,0,0
"16","Appleton, WI","3118",3118,0,0,0
"17","Asheville, NC","15760",15760,0,0,0
"18","Athens-Clarke County, GA","1285",945,0,340,0
"19","Atlanta-Sandy Springs-Marietta,* GA","79528",68565,0,0,10963
"20","Atlantic City-Hammonton,* NJ","4984",4808,0,176,0
"21","Auburn-Opelika,* AL","9684",9684,0,0,0
"22","Augusta-Richmond County, GA-SC","11562",10568,0,0,994
"23","Austin-Round Rock,* TX","110150",61471,1347,3623,43709
"24","Bakersfield, CA","8388",7689,159,235,305
"25","Baltimore-Towson,* MD","35953",29980,0,510,5463
"26","Bangor, ME","1242",1002,0,240,0
"27","Barnstable Town, MA","8403",8403,0,0,0
"28","Baton Rouge, LA","16840",16840,0,0,0
"29","Battle Creek, MI","0",0,0,0,0
"30","Bay City, MI","230",230,0,0,0
"31","Beaumont-Port Arthur, TX","4398",4398,0,0,0
"32","Bellingham, WA","2729",2729,0,0,0
"33","Bend,* OR","4457",4457,0,0,0
"34","Billings, MT","1531",1531,0,0,0
"35","Binghamton, NY","0",0,0,0,0
"36","Birmingham-Hoover,* AL","20486",19708,0,0,778
"37","Bismarck, ND","616",616,0,0,0
"38","Bloomington, IN","9663",1773,0,0,7890
"39","Bloomington-Normal, IL","783",607,0,0,176
"40","Boise City-Nampa,* ID","20460",17533,0,2927,0
"41","Boston-Cambridge-Quincy,* MA-NH","102329",54106,9485,2218,36520
"42","Boulder, CO","2506",2130,0,0,376
"43","Bowling Green, KY","2886",1671,775,0,440
"44","Bradenton-Sarasota-Venice,* FL","24787",23183,0,0,1604
"45","Bremerton-Silverdale, WA","3867",3867,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","11501",9415,1001,200,885
"47","Brownsville-Harlingen, TX","5452",5318,134,0,0
"48","Brunswick, GA","4502",4502,0,0,0
"49","Buffalo-Niagara Falls, NY","6124",6124,0,0,0
"50","Burlington, NC","4284",4284,0,0,0
"51","Burlington-South Burlington, VT","4096",1912,0,0,2184
"52","Canton-Massillon, OH","2192",2192,0,0,0
"53","Cape Coral-Fort Myers,* FL","18472",12095,740,1929,3708
"54","Carson City,* NV","333",333,0,0,0
"55","Casper, WY","762",762,0,0,0
"56","Cedar Rapids, IA","2593",1943,0,650,0
"57","Champaign-Urbana, IL","3028",2551,0,0,477
"58","Charleston, WV","1643",1643,0,0,0
"59","Charleston-North Charleston-Summerville,*  SC","38187",27207,0,447,10533
"60","Charlotte-Gastonia-Concord,* NC-SC","87436",47817,64,0,39555
"61","Charlottesville, VA","6374",5717,0,0,657
"62","Chattanooga, TN-GA","8669",7846,91,0,732
"63","Cheyenne, WY","692",692,0,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","177458",60468,1129,1850,114011
"65","Chico, CA","5577",5577,0,0,0
"66","Cincinnati-Middletown,* OH-KY-IN","26234",23849,0,0,2385
"67","Clarksville, TN-KY","7116",6631,0,485,0
"68","Cleveland, TN","1455",1185,0,270,0
"69","Cleveland-Elyria-Mentor,* OH","24064",21064,0,0,3000
"70","Coeur dAlene, ID","7575",5681,467,0,1427
"71","College Station-Bryan, TX","30342",23613,2053,0,4676
"72","Colorado Springs,* CO","20764",20764,0,0,0
"73","Columbia, MO","5887",4457,220,0,1210
"74","Columbia,* SC","21348",18830,0,1050,1468
"75","Columbus, GA-AL","7881",6824,0,0,1057
"76","Columbus, IN","905",905,0,0,0
"77","Columbus,* OH","39793",35796,0,1553,2444
"78","Corpus Christi, TX","4268",4268,0,0,0
"79","Corvallis, OR","2130",2130,0,0,0
"80","Cumberland, MD-WV","520",520,0,0,0
"81","Dallas-Fort Worth-Arlington,* TX","201035",165256,1218,525,34036
"82","Dalton,* GA","1365",1021,97,0,247
"83","Danville, IL","0",0,0,0,0
"84","Danville, VA","792",497,0,0,295
"85","Davenport-Moline-Rock Island,  IA-IL","3652",3065,0,0,587
"86","Dayton, OH","9949",9949,0,0,0
"87","Decatur, AL","1117",1117,0,0,0
"88","Decatur, IL","406",406,0,0,0
"89","Deltona-Daytona Beach-Ormond Beach,*  FL","9304",7786,342,0,1176
"90","Denver-Aurora-Broomfield,* CO","41611",34935,704,0,5972
"91","Des Moines-West Des Moines,* IA","14862",13482,180,0,1200
"92","Detroit-Warren-Livonia,* MI","30579",22117,3948,4514,0
"93","Dothan, AL","1989",1989,0,0,0
"94","Dover,* DE","5766",5766,0,0,0
"95","Dubuque, IA","1028",1028,0,0,0
"96","Duluth, MN-WI","2375",1891,185,299,0
"97","Durham-Chapel Hill,* NC","26818",26708,110,0,0
"98","Eau Claire, WI","1954",1285,275,394,0
"99","El Centro, CA","130",130,0,0,0
"100","El Paso, TX","38218",23136,0,0,15082
"101","Elizabethtown, KY","1481",1146,335,0,0
"102","Elkhart-Goshen, IN","687",687,0,0,0
"103","Elmira, NY","0",0,0,0,0
"104","Erie, PA","1099",1099,0,0,0
"105","Eugene-Springfield, OR","7408",6627,0,0,781
"106","Evansville, IN-KY","3996",2327,0,0,1669
"107","Fairbanks,* AK","331",331,0,0,0
"108","Fargo, ND-MN","6179",1477,0,0,4702
"109","Farmington,* NM","2646",2646,0,0,0
"110","Fayetteville, NC","10118",7782,0,0,2336
"111","Fayetteville-Springdale-Rogers,  AR-MO","11534",10194,465,0,875
"112","Flagstaff, AZ","4994",4994,0,0,0
"113","Flint, MI","260",260,0,0,0
"114","Florence, SC","3755",2855,0,0,900
