"","City_State","Total","1_Units","2_Units","3-4_Units","5-Inf_Units"
"1","Abilene, TX","662",662,0,0,0
"2","Akron, OH","4475",4228,0,0,247
"3","Albany, GA","1058",908,150,0,0
"4","Albany-Schenectady-Troy, NY","14375",13166,0,0,1209
"5","Albuquerque,* NM","17270",14637,0,563,2070
"6","Alexandria, LA","2748",2748,0,0,0
"7","Allentown-Bethlehem-Easton,* PA-NJ","16178",13078,0,0,3100
"8","Altoona, PA","280",280,0,0,0
"9","Amarillo, TX","11198",11198,0,0,0
"10","Ames, IA","5455",1151,0,0,4304
"11","Anchorage,* AK","5264",2484,823,591,1366
"12","Anderson, IN","1105",1105,0,0,0
"13","Anderson, SC","3935",3935,0,0,0
"14","Ann Arbor, MI","2511",2209,0,0,302
"15","Anniston-Oxford, AL","1746",1746,0,0,0
"16","Appleton, WI","3227",3227,0,0,0
"17","Asheville, NC","21401",20305,848,248,0
"18","Athens-Clarke County, GA","1658",1658,0,0,0
"19","Atlanta-Sandy Springs-Marietta,* GA","70571",62134,0,0,8437
"20","Atlantic City-Hammonton,* NJ","3574",3444,0,0,130
"21","Auburn-Opelika,* AL","18040",4786,0,0,13254
"22","Augusta-Richmond County, GA-SC","11621",11621,0,0,0
"23","Austin-Round Rock,* TX","83757",54364,0,898,28495
"24","Bakersfield, CA","8626",7995,317,314,0
"25","Baltimore-Towson,* MD","35623",35623,0,0,0
"26","Bangor, ME","1973",1973,0,0,0
"27","Barnstable Town, MA","7824",7824,0,0,0
"28","Baton Rouge, LA","19885",19885,0,0,0
"29","Battle Creek, MI","213",213,0,0,0
"30","Bay City, MI","0",0,0,0,0
"31","Beaumont-Port Arthur, TX","3693",3693,0,0,0
"32","Bellingham, WA","2948",2948,0,0,0
"33","Bend,* OR","7376",7120,256,0,0
"34","Billings, MT","3393",3393,0,0,0
"35","Binghamton, NY","327",327,0,0,0
"36","Birmingham-Hoover,* AL","15052",14507,0,0,545
"37","Bismarck, ND","4162",4162,0,0,0
"38","Bloomington, IN","8718",7735,983,0,0
"39","Bloomington-Normal, IL","3721",2736,0,0,985
"40","Boise City-Nampa,* ID","20726",20046,0,680,0
"41","Boston-Cambridge-Quincy,* MA-NH","59512",52141,711,480,6180
"42","Boulder, CO","3568",3192,0,0,376
"43","Bowling Green, KY","4242",4242,0,0,0
"44","Bradenton-Sarasota-Venice,* FL","12693",9650,0,340,2703
"45","Bremerton-Silverdale, WA","5944",5944,0,0,0
"46","Bridgeport-Stamford-Norwalk, CT","87792",14878,175,0,72739
"47","Brownsville-Harlingen, TX","5368",5251,117,0,0
"48","Brunswick, GA","4767",4767,0,0,0
"49","Buffalo-Niagara Falls, NY","7790",7090,0,0,700
"50","Burlington, NC","4854",4454,400,0,0
"51","Burlington-South Burlington, VT","1738",1738,0,0,0
"52","Canton-Massillon, OH","3905",3105,0,0,800
"53","Cape Coral-Fort Myers,* FL","17847",13041,0,1149,3657
"54","Carson City,* NV","643",643,0,0,0
"55","Casper, WY","1153",775,0,378,0
"56","Cedar Rapids, IA","3523",3201,322,0,0
"57","Champaign-Urbana, IL","3776",2156,0,0,1620
"58","Charleston, WV","1876",1338,0,538,0
"59","Charleston-North Charleston-Summerville,*  SC","35006",33300,0,228,1478
"60","Charlotte-Gastonia-Concord,* NC-SC","44666",26911,0,3583,14172
"61","Charlottesville, VA","3763",3263,500,0,0
"62","Chattanooga, TN-GA","6749",6291,0,0,458
"63","Cheyenne, WY","1184",1184,0,0,0
"64","Chicago-Naperville-Joliet,* IL-IN-WI","133171",113073,1650,4433,14015
"65","Chico, CA","4809",4809,0,0,0
"66","Cincinnati-Middletown,* OH-KY-IN","31332",29643,0,582,1107
"67","Clarksville, TN-KY","7592",6333,0,0,1259
"68","Cleveland, TN","1188",844,224,120,0
"69","Cleveland-Elyria-Mentor,* OH","22176",20966,0,680,530
"70","Coeur dAlene, ID","9225",7920,507,798,0
"71","College Station-Bryan, TX","4398",4398,0,0,0
"72","Colorado Springs,* CO","22474",22474,0,0,0
"73","Columbia, MO","3995",3995,0,0,0
"74","Columbia,* SC","24397",23381,0,0,1016
"75","Columbus, GA-AL","5090",4275,0,136,679
"76","Columbus, IN","7234",7234,0,0,0
"77","Columbus,* OH","36194",31774,500,0,3920
"78","Corpus Christi, TX","5162",5162,0,0,0
"79","Corvallis, OR","208",208,0,0,0
"80","Cumberland, MD-WV","1065",1065,0,0,0
"81","Dallas-Fort Worth-Arlington,* TX","213598",187726,1669,0,24203
"82","Dalton, GA","1268",1021,0,0,247
"83","Danville, IL","0",0,0,0,0
"84","Danville, VA","373",373,0,0,0
"85","Davenport-Moline-Rock Island,  IA-IL","2895",2895,0,0,0
"86","Dayton, OH","10502",10502,0,0,0
"87","Decatur, AL","100",100,0,0,0
"88","Decatur, IL","0",0,0,0,0
"89","Deltona-Daytona Beach-Ormond Beach,*  FL","9671",8887,0,0,784
"90","Denver-Aurora,* CO","102646",66213,120,0,36313
"91","Des Moines-West Des Moines,* IA","36782",20994,180,0,15608
"92","Detroit-Warren-Livonia,* MI","20997",20364,0,0,633
"93","Dothan, AL","2468",2468,0,0,0
"94","Dover,* DE","5425",5425,0,0,0
"95","Dubuque, IA","950",950,0,0,0
"96","Duluth, MN-WI","3480",2904,0,0,576
"97","Durham,* NC","18978",18978,0,0,0
"98","Eau Claire, WI","3433",3158,275,0,0
"99","El Centro, CA","2024",1208,0,282,534
"100","El Paso, TX","20884",20496,388,0,0
"101","Elizabethtown, KY","2572",1250,0,0,1322
"102","Elkhart-Goshen, IN","2317",2017,300,0,0
"103","Elmira, NY","303",303,0,0,0
"104","Erie, PA","1850",1850,0,0,0
"105","Eugene-Springfield, OR","5627",4467,387,773,0
"106","Evansville, IN-KY","2494",2438,0,56,0
"107","Fairbanks,* AK","165",165,0,0,0
"108","Fargo, ND-MN","7150",5027,0,0,2123
"109","Farmington,* NM","1756",1756,0,0,0
"110","Fayetteville, NC","10352",8985,0,0,1367
"111","Fayetteville-Springdale-Rogers,  AR-MO","13729",11849,465,813,602
"112","Flagstaff, AZ","6607",6607,0,0,0
"113","Flint, MI","1029",1029,0,0,0
