"City","State","Total","Units_1","Units_2","Units_3.4","Units_5.Inf","Month","Year"
"Abilene","TX MSA",1739,1739,0,0,0,1,2000
"Albany","GA MSA",8255,5097,0,0,3158,1,2000
"Albany-Schenectady-Troy","NY MSA",11549,10968,0,0,581,1,2000
"Albuquerque","NM MSA",31204,30008,0,216,980,1,2000
"Alexandria","LA MSA",3587,3587,0,0,0,1,2000
"Allentown-Bethlehem-Easton","PA MSA",10424,8780,0,244,1400,1,2000
"Altoona","PA MSA",467,467,0,0,0,1,2000
"Amarillo","TX MSA",5002,5002,0,0,0,1,2000
"Anchorage","AK MSA",5774,5421,353,0,0,1,2000
"Anniston","AL MSA",1698,1423,0,0,275,1,2000
"Appleton-Oshkosh-Neenah","WI MSA",11037,9791,624,0,622,1,2000
"Asheville","NC MSA",12011,10828,331,0,852,1,2000
"Athens","GA MSA",8722,7440,1282,0,0,1,2000
"Atlanta","GA MSA",465636,382484,2011,0,81141,1,2000
"Augusta-Aiken","GA-SC MSA",20378,20301,0,0,77,1,2000
"Austin-San Marcos","TX MSA",106292,73295,116,804,32077,1,2000
"Bakersfield","CA MSA",21636,19889,0,477,1270,1,2000
"Bangor","ME MSA",539,539,0,0,0,1,2000
"Barnstable-Yarmouth","MA MSA",16457,15737,0,0,720,1,2000
"Baton Rouge","LA MSA",9722,8378,0,0,1344,1,2000
"Beaumont-Port Arthur","TX MSA",4451,4451,0,0,0,1,2000
"Bellingham","WA MSA",9054,8460,401,0,193,1,2000
"Benton Harbor","MI MSA",255,255,0,0,0,1,2000
"Billings","MT MSA",2280,2280,0,0,0,1,2000
"Biloxi-Gulfport-Pascagoula","MS MSA",14236,14236,0,0,0,1,2000
"Binghamton","NY MSA",837,837,0,0,0,1,2000
"Birmingham","AL MSA",44589,44589,0,0,0,1,2000
"Bismarck","ND MSA",117,117,0,0,0,1,2000
"Bloomington","IN MSA",5190,4554,83,553,0,1,2000
"Bloomington-Normal","IL MSA",4809,4269,0,0,540,1,2000
"Boise City","ID MSA",51018,50392,0,626,0,1,2000
"Boston-Worcester-Lawrence","Boston-Worcester-Lawrence MA-NH-ME-CT CMSA",151999,124379,2745,3192,21683,1,2000
"Brownsville-Harlingen-San Benito","TX MSA",9490,8711,171,292,316,1,2000
"Bryan-College Station","TX MSA",5513,4326,1187,0,0,1,2000
"Buffalo-Niagara Falls","NY MSA",14003,12520,275,0,1208,1,2000
"Burlington","VT MSA",5128,4610,200,0,318,1,2000
"Canton-Massillon","OH MSA",9216,9035,181,0,0,1,2000
"Casper","WY MSA",800,800,0,0,0,1,2000
"Cedar Rapids","IA MSA",3553,1701,953,307,592,1,2000
"Champaign-Urbana","IL MSA",2762,1764,0,0,998,1,2000
"Charleston-North Charleston","SC MSA",51201,47621,470,0,3110,1,2000
"Charleston","WV MSA",2507,2507,0,0,0,1,2000
"Charlotte-Gastonia-Rock Hill","NC-SC MSA",168074,138097,2379,310,27288,1,2000
"Charlottesville","VA MSA",11062,10972,90,0,0,1,2000
"Chattanooga","TN-GA MSA",19732,19409,80,0,243,1,2000
"Cheyenne","WY MSA",2920,2477,77,0,366,1,2000
"Chicago-Gary-Kenosha","IL-IN- WI CMSA",275406,255725,1166,6125,12390,1,2000
"Chico-Paradise","CA MSA",8993,8993,0,0,0,1,2000
"Cincinnati-Hamilton","OH-KY- IN CMSA",77522,73762,126,1340,2294,1,2000
"Clarksville-Hopkinsville","TN-KY MSA",5692,4812,70,270,540,1,2000
"Cleveland-Akron","OH CMSA",86596,81154,641,1284,3517,1,2000
"Colorado Springs","CO MSA",37146,35931,75,420,720,1,2000
"Columbia","MO MSA",4871,4744,127,0,0,1,2000
"Columbia","SC MSA",26299,26299,0,0,0,1,2000
"Columbus","GA-AL MSA",9201,8880,90,231,0,1,2000
"Columbus","OH MSA",90791,80108,967,1564,8152,1,2000
"Corpus Christi","TX MSA",8734,6202,133,1899,500,1,2000
"Cumberland","MD-WV MSA",989,989,0,0,0,1,2000
"Dallas-Fort Worth","TX CMSA",378116,353820,522,0,23774,1,2000
"Danville","VA MSA",1854,1854,0,0,0,1,2000
"Davenport-Moline-Rock Island","IA-IL MSA",3590,3225,0,0,365,1,2000
"Dayton-Springfield","OH MSA",12465,12158,0,307,0,1,2000
"Daytona Beach","FL MSA",38768,30970,330,156,7312,1,2000
"Decatur","Al MSA",2091,1986,0,0,105,1,2000
"Decatur","IL MSA",1106,945,161,0,0,1,2000
"Denver-Boulder-Greeley","CO CMSA",297378,222889,583,0,73906,1,2000
"Des Moines","IA MSA",21245,17987,248,0,3010,1,2000
"Detroit-Ann Arbor-Flint","MI CMSA",197172,177746,3500,8165,7761,1,2000
"Dothan","AL MSA",1896,1896,0,0,0,1,2000
"Dover","DE MSA",5559,5559,0,0,0,1,2000
"Dubuque","IA MSA",530,530,0,0,0,1,2000
"Duluth-Superior","MN-WI MSA",3298,2739,116,443,0,1,2000
"Eau Claire","WI MSA",1823,773,0,1050,0,1,2000
"El Paso","TX MSA",12995,12995,0,0,0,1,2000
"Elkhart-Goshen","IN MSA",8252,7372,0,880,0,1,2000
"Elmira","NY MSA",365,365,0,0,0,1,2000
"Enid","OK MSA",750,750,0,0,0,1,2000
"Erie","PA MSA",2332,1885,0,75,372,1,2000
"Eugene-Springfield","OR MSA",12269,11063,1206,0,0,1,2000
"Evansville-Henderson","IN-KY MSA",9448,8946,502,0,0,1,2000
"Fargo-Moorhead","ND-MN MSA",3493,777,0,0,2716,1,2000
"Fayetteville","NC MSA",4719,4719,0,0,0,1,2000
"Fayetteville-Springdale- Rogers","AR MSA",18639,17348,641,190,460,1,2000
"Flagstaff","AZ-UT MSA",6834,6834,0,0,0,1,2000
"Florence","AL MSA",781,781,0,0,0,1,2000
"Florence","SC MSA",3516,3212,0,0,304,1,2000
"Fort Collins-Loveland","CO MSA",28713,26205,513,404,1591,1,2000
"Fort Myers-Cape Coral","FL MSA",61367,41053,1735,2981,15598,1,2000
"Fort Pierce-Port St. Lucie","FL MSA",41302,35883,0,0,5419,1,2000
"Fort Smith","AR-OK MSA",3747,3221,526,0,0,1,2000
"Fort Walton Beach","FL MSA",13041,9645,0,0,3396,1,2000
"Fort Wayne","IN MSA",15323,15123,200,0,0,1,2000
"Fresno","CA MSA",19110,19110,0,0,0,1,2000
"Gadsden","AL MSA",512,512,0,0,0,1,2000
"Gainesville","FL MSA",10833,7438,87,0,3308,1,2000
"Glens Falls","NY MSA",1445,1445,0,0,0,1,2000
"Goldsboro","NC MSA",2757,2500,143,114,0,1,2000
"Grand Forks","ND-MN MSA",0,0,0,0,0,1,2000
"Grand Junction","CO MSA",5951,5491,0,0,460,1,2000
"Grand Rapids-Muskegon- Holland","MI MSA",42322,39569,424,0,2329,1,2000
"Great Falls","MT MSA",550,335,0,215,0,1,2000
"Green Bay","WI MSA",4001,3516,144,0,341,1,2000
"Greensboro--Winston-Salem-- High Point","NC MSA",62933,54124,0,151,8658,1,2000
"Greenville","NC MSA",8297,6440,325,0,1532,1,2000
"Greenville-Spartanburg- Anderson","SC MSA",49298,47450,290,0,1558,1,2000
"Harrisburg-Lebanon- Carlisle","PA MSA",10018,10018,0,0,0,1,2000
"Hartford","CT MSA",21441,21205,0,0,236,1,2000
"Hattiesburg","MS MSA",782,782,0,0,0,1,2000
"Hickory-Morganton-Lenoir","NC MSA",15113,13432,328,0,1353,1,2000
"Honolulu","HI MSA",15075,15075,0,0,0,1,2000
"Houma","LA MSA",7416,7416,0,0,0,1,2000
"Houston-Galveston-Brazoria","Houston-Galveston-Brazoria TX CMSA",261565,248640,854,186,11885,1,2000
"Huntington-Ashland","WV-KY- OH MSA",50,50,0,0,0,1,2000
"Huntsville","AL MSA",4785,4433,0,114,238,1,2000
"Indianapolis","IN MSA",101685,98788,1245,501,1151,1,2000
"Iowa City","IA MSA",3071,1909,180,482,500,1,2000
"Jackson","MI MSA",452,452,0,0,0,1,2000
"Jackson","MS MSA",17713,16414,0,142,1157,1,2000
"Jackson","TN MSA",5315,5315,0,0,0,1,2000
"Jacksonville","FL MSA",89168,65519,438,228,22983,1,2000
"Jacksonville","NC MSA",3642,3642,0,0,0,1,2000
"Jamestown","NY MSA",88,88,0,0,0,1,2000
"Janesville-Beloit","WI MSA",2673,2448,0,225,0,1,2000
"Johnson City-Kingsport- Bristol","TN-VA MSA",7784,6171,0,0,1613,1,2000
"Johnstown","PA MSA",161,161,0,0,0,1,2000
"Jonesboro","AR MSA",1924,1844,80,0,0,1,2000
"Joplin","MO MSA",1097,994,103,0,0,1,2000
"Kalamazoo-Battle Creek","MI MSA",11267,11267,0,0,0,1,2000
"Kansas City","MO-KS MSA",129836,103194,1450,3039,22153,1,2000
"Killeen-Temple","TX MSA",13215,12152,787,276,0,1,2000
"Knoxville","TN MSA",22252,20781,258,133,1080,1,2000
"Kokomo","IN MSA",2765,2765,0,0,0,1,2000
"La Crosse","WI-MN MSA",871,711,160,0,0,1,2000
"Lafayette","LA MSA",12157,10657,1500,0,0,1,2000
"Lafayette","IN MSA",8047,3729,395,0,3923,1,2000
"Lake Charles","LA MSA",4321,3857,138,0,326,1,2000
