Code,Code,Code,County Name/State Abbreviation,Year,Force,Employed,Unemployed,(%)
CN010010,01,001,"Autauga County, AL",2000,"21,954     ","21,170     ",784     ,3.6     
PA011000,01,003,"Baldwin County, AL",2000,"70,300     ","68,009     ","2,291     ",3.3     
CN010050,01,005,"Barbour County, AL",2000,"11,475     ","10,915     ",560     ,4.9     
CN010070,01,007,"Bibb County, AL",2000,"8,643     ","8,237     ",406     ,4.7     
CN010090,01,009,"Blount County, AL",2000,"25,389     ","24,606     ",783     ,3.1     
CN010110,01,011,"Bullock County, AL",2000,"3,993     ","3,691     ",302     ,7.6     
CN010130,01,013,"Butler County, AL",2000,"9,212     ","8,576     ",636     ,6.9     
PA010250,01,015,"Calhoun County, AL",2000,"53,392     ","51,001     ","2,391     ",4.5     
CN010170,01,017,"Chambers County, AL",2000,"17,551     ","16,868     ",683     ,3.9     
CN010190,01,019,"Cherokee County, AL",2000,"11,419     ","10,965     ",454     ,4.0     
CN010210,01,021,"Chilton County, AL",2000,"19,677     ","18,930     ",747     ,3.8     
CN010230,01,023,"Choctaw County, AL",2000,"6,231     ","5,870     ",361     ,5.8     
CN010250,01,025,"Clarke County, AL",2000,"11,676     ","10,917     ",759     ,6.5     
CN010270,01,027,"Clay County, AL",2000,"6,618     ","6,258     ",360     ,5.4     
CN010290,01,029,"Cleburne County, AL",2000,"7,031     ","6,779     ",252     ,3.6     
CN010310,01,031,"Coffee County, AL",2000,"20,072     ","19,039     ","1,033     ",5.1     
PA010900,01,033,"Colbert County, AL",2000,"26,178     ","24,890     ","1,288     ",4.9     
CN010350,01,035,"Conecuh County, AL",2000,"5,526     ","5,207     ",319     ,5.8     
CN010370,01,037,"Coosa County, AL",2000,"5,342     ","5,086     ",256     ,4.8     
CN010390,01,039,"Covington County, AL",2000,"17,441     ","16,374     ","1,067     ",6.1     
CN010410,01,041,"Crenshaw County, AL",2000,"6,167     ","5,855     ",312     ,5.1     
PA010400,01,043,"Cullman County, AL",2000,"39,053     ","37,627     ","1,426     ",3.7     
PA010450,01,045,"Dale County, AL",2000,"20,979     ","20,008     ",971     ,4.6     
PA010500,01,047,"Dallas County, AL",2000,"17,926     ","16,643     ","1,283     ",7.2     
PA010270,01,049,"DeKalb County, AL",2000,"32,653     ","31,490     ","1,163     ",3.6     
CN010510,01,051,"Elmore County, AL",2000,"31,327     ","30,228     ","1,099     ",3.5     
CN010530,01,053,"Escambia County, AL",2000,"16,241     ","15,494     ",747     ,4.6     
PS010010,01,055,"Etowah County, AL",2000,"48,595     ","46,083     ","2,512     ",5.2     
CN010570,01,057,"Fayette County, AL",2000,"8,345     ","7,913     ",432     ,5.2     
CN010590,01,059,"Franklin County, AL",2000,"14,741     ","13,886     ",855     ,5.8     
CN010610,01,061,"Geneva County, AL",2000,"12,294     ","11,741     ",553     ,4.5     
CN010630,01,063,"Greene County, AL",2000,"3,536     ","3,322     ",214     ,6.1     
CN010650,01,065,"Hale County, AL",2000,"7,033     ","6,658     ",375     ,5.3     
CN010670,01,067,"Henry County, AL",2000,"7,708     ","7,372     ",336     ,4.4     
PA010550,01,069,"Houston County, AL",2000,"45,633     ","43,856     ","1,777     ",3.9     
PA010570,01,071,"Jackson County, AL",2000,"28,156     ","26,864     ","1,292     ",4.6     
PS010050,01,073,"Jefferson County, AL",2000,"332,550     ","320,884     ","11,666     ",3.5     
CN010750,01,075,"Lamar County, AL",2000,"7,498     ","7,036     ",462     ,6.2     
PA010600,01,077,"Lauderdale County, AL",2000,"43,860     ","41,925     ","1,935     ",4.4     
CN010790,01,079,"Lawrence County, AL",2000,"16,731     ","15,993     ",738     ,4.4     
PA010650,01,081,"Lee County, AL",2000,"58,646     ","56,574     ","2,072     ",3.5     
CN010830,01,083,"Limestone County, AL",2000,"33,186     ","32,072     ","1,114     ",3.4     
CN010850,01,085,"Lowndes County, AL",2000,"5,089     ","4,777     ",312     ,6.1     
CN010870,01,087,"Macon County, AL",2000,"9,157     ","8,688     ",469     ,5.1     
CN010890,01,089,"Madison County, AL",2000,"150,347     ","145,638     ","4,709     ",3.1     
CN010910,01,091,"Marengo County, AL",2000,"9,095     ","8,676     ",419     ,4.6     
CN010930,01,093,"Marion County, AL",2000,"14,309     ","13,465     ",844     ,5.9     
PA010700,01,095,"Marshall County, AL",2000,"40,940     ","39,204     ","1,736     ",4.2     
CN010970,01,097,"Mobile County, AL",2000,"186,720     ","178,573     ","8,147     ",4.4     
CN010990,01,099,"Monroe County, AL",2000,"10,352     ","9,761     ",591     ,5.7     
CN011010,01,101,"Montgomery County, AL",2000,"106,838     ","102,885     ","3,953     ",3.7     
PA010750,01,103,"Morgan County, AL",2000,"56,833     ","54,719     ","2,114     ",3.7     
CN011050,01,105,"Perry County, AL",2000,"4,120     ","3,782     ",338     ,8.2     
CN011070,01,107,"Pickens County, AL",2000,"8,653     ","8,075     ",578     ,6.7     
CN011090,01,109,"Pike County, AL",2000,"14,184     ","13,491     ",693     ,4.9     
CN011110,01,111,"Randolph County, AL",2000,"10,059     ","9,625     ",434     ,4.3     
CN011130,01,113,"Russell County, AL",2000,"22,217     ","21,309     ",908     ,4.1     
CN011150,01,115,"St. Clair County, AL",2000,"31,698     ","30,647     ","1,051     ",3.3     
PA011100,01,117,"Shelby County, AL",2000,"83,285     ","81,276     ","2,009     ",2.4     
CN011190,01,119,"Sumter County, AL",2000,"5,406     ","4,969     ",437     ,8.1     
PA010800,01,121,"Talladega County, AL",2000,"35,923     ","34,276     ","1,647     ",4.6     
CN011230,01,123,"Tallapoosa County, AL",2000,"19,544     ","18,697     ",847     ,4.3     
PS010220,01,125,"Tuscaloosa County, AL",2000,"82,536     ","79,667     ","2,869     ",3.5     
PA010850,01,127,"Walker County, AL",2000,"31,768     ","30,134     ","1,634     ",5.1     
CN011290,01,129,"Washington County, AL",2000,"7,784     ","7,312     ",472     ,6.1     
CN011310,01,131,"Wilcox County, AL",2000,"3,959     ","3,651     ",308     ,7.8     
CN011330,01,133,"Winston County, AL",2000,"11,758     ","10,942     ",816     ,6.9     
CN020130,02,013,"Aleutians East Borough, AK",2000,938     ,859     ,79     ,8.4     
CN020100,02,016,"Aleutians West Census Area, AK",2000,"2,733     ","2,595     ",138     ,5.0     
CN020200,02,020,"Anchorage Borough/municipality, AK",2000,"140,456     ","133,547     ","6,909     ",4.9     
CN020500,02,050,"Bethel Census Area, AK",2000,"6,386     ","5,828     ",558     ,8.7     
CN020600,02,060,"Bristol Bay Borough, AK",2000,922     ,865     ,57     ,6.2     
CN020680,02,068,"Denali Borough, AK",2000,"1,337     ","1,242     ",95     ,7.1     
CN020700,02,070,"Dillingham Census Area, AK",2000,"1,958     ","1,818     ",140     ,7.2     
CN020900,02,090,"Fairbanks North Star Borough, AK",2000,"40,952     ","38,509     ","2,443     ",6.0     
CN021000,02,100,"Haines Borough, AK",2000,"1,394     ","1,284     ",110     ,7.9     
CN021100,02,110,"Juneau Borough/city, AK",2000,"18,004     ","17,188     ",816     ,4.5     
CN021220,02,122,"Kenai Peninsula Borough, AK",2000,"24,539     ","22,576     ","1,963     ",8.0     
CN021300,02,130,"Ketchikan Gateway Borough, AK",2000,"8,279     ","7,774     ",505     ,6.1     
CN021500,02,150,"Kodiak Island Borough, AK",2000,"6,524     ","5,998     ",526     ,8.1     
CN021640,02,164,"Lake and Peninsula Borough, AK",2000,"1,034     ",981     ,53     ,5.1     
CN021700,02,170,"Matanuska-Susitna Borough, AK",2000,"28,820     ","26,770     ","2,050     ",7.1     
CN021800,02,180,"Nome Census Area, AK",2000,"3,694     ","3,346     ",348     ,9.4     
CN021850,02,185,"North Slope Borough, AK",2000,"3,396     ","3,118     ",278     ,8.2     
CN021880,02,188,"Northwest Arctic Borough, AK",2000,"2,939     ","2,680     ",259     ,8.8     
CN022010,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2000,"2,655     ","2,287     ",368     ,13.9     
CN022200,02,220,"Sitka Borough/city, AK",2000,"4,449     ","4,241     ",208     ,4.7     
CN022310,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2000,"1,824     ","1,648     ",176     ,9.6     
