"gtcbsa","pemlr","prdtind1","prmjind1","year","month"
32900,1,14,4,2004,5
32900,1,14,4,2004,5
32900,7,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,5,-1,-1,2004,5
32900,1,12,4,2004,5
32900,1,43,10,2004,5
32900,-1,-1,-1,2004,5
32900,1,45,11,2004,5
32900,1,6,4,2004,5
32900,1,42,10,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,42,10,2004,5
32900,1,42,10,2004,5
32900,-1,-1,-1,2004,5
32900,5,-1,-1,2004,5
32900,1,4,3,2004,5
32900,1,23,6,2004,5
32900,7,-1,-1,2004,5
32900,2,1,1,2004,5
32900,1,4,3,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,40,10,2004,5
32900,1,1,1,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,14,4,2004,5
32900,1,14,4,2004,5
32900,1,22,5,2004,5
32900,1,22,5,2004,5
32900,7,-1,-1,2004,5
32900,1,41,10,2004,5
32900,-1,-1,-1,2004,5
32900,5,-1,-1,2004,5
32900,6,-1,-1,2004,5
32900,1,40,10,2004,5
32900,7,-1,-1,2004,5
32900,1,14,4,2004,5
32900,1,22,5,2004,5
32900,-1,-1,-1,2004,5
32900,5,-1,-1,2004,5
32900,5,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,13,4,2004,5
32900,7,-1,-1,2004,5
32900,1,15,4,2004,5
32900,6,-1,-1,2004,5
32900,7,-1,-1,2004,5
32900,1,1,1,2004,5
32900,1,46,11,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,22,5,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,6,-1,-1,2004,5
32900,7,-1,-1,2004,5
32900,1,25,7,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,14,4,2004,5
32900,1,38,9,2004,5
32900,1,21,5,2004,5
32900,1,21,5,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,36,9,2004,5
32900,1,36,9,2004,5
32900,1,46,11,2004,5
32900,1,23,6,2004,5
32900,-1,-1,-1,2004,5
32900,1,46,11,2004,5
32900,7,-1,-1,2004,5
32900,1,47,12,2004,5
32900,1,42,10,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,1,1,1,2004,5
32900,1,24,6,2004,5
32900,7,-1,-1,2004,5
32900,1,1,1,2004,5
32900,7,-1,-1,2004,5
32900,7,-1,-1,2004,5
32900,1,23,6,2004,5
32900,1,23,6,2004,5
32900,-1,-1,-1,2004,5
32900,-1,-1,-1,2004,5
32900,6,-1,-1,2004,5
32900,7,-1,-1,2004,5
32900,1,40,10,2004,5
32900,1,42,10,2004,5
32900,1,42,10,2004,5
32900,-1,-1,-1,2004,5
32900,1,40,10,2004,5
32900,1,1,1,2004,5
32900,3,1,1,2004,5
32900,-1,-1,-1,2004,5
32900,1,40,10,2004,5
32900,1,36,9,2004,5
32900,-1,-1,-1,2004,5
32900,4,38,9,2004,5
32900,6,-1,-1,2004,5
32900,6,-1,-1,2004,5
32900,5,-1,-1,2004,6
32900,1,12,4,2004,6
32900,1,43,10,2004,6
32900,-1,-1,-1,2004,6
32900,1,45,11,2004,6
32900,1,6,4,2004,6
32900,1,21,5,2004,6
32900,7,-1,-1,2004,6
32900,1,42,10,2004,6
32900,1,42,10,2004,6
32900,-1,-1,-1,2004,6
32900,5,-1,-1,2004,6
32900,-1,-1,-1,2004,6
