"year","month","abbr","length","start"
2003,1,"HRHHID","15","1"
2003,2,"HRHHID","15","1"
2003,3,"HRHHID","15","1"
2003,4,"HRHHID","15","1"
2003,5,"HRHHID","15","1"
2003,6,"HRHHID","15","1"
2003,7,"HRHHID","15","1"
2003,8,"HRHHID","15","1"
2003,9,"HRHHID","15","1"
2003,10,"HRHHID","15","1"
2003,11,"HRHHID","15","1"
2003,12,"HRHHID","15","1"
2004,1,"HRHHID","15","1"
2004,2,"HRHHID","15","1"
2004,3,"HRHHID","15","1"
2004,4,"HRHHID","15","1"
2003,1,"HRMONTH","2","16"
2003,2,"HRMONTH","2","16"
2003,3,"HRMONTH","2","16"
2003,4,"HRMONTH","2","16"
2003,5,"HRMONTH","2","16"
2003,6,"HRMONTH","2","16"
2003,7,"HRMONTH","2","16"
2003,8,"HRMONTH","2","16"
2003,9,"HRMONTH","2","16"
2003,10,"HRMONTH","2","16"
2003,11,"HRMONTH","2","16"
2003,12,"HRMONTH","2","16"
2004,1,"HRMONTH","2","16"
2004,2,"HRMONTH","2","16"
2004,3,"HRMONTH","2","16"
2004,4,"HRMONTH","2","16"
2003,1,"HRYEAR4","4","18"
2003,2,"HRYEAR4","4","18"
2003,3,"HRYEAR4","4","18"
2003,4,"HRYEAR4","4","18"
2003,5,"HRYEAR4","4","18"
2003,6,"HRYEAR4","4","18"
2003,7,"HRYEAR4","4","18"
2003,8,"HRYEAR4","4","18"
2003,9,"HRYEAR4","4","18"
2003,10,"HRYEAR4","4","18"
2003,11,"HRYEAR4","4","18"
2003,12,"HRYEAR4","4","18"
2004,1,"HRYEAR4","4","18"
2004,2,"HRYEAR4","4","18"
2004,3,"HRYEAR4","4","18"
2004,4,"HRYEAR4","4","18"
2003,1,"HURESPLI","2","22"
2003,2,"HURESPLI","2","22"
2003,3,"HURESPLI","2","22"
2003,4,"HURESPLI","2","22"
2003,5,"HURESPLI","2","22"
2003,6,"HURESPLI","2","22"
2003,7,"HURESPLI","2","22"
2003,8,"HURESPLI","2","22"
2003,9,"HURESPLI","2","22"
2003,10,"HURESPLI","2","22"
2003,11,"HURESPLI","2","22"
2003,12,"HURESPLI","2","22"
2004,1,"HURESPLI","2","22"
2004,2,"HURESPLI","2","22"
2004,3,"HURESPLI","2","22"
2004,4,"HURESPLI","2","22"
2003,1,"HUFINAL","3","24"
2003,2,"HUFINAL","3","24"
2003,3,"HUFINAL","3","24"
2003,4,"HUFINAL","3","24"
2003,5,"HUFINAL","3","24"
2003,6,"HUFINAL","3","24"
2003,7,"HUFINAL","3","24"
2003,8,"HUFINAL","3","24"
2003,9,"HUFINAL","3","24"
2003,10,"HUFINAL","3","24"
2003,11,"HUFINAL","3","24"
2003,12,"HUFINAL","3","24"
2004,1,"HUFINAL","3","24"
2004,2,"HUFINAL","3","24"
2004,3,"HUFINAL","3","24"
2004,4,"HUFINAL","3","24"
2003,1,"HUSPNISH","2","27"
2003,2,"HUSPNISH","2","27"
2003,3,"HUSPNISH","2","27"
2003,4,"HUSPNISH","2","27"
2003,5,"HUSPNISH","2","27"
2003,6,"HUSPNISH","2","27"
2003,7,"HUSPNISH","2","27"
2003,8,"HUSPNISH","2","27"
2003,9,"HUSPNISH","2","27"
2003,10,"HUSPNISH","2","27"
2003,11,"HUSPNISH","2","27"
2003,12,"HUSPNISH","2","27"
2004,1,"HUSPNISH","2","27"
2004,2,"HUSPNISH","2","27"
2004,3,"HUSPNISH","2","27"
2004,4,"HUSPNISH","2","27"
2003,1,"HETENURE","2","29"
2003,2,"HETENURE","2","29"
2003,3,"HETENURE","2","29"
2003,4,"HETENURE","2","29"
2003,5,"HETENURE","2","29"
2003,6,"HETENURE","2","29"
2003,7,"HETENURE","2","29"
2003,8,"HETENURE","2","29"
2003,9,"HETENURE","2","29"
2003,10,"HETENURE","2","29"
2003,11,"HETENURE","2","29"
2003,12,"HETENURE","2","29"
2004,1,"HETENURE","2","29"
2004,2,"HETENURE","2","29"
2004,3,"HETENURE","2","29"
2004,4,"HETENURE","2","29"
2003,1,"HEHOUSUT","2","31"
2003,2,"HEHOUSUT","2","31"
2003,3,"HEHOUSUT","2","31"
2003,4,"HEHOUSUT","2","31"
2003,5,"HEHOUSUT","2","31"
2003,6,"HEHOUSUT","2","31"
2003,7,"HEHOUSUT","2","31"
2003,8,"HEHOUSUT","2","31"
2003,9,"HEHOUSUT","2","31"
2003,10,"HEHOUSUT","2","31"
2003,11,"HEHOUSUT","2","31"
2003,12,"HEHOUSUT","2","31"
2004,1,"HEHOUSUT","2","31"
2004,2,"HEHOUSUT","2","31"
2004,3,"HEHOUSUT","2","31"
2004,4,"HEHOUSUT","2","31"
2003,1,"HETELHHD","2","33"
2003,2,"HETELHHD","2","33"
2003,3,"HETELHHD","2","33"
2003,4,"HETELHHD","2","33"
2003,5,"HETELHHD","2","33"
2003,6,"HETELHHD","2","33"
2003,7,"HETELHHD","2","33"
2003,8,"HETELHHD","2","33"
2003,9,"HETELHHD","2","33"
2003,10,"HETELHHD","2","33"
2003,11,"HETELHHD","2","33"
2003,12,"HETELHHD","2","33"
2004,1,"HETELHHD","2","33"
2004,2,"HETELHHD","2","33"
2004,3,"HETELHHD","2","33"
2004,4,"HETELHHD","2","33"
2003,1,"HETELAVL","2","35"
2003,2,"HETELAVL","2","35"
2003,3,"HETELAVL","2","35"
2003,4,"HETELAVL","2","35"
2003,5,"HETELAVL","2","35"
2003,6,"HETELAVL","2","35"
2003,7,"HETELAVL","2","35"
2003,8,"HETELAVL","2","35"
2003,9,"HETELAVL","2","35"
2003,10,"HETELAVL","2","35"
2003,11,"HETELAVL","2","35"
2003,12,"HETELAVL","2","35"
2004,1,"HETELAVL","2","35"
2004,2,"HETELAVL","2","35"
2004,3,"HETELAVL","2","35"
2004,4,"HETELAVL","2","35"
2003,1,"HEPHONEO","2","37"
2003,2,"HEPHONEO","2","37"
2003,3,"HEPHONEO","2","37"
2003,4,"HEPHONEO","2","37"
2003,5,"HEPHONEO","2","37"
2003,6,"HEPHONEO","2","37"
2003,7,"HEPHONEO","2","37"
2003,8,"HEPHONEO","2","37"
2003,9,"HEPHONEO","2","37"
2003,10,"HEPHONEO","2","37"
2003,11,"HEPHONEO","2","37"
2003,12,"HEPHONEO","2","37"
2004,1,"HEPHONEO","2","37"
2004,2,"HEPHONEO","2","37"
2004,3,"HEPHONEO","2","37"
2004,4,"HEPHONEO","2","37"
2003,1,"HUFAMINC","2","39"
2003,2,"HUFAMINC","2","39"
2003,3,"HUFAMINC","2","39"
2003,4,"HUFAMINC","2","39"
2003,5,"HUFAMINC","2","39"
2003,6,"HUFAMINC","2","39"
2003,7,"HUFAMINC","2","39"
2003,8,"HUFAMINC","2","39"
2003,9,"HUFAMINC","2","39"
2003,10,"HUFAMINC","2","39"
2003,11,"HUFAMINC","2","39"
2003,12,"HUFAMINC","2","39"
2004,1,"HUFAMINC","2","39"
2004,2,"HUFAMINC","2","39"
2004,3,"HUFAMINC","2","39"
2004,4,"HUFAMINC","2","39"
2003,1,"HUTYPEA","2","41"
2003,2,"HUTYPEA","2","41"
2003,3,"HUTYPEA","2","41"
2003,4,"HUTYPEA","2","41"
2003,5,"HUTYPEA","2","41"
2003,6,"HUTYPEA","2","41"
2003,7,"HUTYPEA","2","41"
2003,8,"HUTYPEA","2","41"
2003,9,"HUTYPEA","2","41"
2003,10,"HUTYPEA","2","41"
2003,11,"HUTYPEA","2","41"
