"fips_st","fips_puma","per_owner","max_hpi","time","change","state","city"
1,100,"79.8333333333333","161.04","2009.25","-4.56","AL","Florence-Muscle Shoals"
1,200,"69.5393759286776","173.63","2009","0","AL","Huntsville"
1,300,"84.4362745098039","173.63","2009","0","AL","Huntsville"
1,400,"82.5367647058823",NA,NA,NA,NA,NA
1,500,"78.0952380952381",NA,NA,NA,NA,NA
1,600,"81.3131313131313","171.4","2009","0","AL","Decatur"
1,700,"78.839590443686",NA,NA,NA,NA,NA
1,800,"83.8917525773196","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,901,"53.5211267605634","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,902,"65.040650406504","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,903,"71.2396694214876","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,904,"84.7953216374269","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,905,"83.0143540669856","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,1000,"76.6146993318486","190.07","2009","0","AL","Gadsden"
1,1100,"78.7337662337662",NA,NA,NA,NA,NA
1,1200,"75.0566893424036","177.69","2009.25","-2.00999999999999","AL","Anniston-Oxford"
1,1300,"86.1386138613861","183.21","2009.25","-1.83000000000001","AL","Birmingham-Hoover"
1,1400,"71.2464589235127","188.03","2009","0","AL","Tuscaloosa"
1,1500,"74.437627811861",NA,NA,NA,"AL","Birmingham-Hoover"
1,1600,"78.2214156079855",NA,NA,NA,NA,NA
1,1700,"63.6363636363636","192.83","2008.25","-0.190000000000026","AL","Auburn-Opelika"
1,1800,"70.6088992974239",NA,NA,NA,"GA-AL","Columbus"
1,1900,"67.3611111111111","163.27","2009","0","AL","Montgomery"
1,2000,"82.7018121911038","163.27","2009","0","AL","Montgomery"
1,2100,"81.2792511700468",NA,NA,NA,"AL","Montgomery"
1,2200,"67.0798898071625","196.74","2009.25","-3.92000000000002","AL","Mobile"
