Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle,Composite-10,Composite-20
 ,PHXR,LXXR,SDXR,SFXR,DNXR,WDXR,MIXR,TPXR,ATXR,CHXR,BOXR,DEXR,MNXR,CRXR,LVXR,NYXR,CEXR,POXR,DAXR,SEXR,CSXR,SPCS20R
January 1987, ,59.33,54.67,46.61,50.20,64.11,68.50,77.33, ,53.55,70.04, , ,63.39,66.36,74.42,53.53,41.05, , ,62.82, 
February 1987, ,59.65,54.89,46.87,49.96,64.77,68.76,77.93, ,54.64,70.08, , ,63.94,67.03,75.43,53.50,41.28, , ,63.39, 
March 1987, ,59.99,55.16,47.32,50.15,65.71,69.23,77.76, ,54.80,70.00, , ,64.17,67.34,76.25,53.68,41.06, , ,63.87, 
April 1987, ,60.81,55.85,47.69,50.55,66.40,69.20,77.56, ,54.88,70.70, , ,64.81,67.88,77.34,53.75,40.96, , ,64.57, 
May 1987, ,61.67,56.35,48.31,50.63,67.27,69.46,77.85, ,55.43,71.51, , ,65.18,67.90,79.16,54.71,41.24, , ,65.56, 
June 1987, ,62.71,56.86,48.83,50.50,68.70,69.31,78.71, ,56.39,72.32, , ,65.55,66.48,80.84,55.12,41.45, , ,66.59, 
July 1987, ,63.66,57.26,49.49,50.28,69.79,69.70,79.11, ,57.54,73.09, , ,65.76,65.43,82.22,55.74,41.82, , ,67.54, 
August 1987, ,64.56,57.69,49.94,50.38,70.62,70.16,79.14, ,58.37,73.79, , ,66.08,65.14,83.01,56.10,41.90, , ,68.25, 
September 1987, ,65.38,58.14,50.69,50.18,71.79,70.95,79.24, ,58.85,74.39, , ,66.47,65.85,83.44,56.51,41.80, , ,68.87, 
October 1987, ,66.20,58.53,51.33,50.38,72.57,71.28,79.09, ,59.32,74.63, , ,66.77,66.21,83.88,56.61,41.86, , ,69.42, 
November 1987, ,66.94,59.02,51.80,49.89,73.18,71.50,79.05, ,59.34,74.83, , ,67.09,67.05,84.02,56.60,41.67, , ,69.76, 
December 1987, ,67.91,59.40,52.03,49.86,73.42,71.41,79.15, ,60.30,74.74, , ,67.19,66.66,84.41,56.38,41.88, , ,70.22, 
January 1988, ,68.66,59.86,52.24,49.35,74.07,71.66,79.36, ,61.20,74.40, , ,67.61,66.64,84.12,56.44,41.61, , ,70.45, 
February 1988, ,69.36,60.12,52.64,49.27,74.88,71.68,79.21, ,62.78,74.02, , ,67.44,65.89,83.92,56.45,41.48, , ,70.77, 
March 1988, ,70.14,60.87,53.19,48.85,76.04,72.19,79.26, ,64.45,73.40, , ,67.95,66.26,83.48,57.16,41.85, , ,71.12, 
April 1988, ,70.83,61.19,54.19,48.58,77.02,72.47,79.44, ,65.22,73.78, , ,67.79,67.11,83.71,57.66,42.10, , ,71.65, 
May 1988, ,72.03,61.68,56.09,48.22,78.19,72.76,79.88, ,65.53,74.46, , ,67.92,67.51,84.23,58.25,42.58, , ,72.48, 
June 1988, ,74.35,61.54,58.22,48.27,79.56,73.55,80.25, ,66.85,75.07, , ,68.14,67.18,84.59,59.23,42.75, , ,73.63, 
July 1988, ,77.22,64.81,58.70,48.33,81.25,74.13,80.74, ,67.07,75.53, , ,68.64,67.36,85.02,59.70,43.09, , ,74.81, 
August 1988, ,79.27,65.64,59.00,48.52,82.35,75.02,80.95, ,68.66,75.47, , ,69.67,68.11,85.33,60.32,43.54, , ,75.70, 
September 1988, ,81.23,66.45,59.50,48.37,83.59,75.63,80.78, ,68.71,75.38, , ,69.93,69.06,85.54,60.60,43.72, , ,76.40, 
October 1988, ,82.94,67.47,60.37,48.27,83.94,75.86,80.84, ,69.37,75.25, , ,70.10,69.19,85.14,60.84,44.02, , ,76.90, 
November 1988, ,84.69,68.62,61.31,47.86,84.68,76.09,80.61, ,68.27,75.01, , ,69.56,68.64,84.82,60.88,44.05, , ,77.28, 
December 1988, ,85.97,69.84,62.20,47.36,85.74,76.19,80.74, ,67.70,74.79, , ,69.70,67.98,84.33,61.06,44.24, , ,77.58, 
January 1989,67.54,87.30,70.96,62.66,47.23,86.50,76.59,80.41, ,67.46,74.23, ,63.13,69.76,68.73,84.32,61.41,44.26, , ,77.99, 
February 1989,67.43,88.28,72.27,63.32,47.21,87.34,76.82,80.73, ,68.32,74.59, ,62.81,70.23,69.11,83.77,61.25,44.57, , ,78.36, 
March 1989,67.71,90.34,73.92,64.64,47.33,88.14,77.00,81.57, ,69.93,74.48, ,62.43,70.52,69.97,83.27,61.37,44.56, , ,79.12, 
April 1989,67.65,92.11,75.45,66.27,47.33,88.99,77.32,81.80, ,70.68,74.63, ,63.03,70.67,69.61,82.94,61.57,45.00, , ,79.83, 
May 1989,67.90,93.98,76.83,67.77,47.49,89.62,77.19,82.34, ,70.48,74.73, ,63.31,71.13,69.64,82.97,62.63,45.44, , ,80.52, 
June 1989,67.66,95.55,78.31,69.26,47.73,90.48,77.68,82.06, ,70.91,74.63, ,63.89,71.52,71.19,82.95,63.13,46.10, , ,81.24, 
July 1989,67.56,96.71,79.36,70.27,47.64,91.26,78.05,82.13, ,70.89,74.68, ,63.85,71.79,71.56,82.67,63.78,46.50, , ,81.66, 
August 1989,67.28,97.51,80.56,71.36,47.78,91.84,78.56,81.50, ,71.31,74.07, ,64.07,71.92,72.65,82.63,64.59,46.97, , ,82.08, 
September 1989,67.14,97.99,81.58,72.31,47.80,92.35,78.58,81.77, ,70.88,73.71, ,64.00,71.90,73.41,82.38,65.04,47.26, , ,82.25, 
October 1989,66.68,98.55,82.44,72.95,48.12,92.45,78.62,82.00, ,70.36,73.38, ,64.21,72.05,74.27,82.36,65.23,47.67, , ,82.44, 
November 1989,66.52,99.29,83.00,73.25,48.18,92.45,78.51,82.29, ,69.57,73.31, ,64.42,72.16,74.74,81.85,64.74,47.88, , ,82.43, 
December 1989,66.41,99.88,83.55,73.02,48.06,92.64,78.74,82.05, ,68.91,73.02, ,64.35,72.48,74.99,81.32,64.94,48.67, , ,82.35, 
January 1990,66.56,100.23,83.77,72.87,47.98,92.99,79.20,82.26, ,68.50,72.76, ,63.84,72.69,75.46,80.89,64.78,49.42, ,58.23,82.29, 
February 1990,66.51,100.15,84.08,72.95,48.08,93.18,79.48,82.42, ,68.06,72.28, ,63.66,72.92,75.14,80.53,65.13,50.27, ,59.98,82.15, 
March 1990,66.44,100.02,84.43,73.50,48.29,93.02,79.30,83.03, ,68.68,71.19, ,63.98,72.99,76.08,79.99,65.44,50.25, ,62.29,82.02, 
April 1990,66.48,99.99,85.09,74.57,48.40,93.22,79.24,82.64, ,69.43,70.91, ,64.44,73.18,76.77,79.34,66.51,51.09, ,65.09,82.05, 
May 1990,66.44,99.79,85.53,75.12,48.40,93.01,79.33,82.76, ,69.97,70.42, ,64.73,73.50,77.59,79.05,67.07,51.89, ,66.82,82.01, 
June 1990,66.56,100.24,86.01,75.15,48.75,92.95,79.78,82.57, ,70.62,70.14, ,64.72,74.10,78.34,78.96,67.94,53.54, ,68.06,82.19, 
July 1990,66.61,100.05,86.02,74.81,48.84,92.81,80.03,82.84, ,71.23,69.84, ,64.63,74.12,79.53,78.78,68.46,54.72, ,68.30,82.10, 
August 1990,66.58,99.99,85.86,74.45,48.99,92.35,80.11,82.67, ,71.48,69.56, ,64.34,74.33,80.95,78.21,68.95,56.02, ,68.61,81.86, 
September 1990,66.25,99.26,85.76,74.24,48.98,91.81,79.94,82.17, ,71.61,69.30, ,64.26,74.09,81.64,77.41,69.11,57.02, ,68.13,81.39, 
October 1990,65.93,98.66,85.32,73.44,48.86,91.48,79.67,81.73, ,70.99,68.72, ,64.51,74.12,82.41,76.80,68.97,57.39, ,67.59,80.84, 
November 1990,65.41,97.36,84.98,72.58,48.78,91.08,79.75,81.57, ,70.73,67.36, ,64.40,73.36,81.85,76.14,68.86,57.27, ,66.88,80.09, 
December 1990,65.36,96.54,83.93,71.47,48.53,90.74,79.41,81.71, ,70.08,66.13, ,64.50,73.46,81.78,75.60,68.52,56.72, ,66.38,79.38, 
January 1991,65.26,95.28,83.13,71.17,48.67,89.38,79.08,81.75,69.61,70.04,64.97,58.24,64.21,73.32,80.96,74.59,68.24,56.53, ,65.53,78.53, 
February 1991,65.29,94.12,81.87,70.27,48.68,88.80,78.55,81.76,69.17,70.50,64.17,57.76,64.20,73.26,81.58,73.69,67.96,56.94, ,64.60,77.77, 
March 1991,64.60,92.83,80.89,69.56,48.85,87.59,78.44,81.43,69.05,70.63,63.57,57.63,64.19,72.75,81.65,72.87,68.18,58.03, ,64.47,77.00, 
April 1991,64.35,92.83,80.73,69.46,49.20,87.56,78.55,81.46,69.40,71.09,63.35,57.85,64.30,72.88,81.67,72.29,69.10,58.39, ,65.09,76.86, 
May 1991,64.37,93.37,81.41,70.13,49.51,88.61,77.95,81.33,69.69,71.36,63.84,58.36,64.75,73.26,82.02,72.63,69.92,58.90, ,66.03,77.31, 
June 1991,64.88,94.25,82.20,70.83,50.09,89.28,78.49,81.77,70.14,71.66,64.25,58.90,64.95,73.49,81.91,73.50,70.55,59.54, ,66.68,78.02, 
July 1991,65.50,94.85,82.59,71.39,50.55,89.57,78.64,81.85,70.12,72.16,64.49,59.29,65.65,73.61,83.35,74.39,71.09,59.89, ,66.93,78.61, 
August 1991,65.87,95.21,82.47,71.52,50.86,89.13,79.56,82.10,70.48,72.62,64.79,59.65,65.94,73.59,84.07,74.90,71.31,60.17, ,67.04,78.93, 
September 1991,66.04,94.92,82.20,71.55,50.90,88.82,79.27,81.65,70.35,72.59,64.83,59.70,66.14,73.38,85.46,75.06,71.65,60.20, ,66.99,78.88, 
October 1991,65.84,94.51,82.02,71.21,50.99,88.62,79.31,81.52,70.29,72.43,64.71,59.84,65.73,73.58,83.81,75.01,71.52,60.64, ,66.48,78.68, 
November 1991,66.10,93.67,81.76,70.69,51.03,88.75,79.29,81.69,70.09,72.23,64.05,59.71,65.68,73.52,81.98,74.84,71.42,60.59, ,66.13,78.31, 
December 1991,65.95,93.01,81.14,70.05,51.08,88.29,79.09,81.75,69.90,72.45,63.69,59.78,65.81,73.80,82.87,74.74,71.00,61.08, ,65.70,77.99, 
January 1992,66.01,92.45,80.48,69.67,51.25,88.25,79.10,81.49,70.05,72.71,63.18,59.56,65.65,73.58,82.85,74.59,71.16,61.40, ,65.61,77.74, 
February 1992,65.88,91.97,79.87,69.48,51.94,87.75,78.51,80.40,69.88,73.19,62.94,59.47,66.19,73.56,83.09,74.38,71.22,61.54, ,65.54,77.51, 
March 1992,65.93,90.97,79.98,69.17,52.83,87.97,78.60,80.27,69.96,73.51,62.97,59.56,66.60,73.29,82.66,74.27,71.74,61.57, ,66.18,77.31, 
April 1992,65.83,90.58,80.18,69.26,53.48,88.43,78.98,80.63,69.91,72.97,63.69,60.16,67.00,73.25,82.47,74.40,72.16,61.80, ,66.87,77.36, 
May 1992,66.02,90.40,80.40,69.86,53.79,88.97,79.42,81.05,70.28,73.36,64.09,60.61,67.08,73.45,82.89,74.69,72.70,62.24, ,67.57,77.62, 
June 1992,66.08,90.41,80.27,70.02,54.18,89.24,79.78,81.22,70.59,74.45,64.38,60.92,67.30,73.60,82.84,75.14,73.16,62.73, ,67.90,77.94, 
July 1992,66.26,90.06,80.10,70.00,54.40,89.08,78.05,80.69,71.29,75.48,64.46,61.15,67.50,74.14,82.85,75.47,73.40,62.92, ,67.98,77.95, 
August 1992,66.46,89.86,79.80,69.64,54.77,89.03,77.95,80.57,71.51,75.75,64.75,61.51,67.66,74.41,82.80,75.79,73.77,63.49, ,67.75,77.99, 
September 1992,66.54,89.11,79.58,69.51,54.97,88.74,77.61,80.54,71.59,75.82,64.63,61.68,67.59,74.60,82.98,75.74,74.07,63.84, ,67.44,77.76, 
October 1992,66.55,87.95,78.48,69.28,54.96,88.79,79.54,81.50,71.17,75.79,64.62,61.55,67.79,74.38,83.65,75.48,74.21,64.23, ,67.74,77.45, 
November 1992,66.52,86.80,78.18,68.85,55.21,88.75,79.70,81.87,71.33,75.82,64.17,61.36,67.93,74.18,83.67,75.38,74.30,64.87, ,67.57,77.09, 
December 1992,66.59,85.60,77.19,68.21,55.35,88.63,79.99,81.53,71.33,75.43,64.29,61.44,67.98,74.42,82.91,75.35,74.15,64.78, ,67.47,76.68, 
