"SumLev","State_Fips","County_Fips","County","HUCENSUS_2000","HUESTBASE_2000","Year","HousingUnitEst"
50,1,1,"Autauga County","17662",17662,2000,17733
50,1,3,"Baldwin County","74285",74285,2000,74939
50,1,5,"Barbour County","12461",12461,2000,12501
50,1,7,"Bibb County","8345",8345,2000,8369
50,1,9,"Blount County","21158",21157,2000,21202
50,1,11,"Bullock County","4727",4684,2000,4695
50,1,13,"Butler County","9957",9957,2000,10001
50,1,15,"Calhoun County","51322",51321,2000,51458
50,1,17,"Chambers County","16256",16256,2000,16282
50,1,19,"Cherokee County","14025",14025,2000,14066
50,1,21,"Chilton County","17651",17651,2000,17706
50,1,23,"Choctaw County","7839",7839,2000,7861
50,1,25,"Clarke County","12631",12631,2000,12660
50,1,27,"Clay County","6612",6612,2000,6627
50,1,29,"Cleburne County","6189",6189,2000,6211
50,1,31,"Coffee County","19837",19837,2000,19885
50,1,33,"Colbert County","24980",24980,2000,25037
50,1,35,"Conecuh County","7265",7265,2000,7283
50,1,37,"Coosa County","6142",6138,2000,6155
50,1,39,"Covington County","18578",18579,2000,18612
50,1,41,"Crenshaw County","6644",6644,2000,6660
50,1,43,"Cullman County","35233",35233,2000,35322
50,1,45,"Dale County","21779",21779,2000,21827
50,1,47,"Dallas County","20450",20450,2000,20496
50,1,49,"DeKalb County","28051",28051,2000,28125
50,1,51,"Elmore County","25733",25733,2000,25842
50,1,53,"Escambia County","16544",16544,2000,16576
50,1,55,"Etowah County","45959",45959,2000,46054
50,1,57,"Fayette County","8472",8472,2000,8492
50,1,59,"Franklin County","13749",13749,2000,13774
50,1,61,"Geneva County","12115",12117,2000,12144
50,1,63,"Greene County","5117",5117,2000,5131
50,1,65,"Hale County","7756",7756,2000,7783
50,1,67,"Henry County","8037",8037,2000,8057
50,1,69,"Houston County","39571",39569,2000,39760
50,1,71,"Jackson County","24168",24168,2000,24241
50,1,73,"Jefferson County","288162",288163,2000,288807
50,1,75,"Lamar County","7517",7517,2000,7533
50,1,77,"Lauderdale County","40424",40424,2000,40512
50,1,79,"Lawrence County","15009",15009,2000,15055
50,1,81,"Lee County","50329",50343,2000,50577
50,1,83,"Limestone County","26897",26889,2000,26964
50,1,85,"Lowndes County","5801",5799,2000,5811
50,1,87,"Macon County","10627",10627,2000,10650
50,1,89,"Madison County","120288",120419,2000,120703
50,1,91,"Marengo County","10127",10126,2000,10148
50,1,93,"Marion County","14416",14416,2000,14456
50,1,95,"Marshall County","36331",36332,2000,36420
50,1,97,"Mobile County","165101",165101,2000,165644
50,1,99,"Monroe County","11343",11343,2000,11382
50,1,101,"Montgomery County","95437",95437,2000,95633
50,1,103,"Morgan County","47388",47388,2000,47517
50,1,105,"Perry County","5406",5407,2000,5420
50,1,107,"Pickens County","9520",9520,2000,9544
50,1,109,"Pike County","13981",14024,2000,14056
50,1,111,"Randolph County","10285",10285,2000,10309
50,1,113,"Russell County","22831",22817,2000,22926
50,1,115,"St. Clair County","27303",27303,2000,27421
50,1,117,"Shelby County","59302",59302,2000,59826
50,1,119,"Sumter County","6953",6953,2000,6971
50,1,121,"Talladega County","34469",34470,2000,34562
50,1,123,"Tallapoosa County","20510",20514,2000,20568
50,1,125,"Tuscaloosa County","71429",71429,2000,71677
50,1,127,"Walker County","32417",32417,2000,32495
50,1,129,"Washington County","8123",8123,2000,8146
50,1,131,"Wilcox County","6183",6183,2000,6206
50,1,133,"Winston County","12502",12502,2000,12536
50,2,13,"Aleutians East Borough","724",724,2000,724
50,2,16,"Aleutians West Census Area","2234",2234,2000,2247
50,2,20,"Anchorage Municipality","100368",100368,2000,100616
50,2,50,"Bethel Census Area","5188",5188,2000,5201
50,2,60,"Bristol Bay Borough","979",979,2000,979
50,2,68,"Denali Borough","1351",1351,2000,1352
50,2,70,"Dillingham Census Area","2332",2332,2000,2333
50,2,90,"Fairbanks North Star Borough","33291",33291,2000,33437
50,2,100,"Haines Borough","1419",1419,2000,1423
50,2,110,"Juneau City and Borough","12282",12282,2000,12299
50,2,122,"Kenai Peninsula Borough","24871",24871,2000,24889
50,2,130,"Ketchikan Gateway Borough","6218",6218,2000,6227
50,2,150,"Kodiak Island Borough","5159",5159,2000,5172
50,2,164,"Lake and Peninsula Borough","1557",1557,2000,1558
50,2,170,"Matanuska-Susitna Borough","27329",27330,2000,27354
50,2,180,"Nome Census Area","3649",3649,2000,3650
50,2,185,"North Slope Borough","2538",2538,2000,2542
50,2,188,"Northwest Arctic Borough","2540",2540,2000,2541
50,2,201,"Prince of Wales-Outer Ketchikan Census A","3055",3055,2000,3062
50,2,220,"Sitka City and Borough","3650",3650,2000,3657
50,2,232,"Skagway-Hoonah-Angoon Census Area","2108",2108,2000,2121
50,2,240,"Southeast Fairbanks Census Area","3225",3225,2000,3226
50,2,261,"Valdez-Cordova Census Area","5148",5147,2000,5153
50,2,270,"Wade Hampton Census Area","2063",2063,2000,2063
50,2,280,"Wrangell-Petersburg Census Area","3284",3284,2000,3289
50,2,282,"Yakutat City and Borough","499",499,2000,500
50,2,290,"Yukon-Koyukuk Census Area","3917",3902,2000,3904
50,4,1,"Apache County","31621",31621,2000,31650
50,4,3,"Cochise County","51126",51119,2000,51295
50,4,5,"Coconino County","53443",53443,2000,53625
50,4,7,"Gila County","28189",28189,2000,28279
50,4,9,"Graham County","11430",11430,2000,11450
50,4,11,"Greenlee County","3744",3744,2000,3746
50,4,12,"La Paz County","15133",15133,2000,15153
50,4,13,"Maricopa County","1250231",1250238,2000,1259087
50,4,15,"Mohave County","80062",80062,2000,80574
50,4,17,"Navajo County","47413",47413,2000,47566
50,4,19,"Pima County","366737",366737,2000,368631
50,4,21,"Pinal County","81154",81146,2000,81740
50,4,23,"Santa Cruz County","13036",13036,2000,13143
50,4,25,"Yavapai County","81730",81730,2000,82342
50,4,27,"Yuma County","74140",74140,2000,74491
50,5,1,"Arkansas County","9672",9671,2000,9683
50,5,3,"Ashley County","10615",10615,2000,10640
50,5,5,"Baxter County","19891",19891,2000,19957
50,5,7,"Benton County","64281",64228,2000,64591
50,5,9,"Boone County","15426",15426,2000,15469
50,5,11,"Bradley County","5930",5930,2000,5933
50,5,13,"Calhoun County","3012",3012,2000,3019
50,5,15,"Carroll County","11828",11828,2000,11856
50,5,17,"Chicot County","5974",5974,2000,5985
50,5,19,"Clark County","10166",10166,2000,10187
50,5,21,"Clay County","8498",8498,2000,8509
50,5,23,"Cleburne County","13732",13732,2000,13774
50,5,25,"Cleveland County","3834",3834,2000,3844
50,5,27,"Columbia County","11566",11566,2000,11584
50,5,29,"Conway County","9028",9028,2000,9046
50,5,31,"Craighead County","35133",35133,2000,35233
50,5,33,"Crawford County","21315",21315,2000,21382
50,5,35,"Crittenden County","20507",20507,2000,20613
50,5,37,"Cross County","8030",8030,2000,8051
50,5,39,"Dallas County","4401",4401,2000,4408
50,5,41,"Desha County","6663",6663,2000,6677
50,5,43,"Drew County","8287",8287,2000,8320
50,5,45,"Faulkner County","34546",34546,2000,34725
50,5,47,"Franklin County","7673",7673,2000,7688
50,5,49,"Fulton County","5973",5973,2000,5989
50,5,51,"Garland County","44953",44953,2000,45045
50,5,53,"Grant County","6960",6960,2000,6980
50,5,55,"Greene County","16161",16161,2000,16228
50,5,57,"Hempstead County","10166",10166,2000,10187
50,5,59,"Hot Spring County","13384",13384,2000,13412
50,5,61,"Howard County","6297",6297,2000,6311
50,5,63,"Independence County","14841",14841,2000,14878
50,5,65,"Izard County","6591",6591,2000,6607
50,5,67,"Jackson County","7956",7960,2000,7972
50,5,69,"Jefferson County","34350",34351,2000,34411
50,5,71,"Johnson County","9926",9926,2000,9949
50,5,73,"Lafayette County","4560",4560,2000,4575
50,5,75,"Lawrence County","8085",8085,2000,8098
50,5,77,"Lee County","4768",4768,2000,4782
50,5,79,"Lincoln County","4955",4955,2000,4969
50,5,81,"Little River County","6435",6435,2000,6447
50,5,83,"Logan County","9942",9942,2000,9958
50,5,85,"Lonoke County","20749",20749,2000,20870
50,5,87,"Madison County","6537",6537,2000,6552
50,5,89,"Marion County","8235",8235,2000,8286
50,5,91,"Miller County","17727",17727,2000,17782
50,5,93,"Mississippi County","22310",22310,2000,22337
