"cbsa","mdiv","stcou","name","lsad","year","popestimate","npopchg_","naturalinc","births","deaths","netmig","internationalmig","domesticmig","residual"
"10180",NA,48059,"Callahan County, TX","County or equivalent",2001,12717,-200,-14,145,159,-177,5,-182,-9
"10180",NA,48253,"Jones County, TX","County or equivalent",2001,20125,-598,-18,200,218,-562,6,-568,-18
"10180",NA,48441,"Taylor County, TX","County or equivalent",2001,125442,-1025,861,2031,1170,-1810,105,-1915,-76
"10420",NA,NA,"Akron, OH","Metropolitan Statistical Area",2001,698205,2244,2286,8826,6540,-403,709,-1112,361
"10420",NA,39133,"Portage County, OH","County or equivalent",2001,153026,643,659,1732,1073,138,119,19,-154
"10420",NA,39153,"Summit County, OH","County or equivalent",2001,545179,1601,1627,7094,5467,-541,590,-1131,515
"10500",NA,NA,"Albany, GA","Metropolitan Statistical Area",2001,159814,2055,1158,2493,1335,-380,120,-500,1277
"10500",NA,13007,"Baker County, GA","County or equivalent",2001,4037,-17,2,41,39,-14,3,-17,-5
"10500",NA,13095,"Dougherty County, GA","County or equivalent",2001,96109,223,789,1632,843,-478,85,-563,-88
"10500",NA,13177,"Lee County, GA","County or equivalent",2001,26745,1863,190,325,135,270,21,249,1403
"10500",NA,13273,"Terrell County, GA","County or equivalent",2001,10953,-15,73,193,120,-77,4,-81,-11
"10500",NA,13321,"Worth County, GA","County or equivalent",2001,21970,1,104,302,198,-81,7,-88,-22
"10580",NA,NA,"Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",2001,829321,2169,1730,9437,7707,1204,1327,-123,-765
"10580",NA,36001,"Albany County, NY","County or equivalent",2001,295285,380,295,3200,2905,365,675,-310,-280
"10580",NA,36083,"Rensselaer County, NY","County or equivalent",2001,152245,-376,256,1753,1497,-488,260,-748,-144
"10580",NA,36091,"Saratoga County, NY","County or equivalent",2001,204076,2518,1048,2477,1429,1653,146,1507,-183
"10580",NA,36093,"Schenectady County, NY","County or equivalent",2001,145953,-525,129,1700,1571,-523,242,-765,-131
"10580",NA,36095,"Schoharie County, NY","County or equivalent",2001,31762,172,2,307,305,197,4,193,-27
"10740",NA,NA,"Albuquerque, NM","Metropolitan Statistical Area",2001,739327,7653,5387,10813,5426,2973,2096,877,-707
