COMBINED STATISTICAL AREAS AND COMPONENT CORE BASED STATISTICAL AREAS, November 2007, WITH CODES

(Combined statistical areas defined by the Office of Management and Budget, November 2007)

Source:                 U.S. Census Bureau, Population Division
Internet Release Date:  June 24, 2008
Last Revised:           

CSA    CBSA
Code   Code  Combined Statistical Area and Component CBSA Names

102         Albany-Corvallis-Lebanon, OR Combined Statistical Area
102  10540     Albany-Lebanon, OR Micropolitan Statistical Area
102  18700     Corvallis, OR Metropolitan Statistical Area

104         Albany-Schenectady-Amsterdam, NY Combined Statistical Area
104  10580     Albany-Schenectady-Troy, NY Metropolitan Statistical Area
104  11220     Amsterdam, NY Micropolitan Statistical Area
104  24020     Glens Falls, NY Metropolitan Statistical Area
104  24100     Gloversville, NY Micropolitan Statistical Area
104  26460     Hudson, NY Micropolitan Statistical Area

112         Ames-Boone, IA Combined Statistical Area
112  11180     Ames, IA Metropolitan Statistical Area
112  14340     Boone, IA Micropolitan Statistical Area

118         Appleton-Oshkosh-Neenah, WI Combined Statistical Area
118  11540     Appleton, WI Metropolitan Statistical Area
118  36780     Oshkosh-Neenah, WI Metropolitan Statistical Area

120         Asheville-Brevard, NC Combined Statistical Area
120  11700     Asheville, NC Metropolitan Statistical Area
120  14820     Brevard, NC Micropolitan Statistical Area

122         Atlanta-Sandy Springs-Gainesville, GA-AL Combined Statistical Area
122  12060     Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area
122  16340     Cedartown, GA Micropolitan Statistical Area
122  23580     Gainesville, GA Metropolitan Statistical Area
122  29300     LaGrange, GA Micropolitan Statistical Area
122  45580     Thomaston, GA Micropolitan Statistical Area
122  46740     Valley, AL Micropolitan Statistical Area

132         Baton Rouge-Pierre Part, LA Combined Statistical Area
132  12940     Baton Rouge, LA Metropolitan Statistical Area
132  38200     Pierre Part, LA Micropolitan Statistical Area

138         Beckley-Oak Hill, WV Combined Statistical Area
138  13220     Beckley, WV Micropolitan Statistical Area
138  36060     Oak Hill, WV Micropolitan Statistical Area

140         Bend-Prineville, OR Combined Statistical Area
140  13460     Bend, OR Metropolitan Statistical Area
140  39260     Prineville, OR Micropolitan Statistical Area

142         Birmingham-Hoover-Cullman, AL Combined Statistical Area
142  13820     Birmingham-Hoover, AL Metropolitan Statistical Area
142  18980     Cullman, AL Micropolitan Statistical Area

148         Boston-Worcester-Manchester, MA-RI-NH Combined Statistical Area
148  14460     Boston-Cambridge-Quincy, MA-NH Metropolitan Statistical Area
148  18180     Concord, NH Micropolitan Statistical Area
148  29060     Laconia, NH Micropolitan Statistical Area
148  31700     Manchester-Nashua, NH Metropolitan Statistical Area
148  39300     Providence-New Bedford-Fall River, MA-RI Metropolitan Statistical Area
148  49340     Worcester, MA Metropolitan Statistical Area

154         Brownsville-Harlingen-Raymondville, TX Combined Statistical Area
154  15180     Brownsville-Harlingen, TX Metropolitan Statistical Area
154  39700     Raymondville, TX Micropolitan Statistical Area

160         Buffalo-Niagara-Cattaraugus, NY Combined Statistical Area
160  15380     Buffalo-Niagara Falls, NY Metropolitan Statistical Area
160  36460     Olean, NY Micropolitan Statistical Area

164         Cape Girardeau-Sikeston-Jackson, MO-IL Combined Statistical Area
164  16020     Cape Girardeau-Jackson, MO-IL Micropolitan Statistical Area
164  43460     Sikeston, MO Micropolitan Statistical Area

172         Charlotte-Gastonia-Salisbury, NC-SC Combined Statistical Area
172  10620     Albemarle, NC Micropolitan Statistical Area
172  16740     Charlotte-Gastonia-Concord, NC-SC Metropolitan Statistical Area
172  16900     Chester, SC Micropolitan Statistical Area
172  29580     Lancaster, SC Micropolitan Statistical Area
172  30740     Lincolnton, NC Micropolitan Statistical Area
172  41580     Salisbury, NC Micropolitan Statistical Area
172  43140     Shelby, NC Micropolitan Statistical Area
172  44380     Statesville-Mooresville, NC Micropolitan Statistical Area

174         Chattanooga-Cleveland-Athens, TN-GA Combined Statistical Area
174  11940     Athens, TN Micropolitan Statistical Area
174  16860     Chattanooga, TN-GA Metropolitan Statistical Area
174  17420     Cleveland, TN Metropolitan Statistical Area

176         Chicago-Naperville-Michigan City, IL-IN-WI Combined Statistical Area
176  16980     Chicago-Naperville-Joliet, IL-IN-WI Metropolitan Statistical Area
176  28100     Kankakee-Bradley, IL Metropolitan Statistical Area
176  33140     Michigan City-La Porte, IN Metropolitan Statistical Area

178         Cincinnati-Middletown-Wilmington, OH-KY-IN Combined Statistical Area
178  17140     Cincinnati-Middletown, OH-KY-IN Metropolitan Statistical Area
178  48940     Wilmington, OH Micropolitan Statistical Area

180         Claremont-Lebanon, NH-VT Combined Statistical Area
180  17200     Claremont, NH Micropolitan Statistical Area
180  30100     Lebanon, NH-VT Micropolitan Statistical Area

184         Cleveland-Akron-Elyria, OH Combined Statistical Area
184  10420     Akron, OH Metropolitan Statistical Area
184  11780     Ashtabula, OH Micropolitan Statistical Area
184  17460     Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area

188         Clovis-Portales, NM Combined Statistical Area
188  17580     Clovis, NM Micropolitan Statistical Area
188  38780     Portales, NM Micropolitan Statistical Area

192         Columbia-Newberry, SC Combined Statistical Area
192  17900     Columbia, SC Metropolitan Statistical Area
192  35140     Newberry, SC Micropolitan Statistical Area

194         Columbus-Auburn-Opelika, GA-AL Combined Statistical Area
194  12220     Auburn-Opelika, AL Metropolitan Statistical Area
194  17980     Columbus, GA-AL Metropolitan Statistical Area
194  46260     Tuskegee, AL Micropolitan Statistical Area

198         Columbus-Marion-Chillicothe, OH Combined Statistical Area
198  17060     Chillicothe, OH Micropolitan Statistical Area
198  18140     Columbus, OH Metropolitan Statistical Area
198  32020     Marion, OH Micropolitan Statistical Area
198  34540     Mount Vernon, OH Micropolitan Statistical Area
198  47920     Washington Court House, OH Micropolitan Statistical Area

200         Columbus-West Point, MS Combined Statistical Area
200  18060     Columbus, MS Micropolitan Statistical Area
200  48500     West Point, MS Micropolitan Statistical Area

202         Corbin-London, KY Combined Statistical Area
202  18340     Corbin, KY Micropolitan Statistical Area
202  30940     London, KY Micropolitan Statistical Area

204         Corpus Christi-Kingsville, TX Combined Statistical Area
204  18580     Corpus Christi, TX Metropolitan Statistical Area
204  28780     Kingsville, TX Micropolitan Statistical Area

206         Dallas-Fort Worth, TX Combined Statistical Area
206  11980     Athens, TX Micropolitan Statistical Area
206  14300     Bonham, TX Micropolitan Statistical Area
206  19100     Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area
206  23620     Gainesville, TX Micropolitan Statistical Area
206  24180     Granbury, TX Micropolitan Statistical Area
206  33420     Mineral Wells, TX Micropolitan Statistical Area
206  43300     Sherman-Denison, TX Metropolitan Statistical Area

212         Dayton-Springfield-Greenville, OH Combined Statistical Area
212  19380     Dayton, OH Metropolitan Statistical Area
212  24820     Greenville, OH Micropolitan Statistical Area
212  44220     Springfield, OH Metropolitan Statistical Area
212  46500     Urbana, OH Micropolitan Statistical Area

216         Denver-Aurora-Boulder, CO Combined Statistical Area
216  14500     Boulder, CO Metropolitan Statistical Area
216  19740     Denver-Aurora, CO Metropolitan Statistical Area
216  24540     Greeley, CO Metropolitan Statistical Area

218         Des Moines-Newton-Pella, IA Combined Statistical Area
218  19780     Des Moines-West Des Moines, IA Metropolitan Statistical Area
218  35500     Newton, IA Micropolitan Statistical Area
218  37800     Pella, IA Micropolitan Statistical Area

220         Detroit-Warren-Flint, MI Combined Statistical Area
220  11460     Ann Arbor, MI Metropolitan Statistical Area
220  19820     Detroit-Warren-Livonia, MI Metropolitan Statistical Area
220  22420     Flint, MI Metropolitan Statistical Area
220  33780     Monroe, MI Metropolitan Statistical Area

222         Dothan-Enterprise-Ozark, AL Combined Statistical Area
222  20020     Dothan, AL Metropolitan Statistical Area
222  21460     Enterprise-Ozark, AL Micropolitan Statistical Area

