"city","state","county","latitude","longitude","fips_place","fips_county","fips_cbsa","fips_csa","fips_st","msa_name"
"Albertville","AL","Marshall",34.262453,-86.209414,988,95,10700,NA,1,"Albertville, AL"
"Alexander City","AL","Tallapoosa",32.927015,-85.934009,1132,123,10760,388,1,"Alexander City, AL"
"Alexander City","AL","Coosa",32.927015,-85.934009,1132,37,10760,388,1,"Alexander City, AL"
"Oxford","AL","Calhoun",33.59703,-85.825836,57576,15,11500,NA,1,"Anniston-Oxford, AL"
"Anniston","AL","Calhoun",33.66265,-85.813937,1852,15,11500,NA,1,"Anniston-Oxford, AL"
"Opelika","AL","Lee",32.6542,-85.378805,57048,81,12220,194,1,"Auburn-Opelika, AL"
"Auburn","AL","Lee",32.5929,-85.480322,3076,81,12220,194,1,"Auburn-Opelika, AL"
"Hoover","AL","St. Clair",33.375332,-86.819037,35896,115,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Walker",33.375332,-86.819037,35896,127,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Blount",33.375332,-86.819037,35896,9,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Chilton",33.375332,-86.819037,35896,21,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Shelby",33.375332,-86.819037,35896,117,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Bibb",33.375332,-86.819037,35896,7,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Jefferson",33.375332,-86.819037,35896,73,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","St. Clair",33.375332,-86.819037,35896,115,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Walker",33.375332,-86.819037,35896,127,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Blount",33.375332,-86.819037,35896,9,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Chilton",33.375332,-86.819037,35896,21,13820,142,1,"Birmingham-Hoover, AL"
"Hoover","AL","Shelby",33.375332,-86.819037,35896,117,13820,142,1,"Birmingham-Hoover, AL"
