MICROPOLITAN STATISTICAL AREAS AND COMPONENTS, November 2007, WITH CODES

(Micropolitan statistical areas defined by the Office of Management and Budget, November 2007)

Source:                 U.S. Census Bureau, Population Division
Internet Release Date:  June 24, 2008
Last Revised:           

        FIPS
CBSA    State/
Code    County  Micropolitan Statistical Area Titles and Components
10020           Abbeville, LA Micropolitan Statistical Area
10020   22113      Vermilion Parish, LA

10100           Aberdeen, SD Micropolitan Statistical Area
10100   46013      Brown County, SD
10100   46045      Edmunds County, SD

10140           Aberdeen, WA Micropolitan Statistical Area
10140   53027      Grays Harbor County, WA

10220           Ada, OK Micropolitan Statistical Area
10220   40123      Pontotoc County, OK

10260           Adjuntas, PR Micropolitan Statistical Area
10260   72001      Adjuntas Municipio, PR

10300           Adrian, MI Micropolitan Statistical Area
10300   26091      Lenawee County, MI

10460           Alamogordo, NM Micropolitan Statistical Area
10460   35035      Otero County, NM

10540           Albany-Lebanon, OR Micropolitan Statistical Area
10540   41043      Linn County, OR

10620           Albemarle, NC Micropolitan Statistical Area
10620   37167      Stanly County, NC

10660           Albert Lea, MN Micropolitan Statistical Area
10660   27047      Freeborn County, MN

10700           Albertville, AL Micropolitan Statistical Area
10700   01095      Marshall County, AL

10760           Alexander City, AL Micropolitan Statistical Area
10760   01037      Coosa County, AL
10760   01123      Tallapoosa County, AL

10820           Alexandria, MN Micropolitan Statistical Area
10820   27041      Douglas County, MN

10860           Alice, TX Micropolitan Statistical Area
10860   48249      Jim Wells County, TX

10880           Allegan, MI Micropolitan Statistical Area
10880   26005      Allegan County, MI

10940           Alma, MI Micropolitan Statistical Area
10940   26057      Gratiot County, MI

10980           Alpena, MI Micropolitan Statistical Area
10980   26007      Alpena County, MI

11060           Altus, OK Micropolitan Statistical Area
11060   40065      Jackson County, OK

11140           Americus, GA Micropolitan Statistical Area
11140   13249      Schley County, GA
11140   13261      Sumter County, GA

11220           Amsterdam, NY Micropolitan Statistical Area
11220   36057      Montgomery County, NY

11380           Andrews, TX Micropolitan Statistical Area
11380   48003      Andrews County, TX

11420           Angola, IN Micropolitan Statistical Area
11420   18151      Steuben County, IN

11580           Arcadia, FL Micropolitan Statistical Area
11580   12027      DeSoto County, FL

11620           Ardmore, OK Micropolitan Statistical Area
11620   40019      Carter County, OK
11620   40085      Love County, OK

11660           Arkadelphia, AR Micropolitan Statistical Area
11660   05019      Clark County, AR

11740           Ashland, OH Micropolitan Statistical Area
11740   39005      Ashland County, OH

11780           Ashtabula, OH Micropolitan Statistical Area
11780   39007      Ashtabula County, OH

11820           Astoria, OR Micropolitan Statistical Area
11820   41007      Clatsop County, OR

11860           Atchison, KS Micropolitan Statistical Area
11860   20005      Atchison County, KS

11900           Athens, OH Micropolitan Statistical Area
11900   39009      Athens County, OH

11940           Athens, TN Micropolitan Statistical Area
11940   47107      McMinn County, TN

11980           Athens, TX Micropolitan Statistical Area
11980   48213      Henderson County, TX

12140           Auburn, IN Micropolitan Statistical Area
12140   18033      DeKalb County, IN

12180           Auburn, NY Micropolitan Statistical Area
12180   36011      Cayuga County, NY

12300           Augusta-Waterville, ME Micropolitan Statistical Area
12300   23011      Kennebec County, ME

12380           Austin, MN Micropolitan Statistical Area
12380   27099      Mower County, MN

12460           Bainbridge, GA Micropolitan Statistical Area
12460   13087      Decatur County, GA

12660           Baraboo, WI Micropolitan Statistical Area
12660   55111      Sauk County, WI

12740           Barre, VT Micropolitan Statistical Area
12740   50023      Washington County, VT

12780           Bartlesville, OK Micropolitan Statistical Area
12780   40147      Washington County, OK

12820           Bastrop, LA Micropolitan Statistical Area
12820   22067      Morehouse Parish, LA

12860           Batavia, NY Micropolitan Statistical Area
12860   36037      Genesee County, NY

12900           Batesville, AR Micropolitan Statistical Area
12900   05063      Independence County, AR

13060           Bay City, TX Micropolitan Statistical Area
13060   48321      Matagorda County, TX

13100           Beatrice, NE Micropolitan Statistical Area
13100   31067      Gage County, NE

13180           Beaver Dam, WI Micropolitan Statistical Area
13180   55027      Dodge County, WI

13220           Beckley, WV Micropolitan Statistical Area
13220   54081      Raleigh County, WV

13260           Bedford, IN Micropolitan Statistical Area
13260   18093      Lawrence County, IN

13300           Beeville, TX Micropolitan Statistical Area
13300   48025      Bee County, TX

13340           Bellefontaine, OH Micropolitan Statistical Area
13340   39091      Logan County, OH

13420           Bemidji, MN Micropolitan Statistical Area
13420   27007      Beltrami County, MN

13500           Bennettsville, SC Micropolitan Statistical Area
13500   45069      Marlboro County, SC

13540           Bennington, VT Micropolitan Statistical Area
13540   50003      Bennington County, VT

13620           Berlin, NH-VT Micropolitan Statistical Area
13620   33007      Coos County, NH
13620   50009      Essex County, VT

13660           Big Rapids, MI Micropolitan Statistical Area
13660   26107      Mecosta County, MI

13700           Big Spring, TX Micropolitan Statistical Area
13700   48227      Howard County, TX

13860           Bishop, CA Micropolitan Statistical Area
13860   06027      Inyo County, CA

13940           Blackfoot, ID Micropolitan Statistical Area
13940   16011      Bingham County, ID

14100           Bloomsburg-Berwick, PA Micropolitan Statistical Area
14100   42037      Columbia County, PA
14100   42093      Montour County, PA

14140           Bluefield, WV-VA Micropolitan Statistical Area
14140   51185      Tazewell County, VA
14140   54055      Mercer County, WV

14180           Blytheville, AR Micropolitan Statistical Area
14180   05093      Mississippi County, AR

14220           Bogalusa, LA Micropolitan Statistical Area
14220   22117      Washington Parish, LA

14300           Bonham, TX Micropolitan Statistical Area
14300   48147      Fannin County, TX

14340           Boone, IA Micropolitan Statistical Area
14340   19015      Boone County, IA

14380           Boone, NC Micropolitan Statistical Area
14380   37189      Watauga County, NC

14420           Borger, TX Micropolitan Statistical Area
14420   48233      Hutchinson County, TX

14580           Bozeman, MT Micropolitan Statistical Area
14580   30031      Gallatin County, MT

14620           Bradford, PA Micropolitan Statistical Area
14620   42083      McKean County, PA

14660           Brainerd, MN Micropolitan Statistical Area
14660   27021      Cass County, MN
14660   27035      Crow Wing County, MN

14700           Branson, MO Micropolitan Statistical Area
14700   29209      Stone County, MO
14700   29213      Taney County, MO

14780           Brenham, TX Micropolitan Statistical Area
14780   48477      Washington County, TX

14820           Brevard, NC Micropolitan Statistical Area
14820   37175      Transylvania County, NC

14940           Brigham City, UT Micropolitan Statistical Area
14940   49003      Box Elder County, UT

15020           Brookhaven, MS Micropolitan Statistical Area
15020   28085      Lincoln County, MS

15060           Brookings, OR Micropolitan Statistical Area
15060   41015      Curry County, OR

15100           Brookings, SD Micropolitan Statistical Area
15100   46011      Brookings County, SD

15140           Brownsville, TN Micropolitan Statistical Area
15140   47075      Haywood County, TN

15220           Brownwood, TX Micropolitan Statistical Area
15220   48049      Brown County, TX

15340           Bucyrus, OH Micropolitan Statistical Area
15340   39033      Crawford County, OH

15420           Burley, ID Micropolitan Statistical Area
15420   16031      Cassia County, ID
15420   16067      Minidoka County, ID

15460           Burlington, IA-IL Micropolitan Statistical Area
15460   17071      Henderson County, IL
15460   19057      Des Moines County, IA

15580           Butte-Silver Bow, MT Micropolitan Statistical Area
15580   30093      Silver Bow County, MT

15620           Cadillac, MI Micropolitan Statistical Area
15620   26113      Missaukee County, MI
15620   26165      Wexford County, MI

15660           Calhoun, GA Micropolitan Statistical Area
15660   13129      Gordon County, GA

15700           Cambridge, MD Micropolitan Statistical Area
15700   24019      Dorchester County, MD

15740           Cambridge, OH Micropolitan Statistical Area
15740   39059      Guernsey County, OH

15780           Camden, AR Micropolitan Statistical Area
15780   05013      Calhoun County, AR
15780   05103      Ouachita County, AR

15820           Campbellsville, KY Micropolitan Statistical Area
15820   21217      Taylor County, KY

15860           Canon City, CO Micropolitan Statistical Area
15860   08043      Fremont County, CO

15900           Canton, IL Micropolitan Statistical Area
