"fips","Metropolitan Area"
998,"U.S. Metropolitan Portion"
10180,"Abilene, TX (MSA)"
10420,"Akron, OH (MSA)"
10500,"Albany, GA (MSA)"
10580,"Albany-Schenectady-Troy, NY (MSA)"
10740,"Albuquerque, NM (MSA)"
10780,"Alexandria, LA (MSA)"
10900,"Allentown-Bethlehem-Easton, PA-NJ (MSA)"
11020,"Altoona, PA (MSA)"
11100,"Amarillo, TX (MSA)"
11180,"Ames, IA (MSA)"
11260,"Anchorage, AK (MSA)"
11300,"Anderson, IN (MSA)"
11340,"Anderson, SC (MSA)"
11460,"Ann Arbor, MI (MSA)"
11500,"Anniston-Oxford, AL (MSA)"
11540,"Appleton, WI (MSA)"
11700,"Asheville, NC (MSA)"
12020,"Athens-Clarke County, GA (MSA)"
12060,"Atlanta-Sandy Springs-Marietta, GA (MSA)"
12100,"Atlantic City-Hammonton, NJ (MSA)"
12220,"Auburn-Opelika, AL (MSA)"
12260,"Augusta-Richmond County, GA-SC (MSA)"
12420,"Austin-Round Rock, TX (MSA)"
12540,"Bakersfield, CA (MSA)"
12580,"Baltimore-Towson, MD (MSA)"
12620,"Bangor, ME (MSA)"
12700,"Barnstable Town, MA (MSA)"
12940,"Baton Rouge, LA (MSA)"
12980,"Battle Creek, MI (MSA)"
13020,"Bay City, MI (MSA)"
13140,"Beaumont-Port Arthur, TX (MSA)"
13380,"Bellingham, WA (MSA)"
13460,"Bend, OR (MSA)"
13740,"Billings, MT (MSA)"
13780,"Binghamton, NY (MSA)"
13820,"Birmingham-Hoover, AL (MSA)"
13900,"Bismarck, ND (MSA)"
13980,"Blacksburg-Christiansburg-Radford, VA (MSA)"
14020,"Bloomington, IN (MSA)"
14060,"Bloomington-Normal, IL (MSA)"
14260,"Boise City-Nampa, ID (MSA)"
14460,"Boston-Cambridge-Quincy, MA-NH (MSA)"
14500,"Boulder, CO (MSA)"
14540,"Bowling Green, KY (MSA)"
14600,"Bradenton-Sarasota-Venice, FL (MSA)"
14740,"Bremerton-Silverdale, WA (MSA)"
14860,"Bridgeport-Stamford-Norwalk, CT (MSA)"
15180,"Brownsville-Harlingen, TX (MSA)"
15260,"Brunswick, GA (MSA)"
15380,"Buffalo-Niagara Falls, NY (MSA)"
15500,"Burlington, NC (MSA)"
15540,"Burlington-South Burlington, VT (MSA)"
15940,"Canton-Massillon, OH (MSA)"
15980,"Cape Coral-Fort Myers, FL (MSA)"
16180,"Carson City, NV (MSA)"
16220,"Casper, WY (MSA)"
16300,"Cedar Rapids, IA (MSA)"
16580,"Champaign-Urbana, IL (MSA)"
16620,"Charleston, WV (MSA)"
16700,"Charleston-North Charleston-Summerville, SC (MSA)"
16740,"Charlotte-Gastonia-Concord, NC-SC (MSA)"
16820,"Charlottesville, VA (MSA)"
16860,"Chattanooga, TN-GA (MSA)"
16940,"Cheyenne, WY (MSA)"
16980,"Chicago-Naperville-Joliet, IL-IN-WI (MSA)"
17020,"Chico, CA (MSA)"
17140,"Cincinnati-Middletown, OH-KY-IN (MSA)"
17300,"Clarksville, TN-KY (MSA)"
17420,"Cleveland, TN (MSA)"
17460,"Cleveland-Elyria-Mentor, OH (MSA)"
17660,"Coeur d'Alene, ID (MSA)"
17780,"College Station-Bryan, TX (MSA)"
17820,"Colorado Springs, CO (MSA)"
17860,"Columbia, MO (MSA)"
17900,"Columbia, SC (MSA)"
17980,"Columbus, GA-AL (MSA)"
18020,"Columbus, IN (MSA)"
18140,"Columbus, OH (MSA)"
18580,"Corpus Christi, TX (MSA)"
18700,"Corvallis, OR (MSA)"
19060,"Cumberland, MD-WV (MSA)"
19100,"Dallas-Fort Worth-Arlington, TX (MSA)"
19140,"Dalton, GA (MSA)"
19180,"Danville, IL (MSA)"
19260,"Danville, VA (MSA)"
19340,"Davenport-Moline-Rock Island, IA-IL (MSA)"
19380,"Dayton, OH (MSA)"
19460,"Decatur, AL (MSA)"
19500,"Decatur, IL (MSA)"
19660,"Deltona-Daytona Beach-Ormond Beach, FL (MSA)"
19740,"Denver-Aurora, CO (MSA)"
19780,"Des Moines-West Des Moines, IA (MSA)"
19820,"Detroit-Warren-Livonia, MI (MSA)"
20020,"Dothan, AL (MSA)"
20100,"Dover, DE (MSA)"
20220,"Dubuque, IA (MSA)"
20260,"Duluth, MN-WI (MSA)"
20500,"Durham, NC (MSA)"
20740,"Eau Claire, WI (MSA)"
20940,"El Centro, CA (MSA)"
21060,"Elizabethtown, KY (MSA)"
21140,"Elkhart-Goshen, IN (MSA)"
21300,"Elmira, NY (MSA)"
21340,"El Paso, TX (MSA)"
21500,"Erie, PA (MSA)"
21660,"Eugene-Springfield, OR (MSA)"
21780,"Evansville, IN-KY (MSA)"
21820,"Fairbanks, AK (MSA)"
22020,"Fargo, ND-MN (MSA)"
22140,"Farmington, NM (MSA)"
22180,"Fayetteville, NC (MSA)"
22220,"Fayetteville-Springdale-Rogers, AR-MO (MSA)"
22380,"Flagstaff, AZ (MSA)"
22420,"Flint, MI (MSA)"
22500,"Florence, SC (MSA)"
22520,"Florence-Muscle Shoals, AL (MSA)"
22540,"Fond du Lac, WI (MSA)"
22660,"Fort Collins-Loveland, CO (MSA)"
22900,"Fort Smith, AR-OK (MSA)"
23020,"Fort Walton Beach-Crestview-Destin, FL (MSA)"
23060,"Fort Wayne, IN (MSA)"
23420,"Fresno, CA (MSA)"
23460,"Gadsden, AL (MSA)"
23540,"Gainesville, FL (MSA)"
23580,"Gainesville, GA (MSA)"
24020,"Glens Falls, NY (MSA)"
24140,"Goldsboro, NC (MSA)"
24220,"Grand Forks, ND-MN (MSA)"
24300,"Grand Junction, CO (MSA)"
24340,"Grand Rapids-Wyoming, MI (MSA)"
24500,"Great Falls, MT (MSA)"
24540,"Greeley, CO (MSA)"
24580,"Green Bay, WI (MSA)"
24660,"Greensboro-High Point, NC (MSA)"
