"cbsa","county","cntyname","cbsaname","pop2k","afact"
"cbsa","county","cntyname","CBSA Name","Total Pop, 2000 census","cbsa to county alloc factor"
" ","01011","Bullock AL"," ",11714,0.001 
" ","01013","Butler AL"," ",21399,0.001 
" ","01019","Cherokee AL"," ",23988,0.001 
" ","01023","Choctaw AL"," ",15922,0.001 
" ","01025","Clarke AL"," ",27867,0.001 
" ","01027","Clay AL"," ",14254,0.001 
" ","01029","Cleburne AL"," ",14123,0.001 
" ","01035","Conecuh AL"," ",14089,0.001 
" ","01039","Covington AL"," ",37631,0.002 
" ","01041","Crenshaw AL"," ",13665,0.001 
" ","01053","Escambia AL"," ",38440,0.002 
" ","01057","Fayette AL"," ",18495,0.001 
" ","01059","Franklin AL"," ",31223,0.002 
" ","01075","Lamar AL"," ",15904,0.001 
" ","01091","Marengo AL"," ",22539,0.001 
" ","01093","Marion AL"," ",31214,0.002 
" ","01099","Monroe AL"," ",24324,0.001 
" ","01105","Perry AL"," ",11861,0.001 
" ","01107","Pickens AL"," ",20949,0.001 
" ","01111","Randolph AL"," ",22380,0.001 
" ","01119","Sumter AL"," ",14798,0.001 
" ","01129","Washington AL"," ",18097,0.001 
" ","01131","Wilcox AL"," ",13183,0.001 
" ","01133","Winston AL"," ",24843,0.001 
" ","02013","Aleutians East Borough AK"," ",2697,0 
" ","02016","Aleutians West Census Area AK"," ",5465,0 
" ","02050","Bethel Census Area AK"," ",16006,0.001 
" ","02060","Bristol Bay Borough AK"," ",1258,0 
" ","02068","Denali Borough AK"," ",1893,0 
" ","02070","Dillingham Census Area AK"," ",4922,0 
" ","02100","Haines Borough AK"," ",2392,0 
" ","02122","Kenai Peninsula Borough AK"," ",49691,0.003 
" ","02164","Lake and Peninsula Borough AK"," ",1823,0 
" ","02180","Nome Census Area AK"," ",9196,0 
" ","02185","North Slope Borough AK"," ",7385,0 
" ","02188","Northwest Arctic Borough AK"," ",7208,0 
" ","02201","Prince of Wales-Outer Ketchikan Census A"," ",6146,0 
" ","02220","Sitka Borough AK"," ",8835,0 
" ","02232","Skagway-Hoonah-Angoon Census Area AK"," ",3436,0 
" ","02240","Southeast Fairbanks Census Area AK"," ",6174,0 
" ","02261","Valdez-Cordova Census Area AK"," ",10195,0.001 
" ","02270","Wade Hampton Census Area AK"," ",7028,0 
" ","02280","Wrangell-Petersburg Census Area AK"," ",6684,0 
" ","02282","Yakutat Borough"," ",808,0 
" ","02290","Yukon-Koyukuk Census Area AK"," ",6551,0 
" ","04001","Apache AZ"," ",69423,0.004 
" ","04012","La Paz AZ"," ",19715,0.001 
" ","05001","Arkansas AR"," ",20749,0.001 
" ","05003","Ashley AR"," ",24209,0.001 
" ","05011","Bradley AR"," ",12600,0.001 
" ","05015","Carroll AR"," ",25357,0.001 
" ","05017","Chicot AR"," ",14117,0.001 
" ","05021","Clay AR"," ",17609,0.001 
" ","05023","Cleburne AR"," ",24046,0.001 
" ","05029","Conway AR"," ",20336,0.001 
" ","05037","Cross AR"," ",19526,0.001 
" ","05039","Dallas AR"," ",9210,0 
" ","05041","Desha AR"," ",15341,0.001 
" ","05043","Drew AR"," ",18723,0.001 
" ","05049","Fulton AR"," ",11642,0.001 
" ","05059","Hot Spring AR"," ",30353,0.002 
" ","05061","Howard AR"," ",14300,0.001 
" ","05065","Izard AR"," ",13249,0.001 
" ","05067","Jackson AR"," ",18418,0.001 
" ","05071","Johnson AR"," ",22781,0.001 
" ","05073","Lafayette AR"," ",8559,0 
" ","05075","Lawrence AR"," ",17774,0.001 
" ","05077","Lee AR"," ",12580,0.001 
" ","05081","Little River AR"," ",13628,0.001 
