"cbsatype","state","puma5","stab","pop2k","afact"
"cbsatype","FIPS state","puma5","State Postal Code","Total Pop, 2000 census","cbsatype to puma5 alloc factor"
" ","01","00500","AL",24843,0.001 
" ","01","00700","AL",132583,0.007 
" ","01","01100","AL",74745,0.004 
" ","01","01500","AL",34400,0.002 
" ","01","01800","AL",46778,0.002 
" ","01","02100","AL",151922,0.008 
" ","01","02500","AL",37631,0.002 
" ","02","00200","AK",49691,0.003 
" ","02","00300","AK",29489,0.002 
" ","02","00400","AK",86613,0.005 
" ","04","00300","AZ",69423,0.004 
" ","04","00600","AZ",19715,0.001 
" ","05","00300","AR",49758,0.003 
" ","05","00400","AR",93747,0.005 
" ","05","00500","AR",53578,0.003 
" ","05","00700","AR",32106,0.002 
" ","05","00800","AR",46952,0.002 
" ","05","01200","AR",43117,0.002 
" ","05","01400","AR",83768,0.004 
" ","05","01500","AR",39598,0.002 
" ","05","01600","AR",20749,0.001 
" ","05","01700","AR",84990,0.004 
" ","05","01800","AR",9210,0 
" ","05","01900","AR",33490,0.002 
" ","06","00100","CA",53750,0.003 
" ","06","00500","CA",58279,0.003 
" ","06","00700","CA",24379,0.001 
" ","06","01800","CA",106845,0.006 
" ","08","00101","CO",84228,0.004 
" ","08","00400","CO",65944,0.003 
" ","08","00501","CO",93256,0.005 
" ","08","00600","CO",70558,0.004 
" ","08","00700","CO",46633,0.002 
" ","08","01000","CO",19745,0.001 
" ","12","00400","FL",126893,0.007 
" ","12","00600","FL",82416,0.004 
" ","12","00800","FL",103470,0.005 
" ","12","00900","FL",39530,0.002 
" ","12","03100","FL",10576,0.001 
" ","13","00300","GA",125872,0.007 
" ","13","00400","GA",99293,0.005 
" ","13","02200","GA",77822,0.004 
" ","13","02500","GA",86784,0.005 
" ","13","02600","GA",29032,0.002 
" ","13","02900","GA",6498,0 
" ","13","03100","GA",36804,0.002 
" ","13","03200","GA",73829,0.004 
" ","13","03300","GA",72480,0.004 
" ","13","03800","GA",27263,0.001 
" ","13","03900","GA",41510,0.002 
" ","13","04100","GA",59006,0.003 
" ","13","04200","GA",39411,0.002 
" ","15","00100","HI",147,0 
" ","16","00100","ID",69648,0.004 
" ","16","00200","ID",28188,0.001 
" ","16","00300","ID",16069,0.001 
" ","16","00400","ID",21104,0.001 
" ","16","00800","ID",38181,0.002 
" ","16","00900","ID",17840,0.001 
" ","17","00101","IL",38963,0.002 
" ","17","00200","IL",20121,0.001 
" ","17","00300","IL",47561,0.002 
" ","17","00400","IL",28456,0.001 
" ","17","00500","IL",52454,0.003 
" ","17","00600","IL",39626,0.002 
" ","17","00700","IL",110889,0.006 
" ","17","00800","IL",89456,0.005 
" ","17","00900","IL",62112,0.003 
" ","17","01000","IL",49041,0.003 
" ","17","01600","IL",53978,0.003 
" ","17","02200","IL",31334,0.002 
" ","18","00800","IN",34909,0.002 
" ","18","01300","IN",57822,0.003 
" ","18","01400","IN",51640,0.003 
" ","18","01600","IN",35854,0.002 
" ","18","02200","IN",27401,0.001 
" ","18","02600","IN",17241,0.001 
" ","18","02800","IN",10369,0.001 
" ","18","03100","IN",25610,0.001 
" ","18","03200","IN",35588,0.002 
" ","18","03500","IN",30049,0.002 
" ","18","03600","IN",39290,0.002 
" ","19","00100","IA",86631,0.005 
" ","19","00200","IA",79464,0.004 
" ","19","00300","IA",136096,0.007 
" ","19","00500","IA",56887,0.003 
" ","19","00600","IA",71401,0.004 
" ","19","00900","IA",60930,0.003 
" ","19","01000","IA",122829,0.006 
" ","19","01200","IA",64614,0.003 
" ","19","01300","IA",137103,0.007 
" ","19","01800","IA",20336,0.001 
" ","20","00100","KS",75481,0.004 
" ","20","00200","KS",43412,0.002 
" ","20","00300","KS",45235,0.002 
" ","20","00400","KS",21441,0.001 
" ","20","00900","KS",29899,0.002 
" ","20","01000","KS",10761,0.001 
" ","20","01100","KS",54430,0.003 
" ","20","01200","KS",60586,0.003 
" ","20","01500","KS",59614,0.003 
