"state","puma5","cbsa","stab","cbsaname","pop2k","afact"
"FIPS state","puma5","cbsa","State Postal Code","CBSA Name","Total Pop, 2000 census","puma5 to cbsa alloc factor"
"01","00100","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",142950,1 
"01","00200","26620","AL","Huntsville, AL Metropolitan Statistical Area",157952,1 
"01","00300","26620","AL","Huntsville, AL Metropolitan Statistical Area",184424,1 
"01","00400","22840","AL","Fort Payne, AL Micropolitan Statistical Area",64452,0.544 
"01","00400","42460","AL","Scottsboro, AL Micropolitan Statistical Area",53926,0.456 
"01","00500"," ","AL"," ",24843,0.135 
"01","00500","10700","AL","Albertville, AL Micropolitan Statistical Area",82231,0.446 
"01","00500","18980","AL","Cullman, AL Micropolitan Statistical Area",77483,0.42 
"01","00600","19460","AL","Decatur, AL Metropolitan Statistical Area",145867,1 
"01","00700"," ","AL"," ",132583,1 
"01","00800","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",186479,1 
"01","00901","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",103629,1 
"01","00902","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",123233,1 
"01","00903","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",154204,1 
"01","00904","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",177089,1 
"01","00905","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",103892,1 
"01","01000","23460","AL","Gadsden, AL Metropolitan Statistical Area",103459,1 
"01","01100"," ","AL"," ",74745,0.482 
"01","01100","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area",80321,0.518 
"01","01200","11500","AL","Anniston-Oxford, AL Metropolitan Statistical Area",112249,1 
"01","01300","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",143293,1 
"01","01400","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area",164875,1 
"01","01500"," ","AL"," ",34400,0.267 
"01","01500","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",20826,0.162 
"01","01500","42820","AL","Selma, AL Micropolitan Statistical Area",46365,0.36 
"01","01500","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area",27159,0.211 
"01","01600","10760","AL","Alexander City, AL Micropolitan Statistical Area",53677,0.413 
"01","01600","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area",39593,0.305 
"01","01600","46740","AL","Valley, AL Micropolitan Statistical Area",36583,0.282 
"01","01700","12220","AL","Auburn-Opelika, AL Metropolitan Statistical Area",115092,1 
"01","01800"," ","AL"," ",46778,0.239 
"01","01800","17980","AL","Columbus, GA-AL Metropolitan Statistical Area",49756,0.254 
"01","01800","20020","AL","Dothan, AL Metropolitan Statistical Area",16310,0.083 
"01","01800","21640","AL","Eufaula, AL-GA Micropolitan Statistical Area",29038,0.148 
"01","01800","45980","AL","Troy, AL Micropolitan Statistical Area",29605,0.151 
"01","01800","46260","AL","Tuskegee, AL Micropolitan Statistical Area",24105,0.123 
"01","01900","33860","AL","Montgomery, AL Metropolitan Statistical Area",201568,1 
"01","02000","33860","AL","Montgomery, AL Metropolitan Statistical Area",131487,1 
"01","02100"," ","AL"," ",151922,0.919 
"01","02100","33860","AL","Montgomery, AL Metropolitan Statistical Area",13473,0.081 
"01","02200","33660","AL","Mobile, AL Metropolitan Statistical Area",198915,1 
"01","02300","33660","AL","Mobile, AL Metropolitan Statistical Area",200928,1 
"01","02400","19300","AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",140415,1 
