"county","pmsa","cntyname","pmsaname","pop2k","afact"
"01001"," ","Autauga AL"," ",43671,1 
"01003"," ","Baldwin AL"," ",140415,1 
"01005"," ","Barbour AL"," ",29038,1 
"01007"," ","Bibb AL"," ",20826,1 
"01009"," ","Blount AL"," ",51024,1 
"01011"," ","Bullock AL"," ",11714,1 
"01013"," ","Butler AL"," ",21399,1 
"01015"," ","Calhoun AL"," ",112249,1 
"01017"," ","Chambers AL"," ",36583,1 
"01019"," ","Cherokee AL"," ",23988,1 
"01021"," ","Chilton AL"," ",39593,1 
"01023"," ","Choctaw AL"," ",15922,1 
"01025"," ","Clarke AL"," ",27867,1 
"01027"," ","Clay AL"," ",14254,1 
"01029"," ","Cleburne AL"," ",14123,1 
"01031"," ","Coffee AL"," ",43615,1 
"01033"," ","Colbert AL"," ",54984,1 
"01035"," ","Conecuh AL"," ",14089,1 
"01037"," ","Coosa AL"," ",12202,1 
"01039"," ","Covington AL"," ",37631,1 
"01041"," ","Crenshaw AL"," ",13665,1 
"01043"," ","Cullman AL"," ",77483,1 
"01045"," ","Dale AL"," ",49129,1 
"01047"," ","Dallas AL"," ",46365,1 
"01049"," ","DeKalb AL"," ",64452,1 
"01051"," ","Elmore AL"," ",65874,1 
"01053"," ","Escambia AL"," ",38440,1 
"01055"," ","Etowah AL"," ",103459,1 
"01057"," ","Fayette AL"," ",18495,1 
"01059"," ","Franklin AL"," ",31223,1 
"01061"," ","Geneva AL"," ",25764,1 
"01063"," ","Greene AL"," ",9974,1 
"01065"," ","Hale AL"," ",17185,1 
"01067"," ","Henry AL"," ",16310,1 
"01069"," ","Houston AL"," ",88787,1 
"01071"," ","Jackson AL"," ",53926,1 
"01073"," ","Jefferson AL"," ",662047,1 
"01075"," ","Lamar AL"," ",15904,1 
"01077"," ","Lauderdale AL"," ",87966,1 
"01079"," ","Lawrence AL"," ",34803,1 
"01081"," ","Lee AL"," ",115092,1 
"01083"," ","Limestone AL"," ",65676,1 
"01085"," ","Lowndes AL"," ",13473,1 
"01087"," ","Macon AL"," ",24105,1 
"01089"," ","Madison AL"," ",276700,1 
"01091"," ","Marengo AL"," ",22539,1 
"01093"," ","Marion AL"," ",31214,1 
"01095"," ","Marshall AL"," ",82231,1 
"01097"," ","Mobile AL"," ",399843,1 
"01099"," ","Monroe AL"," ",24324,1 
"01101"," ","Montgomery AL"," ",223510,1 
"01103"," ","Morgan AL"," ",111064,1 
"01105"," ","Perry AL"," ",11861,1 
"01107"," ","Pickens AL"," ",20949,1 
"01109"," ","Pike AL"," ",29605,1 
"01111"," ","Randolph AL"," ",22380,1 
"01113"," ","Russell AL"," ",49756,1 
"01115"," ","St. Clair AL"," ",64742,1 
"01117"," ","Shelby AL"," ",143293,1 
"01119"," ","Sumter AL"," ",14798,1 
