areacode2,MSA,State,State_Alpha,County,MSAName,StateName,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,FMRType,pop100
10000005,10000,1,AL,5,,Alabama,282,336,400,519,595,40,29038
10000007,10000,1,AL,7,,Alabama,282,336,400,541,648,40,20826
10000011,10000,1,AL,11,,Alabama,282,336,400,519,595,40,11714
10000013,10000,1,AL,13,,Alabama,282,336,400,519,595,40,21399
10000017,10000,1,AL,17,,Alabama,282,336,400,519,596,40,36583
10000019,10000,1,AL,19,,Alabama,282,336,400,519,595,40,23988
10000021,10000,1,AL,21,,Alabama,293,336,400,519,595,40,39593
10000023,10000,1,AL,23,,Alabama,282,336,400,519,595,40,15922
10000025,10000,1,AL,25,,Alabama,282,336,400,519,595,40,27867
10000027,10000,1,AL,27,,Alabama,282,336,400,519,595,40,14254
10000029,10000,1,AL,29,,Alabama,282,336,400,519,595,40,14123
10000031,10000,1,AL,31,,Alabama,276,389,505,702,788,40,43615
10000035,10000,1,AL,35,,Alabama,282,336,400,519,595,40,14089
10000037,10000,1,AL,37,,Alabama,282,336,400,519,595,40,12202
10000039,10000,1,AL,39,,Alabama,282,336,400,519,595,40,37631
10000041,10000,1,AL,41,,Alabama,282,336,400,519,595,40,13665
10000043,10000,1,AL,43,,Alabama,282,336,400,532,646,40,77483
10000047,10000,1,AL,47,,Alabama,282,336,400,519,595,40,46365
10000049,10000,1,AL,49,,Alabama,282,336,400,519,595,40,64452
10000053,10000,1,AL,53,,Alabama,282,336,400,519,595,40,38440
10000057,10000,1,AL,57,,Alabama,282,336,400,519,595,40,18495
10000059,10000,1,AL,59,,Alabama,282,336,400,519,595,40,31223
10000061,10000,1,AL,61,,Alabama,282,336,400,519,595,40,25764
10000063,10000,1,AL,63,,Alabama,282,336,400,519,595,40,9974
10000065,10000,1,AL,65,,Alabama,282,336,400,519,595,40,17185
10000067,10000,1,AL,67,,Alabama,282,336,400,519,595,40,16310
10000071,10000,1,AL,71,,Alabama,305,336,400,519,637,40,53926
10000075,10000,1,AL,75,,Alabama,282,336,400,519,595,40,15904
10000085,10000,1,AL,85,,Alabama,282,336,400,519,595,40,13473
10000087,10000,1,AL,87,,Alabama,310,348,464,581,651,40,24105
10000091,10000,1,AL,91,,Alabama,282,336,400,519,595,40,22539
10000093,10000,1,AL,93,,Alabama,282,336,400,519,595,40,31214
10000095,10000,1,AL,95,,Alabama,324,336,408,563,668,40,82231
10000099,10000,1,AL,99,,Alabama,282,336,400,519,595,40,24324
10000105,10000,1,AL,105,,Alabama,282,336,400,519,595,40,11861
10000107,10000,1,AL,107,,Alabama,282,336,400,519,595,40,20949
10000109,10000,1,AL,109,,Alabama,338,393,469,608,709,40,29605
10000111,10000,1,AL,111,,Alabama,282,336,400,519,595,40,22380
10000119,10000,1,AL,119,,Alabama,282,336,400,519,595,40,14798
10000121,10000,1,AL,121,,Alabama,282,336,400,519,595,40,80321
10000123,10000,1,AL,123,,Alabama,283,336,400,519,595,40,41475
10000127,10000,1,AL,127,,Alabama,284,351,414,535,680,40,70713
10000129,10000,1,AL,129,,Alabama,282,336,400,519,595,40,18097
10000131,10000,1,AL,131,,Alabama,282,336,400,519,595,40,13183
10000133,10000,1,AL,133,,Alabama,282,336,400,519,595,40,24843
10450000,450,1,AL,15,"Anniston, AL MSA",Alabama,303,358,448,625,708,40,112249
10580000,580,1,AL,81,"Auburn--Opelika, AL MSA",Alabama,296,413,531,690,872,40,115092
11000000,1000,1,AL,117,"Birmingham, AL MSA",Alabama,455,514,598,812,899,40,921106
12030000,2030,1,AL,103,"Decatur, AL MSA",Alabama,394,398,501,650,777,40,145867
12180000,2180,1,AL,69,"Dothan, AL MSA",Alabama,370,379,471,647,657,40,137916
12650000,2650,1,AL,77,"Florence, AL MSA",Alabama,347,398,511,638,715,40,142950
12880000,2880,1,AL,55,"Gadsden, AL MSA",Alabama,307,376,433,563,693,40,103459
13440000,3440,1,AL,89,"Huntsville, AL MSA",Alabama,413,485,597,796,947,40,342376
15160000,5160,1,AL,97,"Mobile, AL MSA",Alabama,428,479,550,740,867,40,540258
15240000,5240,1,AL,101,"Montgomery, AL MSA",Alabama,457,488,577,786,947,40,333055
18600000,8600,1,AL,125,"Tuscaloosa, AL MSA",Alabama,390,416,555,761,805,40,164875
20000013,10000,2,AK,13,,Alaska,599,675,762,951,1245,40,2697
20000016,10000,2,AK,16,,Alaska,516,584,653,820,918,40,5465
20000050,10000,2,AK,50,,Alaska,779,973,1234,1545,1728,40,16006
20000060,10000,2,AK,60,,Alaska,633,732,822,1144,1242,40,1258
20000068,10000,2,AK,68,,Alaska,834,963,1227,1631,1695,40,1893
20000070,10000,2,AK,70,,Alaska,742,754,1002,1254,1405,40,4922
20000090,10000,2,AK,90,,Alaska,464,631,829,1139,1343,40,82840
20000100,10000,2,AK,100,,Alaska,555,688,783,1065,1097,40,2392
20000110,10000,2,AK,110,,Alaska,834,963,1227,1631,1695,40,30711
20000122,10000,2,AK,122,,Alaska,518,660,795,1103,1303,40,49691
20000130,10000,2,AK,130,,Alaska,615,753,1007,1402,1476,40,14070
20000150,10000,2,AK,150,,Alaska,813,894,1162,1452,1884,40,13913
20000164,10000,2,AK,164,,Alaska,473,767,861,1075,1208,40,1823
20000170,10000,2,AK,170,,Alaska,525,710,799,1085,1282,40,59322
20000180,10000,2,AK,180,,Alaska,789,976,1096,1526,1722,40,9196
20000185,10000,2,AK,185,,Alaska,913,935,1156,1607,1872,40,7385
20000188,10000,2,AK,188,,Alaska,951,1070,1200,1670,1971,40,7208
20000201,10000,2,AK,201,,Alaska,425,676,779,1080,1142,40,6146
20000220,10000,2,AK,220,,Alaska,655,779,874,1217,1435,40,8835
20000232,10000,2,AK,232,,Alaska,515,524,678,850,954,40,3436
20000240,10000,2,AK,240,,Alaska,527,553,667,835,938,40,6174
20000261,10000,2,AK,261,,Alaska,625,766,850,1085,1294,40,10195
20000270,10000,2,AK,270,,Alaska,447,672,758,948,1061,40,7028
20000280,10000,2,AK,280,,Alaska,451,665,808,1028,1130,40,6684
20000282,10000,2,AK,282,,Alaska,515,524,678,850,954,40,808
20000290,10000,2,AK,290,,Alaska,590,665,751,939,1086,40,6551
20380000,380,2,AK,20,"Anchorage, AK MSA",Alaska,596,705,935,1300,1535,40,260283
40000001,10000,4,AZ,1,,Arizona,432,454,577,753,895,40,69423
40000003,10000,4,AZ,3,,Arizona,440,462,587,767,911,40,117755
40000007,10000,4,AZ,7,,Arizona,432,454,577,753,895,40,51335
40000009,10000,4,AZ,9,,Arizona,432,454,577,753,895,40,33489
40000011,10000,4,AZ,11,,Arizona,432,454,577,753,895,40,8547
40000012,10000,4,AZ,12,,Arizona,440,462,587,767,911,40,19715
40000017,10000,4,AZ,17,,Arizona,440,462,587,767,911,40,97470
40000023,10000,4,AZ,23,,Arizona,430,475,591,749,890,40,38381
40000025,10000,4,AZ,25,,Arizona,449,467,625,871,959,40,167517
42620000,2620,4,AZ,5,"Flagstaff, AZ--UT MSA",Arizona,670,723,939,1259,1512,40,116320
46200000,6200,4,AZ,21,"Phoenix--Mesa, AZ MSA",Arizona,549,664,835,1161,1367,50,3251876
48520000,8520,4,AZ,19,"Tucson, AZ MSA",Arizona,465,557,741,1030,1215,40,843746
49360000,9360,4,AZ,27,"Yuma, AZ MSA",Arizona,449,521,694,964,971,40,160026
50000001,10000,5,AR,1,,Arkansas,301,326,418,571,619,40,20749
50000003,10000,5,AR,3,,Arkansas,275,326,418,554,655,40,24209
50000005,10000,5,AR,5,,Arkansas,276,350,466,599,730,40,38386
50000009,10000,5,AR,9,,Arkansas,315,321,426,593,699,40,33948
50000011,10000,5,AR,11,,Arkansas,275,326,418,554,619,40,12600
50000013,10000,5,AR,13,,Arkansas,275,326,418,554,619,40,5744
50000015,10000,5,AR,15,,Arkansas,323,352,418,554,661,40,25357
50000017,10000,5,AR,17,,Arkansas,275,326,418,554,619,40,14117
50000019,10000,5,AR,19,,Arkansas,305,332,430,562,679,40,23546
50000021,10000,5,AR,21,,Arkansas,275,326,418,554,619,40,17609
50000023,10000,5,AR,23,,Arkansas,310,326,418,554,627,40,24046
50000025,10000,5,AR,25,,Arkansas,275,326,418,554,619,40,8571
50000027,10000,5,AR,27,,Arkansas,275,326,418,554,619,40,25603
50000029,10000,5,AR,29,,Arkansas,271,334,448,560,627,40,20336
50000037,10000,5,AR,37,,Arkansas,285,361,418,561,663,40,19526
50000039,10000,5,AR,39,,Arkansas,275,326,418,554,619,40,9210
50000041,10000,5,AR,41,,Arkansas,275,326,418,554,619,40,15341
50000043,10000,5,AR,43,,Arkansas,269,348,464,642,654,40,18723
50000047,10000,5,AR,47,,Arkansas,288,326,418,554,619,40,17771
50000049,10000,5,AR,49,,Arkansas,284,326,418,554,619,40,11642
50000051,10000,5,AR,51,,Arkansas,277,352,472,659,779,40,88068
50000053,10000,5,AR,53,,Arkansas,285,338,418,554,625,40,16464
50000055,10000,5,AR,55,,Arkansas,294,326,418,554,619,40,37331
50000057,10000,5,AR,57,,Arkansas,275,326,418,554,619,40,23587
50000059,10000,5,AR,59,,Arkansas,275,326,418,554,619,40,30353
50000061,10000,5,AR,61,,Arkansas,275,326,418,554,619,40,14300
50000063,10000,5,AR,63,,Arkansas,289,334,418,554,619,40,34233
