State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1,METRO11500M11500,"Anniston-Oxford, AL MSA",467,484,594,804,939,AL,112249
1,METRO12220M12220,"Auburn-Opelika, AL MSA",436,520,670,911,935,AL,115092
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",590,679,757,964,1035,AL,941932
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",398,550,611,761,859,AL,39593
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",496,497,595,769,954,AL,70713
1,METRO17980M17980,"Columbus, GA-AL MSA",583,617,703,927,1097,AL,49756
1,METRO19460M19460,"Decatur, AL MSA",467,533,600,819,842,AL,145867
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",441,513,570,724,830,AL,114551
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",366,506,562,671,780,AL,16310
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",499,500,614,810,942,AL,142950
1,METRO23460M23460,"Gadsden, AL MSA",457,523,608,794,821,AL,103459
1,METRO26620M26620,"Huntsville, AL MSA",539,575,689,945,1115,AL,342376
1,METRO33660M33660,"Mobile, AL MSA",591,626,715,941,1135,AL,399843
1,METRO33860M33860,"Montgomery, AL MSA",580,666,757,1017,1327,AL,346528
1,METRO46220M46220,"Tuscaloosa, AL MSA",521,585,731,959,988,AL,192034
1,NCNTY01003N01003,"Baldwin County, AL",524,705,785,1068,1363,AL,140415
1,NCNTY01005N01005,"Barbour County, AL",453,454,544,749,885,AL,29038
1,NCNTY01011N01011,"Bullock County, AL",397,487,581,696,717,AL,11714
1,NCNTY01013N01013,"Butler County, AL",397,487,581,696,717,AL,21399
1,NCNTY01017N01017,"Chambers County, AL",424,494,549,727,750,AL,36583
1,NCNTY01019N01019,"Cherokee County, AL",489,508,590,702,725,AL,23988
1,NCNTY01023N01023,"Choctaw County, AL",426,436,514,648,836,AL,15922
1,NCNTY01025N01025,"Clarke County, AL",356,483,550,659,969,AL,27867
1,NCNTY01027N01027,"Clay County, AL",460,461,552,684,908,AL,14254
1,NCNTY01029N01029,"Cleburne County, AL",458,460,552,684,908,AL,14123
1,NCNTY01031N01031,"Coffee County, AL",423,527,598,872,1048,AL,43615
1,NCNTY01035N01035,"Conecuh County, AL",426,436,514,648,836,AL,14089
1,NCNTY01037N01037,"Coosa County, AL",418,490,544,734,840,AL,12202
1,NCNTY01039N01039,"Covington County, AL",430,435,538,686,924,AL,37631
1,NCNTY01041N01041,"Crenshaw County, AL",397,487,581,696,717,AL,13665
1,NCNTY01043N01043,"Cullman County, AL",471,492,569,782,919,AL,77483
1,NCNTY01045N01045,"Dale County, AL",424,496,552,766,953,AL,49129
1,NCNTY01047N01047,"Dallas County, AL",368,513,569,682,721,AL,46365
1,NCNTY01049N01049,"DeKalb County, AL",405,462,551,711,771,AL,64452
1,NCNTY01053N01053,"Escambia County, AL",432,433,523,655,763,AL,38440
1,NCNTY01057N01057,"Fayette County, AL",338,390,514,751,907,AL,18495
1,NCNTY01059N01059,"Franklin County, AL",351,450,538,696,907,AL,31223
1,NCNTY01071N01071,"Jackson County, AL",447,477,537,679,945,AL,53926
1,NCNTY01075N01075,"Lamar County, AL",343,430,514,684,900,AL,15904
1,NCNTY01087N01087,"Macon County, AL",396,458,563,724,747,AL,24105
1,NCNTY01091N01091,"Marengo County, AL",463,469,558,686,704,AL,22539
1,NCNTY01093N01093,"Marion County, AL",334,390,514,664,902,AL,31214
1,NCNTY01095N01095,"Marshall County, AL",480,521,580,798,854,AL,82231
1,NCNTY01099N01099,"Monroe County, AL",428,463,514,750,848,AL,24324
1,NCNTY01105N01105,"Perry County, AL",463,469,558,686,704,AL,11861
1,NCNTY01107N01107,"Pickens County, AL",337,423,514,673,901,AL,20949
1,NCNTY01109N01109,"Pike County, AL",390,428,514,668,689,AL,29605
1,NCNTY01111N01111,"Randolph County, AL",460,461,552,684,908,AL,22380
1,NCNTY01119N01119,"Sumter County, AL",343,452,514,684,900,AL,14798
1,NCNTY01121N01121,"Talladega County, AL",467,468,561,760,990,AL,80321
1,NCNTY01123N01123,"Tallapoosa County, AL",414,445,538,785,859,AL,41475
1,NCNTY01129N01129,"Washington County, AL",426,436,514,648,836,AL,18097
1,NCNTY01131N01131,"Wilcox County, AL",426,436,514,648,836,AL,13183
1,NCNTY01133N01133,"Winston County, AL",340,396,520,623,773,AL,24843
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",725,828,1037,1511,1821,AK,260283
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",639,771,956,1393,1650,AK,59322
2,METRO21820M21820,"Fairbanks, AK MSA",654,793,1006,1444,1556,AK,82840
2,NCNTY02013N02013,"Aleutians East Borough, AK",881,955,1252,1532,1579,AK,2697
2,NCNTY02016N02016,"Aleutians West Census Area, AK",881,955,1252,1532,1579,AK,5465
2,NCNTY02050N02050,"Bethel Census Area, AK",1013,1216,1476,1765,2590,AK,16006
2,NCNTY02060N02060,"Bristol Bay Borough, AK",881,955,1252,1532,1579,AK,1258
2,NCNTY02068N02068,"Denali Borough, AK",689,868,1062,1534,1681,AK,1893
2,NCNTY02070N02070,"Dillingham Census Area, AK",881,955,1252,1532,1579,AK,4922
2,NCNTY02100N02100,"Haines Borough, AK",689,868,1062,1534,1681,AK,2392
2,NCNTY02110N02110,"Juneau City and Borough, AK",833,1005,1282,1692,2163,AK,30711
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",613,708,851,1182,1470,AK,49691
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",742,984,1140,1661,2001,AK,14070
2,NCNTY02150N02150,"Kodiak Island Borough, AK",824,965,1268,1779,1831,AK,13913
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",881,955,1252,1532,1579,AK,1823
2,NCNTY02180N02180,"Nome Census Area, AK",882,1030,1254,1532,1580,AK,9196
2,NCNTY02185N02185,"North Slope Borough, AK",895,1049,1379,1651,1699,AK,7385
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",881,955,1252,1532,1579,AK,7208
2,NCNTY02201N02201,"Prince of Wales-Outer Ketchikan Census Area, AK",881,955,1252,1532,1579,AK,6146
2,NCNTY02220N02220,"Sitka City and Borough, AK",756,914,1122,1580,1969,AK,8835
2,NCNTY02232N02232,"Skagway-Hoonah-Angoon Census Area, AK",881,955,1252,1532,1579,AK,3436
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",689,868,1062,1534,1681,AK,6174
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",689,868,1062,1534,1681,AK,10195
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",881,955,1252,1532,1579,AK,7028
2,NCNTY02280N02280,"Wrangell-Petersburg Census Area, AK",881,955,1252,1532,1579,AK,6684
2,NCNTY02282N02282,"Yakutat City and Borough, AK",881,955,1252,1532,1579,AK,808
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",881,955,1252,1532,1579,AK,6551
4,METRO22380M22380,"Flagstaff, AZ MSA",872,1004,1144,1488,1960,AZ,116320
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",630,673,795,1123,1274,AZ,155032
4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",653,765,923,1345,1604,AZ,3251876
4,METRO39140M39140,"Prescott, AZ MSA",713,725,894,1303,1356,AZ,167517
4,METRO46060M46060,"Tucson, AZ MSA",519,610,797,1150,1291,AZ,843746
4,METRO49740M49740,"Yuma, AZ MSA",609,679,807,1150,1357,AZ,160026
4,NCNTY04001N04001,"Apache County, AZ",420,561,621,869,1065,AZ,69423
4,NCNTY04003N04003,"Cochise County, AZ",503,591,749,1040,1317,AZ,117755
4,NCNTY04007N04007,"Gila County, AZ",570,667,877,1257,1294,AZ,51335
4,NCNTY04009N04009,"Graham County, AZ",570,616,686,969,1078,AZ,33489
4,NCNTY04011N04011,"Greenlee County, AZ",520,590,744,1030,1208,AZ,8547
4,NCNTY04012N04012,"La Paz County, AZ",573,573,724,1058,1088,AZ,19715
4,NCNTY04017N04017,"Navajo County, AZ",514,571,738,1001,1285,AZ,97470
4,NCNTY04023N04023,"Santa Cruz County, AZ",591,593,762,1106,1139,AZ,38381
5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",517,546,695,1009,1081,AR,325364
5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",407,461,580,784,867,AR,168318
5,METRO22900N05047,"Franklin County, AR HUD Metro FMR Area",337,431,519,645,769,AR,17771
5,METRO26300M26300,"Hot Springs, AR MSA",441,551,680,876,903,AR,88068
5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",495,513,594,842,867,AR,82148
5,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",333,420,512,681,767,AR,25614
5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",585,650,725,990,1077,AR,594054
5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",470,472,565,819,844,AR,16464
5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",668,724,806,1074,1128,AR,50866
5,METRO38220M38220,"Pine Bluff, AR MSA",435,514,630,770,863,AR,107341
5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",523,524,643,810,884,AR,40443
5,NCNTY05001N05001,"Arkansas County, AR",369,428,564,744,766,AR,20749
5,NCNTY05003N05003,"Ashley County, AR",403,461,580,708,728,AR,24209
5,NCNTY05005N05005,"Baxter County, AR",419,477,588,770,1033,AR,38386
5,NCNTY05009N05009,"Boone County, AR",460,469,553,707,782,AR,33948
5,NCNTY05011N05011,"Bradley County, AR",390,397,525,655,711,AR,12600
5,NCNTY05013N05013,"Calhoun County, AR",379,474,530,674,844,AR,5744
5,NCNTY05015N05015,"Carroll County, AR",460,462,588,721,1032,AR,25357
5,NCNTY05017N05017,"Chicot County, AR",390,397,525,655,711,AR,14117
5,NCNTY05019N05019,"Clark County, AR",470,471,566,749,773,AR,23546
5,NCNTY05021N05021,"Clay County, AR",404,424,512,685,706,AR,17609
5,NCNTY05023N05023,"Cleburne County, AR",512,514,615,793,1084,AR,24046
5,NCNTY05027N05027,"Columbia County, AR",360,460,554,705,842,AR,25603
5,NCNTY05029N05029,"Conway County, AR",464,466,558,713,747,AR,20336
5,NCNTY05037N05037,"Cross County, AR",456,457,548,797,834,AR,19526
5,NCNTY05039N05039,"Dallas County, AR",379,474,530,674,844,AR,9210
5,NCNTY05041N05041,"Desha County, AR",390,397,525,673,711,AR,15341
5,NCNTY05043N05043,"Drew County, AR",383,484,591,772,1028,AR,18723
5,NCNTY05049N05049,"Fulton County, AR",417,418,526,691,798,AR,11642
5,NCNTY05055N05055,"Greene County, AR",392,491,543,793,816,AR,37331
5,NCNTY05057N05057,"Hempstead County, AR",405,466,558,667,772,AR,23587
5,NCNTY05059N05059,"Hot Spring County, AR",452,453,544,725,874,AR,30353
5,NCNTY05061N05061,"Howard County, AR",353,421,512,650,672,AR,14300
5,NCNTY05063N05063,"Independence County, AR",408,500,558,710,809,AR,34233
5,NCNTY05065N05065,"Izard County, AR",417,418,526,691,798,AR,13249
5,NCNTY05067N05067,"Jackson County, AR",423,443,512,682,705,AR,18418
5,NCNTY05071N05071,"Johnson County, AR",345,473,532,717,936,AR,22781
5,NCNTY05073N05073,"Lafayette County, AR",441,482,566,678,781,AR,8559
5,NCNTY05075N05075,"Lawrence County, AR",334,420,512,638,794,AR,17774
5,NCNTY05077N05077,"Lee County, AR",428,429,525,716,824,AR,12580
5,NCNTY05081N05081,"Little River County, AR",441,482,566,692,781,AR,13628
5,NCNTY05083N05083,"Logan County, AR",333,460,512,745,790,AR,22486
5,NCNTY05089N05089,"Marion County, AR",415,416,520,697,755,AR,16140
5,NCNTY05093N05093,"Mississippi County, AR",374,455,560,755,885,AR,51979
5,NCNTY05095N05095,"Monroe County, AR",445,446,535,704,727,AR,10254
5,NCNTY05097N05097,"Montgomery County, AR",414,495,623,790,812,AR,9245
5,NCNTY05099N05099,"Nevada County, AR",441,482,566,678,781,AR,9955
5,NCNTY05101N05101,"Newton County, AR",459,460,551,714,809,AR,8608
5,NCNTY05103N05103,"Ouachita County, AR",369,462,512,699,786,AR,28790
5,NCNTY05107N05107,"Phillips County, AR",425,429,512,646,666,AR,26445
5,NCNTY05109N05109,"Pike County, AR",441,482,566,678,781,AR,11303
5,NCNTY05113N05113,"Polk County, AR",426,461,512,709,802,AR,20229
5,NCNTY05115N05115,"Pope County, AR",407,434,564,800,824,AR,54469
5,NCNTY05117N05117,"Prairie County, AR",445,446,535,704,727,AR,9539
5,NCNTY05121N05121,"Randolph County, AR",339,427,521,624,889,AR,18195
5,NCNTY05123N05123,"St. Francis County, AR",435,477,554,786,937,AR,29329
5,NCNTY05127N05127,"Scott County, AR",425,426,512,668,898,AR,10996
5,NCNTY05129N05129,"Searcy County, AR",459,460,551,714,809,AR,8261
5,NCNTY05133N05133,"Sevier County, AR",426,455,512,696,782,AR,15757
5,NCNTY05135N05135,"Sharp County, AR",441,442,531,662,684,AR,17119
5,NCNTY05137N05137,"Stone County, AR",417,418,526,691,798,AR,11499
5,NCNTY05139N05139,"Union County, AR",470,490,567,723,997,AR,45629
5,NCNTY05141N05141,"Van Buren County, AR",425,425,512,674,793,AR,16192
5,NCNTY05145N05145,"White County, AR",445,446,567,775,798,AR,67165
5,NCNTY05147N05147,"Woodruff County, AR",445,446,535,704,727,AR,8741
5,NCNTY05149N05149,"Yell County, AR",433,435,530,689,711,AR,21139
6,METRO12540M12540,"Bakersfield, CA MSA",607,655,776,1132,1363,CA,661645
6,METRO17020M17020,"Chico, CA MSA",618,730,883,1244,1478,CA,203171
6,METRO20940M20940,"El Centro, CA MSA",645,727,857,1230,1502,CA,142361
