fips,Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,State,county,CouSub,county_town_name,pop2000,areaname,CBSASub,countyname,state_alpha
0100199999,641,491,564,861,1124,1,1,99999,Autauga County,43671,"Montgomery, AL MSA",METRO33860M33860,Autauga County,AL
0100399999,664,444,596,904,1153,1,3,99999,Baldwin County,140415,"Baldwin County, AL",NCNTY01003N01003,Baldwin County,AL
0100599999,467,389,389,643,759,1,5,99999,Barbour County,29038,"Barbour County, AL",NCNTY01005N01005,Barbour County,AL
0100799999,595,464,534,758,813,1,7,99999,Bibb County,20826,"Birmingham-Hoover, AL HUD Metro FMR Area",METRO13820M13820,Bibb County,AL
0100999999,595,464,534,758,813,1,9,99999,Blount County,51024,"Birmingham-Hoover, AL HUD Metro FMR Area",METRO13820M13820,Blount County,AL
0101199999,493,337,414,591,608,1,11,99999,Bullock County,11714,"Bullock County, AL",NCNTY01011N01011,Bullock County,AL
0101399999,493,337,414,591,608,1,13,99999,Butler County,21399,"Butler County, AL",NCNTY01013N01013,Butler County,AL
0101599999,501,394,408,678,792,1,15,99999,Calhoun County,112249,"Anniston-Oxford, AL MSA",METRO11500M11500,Calhoun County,AL
0101799999,467,361,420,619,638,1,17,99999,Chambers County,36583,"Chambers County, AL",NCNTY01017N01017,Chambers County,AL
0101999999,503,416,433,599,618,1,19,99999,Cherokee County,23988,"Cherokee County, AL",NCNTY01019N01019,Cherokee County,AL
0102199999,467,304,420,582,657,1,21,99999,Chilton County,39593,"Chilton County, AL HUD Metro FMR Area",METRO13820N01021,Chilton County,AL
0102399999,467,387,396,588,759,1,23,99999,Choctaw County,15922,"Choctaw County, AL",NCNTY01023N01023,Choctaw County,AL
0102599999,467,303,410,560,822,1,25,99999,Clarke County,27867,"Clarke County, AL",NCNTY01025N01025,Clarke County,AL
0102799999,467,389,390,579,768,1,27,99999,Clay County,14254,"Clay County, AL",NCNTY01027N01027,Clay County,AL
0102999999,467,388,389,579,768,1,29,99999,Cleburne County,14123,"Cleburne County, AL",NCNTY01029N01029,Cleburne County,AL
0103199999,507,359,447,739,889,1,31,99999,Coffee County,43615,"Coffee County, AL",NCNTY01031N01031,Coffee County,AL
0103399999,519,421,423,685,796,1,33,99999,Colbert County,54984,"Florence-Muscle Shoals, AL MSA",METRO22520M22520,Colbert County,AL
0103599999,467,387,396,588,759,1,35,99999,Conecuh County,14089,"Conecuh County, AL",NCNTY01035N01035,Conecuh County,AL
0103799999,467,359,420,630,722,1,37,99999,Coosa County,12202,"Coosa County, AL",NCNTY01037N01037,Coosa County,AL
0103999999,467,374,378,595,802,1,39,99999,Covington County,37631,"Covington County, AL",NCNTY01039N01039,Covington County,AL
0104199999,493,337,414,591,608,1,41,99999,Crenshaw County,13665,"Crenshaw County, AL",NCNTY01041N01041,Crenshaw County,AL
0104399999,484,401,418,665,782,1,43,99999,Cullman County,77483,"Cullman County, AL",NCNTY01043N01043,Cullman County,AL
0104599999,467,359,420,648,807,1,45,99999,Dale County,49129,"Dale County, AL",NCNTY01045N01045,Dale County,AL
0104799999,483,312,436,579,612,1,47,99999,Dallas County,46365,"Dallas County, AL",NCNTY01047N01047,Dallas County,AL
0104999999,467,343,392,603,654,1,49,99999,DeKalb County,64452,"DeKalb County, AL",NCNTY01049N01049,DeKalb County,AL
0105199999,641,491,564,861,1124,1,51,99999,Elmore County,65874,"Montgomery, AL MSA",METRO33860M33860,Elmore County,AL
0105399999,467,386,387,585,681,1,53,99999,Escambia County,38440,"Escambia County, AL",NCNTY01053N01053,Escambia County,AL
0105599999,515,387,443,673,695,1,55,99999,Etowah County,103459,"Gadsden, AL MSA",METRO23460M23460,Etowah County,AL
0105799999,467,307,354,682,824,1,57,99999,Fayette County,18495,"Fayette County, AL",NCNTY01057N01057,Fayette County,AL
0105999999,467,304,391,604,787,1,59,99999,Franklin County,31223,"Franklin County, AL",NCNTY01059N01059,Franklin County,AL
