fips,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,CBSASub,areaname,State,county,CouSub,county_town_name,pop2000,countyname,state_alpha
0100199999,511,587,667,896,1169,METRO33860M33860,"Montgomery, AL MSA",1,1,99999,Autauga County,43671,Autauga County,AL
0100399999,462,621,691,940,1200,NCNTY01003N01003,"Baldwin County, AL",1,3,99999,Baldwin County,140415,Baldwin County,AL
0100599999,399,399,479,659,779,NCNTY01005N01005,"Barbour County, AL",1,5,99999,Barbour County,29038,Barbour County,AL
0100799999,483,555,619,789,846,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,7,99999,Bibb County,20826,Bibb County,AL
0100999999,483,555,619,789,846,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",1,9,99999,Blount County,51024,Blount County,AL
0101199999,350,430,513,615,633,NCNTY01011N01011,"Bullock County, AL",1,11,99999,Bullock County,11714,Bullock County,AL
0101399999,350,430,513,615,633,NCNTY01013N01013,"Butler County, AL",1,13,99999,Butler County,21399,Butler County,AL
0101599999,410,425,521,705,824,METRO11500M11500,"Anniston-Oxford, AL MSA",1,15,99999,Calhoun County,112249,Calhoun County,AL
0101799999,374,436,484,641,662,NCNTY01017N01017,"Chambers County, AL",1,17,99999,Chambers County,36583,Chambers County,AL
0101999999,433,450,523,622,643,NCNTY01019N01019,"Cherokee County, AL",1,19,99999,Cherokee County,23988,Cherokee County,AL
0102199999,308,425,472,588,664,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",1,21,99999,Chilton County,39593,Chilton County,AL
0102399999,376,384,453,571,737,NCNTY01023N01023,"Choctaw County, AL",1,23,99999,Choctaw County,15922,Choctaw County,AL
0102599999,314,425,484,580,852,NCNTY01025N01025,"Clarke County, AL",1,25,99999,Clarke County,27867,Clarke County,AL
0102799999,405,406,486,603,799,NCNTY01027N01027,"Clay County, AL",1,27,99999,Clay County,14254,Clay County,AL
0102999999,403,405,486,603,799,NCNTY01029N01029,"Cleburne County, AL",1,29,99999,Cleburne County,14123,Cleburne County,AL
0103199999,373,465,527,768,924,NCNTY01031N01031,"Coffee County, AL",1,31,99999,Coffee County,43615,Coffee County,AL
0103399999,438,440,540,712,828,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",1,33,99999,Colbert County,54984,Colbert County,AL
0103599999,376,384,453,571,737,NCNTY01035N01035,"Conecuh County, AL",1,35,99999,Conecuh County,14089,Conecuh County,AL
0103799999,369,432,480,648,742,NCNTY01037N01037,"Coosa County, AL",1,37,99999,Coosa County,12202,Coosa County,AL
0103999999,380,384,475,606,816,NCNTY01039N01039,"Covington County, AL",1,39,99999,Covington County,37631,Covington County,AL
0104199999,350,430,513,615,633,NCNTY01041N01041,"Crenshaw County, AL",1,41,99999,Crenshaw County,13665,Crenshaw County,AL
0104399999,417,435,504,692,814,NCNTY01043N01043,"Cullman County, AL",1,43,99999,Cullman County,77483,Cullman County,AL
