"msa_code","city","state","label"
"10020","Abbeville","LA","AbbvllLA"
"10100","Aberdeen","SD","AberdnSD"
"10140","Aberdeen","WA","AberdnWA"
"10180","Abilene","TX","AbilenTX"
"10220","Ada","OK","AdaOK"
"10260","Adjuntas","PR","AdjntsPR"
"10300","Adrian","MI","AdrianMI"
"10420","Akron","OH","AkronOH"
"10460","Alamogordo","NM","AlmgrdNM"
"10500","Albany","GA","AlbanyGA"
"10540","Albany","OR","AlbanyOR"
"10580","Albany","NY","AlbanyNY"
"10620","Albemarle","NC","AlbmrlNC"
"10660","Albert Lea","MN","AlbrtLMN"
"10700","Albertville","AL","AlbrtvAL"
"10740","Albuquerque","NM","AlbqrqNM"
"10760","Alexander City","AL","AlxndCAL"
"10780","Alexandria","LA","AlxndrLA"
"10820","Alexandria","MN","AlxndrMN"
"10860","Alice","TX","AliceTX"
"10880","Allegan","MI","AllegnMI"
"10900","Allentown","PA","AllntwPA"
"10940","Alma","MI","AlmaMI"
"10980","Alpena","MI","AlpenaMI"
"11020","Altoona","PA","AltoonPA"
"11060","Altus","OK","AltusOK"
"11100","Amarillo","TX","AmarllTX"
"11140","Americus","GA","AmercsGA"
"11180","Ames","IA","AmesIA"
"11220","Amsterdam","NY","AmstrdNY"
"11260","Anchorage","AK","AnchrgAK"
"11300","Anderson","IN","AndrsnIN"
"11340","Anderson","SC","AndrsnSC"
"11380","Andrews","TX","AndrwsTX"
"11420","Angola","IN","AngolaIN"
"11460","Ann Arbor","MI","AnnArbMI"
"11500","Anniston","AL","AnnstnAL"
"11540","Appleton","WI","AppltnWI"
"11580","Arcadia","FL","ArcadiFL"
"11620","Ardmore","OK","ArdmorOK"
"11660","Arkadelphia","AR","ArkdlpAR"
"11700","Asheville","NC","AshvllNC"
"11740","Ashland","OH","AshlndOH"
"11780","Ashtabula","OH","AshtblOH"
"11820","Astoria","OR","AstoriOR"
"11860","Atchison","KS","AtchsnKS"
"11900","Athens","OH","AthensOH"
"11940","Athens","TN","AthensTN"
"11980","Athens","TX","AthensTX"
"12020","Athens","GA","AthensGA"
"12060","Atlanta","GA","AtlantGA"
"12100","Atlantic City","NJ","AtlntCNJ"
"12140","Auburn","IN","AuburnIN"
"12180","Auburn","NY","AuburnNY"
"12220","Auburn","AL","AuburnAL"
"12260","Augusta","GA","AugustGA"
"12300","Augusta","ME","AugustME"
"12380","Austin","MN","AustinMN"
"12420","Austin","TX","AustinTX"
"12460","Bainbridge","GA","BnbrdgGA"
"12540","Bakersfield","CA","BkrsflCA"
"12580","Baltimore","MD","BaltmrMD"
"12620","Bangor","ME","BangorME"
"12660","Baraboo","WI","BaraboWI"
"12700","Barnstable Town","MA","BrnstTMA"
"12740","Barre","VT","BarreVT"
"12780","Bartlesville","OK","BrtlsvOK"
"12820","Bastrop","LA","BastrpLA"
"12860","Batavia","NY","BataviNY"
"12900","Batesville","AR","BtsvllAR"
"12940","Baton Rouge","LA","BatnRgLA"
"12980","Battle Creek","MI","BttlCrMI"
"13020","Bay City","MI","BayCtyMI"
"13060","Bay City","TX","BayCtyTX"
"13100","Beatrice","NE","BeatrcNE"
"13140","Beaumont","TX","BeamntTX"
"13180","Beaver Dam","WI","BevrDmWI"
"13220","Beckley","WV","BecklyWV"
"13260","Bedford","IN","BedfrdIN"
"13300","Beeville","TX","BeevllTX"
"13340","Bellefontaine","OH","BllfntOH"
"13380","Bellingham","WA","BllnghWA"
"13420","Bemidji","MN","BemidjMN"
"13460","Bend","OR","BendOR"
"13500","Bennettsville","SC","BnnttsSC"
"13540","Bennington","VT","BnnngtVT"
"13620","Berlin","NH","BerlinNH"
"13660","Big Rapids","MI","BgRpdsMI"
"13700","Big Spring","TX","BgSprnTX"
"13740","Billings","MT","BllngsMT"
"13780","Binghamton","NY","BnghmtNY"
"13820","Birmingham","AL","BrmnghAL"
"13860","Bishop","CA","BishopCA"
"13900","Bismarck","ND","BsmrckND"
"13940","Blackfoot","ID","BlckftID"
"13980","Blacksburg","VA","BlcksbVA"
"14020","Bloomington","IN","BlmngtIN"
"14060","Bloomington","IL","BlmngtIL"
"14100","Bloomsburg","PA","BlmsbrPA"
"14140","Bluefield","WV","BlufldWV"
"14180","Blytheville","AR","BlythvAR"
"14220","Bogalusa","LA","BogalsLA"
"14260","Boise City","ID","BosCtyID"
"14300","Bonham","TX","BonhamTX"
"14340","Boone","IA","BooneIA"
"14380","Boone","NC","BooneNC"
"14420","Borger","TX","BorgerTX"
"14460","Boston","MA","BostonMA"
"14500","Boulder","CO","BouldrCO"
"14540","Bowling Green","KY","BwlngGKY"
"14580","Bozeman","MT","BozemnMT"
"14600","Bradenton","FL","BrdntnFL"
"14620","Bradford","PA","BrdfrdPA"
"14660","Brainerd","MN","BranrdMN"
"14700","Branson","MO","BransnMO"
"14740","Bremerton","WA","BrmrtnWA"
"14780","Brenham","TX","BrenhmTX"
"14820","Brevard","NC","BrevrdNC"
"14860","Bridgeport","CT","BrdgprCT"
"14940","Brigham City","UT","BrghmCUT"
"15020","Brookhaven","MS","BrkhvnMS"
"15060","Brookings","OR","BrkngsOR"
"15100","Brookings","SD","BrkngsSD"
"15140","Brownsville","TN","BrwnsvTN"
"15180","Brownsville","TX","BrwnsvTX"
"15220","Brownwood","TX","BrwnwdTX"
"15260","Brunswick","GA","BrnswcGA"
"15340","Bucyrus","OH","BucyrsOH"
"15380","Buffalo","NY","BuffalNY"
"15420","Burley","ID","BurleyID"
"15460","Burlington","IA","BrlngtIA"
"15500","Burlington","NC","BrlngtNC"
"15540","Burlington","VT","BrlngtVT"
"15580","Butte","MT","ButteMT"
"15620","Cadillac","MI","CadllcMI"
"15660","Calhoun","GA","CalhonGA"
"15700","Cambridge","MD","CmbrdgMD"
"15740","Cambridge","OH","CmbrdgOH"
"15780","Camden","AR","CamdenAR"
"15820","Campbellsville","KY","CmpbllKY"
"15860","Canon City","CO","CnnCtyCO"
"15900","Canton","IL","CantonIL"
"15940","Canton","OH","CantonOH"
"15980","Cape Coral","FL","CapCrlFL"
"16020","Cape Girardeau","MO","CpGrrdMO"
"16060","Carbondale","IL","CrbndlIL"
"16100","Carlsbad","NM","CrlsbdNM"
"16180","Carson City","NV","CrsnCtNV"
"16220","Casper","WY","CasperWY"
"16260","Cedar City","UT","CdrCtyUT"
"16300","Cedar Rapids","IA","CdrRpdIA"
"16340","Cedartown","GA","CdrtwnGA"
"16380","Celina","OH","CelinaOH"
"16420","Central City","KY","CntrlCKY"
"16460","Centralia","IL","CentrlIL"
"16500","Centralia","WA","CentrlWA"
"16540","Chambersburg","PA","ChmbrsPA"
"16580","Champaign","IL","ChmpgnIL"
"16620","Charleston","WV","ChrlstWV"
"16660","Charleston","IL","ChrlstIL"
"16700","Charleston","SC","ChrlstSC"
"16740","Charlotte","NC","CharlttNC"
"16820","Charlottesville","VA","ChrlttsVA"
"16860","Chattanooga","TN","ChttngTN"
"16900","Chester","SC","ChestrSC"
"16940","Cheyenne","WY","CheynnWY"
"16980","Chicago","IL","ChicagIL"
"17020","Chico","CA","ChicoCA"
"17060","Chillicothe","OH","ChllctOH"
"17140","Cincinnati","OH","CncnntOH"
"17200","Claremont","NH","ClrmntNH"
"17220","Clarksburg","WV","ClrksbWV"
"17260","Clarksdale","MS","ClrksdMS"
"17300","Clarksville","TN","ClrksvTN"
"17340","Clearlake","CA","ClerlkCA"
"17380","Cleveland","MS","ClvlndMS"
"17420","Cleveland","TN","ClvlndTN"
"17460","Cleveland","OH","ClvlndOH"
"17500","Clewiston","FL","ClwstnFL"
"17540","Clinton","IA","ClintnIA"
"17580","Clovis","NM","ClovisNM"
"17620","Coamo","PR","CoamoPR"
"17660","Coeur d'Alene","ID","Crd'AlID"
"17700","Coffeyville","KS","CffyvlKS"
"17740","Coldwater","MI","CldwtrMI"
"17780","College Station","TX","CllgStTX"
"17820","Colorado Springs","CO","ClrdSpCO"
"17860","Columbia","MO","ColumbMO"
"17900","Columbia","SC","ColumbSC"
"17940","Columbia","TN","ColumbTN"
"17980","Columbus","GA","ColmbsGA"
"18020","Columbus","IN","ColmbsIN"
"18060","Columbus","MS","ColmbsMS"
"18100","Columbus","NE","ColmbsNE"
"18140","Columbus","OH","ColmbsOH"
"18180","Concord","NH","ConcrdNH"
"18220","Connersville","IN","CnnrsvIN"
"18260","Cookeville","TN","CokvllTN"
"18300","Coos Bay","OR","CoosByOR"
"18340","Corbin","KY","CorbinKY"
"18380","Cordele","GA","CordelGA"
