"city","state","msa_code"
"Abbeville","LA",10020
"Aberdeen","SD",10100
"Aberdeen","WA",10140
"Abilene","TX",10180
"Ada","OK",10220
"Adjuntas","PR",10260
"Adrian","MI",10300
"Akron","OH",10420
"Alamogordo","NM",10460
"Albany","GA",10500
"Albany-Lebanon","OR",10540
"Albany-Schenectady-Troy","NY",10580
"Albemarle","NC",10620
"Albert Lea","MN",10660
"Albertville","AL",10700
"Albuquerque","NM",10740
"Alexander City","AL",10760
"Alexandria","LA",10780
"Alexandria","MN",10820
"Alice","TX",10860
"Allegan","MI",10880
"Allentown-Bethlehem-Easton","PA",10900
"Allentown-Bethlehem-Easton","NJ",10900
"Alma","MI",10940
"Alpena","MI",10980
"Altoona","PA",11020
"Altus","OK",11060
"Amarillo","TX",11100
"Americus","GA",11140
"Ames","IA",11180
"Amsterdam","NY",11220
"Anchorage","AK",11260
"Anderson","IN",11300
"Anderson","SC",11340
"Andrews","TX",11380
"Angola","IN",11420
"Ann Arbor","MI",11460
"Anniston-Oxford","AL",11500
"Appleton","WI",11540
"Arcadia","FL",11580
"Ardmore","OK",11620
"Arkadelphia","AR",11660
"Asheville","NC",11700
"Ashland","OH",11740
"Ashtabula","OH",11780
"Astoria","OR",11820
"Atchison","KS",11860
"Athens","OH",11900
"Athens","TN",11940
"Athens","TX",11980
"Athens-Clarke County","GA",12020
"Atlanta-Sandy Springs-Marietta","GA",12060
"Atlantic City","NJ",12100
"Atlantic City-Hammonton","NJ",12100
"Auburn","IN",12140
"Auburn","NY",12180
"Auburn-Opelika","AL",12220
"Augusta-Richmond County","GA",12260
"Augusta-Richmond County","SC",12260
"Augusta-Waterville","ME",12300
"Austin","MN",12380
"Austin-Round Rock","TX",12420
"Bainbridge","GA",12460
"Bakersfield","CA",12540
"Baltimore-Towson","MD",12580
"Bangor","ME",12620
"Baraboo","WI",12660
"Barnstable Town","MA",12700
"Barre","VT",12740
"Bartlesville","OK",12780
"Bastrop","LA",12820
"Batavia","NY",12860
"Batesville","AR",12900
"Baton Rouge","LA",12940
"Battle Creek","MI",12980
"Bay City","MI",13020
"Bay City","TX",13060
"Beatrice","NE",13100
"Beaumont-Port Arthur","TX",13140
"Beaver Dam","WI",13180
"Beckley","WV",13220
"Bedford","IN",13260
"Beeville","TX",13300
"Bellefontaine","OH",13340
"Bellingham","WA",13380
"Bemidji","MN",13420
"Bend","OR",13460
"Bennettsville","SC",13500
"Bennington","VT",13540
"Berlin","NH",13620
"Berlin","VT",13620
"Big Rapids","MI",13660
"Big Spring","TX",13700
"Billings","MT",13740
"Binghamton","NY",13780
"Birmingham-Hoover","AL",13820
"Bishop","CA",13860
"Bismarck","ND",13900
"Blackfoot","ID",13940
"Blacksburg-Christiansburg-Radford","VA",13980
"Bloomington","IN",14020
"Bloomington-Normal","IL",14060
"Bloomsburg-Berwick","PA",14100
"Bluefield","WV",14140
"Bluefield","VA",14140
"Blytheville","AR",14180
"Bogalusa","LA",14220
"Boise City-Nampa","ID",14260
"Bonham","TX",14300
"Boone","IA",14340
"Boone","NC",14380
"Borger","TX",14420
"Boston-Cambridge-Quincy","MA",14460
"Boston-Cambridge-Quincy","NH",14460
"Boulder","CO",14500
"Bowling Green","KY",14540
"Bozeman","MT",14580
"Bradenton-Sarasota-Venice","FL",14600
"Bradford","PA",14620
"Brainerd","MN",14660
"Branson","MO",14700
"Bremerton-Silverdale","WA",14740
"Brenham","TX",14780
"Brevard","NC",14820
"Bridgeport-Stamford-Norwalk","CT",14860
"Brigham City","UT",14940
"Bristol","VA",14980
"Brookhaven","MS",15020
"Brookings","OR",15060
"Brookings","SD",15100
"Brownsville","TN",15140
"Brownsville-Harlingen","TX",15180
"Brownwood","TX",15220
"Brunswick","GA",15260
"Bucyrus","OH",15340
"Buffalo-Niagara Falls","NY",15380
"Buffalo-Cheektowaga-Tonawanda","NY",15380
"Burley","ID",15420
"Burlington","IA",15460
"Burlington","IL",15460
"Burlington","NC",15500
"Burlington-South Burlington","VT",15540
"Butte-Silver Bow","MT",15580
"Cadillac","MI",15620
"Calhoun","GA",15660
"Cambridge","MD",15700
"Cambridge","OH",15740
"Camden","AR",15780
"Campbellsville","KY",15820
"Canon City","CO",15860
"Canton","IL",15900
"Canton-Massillon","OH",15940
"Cape Coral-Fort Myers","FL",15980
"Cape Girardeau-Jackson","MO",16020
"Cape Girardeau-Jackson","IL",16020
"Carbondale","IL",16060
"Carlsbad-Artesia","NM",16100
"Carson City","NV",16180
"Casper","WY",16220
"Cedar City","UT",16260
"Cedar Rapids","IA",16300
"Cedartown","GA",16340
"Celina","OH",16380
"Central City","KY",16420
"Centralia","IL",16460
"Centralia","WA",16500
"Chambersburg","PA",16540
"Champaign-Urbana","IL",16580
"Charleston","WV",16620
"Charleston-Mattoon","IL",16660
"Charleston-North Charleston","SC",16700
"Charleston-North Charleston-Summerville","SC",16700
"Charlotte-Gastonia-Concord","NC",16740
"Charlotte-Gastonia-Concord","SC",16740
"Charlottesville","VA",16820
"Chattanooga","TN",16860
"Chattanooga","GA",16860
"Chester","SC",16900
"Cheyenne","WY",16940
"Chicago-Naperville-Joliet","IL",16980
"Chicago-Naperville-Joliet","IN",16980
"Chicago-Naperville-Joliet","WI",16980
"Chico","CA",17020
"Chillicothe","OH",17060
"Cincinnati-Middletown","OH",17140
"Cincinnati-Middletown","KY",17140
"Cincinnati-Middletown","IN",17140
"City of The Dalles","OR",17180
"Claremont","NH",17200
"Clarksburg","WV",17220
"Clarksdale","MS",17260
"Clarksville","TN",17300
"Clarksville","KY",17300
"Clearlake","CA",17340
"Cleveland","MS",17380
"Cleveland","TN",17420
"Cleveland-Elyria-Mentor","OH",17460
"Clewiston","FL",17500
"Clinton","IA",17540
"Clovis","NM",17580
"Coamo","PR",17620
"Coeur d'Alene","ID",17660
"Coffeyville","KS",17700
"Coldwater","MI",17740
"College Station-Bryan","TX",17780
"Colorado Springs","CO",17820
"Columbia","MO",17860
"Columbia","SC",17900
"Columbia","TN",17940
"Columbus","GA",17980
"Columbus","AL",17980
"Columbus","IN",18020
"Columbus","MS",18060
"Columbus","NE",18100
"Columbus","OH",18140
"Concord","NH",18180
"Connersville","IN",18220
"Cookeville","TN",18260
"Coos Bay","OR",18300
"Corbin","KY",18340
"Cordele","GA",18380
"Corinth","MS",18420
"Cornelia","GA",18460
"Corning","NY",18500
"Corpus Christi","TX",18580
"Corsicana","TX",18620
"Cortland","NY",18660
"Corvallis","OR",18700
"Coshocton","OH",18740
"Crawfordsville","IN",18820
"Crescent City","CA",18860
"Crescent City North","CA",18860
"Crossville","TN",18900
"Crowley","LA",18940
"Cullman","AL",18980
"Culpeper","VA",19020
"Cumberland","MD",19060
"Cumberland","WV",19060
"Dallas-Fort Worth-Arlington","TX",19100
"Dalton","GA",19140
"Danville","IL",19180
"Danville","KY",19220
"Danville","VA",19260
"Daphne-Fairhope","AL",19300
"Daphne-Fairhope-Foley","AL",19300
"Davenport-Moline-Rock Island","IA",19340
"Davenport-Moline-Rock Island","IL",19340
"Dayton","OH",19380
"Decatur","AL",19460
"Decatur","IL",19500
"Decatur","IN",19540
"Defiance","OH",19580
"Del Rio","TX",19620
"Deltona-Daytona Beach-Ormond Beach","FL",19660
"Deming","NM",19700
"Denver-Aurora","CO",19740
"Denver-Aurora-Broomfield","CO",19740
"De Ridder","LA",19760
"Des Moines","IA",19780
"Des Moines-West Des Moines","IA",19780
"Detroit-Warren-Livonia","MI",19820
"Dickinson","ND",19860
"Dillon","SC",19900
"Dixon","IL",19940
"Dodge City","KS",19980
"Dothan","AL",20020
"Douglas","GA",20060
"Dover","DE",20100
"Dublin","GA",20140
"DuBois","PA",20180
"Dubuque","IA",20220
"Duluth","MN",20260
"Duluth","WI",20260
"Dumas","TX",20300
"Duncan","OK",20340
"Dunn","NC",20380
"Durango","CO",20420
"Durant","OK",20460
"Durham","NC",20500
"Durham-Chapel Hill","NC",20500
"Dyersburg","TN",20540
"Eagle Pass","TX",20580
"East Liverpool-Salem","OH",20620
"Easton","MD",20660
"East Stroudsburg","PA",20700
"Eau Claire","WI",20740
"Edwards","CO",20780
"Effingham","IL",20820
"El Campo","TX",20900
"El Centro","CA",20940
"El Dorado","AR",20980
"Elizabeth City","NC",21020
"Elizabethtown","KY",21060
"Elk City","OK",21120
"Elkhart-Goshen","IN",21140
"Elko","NV",21220
"Ellensburg","WA",21260
"Elmira","NY",21300
"El Paso","TX",21340
"Emporia","KS",21380
"Enid","OK",21420
"Enterprise-Ozark","AL",21460
"Erie","PA",21500
"Escanaba","MI",21540
"Espanola","NM",21580
"Eufaula","AL",21640
"Eufaula","GA",21640
"Eugene-Springfield","OR",21660
"Eureka-Arcata-Fortuna","CA",21700
"Evanston","WY",21740
"Evansville","IN",21780
"Evansville","KY",21780
"Fairbanks","AK",21820
"Fairmont","MN",21860
"Fairmont","WV",21900
