Weekending	30 year FRM	15 year FRM	1 year ARM
1/7/2000 	8.15 	7.73 	6.60
1/14/2000 	8.18 	7.78 	6.61
1/21/2000 	8.26 	7.86 	6.56
1/28/2000 	8.25 	7.84 	6.65
2/4/2000 	8.25 	7.85 	6.65
2/11/2000 	8.36 	7.96 	6.73
2/18/2000 	8.38 	8.00 	6.77
2/25/2000 	8.31 	7.92 	6.73
3/3/2000 	8.27 	7.84 	6.68
3/10/2000 	8.23 	7.81 	6.68
3/17/2000 	8.24 	7.83 	6.68
3/24/2000 	8.23 	7.84 	6.78
3/31/2000 	8.23 	7.84 	6.76
4/7/2000 	8.20 	7.83 	6.79
4/14/2000 	8.12 	7.76 	6.86
4/21/2000 	8.16 	7.82 	6.76
4/28/2000 	8.13 	7.79 	6.77
5/5/2000 	8.28 	7.94 	6.90
5/12/2000 	8.52 	8.17 	6.96
5/19/2000 	8.64 	8.31 	7.15
5/26/2000 	8.62 	8.31 	7.25
6/2/2000 	8.54 	8.24 	7.25
6/9/2000 	8.32 	8.04 	7.24
6/16/2000 	8.22 	7.91 	7.21
6/23/2000 	8.14 	7.85 	7.22
6/30/2000 	8.22 	7.92 	7.26
7/7/2000 	8.16 	7.88 	7.27
7/14/2000 	8.09 	7.80 	7.22
7/21/2000 	8.21 	7.93 	7.32
7/28/2000 	8.13 	7.85 	7.29
8/4/2000 	8.12 	7.88 	7.28
8/11/2000 	8.04 	7.75 	7.28
8/18/2000 	7.96 	7.70 	7.21
8/25/2000 	7.99 	7.72 	7.37
9/1/2000 	7.96 	7.67 	7.27
9/8/2000 	7.94 	7.65 	7.33
9/15/2000 	7.88 	7.60 	7.26
9/22/2000 	7.90 	7.57 	7.27
9/29/2000 	7.88 	7.53 	7.21
10/6/2000 	7.83 	7.50 	7.21
10/13/2000 	7.84 	7.52 	7.23
10/20/2000 	7.83 	7.50 	7.25
10/27/2000 	7.68 	7.36 	7.22
11/3/2000 	7.73 	7.41 	7.12
11/10/2000 	7.79 	7.44 	7.23
11/17/2000 	7.73 	7.41 	7.25
11/24/2000 	7.73 	7.41 	7.28
12/1/2000 	7.65 	7.35 	7.24
12/8/2000 	7.54 	7.19 	7.21
12/15/2000 	7.42 	7.11 	7.05
12/22/2000 	7.17 	6.84 	7.02
12/29/2000 	7.13 	6.79 	6.93
1/5/2001 	7.07 	6.74 	6.86
