Price Range,Percent Distribution
1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
$29999 or less,0.7,1.4,0.8,-,-,-,-,0.0,0.5,0.6,0.4
30000 - 39999,2.6,2.3,3.3,-,-,-,-,0.3,0.7,0.0,1.2
40000 - 49999,4.0,4.2,4.7,-,-,-,-,2.5,1.2,1.8,1.5
50000 - 59999,4.0,4.2,5.0,-,-,-,-,2.5,4.2,3.9,1.9
60000 - 69999,11.4,7.4,3.3,-,-,-,-,4.0,4.5,5.7,4.6
70000 - 79999,9.9,8.2,9.9,-,-,-,-,3.3,3.5,3.9,5.8
80000 - 89999,12.1,9.3,8.8,-,-,-,-,4.3,8.0,5.7,4.2
90000 - 99999,11.8,10.2,5.5,-,-,-,-,5.0,2.6,1.5,1.9
100000 - 119999,10.3,15.6,16.9,-,-,-,-,13.3,10.8,11.7,8.1
120000 - 139999,11.0,11.3,15.2,-,-,-,-,21.9,16.2,15.1,15.8
140000 - 159999,7.7,11.0,9.1,-,-,-,-,10.6,12.5,12.3,14.6
160000 - 179999,6.6,5.9,8.0,-,-,-,-,9.0,10.1,6.6,11.2
180000 - 199999,2.6,2.5,3.6,-,-,-,-,5.8,5.4,9.6,8.1
200000 - 249999,3.3,4.0,3.6,-,-,-,-,7.8,8.2,7.2,8.8
250000 - 299999,1.5,1.4,1.4,-,-,-,-,5.5,6.4,5.1,6.2
300000 - 399999,0.4,0.8,0.6,-,-,-,-,2.3,3.5,5.4,3.5
400000 - 499999,0.0,0.0,0.3,-,-,-,-,1.3,1.4,2.4,1.2
500000 and more,0.0,0.0,0.0,-,-,-,-,0.8,0.2,1.2,1.2
