Date,Sales,DollarVolume,AveragePrice,MedianPrice,TotalListings,MonthsInventory
1990-Jan,92,5730189,62300,54300,814,9.6
Feb,65,4330591,66600,59200,903,10.8
Mar,102,6303735,61800,50000,960,11.2
Apr,89,6398655,71900,61900,866,10.1
May,105,7086932,67500,54300,960,10.8
Jun,112,8478734,75700,60000,938,10.5
Jul,105,7901779,75300,59600,886,9.8
Aug,132,8916306,67500,49300,782,8.4
Sep,98,7156927,73000,56800,871,9.2
Oct,94,6343787,67500,52000,852,9.0
Nov,92,5730189,62300,54300,814,8.5
Dec,96,6740487,70200,66400,759,7.7
1991-Jan,63,5027462,79800,67100,745,7.8
Feb,84,5682963,67700,54400,747,7.6
Mar,114,7645321,67100,58100,759,7.7
Apr,104,7761624,74600,62100,757,7.6
May,107,9060387,84700,64500,768,7.7
Jun,128,9435875,73700,64300,785,7.7
Jul,104,7582000,72900,62600,788,7.8
Aug,125,9670049,77400,61700,796,7.9
Sep,100,7522765,75200,59200,754,7.5
Oct,106,7840702,74000,60700,726,7.1
Nov,102,7880122,77300,62000,678,6.6
Dec,68,5389914,79300,62900,616,6.1
1992-Jan,82,6413278,78200,63800,673,6.6
Feb,90,6844075,76000,57500,862,8.4
Mar,121,9997784,82600,66100,734,7.1
Apr,90,7954369,88400,70000,757,7.4
May,108,8121309,75200,63600,761,7.5
Jun,113,9252487,81900,65900,805,8.0
Jul,109,7443721,68300,61900,793,7.8
Aug,115,8625000,75000,-,-,-
Sep,108,7836641,72600,67800,784,7.8
Oct,115,10206409,88800,70600,748,7.4
Nov,72,5334622,74100,57800,754,7.6
Dec,93,6559063,70500,63100,678,6.7
1993-Jan,79,5950036,75300,65000,696,6.9
Feb,95,7375819,77600,57700,722,7.1
Mar,112,8641036,77200,70000,765,7.6
Apr,114,7947636,69700,61900,795,7.7
May,92,8114279,88200,75000,822,8.1
Jun,111,8629979,77700,66500,806,8.0
Jul,114,8849249,77600,63600,851,8.4
Aug,128,11151801,87100,68200,816,7.9
Sep,113,9243575,81800,68900,836,8.1
Oct,89,7775900,87400,70600,811,8.0
Nov,90,7040118,78200,64500,764,7.5
Dec,99,7948035,80300,71400,716,7.0
1994-Jan,60,4447060,74100,65700,758,7.5
Feb,74,5976160,80800,68000,785,7.9
Mar,106,9441866,89100,75400,828,8.3
Apr,98,7117870,72600,68600,874,8.9
May,139,12178460,87600,71500,864,8.5
Jun,120,10854835,90500,74000,860,8.4
Jul,115,10216583,88800,81100,847,8.3
Aug,113,9036470,80000,66800,869,8.6
Sep,103,7643064,74200,61700,836,8.3
Oct,103,8063320,78300,68100,832,8.2
Nov,80,6768421,84600,63800,799,7.9
Dec,95,7182925,75600,70500,766,7.6
1995-Jan,82,6301701,76900,58300,795,7.8
Feb,85,6574320,77300,64500,794,7.7
Mar,88,8104531,92100,82100,820,8.1
Apr,104,8689281,83600,67100,841,8.2
May,98,6974450,71200,61800,901,9.1
Jun,116,11116100,95800,72900,924,9.4
Jul,137,10934820,79800,68800,980,9.8
Aug,127,10228480,80500,67900,991,9.8
Sep,94,7787930,82900,75500,964,9.6
Oct,96,7806675,81300,69200,933,9.3
Nov,105,8220293,78300,72300,893,8.7
Dec,81,6477469,80000,58800,836,8.3
1996-Jan,85,6800000,80000,-,850,8.4
Feb,85,6800000,80000,-,900,8.9
Mar,93,7862037,84500,73500,967,9.5
Apr,132,11164722,84600,71900,984,9.5
May,121,10734148,88700,75000,1014,9.6
Jun,121,10121900,83700,73500,1048,9.8
Jul,132,11836893,89700,77800,1036,9.8
Aug,135,11629600,86100,74300,994,9.3
Sep,128,10509149,82100,69500,948,8.7
Oct,108,8972450,83100,77500,973,8.8
Nov,90,6362380,70700,65300,964,8.8
Dec,98,7890000,80500,67700,899,8.1
1997-Jan,93,7840000,84300,73900,889,8.0
Feb,96,8655000,90200,75700,917,8.2
Mar,94,7790000,82900,70000,952,8.5
Apr,115,8650000,75200,68600,1007,9.1
May,132,12525000,94900,81200,981,8.8
Jun,133,11235000,84500,71800,941,8.3
Jul,153,12105000,79100,74700,943,8.2
Aug,136,11670000,85800,68900,973,8.5
Sep,118,11130000,94300,81800,954,8.4
Oct,125,10275000,82200,72300,943,8.2
Nov,84,7885000,93900,73300,919,8.0
Dec,107,9270000,86600,79500,857,7.4
1998-Jan,82,7060000,86100,68000,859,7.5
Feb,99,9515000,96100,83900,884,7.7
Mar,141,12090000,85700,76500,887,7.5
Apr,132,11795000,89400,77100,899,7.5
May,152,14850000,97700,80000,941,7.7
Jun,194,18055000,93100,82300,986,7.8
Jul,163,14530000,89100,72500,992,7.8
Aug,147,14055000,95600,83800,943,7.3
Sep,174,16760000,96300,76300,858,6.4
Oct,147,14710000,100100,82800,824,6.1
Nov,115,10255000,89200,77900,785,5.7
Dec,109,10485000,96200,78900,739,5.4
1999-Jan,118,12140000,102900,88600,773,5.5
Feb,126,11800000,93700,85400,798,5.6
Mar,151,13900000,92100,79600,825,5.7
Apr,147,13600000,92500,79700,813,5.6
May,161,14670000,91100,77200,838,5.7
Jun,164,15830000,96500,82500,858,6.0
Jul,170,15650000,92100,80000,847,5.9
Aug,170,15955000,93900,82800,837,5.7
Sep,170,15955000,93900,82800,837,5.7
Oct,111,9640000,86800,75800,860,6.0
Nov,125,12065000,96500,75500,856,6.0
Dec,119,12100000,101700,86500,844,5.8
2000-Jan,97,10100000,104100,82100,876,6.1
Feb,134,12405000,92600,81500,896,6.3
Mar,159,15915000,100100,82700,898,6.2
Apr,153,15600000,102000,83800,872,6.0
May,170,18300000,107600,94400,937,6.5
Jun,162,17410000,107500,87800,947,6.5
Jul,173,19095000,110400,85000,951,6.5
Aug,180,16920000,94000,78800,984,6.7
Sep,152,16450000,108200,94400,1023,7.1
Oct,117,12570000,107400,89500,1048,7.2
Nov,140,16190000,115600,85300,980,6.7
Dec,144,14050000,97600,79300,942,6.3
2001-Jan,87,8865000,101900,86500,971,6.6
Feb,122,12090000,99100,83800,975,6.7
Mar,166,18055000,108800,89400,969,6.6
Apr,170,18035000,106100,88400,974,6.6
May,196,21020000,107200,87000,1003,6.7
Jun,138,16180000,117200,90000,1043,7.0
Jul,204,23250000,114000,88500,1007,6.7
Aug,169,18075000,107000,89700,1080,7.2
Sep,143,16745000,117100,91700,1091,7.3
Oct,129,11860000,91900,74600,1084,7.2
Nov,143,15235000,106500,92100,1006,6.7
Dec,131,13145000,100300,87500,924,6.2
2002-Jan,101,10910000,108000,82100,990,6.6
Feb,145,14800000,102100,79600,1005,6.6
Mar,150,15165000,101100,85600,1025,6.8
Apr,192,21395000,111400,87000,1009,6.6
May,215,23355000,108600,91900,1009,6.5
Jun,187,21560000,115300,99600,1018,6.4
