"msa","year","price_rng","value"
"110",1998,15,13.4
"110",1998,35,8.4
"110",1998,45,10.4
"110",1998,55,11
"110",1998,65,9.9
"110",1998,75,12.1
"110",1998,85,9.5
"110",1998,95,5.2
"110",1998,110,6.7
"110",1998,130,4.6
"110",1998,150,3.6
"110",1998,170,1.4
"110",1998,190,1.2
"110",1998,225,1.6
"110",1998,275,0.7
"110",1998,350,0.5
"110",1998,450,0
"110",1998,550,0
"120",1998,15,7
"120",1998,35,7.2
"120",1998,45,8.5
"120",1998,55,8.2
"120",1998,65,9.2
"120",1998,75,8.5
"120",1998,85,9.4
"120",1998,95,8.5
"120",1998,110,8.9
"120",1998,130,7.4
"120",1998,150,8.9
"120",1998,170,2.4
"120",1998,190,2.1
"120",1998,225,1.7
"120",1998,275,0.9
"120",1998,350,0.7
"120",1998,450,0.2
"120",1998,550,0.2
"130",1998,15,0.7
"130",1998,35,1.3
"130",1998,45,3.6
"130",1998,55,6.4
"130",1998,65,10.7
"130",1998,75,12.3
"130",1998,85,11.8
"130",1998,95,8.7
"130",1998,110,12.3
"130",1998,130,10.3
"130",1998,150,7.1
"130",1998,170,5
"130",1998,190,2.7
"130",1998,225,3.7
"130",1998,275,1.9
"130",1998,350,1
"130",1998,450,0.3
"130",1998,550,0.4
"140",1998,15,0.5
"140",1998,35,1
"140",1998,45,1.3
"140",1998,55,2.8
"140",1998,65,4.5
"140",1998,75,6.8
"140",1998,85,10.2
"140",1998,95,9.8
"140",1998,110,14.7
"140",1998,130,11.3
"140",1998,150,8.1
"140",1998,170,6.6
"140",1998,190,4.5
"140",1998,225,7.3
"140",1998,275,3.8
"140",1998,350,3.6
"140",1998,450,1.4
"140",1998,550,1.9
"145",1998,15,2.3
"145",1998,35,2.5
"145",1998,45,3.3
"145",1998,55,4.6
"145",1998,65,7.5
"145",1998,75,12.4
"145",1998,85,10.6
"145",1998,95,7.6
"145",1998,110,13.8
"145",1998,130,10.9
"145",1998,150,7.4
"145",1998,170,4.9
"145",1998,190,3.4
"145",1998,225,4.6
"145",1998,275,2
"145",1998,350,1.4
"145",1998,450,0.6
"145",1998,550,0.4
"150",1998,15,7.5
"150",1998,35,6
"150",1998,45,8.9
"150",1998,55,10
"150",1998,65,9.7
"150",1998,75,9.1
"150",1998,85,10.6
"150",1998,95,6.9
"150",1998,110,9.2
"150",1998,130,6.4
"150",1998,150,4.5
"150",1998,170,3
"150",1998,190,1.8
"150",1998,225,3.2
"150",1998,275,1.9
"150",1998,350,0.8
"150",1998,450,0.4
"150",1998,550,0.2
"160",1998,15,5.1
"160",1998,35,4.8
"160",1998,45,6.4
"160",1998,55,9
"160",1998,65,12.1
"160",1998,75,11.9
"160",1998,85,9.2
"160",1998,95,5.9
"160",1998,110,10.3
"160",1998,130,7.3
"160",1998,150,4.5
"160",1998,170,3.4
"160",1998,190,2.8
"160",1998,225,4
"160",1998,275,1.8
"160",1998,350,1.2
"160",1998,450,0
"160",1998,550,0.2
"170",1998,15,10.2
"170",1998,35,8.9
"170",1998,45,9.1
"170",1998,55,10.8
"170",1998,65,11.9
"170",1998,75,10.8
"170",1998,85,7.4
"170",1998,95,5.9
"170",1998,110,8.5
"170",1998,130,6.5
"170",1998,150,2.8
"170",1998,170,1.5
"170",1998,190,2.2
"170",1998,225,2.4
"170",1998,275,0.2
