"fips_msa","city","state","university","year","quarter","hpi","error","time","city_state"
10180,"Abilene","TX","Abilene Christian University",2002,2,119.75,2.55,2002.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2002,4,125.15,2.63,2002.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2003,2,124.93,2.56,2003.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2007,2,163.79,3.54,2007.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2003,3,125.85,2.58,2003.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2003,1,123.77,2.63,2003,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2009,1,169.49,3.81,2009,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2002,3,121.83,2.59,2002.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2007,1,161.62,3.77,2007,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2001,2,117.65,2.55,2001.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2001,3,117.01,2.52,2001.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2000,2,112.46,2.44,2000.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2002,1,120.31,2.58,2002,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2006,4,155.99,3.47,2006.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2006,3,154.51,3.35,2006.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2008,4,174.19,4.59,2008.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2000,1,112.12,2.63,2000,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2001,4,122.11,2.59,2001.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2006,2,148.6,3.24,2006.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2005,3,140.93,3.04,2005.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2008,2,164.78,3.74,2008.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2008,3,166.07,4,2008.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2004,1,128.9,2.85,2004,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2006,1,149.25,3.29,2006,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2007,3,163.7,3.56,2007.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2004,4,132.63,2.97,2004.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2004,3,130.7,2.87,2004.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2005,1,134.8,3.05,2005,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2005,2,139.37,3.11,2005.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2007,4,164.03,3.82,2007.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2003,4,124,2.78,2003.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2000,3,114.13,2.47,2000.5,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2008,1,165.22,3.71,2008,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2001,1,116.79,2.64,2001,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2004,2,129.57,2.79,2004.25,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2005,4,142.67,3.26,2005.75,"Abilene, TX"
10180,"Abilene","TX","Abilene Christian University",2000,4,116.72,2.7,2000.75,"Abilene, TX"
10580,"Albany","NY","SUNY Albany",2003,4,138.59,1,2003.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2004,4,159.09,1.19,2004.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2008,4,198.66,1.68,2008.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2009,1,201.37,1.49,2009,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2004,3,155.84,1.16,2004.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2001,4,114.9,0.82,2001.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2008,3,199.21,1.61,2008.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2004,2,146.95,1.06,2004.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2003,3,132.69,0.92,2003.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2002,1,116.16,0.83,2002,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2001,1,109.22,0.83,2001,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2004,1,141.36,1.04,2004,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2003,2,129.06,0.9,2003.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2000,4,107.89,0.85,2000.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2006,4,193.32,1.48,2006.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2001,2,111.55,0.81,2001.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2000,3,107.54,0.85,2000.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2008,2,199.82,1.53,2008.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2003,1,126.53,0.89,2003,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2001,3,114.12,0.83,2001.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2000,1,104.27,0.9,2000,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2008,1,202.04,1.52,2008,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2002,4,124.41,0.87,2002.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2007,1,196.19,1.51,2007,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2005,4,181.26,1.38,2005.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2000,2,105.29,0.85,2000.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2007,4,200.47,1.53,2007.75,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2007,2,197.94,1.5,2007.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2006,3,191.09,1.44,2006.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2002,3,121.45,0.86,2002.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2005,1,163.87,1.26,2005,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2007,3,198.36,1.49,2007.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2006,2,189.37,1.44,2006.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2002,2,118.85,0.85,2002.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2005,2,171.53,1.3,2005.25,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2005,3,178.76,1.32,2005.5,"Albany, NY"
10580,"Albany","NY","SUNY Albany",2006,1,186.54,1.46,2006,"Albany, NY"
11180,"Ames","IA","Iowa State University",2005,4,155.24,2.35,2005.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2006,1,155.63,2.52,2006,"Ames, IA"
11180,"Ames","IA","Iowa State University",2008,3,159.68,2.42,2008.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2005,3,155.94,2.23,2005.5,"Ames, IA"
11180,"Ames","IA","Iowa State University",2006,2,157.09,2.28,2006.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2001,4,133.55,1.75,2001.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2000,1,123.19,1.84,2000,"Ames, IA"
11180,"Ames","IA","Iowa State University",2002,1,134.81,1.8,2002,"Ames, IA"
11180,"Ames","IA","Iowa State University",2008,2,161.79,2.43,2008.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2000,2,125.44,1.73,2000.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2000,4,127.93,1.75,2000.75,"Ames, IA"
11180,"Ames","IA","Iowa State University",2008,1,162.76,2.33,2008,"Ames, IA"
11180,"Ames","IA","Iowa State University",2005,1,148.26,2.24,2005,"Ames, IA"
11180,"Ames","IA","Iowa State University",2005,2,152.44,2.26,2005.25,"Ames, IA"
11180,"Ames","IA","Iowa State University",2006,3,154.63,2.24,2006.5,"Ames, IA"
