state,yr,qtr,index_not_seasonally_adjusted,index_seasonally_adjusted
AK,1991,1,100,100
AK,1991,2,100.98,100.58
AK,1991,3,101.96,101.1
AK,1991,4,102.05,102.26
AK,1992,1,102.68,102.61
AK,1992,2,103.83,103.43
AK,1992,3,105.38,104.48
AK,1992,4,104.38,104.7
AK,1993,1,105.42,105.23
AK,1993,2,107.25,106.83
AK,1993,3,108.15,107.25
AK,1993,4,110.58,111.04
AK,1994,1,111.26,110.95
AK,1994,2,111.64,111.12
AK,1994,3,113.13,112.3
AK,1994,4,111.17,111.66
AK,1995,1,115.16,114.85
AK,1995,2,116.38,115.69
AK,1995,3,117.85,117.07
AK,1995,4,117.56,118.09
AK,1996,1,120.58,120.37
AK,1996,2,121.07,120.15
AK,1996,3,120.41,119.66
AK,1996,4,123.54,124.08
AK,1997,1,122.96,122.98
AK,1997,2,125.44,124.26
AK,1997,3,125.2,124.37
AK,1997,4,125.16,125.72
AK,1998,1,125.44,125.73
AK,1998,2,129.43,128.02
AK,1998,3,130,129.06
AK,1998,4,130.19,130.73
AK,1999,1,131.16,131.72
AK,1999,2,133.73,132.22
AK,1999,3,134.09,132.93
AK,1999,4,130.74,131.36
AK,2000,1,132.19,132.78
AK,2000,2,136.82,135.43
AK,2000,3,137.79,136.41
AK,2000,4,136.43,137.1
AK,2001,1,139.45,139.98
AK,2001,2,143.79,142.6
AK,2001,3,146.39,144.78
AK,2001,4,147.71,148.41
AK,2002,1,148.51,148.91
AK,2002,2,152.39,151.44
AK,2002,3,157.31,155.52
AK,2002,4,156.01,156.61
AK,2003,1,160.51,160.91
AK,2003,2,162.8,161.94
AK,2003,3,166.94,165
AK,2003,4,170.12,170.75
AK,2004,1,173.28,173.74
AK,2004,2,178,176.99
AK,2004,3,184.98,182.86
AK,2004,4,187.52,188.2
AK,2005,1,192.65,193.44
AK,2005,2,197.98,196.43
AK,2005,3,206.28,203.97
AK,2005,4,207.02,207.98
AK,2006,1,211.3,212.42
AK,2006,2,218.65,216.35
AK,2006,3,219.42,217.07
AK,2006,4,218.65,219.88
AK,2007,1,221.09,222.55
AK,2007,2,228.24,225.24
AK,2007,3,227.01,224.64
AK,2007,4,222.53,224.1
AK,2008,1,219.35,220.87
AK,2008,2,226.04,222.7
AK,2008,3,226.03,223.75
AK,2008,4,223.06,224.79
AK,2009,1,229.8,231.45
AL,1991,1,100,100
AL,1991,2,100.94,100.52
AL,1991,3,101.92,101.17
AL,1991,4,103.07,102.4
AL,1992,1,103.9,103.93
AL,1992,2,103.89,103.43
AL,1992,3,106.46,105.68
AL,1992,4,107.35,106.67
AL,1993,1,108.03,108.09
AL,1993,2,109.52,108.97
AL,1993,3,111.35,110.54
AL,1993,4,112.59,111.93
AL,1994,1,113.2,113.26
AL,1994,2,115.64,114.98
AL,1994,3,116.57,115.74
AL,1994,4,117.85,117.25
AL,1995,1,117.05,117.08
AL,1995,2,118.87,118.08
AL,1995,3,120.53,119.73
AL,1995,4,121.27,120.76
AL,1996,1,122.09,122.04
AL,1996,2,124.24,123.34
AL,1996,3,124.72,123.96
AL,1996,4,125.67,125.25
AL,1997,1,126.76,126.6
AL,1997,2,127.61,126.61
AL,1997,3,129.02,128.31
AL,1997,4,128.53,128.2
AL,1998,1,129.81,129.51
AL,1998,2,132.06,131
AL,1998,3,133.36,132.68
AL,1998,4,134.39,134.12
AL,1999,1,135.66,135.27
AL,1999,2,137.25,136.13
AL,1999,3,137.58,136.92
AL,1999,4,138.85,138.58
AL,2000,1,140.09,139.66
AL,2000,2,141.56,140.43
AL,2000,3,141.85,141.13
AL,2000,4,141.69,141.41
AL,2001,1,143.68,143.28
AL,2001,2,145.61,144.49
AL,2001,3,146.04,145.19
AL,2001,4,146.6,146.33
AL,2002,1,147.8,147.45
AL,2002,2,149.66,148.55
AL,2002,3,150.56,149.55
AL,2002,4,152.55,152.3
AL,2003,1,153.3,153
AL,2003,2,155.8,154.67
AL,2003,3,158.45,157.27
AL,2003,4,158,157.78
AL,2004,1,159.17,158.93
AL,2004,2,162.65,161.45
AL,2004,3,166.16,164.85
AL,2004,4,166.97,166.76
AL,2005,1,170.16,170.01
AL,2005,2,173.89,172.51
AL,2005,3,177.29,175.83
AL,2005,4,181.05,180.91
AL,2006,1,185.79,185.72
AL,2006,2,190.62,188.95
