"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"40420","Rockford, IL (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),9633,9946,10209,10500,10840,11500
"40420","Rockford, IL (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),8865,9137,9301,9582,9934,10568
"40420","Rockford, IL (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"40420","Rockford, IL (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),43,72,45,62,25,44
"40420","Rockford, IL (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"40420","Rockford, IL (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"40420","Rockford, IL (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"40420","Rockford, IL (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"40420","Rockford, IL (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),0,"(D)","(D)","(D)","(D)","(D)"
"40420","Rockford, IL (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",344,"(D)"
"40420","Rockford, IL (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),523,577,578,591,648,682
"40420","Rockford, IL (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),3097,2977,2864,2941,3003,3311
"40420","Rockford, IL (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),2576,2448,2335,2477,2549,"(D)"
"40420","Rockford, IL (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)",22,"(D)",21,25
"40420","Rockford, IL (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),43,"(D)","(D)",37,44,52
"40420","Rockford, IL (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),24,22,23,47,50,"(D)"
"40420","Rockford, IL (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),700,676,656,679,678,663
"40420","Rockford, IL (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1082,900,891,1014,1059,1157
