"city","state","fips","year","total","leisure","accomodations","entertainment","real_estate","construction","msa_fips","fips_st","fips_place","latitude","longitude"
"Abilene","TX",10420,2002,21778,659,500,159,1825,887,"10420",48,1000,32.4545,-99.738973
"Abilene","TX",10420,2006,26179,740,561,179,2032,1039,"10420",48,1000,32.4545,-99.738973
"Abilene","TX",10420,2004,24184,711,535,176,1922,940,"10420",48,1000,32.4545,-99.738973
"Abilene","TX",10420,2005,25653,724,553,171,2003,998,"10420",48,1000,32.4545,-99.738973
"Abilene","TX",10420,2003,22844,670,506,164,1867,891,"10420",48,1000,32.4545,-99.738973
"Abilene","TX",10420,2001,20729,637,474,163,1776,902,"10420",48,1000,32.4545,-99.738973
"Akron","OH",10500,2003,4258,96,NA,NA,197,NA,"10500",39,1000,41.0804,-81.521499
"Akron","OH",10500,2004,4387,99,NA,NA,214,NA,"10500",39,1000,41.0804,-81.521499
"Akron","OH",10500,2002,4107,91,NA,NA,184,NA,"10500",39,1000,41.0804,-81.521499
"Akron","OH",10500,2006,4541,110,NA,NA,NA,NA,"10500",39,1000,41.0804,-81.521499
"Akron","OH",10500,2001,3986,95,NA,NA,165,190,"10500",39,1000,41.0804,-81.521499
"Akron","OH",10500,2005,4588,105,NA,NA,NA,NA,"10500",39,1000,41.0804,-81.521499
"Albany","GA",10580,2003,31069,864,707,157,2253,1399,"10580",13,1052,31.5778,-84.175624
"Albany","GA",10580,2006,35896,1031,836,195,2613,1629,"10580",13,1052,31.5778,-84.175624
"Albany","GA",10580,2002,29263,845,683,162,1849,NA,"10580",13,1052,31.5778,-84.175624
"Albany","GA",10580,2004,32870,921,749,171,2451,1465,"10580",13,1052,31.5778,-84.175624
"Albany","GA",10580,2005,34057,947,773,174,2625,1611,"10580",13,1052,31.5778,-84.175624
"Albany","GA",10580,2001,28425,756,613,143,1733,NA,"10580",13,1052,31.5778,-84.175624
"Albany","NY",10740,2004,30543,950,NA,NA,NA,1488,"10740",36,1000,42.66575,-73.799017
"Albany","NY",10740,2005,31076,976,NA,NA,NA,1747,"10740",36,1000,42.66575,-73.799017
"Albany","NY",10740,2003,27608,903,NA,NA,3694,1361,"10740",36,1000,42.66575,-73.799017
"Albany","NY",10740,2006,32864,1073,NA,NA,NA,1932,"10740",36,1000,42.66575,-73.799017
"Albany","NY",10740,2002,25557,864,NA,NA,3576,1305,"10740",36,1000,42.66575,-73.799017
"Albany","NY",10740,2001,26156,825,698,128,3717,1390,"10740",36,1000,42.66575,-73.799017
"Albuquerque","NM",10780,2006,4542,NA,NA,12,236,246,"10780",35,2000,35.117218,-106.624636
"Albuquerque","NM",10780,2004,3915,NA,NA,10,241,234,"10780",35,2000,35.117218,-106.624636
"Albuquerque","NM",10780,2005,4190,NA,NA,12,215,250,"10780",35,2000,35.117218,-106.624636
"Albuquerque","NM",10780,2003,3511,96,85,11,207,183,"10780",35,2000,35.117218,-106.624636
"Albuquerque","NM",10780,2002,3401,NA,NA,10,NA,187,"10780",35,2000,35.117218,-106.624636
"Albuquerque","NM",10780,2001,3206,NA,NA,8,221,192,"10780",35,2000,35.117218,-106.624636
"Alexandria","LA",10900,2005,25829,775,592,183,2219,1400,"10900",22,975,31.29195,-92.463306
"Alexandria","LA",10900,2003,23674,712,542,170,2028,1120,"10900",22,975,31.29195,-92.463306
"Alexandria","LA",10900,2004,24507,761,575,186,2043,1208,"10900",22,975,31.29195,-92.463306
"Alexandria","LA",10900,2002,23577,677,507,170,1854,1081,"10900",22,975,31.29195,-92.463306
"Alexandria","LA",10900,2001,22548,629,459,171,1556,1079,"10900",22,975,31.29195,-92.463306
"Alexandria","LA",10900,2006,27199,809,618,190,2191,NA,"10900",22,975,31.29195,-92.463306
"Allentown","PA",11020,2006,3831,121,96,25,157,151,"11020",42,2000,40.596333,-75.477665
"Allentown","PA",11020,2001,3071,93,77,16,115,139,"11020",42,2000,40.596333,-75.477665
"Allentown","PA",11020,2004,3484,109,90,19,133,147,"11020",42,2000,40.596333,-75.477665
"Allentown","PA",11020,2005,3686,112,92,20,156,161,"11020",42,2000,40.596333,-75.477665
"Allentown","PA",11020,2003,3358,102,85,17,135,141,"11020",42,2000,40.596333,-75.477665
