"","fips","indust","year","gdp"
"1",12060,1,2001,202783
"2",12060,1,2002,207950
"3",12060,1,2003,214480
"4",12060,1,2004,228611
"5",12060,1,2005,243739
"6",12060,1,2006,257032
"7",12060,2,2001,185991
"8",12060,2,2002,189798
"9",12060,2,2003,195177
"10",12060,2,2004,208398
"11",12060,2,2005,222381
"12",12060,2,2006,234444
"13",12060,11,2001,NA
"14",12060,11,2002,NA
"15",12060,11,2003,NA
"16",12060,11,2004,NA
"17",12060,11,2005,NA
"18",12060,11,2006,NA
"19",12060,35,2001,13039
"20",12060,35,2002,13225
"21",12060,35,2003,13581
"22",12060,35,2004,13785
"23",12060,35,2005,14620
"24",12060,35,2006,15622
"25",12060,38,2001,NA
"26",12060,38,2002,464
"27",12060,38,2003,507
"28",12060,38,2004,NA
"29",12060,38,2005,NA
"30",12060,38,2006,699
"31",12060,40,2001,NA
"32",12060,40,2002,NA
"33",12060,40,2003,NA
"34",12060,40,2004,NA
"35",12060,40,2005,NA
"36",12060,40,2006,NA
"37",12060,50,2001,NA
"38",12060,50,2002,NA
"39",12060,50,2003,NA
"40",12060,50,2004,NA
"41",12060,50,2005,NA
"42",12060,50,2006,NA
"43",12060,55,2001,NA
"44",12060,55,2002,NA
"45",12060,55,2003,NA
"46",12060,55,2004,NA
"47",12060,55,2005,NA
"48",12060,55,2006,NA
"49",12060,74,2001,NA
"50",12060,74,2002,NA
"51",12060,74,2003,NA
"52",12060,74,2004,NA
"53",12060,74,2005,NA
"54",12060,74,2006,NA
"55",12060,102,2001,40507
"56",12060,102,2002,43273
"57",12060,102,2003,45935
"58",12060,102,2004,50546
"59",12060,102,2005,53591
"60",12060,102,2006,58741
"61",12060,103,2001,27719
"62",12060,103,2002,27905
"63",12060,103,2003,29574
"64",12060,103,2004,30457
"65",12060,103,2005,34433
"66",12060,103,2006,35973
"67",12060,105,2001,6720
"68",12060,105,2002,6903
"69",12060,105,2003,6985
"70",12060,105,2004,7367
"71",12060,105,2005,7859
"72",12060,105,2006,8472
"73",12060,999,2001,114798
"74",12060,999,2002,116180
"75",12060,999,2003,117898
"76",12060,999,2004,126456
"77",12060,999,2005,133236
"78",12060,999,2006,137525
"79",14460,1,2001,230658
"80",14460,1,2002,231908
"81",14460,1,2003,238419
"82",14460,1,2004,250412
"83",14460,1,2005,259755
"84",14460,1,2006,275756
"85",14460,2,2001,213176
"86",14460,2,2002,213544
"87",14460,2,2003,219664
"88",14460,2,2004,230853
"89",14460,2,2005,239135
"90",14460,2,2006,254073
"91",14460,11,2001,10091
"92",14460,11,2002,10238
"93",14460,11,2003,9792
"94",14460,11,2004,10242
"95",14460,11,2005,11277
"96",14460,11,2006,11147
"97",14460,35,2001,11112
"98",14460,35,2002,11574
"99",14460,35,2003,12031
"100",14460,35,2004,12365
"101",14460,35,2005,12608
"102",14460,35,2006,12460
"103",14460,38,2001,232
"104",14460,38,2002,233
"105",14460,38,2003,247
"106",14460,38,2004,245
"107",14460,38,2005,264
"108",14460,38,2006,278
"109",14460,40,2001,940
"110",14460,40,2002,936
"111",14460,40,2003,958
"112",14460,40,2004,1026
"113",14460,40,2005,1026
"114",14460,40,2006,1055
"115",14460,50,2001,27259
"116",14460,50,2002,27308
"117",14460,50,2003,27729
"118",14460,50,2004,30778
"119",14460,50,2005,29738
"120",14460,50,2006,32641
"121",14460,55,2001,34601
"122",14460,55,2002,34843
"123",14460,55,2003,36103
"124",14460,55,2004,37497
"125",14460,55,2005,39038
"126",14460,55,2006,41343
"127",14460,74,2001,5138
"128",14460,74,2002,5323
"129",14460,74,2003,5509
"130",14460,74,2004,5910
"131",14460,74,2005,6105
"132",14460,74,2006,6461
"133",14460,102,2001,61860
"134",14460,102,2002,62151
"135",14460,102,2003,63832
"136",14460,102,2004,68275
"137",14460,102,2005,68776
"138",14460,102,2006,73984
"139",14460,103,2001,38963
"140",14460,103,2002,37288
"141",14460,103,2003,37962
"142",14460,103,2004,41165
"143",14460,103,2005,44595
"144",14460,103,2006,48281
"145",14460,105,2001,6863
"146",14460,105,2002,7214
"147",14460,105,2003,7525
"148",14460,105,2004,8080
"149",14460,105,2005,8365
"150",14460,105,2006,8794
"151",14460,999,2001,33599
"152",14460,999,2002,34800
"153",14460,999,2003,36731
"154",14460,999,2004,34829
"155",14460,999,2005,37963
"156",14460,999,2006,39312
"157",16980,1,2001,396279
"158",16980,1,2002,404593
"159",16980,1,2003,419436
"160",16980,1,2004,441457
"161",16980,1,2005,460125
"162",16980,1,2006,485002
"163",16980,2,2001,363152
"164",16980,2,2002,369807
"165",16980,2,2003,380295
"166",16980,2,2004,401834
"167",16980,2,2005,421265
"168",16980,2,2006,444697
"169",16980,11,2001,18410
"170",16980,11,2002,19219
"171",16980,11,2003,19951
"172",16980,11,2004,20820
"173",16980,11,2005,22429
"174",16980,11,2006,22897
"175",16980,35,2001,22426
"176",16980,35,2002,23148
"177",16980,35,2003,23789
"178",16980,35,2004,24670
"179",16980,35,2005,25615
"180",16980,35,2006,26552
"181",16980,38,2001,NA
"182",16980,38,2002,NA
"183",16980,38,2003,NA
"184",16980,38,2004,NA
"185",16980,38,2005,NA
"186",16980,38,2006,NA
"187",16980,40,2001,3833
"188",16980,40,2002,3885
"189",16980,40,2003,4014
"190",16980,40,2004,4544
"191",16980,40,2005,4961
"192",16980,40,2006,5151
"193",16980,50,2001,40419
"194",16980,50,2002,40222
"195",16980,50,2003,43402
"196",16980,50,2004,44351
"197",16980,50,2005,45712
"198",16980,50,2006,50638
"199",16980,55,2001,56774
"200",16980,55,2002,59302
"201",16980,55,2003,59926
"202",16980,55,2004,61067
"203",16980,55,2005,63901
"204",16980,55,2006,68455
"205",16980,74,2001,NA
"206",16980,74,2002,NA
"207",16980,74,2003,NA
"208",16980,74,2004,9890
"209",16980,74,2005,10486
"210",16980,74,2006,11317
"211",16980,102,2001,97193
"212",16980,102,2002,99523
"213",16980,102,2003,103328
"214",16980,102,2004,105418
"215",16980,102,2005,109613
"216",16980,102,2006,119093
"217",16980,103,2001,58122
"218",16980,103,2002,58199
"219",16980,103,2003,60082
"220",16980,103,2004,65803
"221",16980,103,2005,71606
"222",16980,103,2006,75926
"223",16980,105,2001,12633
"224",16980,105,2002,13264
"225",16980,105,2003,13791
"226",16980,105,2004,14772
"227",16980,105,2005,15375
"228",16980,105,2006,16499
"229",16980,999,2001,86469
"230",16980,999,2002,87831
"231",16980,999,2003,91153
"232",16980,999,2004,90122
"233",16980,999,2005,90427
"234",16980,999,2006,88474
"235",19100,1,2001,255038
"236",19100,1,2002,264806
"237",19100,1,2003,273362
"238",19100,1,2004,294201
"239",19100,1,2005,312612
"240",19100,1,2006,338493
"241",19100,2,2001,237563
"242",19100,2,2002,245760
"243",19100,2,2003,253351
"244",19100,2,2004,272953
"245",19100,2,2005,289862
"246",19100,2,2006,314235
"247",19100,11,2001,11577
"248",19100,11,2002,11946
"249",19100,11,2003,12472
"250",19100,11,2004,13465
"251",19100,11,2005,15022
"252",19100,11,2006,15922
"253",19100,35,2001,17897
"254",19100,35,2002,18618
"255",19100,35,2003,18897
"256",19100,35,2004,18986
"257",19100,35,2005,20160
"258",19100,35,2006,20460
"259",19100,38,2001,NA
"260",19100,38,2002,NA
"261",19100,38,2003,NA
"262",19100,38,2004,NA
"263",19100,38,2005,NA
"264",19100,38,2006,NA
"265",19100,40,2001,NA
"266",19100,40,2002,NA
"267",19100,40,2003,NA
"268",19100,40,2004,NA
"269",19100,40,2005,NA
"270",19100,40,2006,NA
"271",19100,50,2001,NA
"272",19100,50,2002,NA
"273",19100,50,2003,NA
"274",19100,50,2004,NA
"275",19100,50,2005,24527
"276",19100,50,2006,28505
"277",19100,55,2001,NA
"278",19100,55,2002,NA
"279",19100,55,2003,NA
"280",19100,55,2004,NA
"281",19100,55,2005,39657
"282",19100,55,2006,42117
"283",19100,74,2001,NA
"284",19100,74,2002,NA
"285",19100,74,2003,NA
"286",19100,74,2004,NA
"287",19100,74,2005,NA
"288",19100,74,2006,NA
"289",19100,102,2001,55602
"290",19100,102,2002,59198
"291",19100,102,2003,60389
"292",19100,102,2004,62908
"293",19100,102,2005,64184
"294",19100,102,2006,70622
"295",19100,103,2001,30947
"296",19100,103,2002,30907
"297",19100,103,2003,32780
"298",19100,103,2004,34538
"299",19100,103,2005,NA
"300",19100,103,2006,41577
"301",19100,105,2001,8858
"302",19100,105,2002,9170
"303",19100,105,2003,9482
"304",19100,105,2004,9834
"305",19100,105,2005,NA
"306",19100,105,2006,11110
"307",19100,999,2001,130157
"308",19100,999,2002,134967
"309",19100,999,2003,139342
"310",19100,999,2004,154470
"311",19100,999,2005,149062
"312",19100,999,2006,108180
"313",26420,1,2001,230404
"314",26420,1,2002,233811
"315",26420,1,2003,252663
"316",26420,1,2004,280820
"317",26420,1,2005,313136
"318",26420,1,2006,344516
"319",26420,2,2001,213717
"320",26420,2,2002,215771
"321",26420,2,2003,233362
"322",26420,2,2004,260539
"323",26420,2,2005,291612
"324",26420,2,2006,321549
"325",26420,11,2001,14222
"326",26420,11,2002,15145
"327",26420,11,2003,15347
"328",26420,11,2004,15725
"329",26420,11,2005,16924
"330",26420,11,2006,18952
"331",26420,35,2001,12639
"332",26420,35,2002,13375
"333",26420,35,2003,13462
"334",26420,35,2004,13526
"335",26420,35,2005,14165
"336",26420,35,2006,15319
"337",26420,38,2001,NA
"338",26420,38,2002,NA
"339",26420,38,2003,NA
"340",26420,38,2004,NA
"341",26420,38,2005,NA
"342",26420,38,2006,NA
"343",26420,40,2001,1643
"344",26420,40,2002,1720
"345",26420,40,2003,1824
"346",26420,40,2004,2083
"347",26420,40,2005,2249
"348",26420,40,2006,NA
"349",26420,50,2001,11854
"350",26420,50,2002,11831
"351",26420,50,2003,12543
"352",26420,50,2004,12881
"353",26420,50,2005,14172
"354",26420,50,2006,15478
"355",26420,55,2001,23457
"356",26420,55,2002,22603
"357",26420,55,2003,23009
"358",26420,55,2004,24583
"359",26420,55,2005,25141
"360",26420,55,2006,26706
"361",26420,74,2001,NA
"362",26420,74,2002,NA
"363",26420,74,2003,NA
"364",26420,74,2004,NA
"365",26420,74,2005,NA
"366",26420,74,2006,6041
"367",26420,102,2001,35312
"368",26420,102,2002,34433
"369",26420,102,2003,35551
"370",26420,102,2004,37465
"371",26420,102,2005,39313
"372",26420,102,2006,42184
"373",26420,103,2001,29365
"374",26420,103,2002,30252
"375",26420,103,2003,NA
"376",26420,103,2004,NA
"377",26420,103,2005,NA
"378",26420,103,2006,NA
"379",26420,105,2001,NA
"380",26420,105,2002,NA
"381",26420,105,2003,NA
"382",26420,105,2004,NA
"383",26420,105,2005,NA
"384",26420,105,2006,7870
"385",26420,999,2001,101912
"386",26420,999,2002,104452
"387",26420,999,2003,150927
"388",26420,999,2004,174557
"389",26420,999,2005,201172
"390",26420,999,2006,211966
"391",31100,1,2001,506513
"392",31100,1,2002,524451
"393",31100,1,2003,551338
"394",31100,1,2004,596230
"395",31100,1,2005,633812
"396",31100,1,2006,680230
"397",31100,2,2001,462388
"398",31100,2,2002,477801
"399",31100,2,2003,502255
"400",31100,2,2004,545313
"401",31100,2,2005,580409
"402",31100,2,2006,624055
"403",31100,11,2001,17210
"404",31100,11,2002,17654
"405",31100,11,2003,18345
"406",31100,11,2004,20817
"407",31100,11,2005,24111
"408",31100,11,2006,24586
"409",31100,35,2001,33384
"410",31100,35,2002,35019
"411",31100,35,2003,36758
"412",31100,35,2004,38344
"413",31100,35,2005,40090
"414",31100,35,2006,43221
"415",31100,38,2001,NA
"416",31100,38,2002,NA
"417",31100,38,2003,264
"418",31100,38,2004,246
"419",31100,38,2005,NA
"420",31100,38,2006,NA
"421",31100,40,2001,3099
"422",31100,40,2002,3116
"423",31100,40,2003,3251
"424",31100,40,2004,3585
"425",31100,40,2005,3529
"426",31100,40,2006,3685
"427",31100,50,2001,34770
"428",31100,50,2002,39017
"429",31100,50,2003,42018
"430",31100,50,2004,45123
"431",31100,50,2005,49312
"432",31100,50,2006,53330
"433",31100,55,2001,86771
"434",31100,55,2002,87426
"435",31100,55,2003,95159
"436",31100,55,2004,108553
"437",31100,55,2005,116400
"438",31100,55,2006,127057
"439",31100,74,2001,12146
"440",31100,74,2002,13179
"441",31100,74,2003,13866
"442",31100,74,2004,15092
"443",31100,74,2005,15762
"444",31100,74,2006,17085
"445",31100,102,2001,121541
"446",31100,102,2002,126443
"447",31100,102,2003,137177
"448",31100,102,2004,153675
"449",31100,102,2005,165712
"450",31100,102,2006,180387
"451",31100,103,2001,66817
"452",31100,103,2002,68434
"453",31100,103,2003,72381
"454",31100,103,2004,77728
"455",31100,103,2005,82959
"456",31100,103,2006,90256
"457",31100,105,2001,21866
"458",31100,105,2002,23481
"459",31100,105,2003,25310
"460",31100,105,2004,27436
"461",31100,105,2005,28104
"462",31100,105,2006,30256
"463",31100,999,2001,108909
"464",31100,999,2002,110682
"465",31100,999,2003,106809
"466",31100,999,2004,105631
"467",31100,999,2005,107833
"468",31100,999,2006,110367
"469",35620,1,2001,898039
"470",35620,1,2002,908053
"471",35620,1,2003,940950
"472",35620,1,2004,993080
"473",35620,1,2005,1050142
"474",35620,1,2006,1123532
"475",35620,2,2001,821551
"476",35620,2,2002,828031
"477",35620,2,2003,856692
"478",35620,2,2004,902242
"479",35620,2,2005,954965
"480",35620,2,2006,1025289
"481",35620,11,2001,NA
"482",35620,11,2002,NA
"483",35620,11,2003,31207
"484",35620,11,2004,32827
"485",35620,11,2005,35104
"486",35620,11,2006,36356
"487",35620,35,2001,45797
"488",35620,35,2002,48334
"489",35620,35,2003,50736
"490",35620,35,2004,52291
"491",35620,35,2005,54242
"492",35620,35,2006,56355
"493",35620,38,2001,NA
"494",35620,38,2002,NA
"495",35620,38,2003,NA
"496",35620,38,2004,NA
"497",35620,38,2005,NA
"498",35620,38,2006,NA
"499",35620,40,2001,3920
"500",35620,40,2002,3921
"501",35620,40,2003,NA
"502",35620,40,2004,4365
"503",35620,40,2005,NA
"504",35620,40,2006,NA
"505",35620,50,2001,132256
"506",35620,50,2002,122994
"507",35620,50,2003,124426
"508",35620,50,2004,129690
"509",35620,50,2005,145354
"510",35620,50,2006,171293
"511",35620,55,2001,NA
"512",35620,55,2002,NA
"513",35620,55,2003,NA
"514",35620,55,2004,167819
"515",35620,55,2005,176891
"516",35620,55,2006,187124
"517",35620,74,2001,17125
"518",35620,74,2002,17932
"519",35620,74,2003,18870
"520",35620,74,2004,20537
"521",35620,74,2005,21402
"522",35620,74,2006,22897
"523",35620,102,2001,NA
"524",35620,102,2002,NA
"525",35620,102,2003,NA
"526",35620,102,2004,297508
"527",35620,102,2005,322245
"528",35620,102,2006,358417
"529",35620,103,2001,132025
"530",35620,103,2002,133897
"531",35620,103,2003,137677
"532",35620,103,2004,NA
"533",35620,103,2005,NA
"534",35620,103,2006,NA
"535",35620,105,2001,26469
"536",35620,105,2002,27937
"537",35620,105,2003,29509
"538",35620,105,2004,31963
"539",35620,105,2005,33151
"540",35620,105,2006,35993
"541",35620,999,2001,540447
"542",35620,999,2002,553038
"543",35620,999,2003,548525
"544",35620,999,2004,256080
"545",35620,999,2005,261753
"546",35620,999,2006,255097
"547",37980,1,2001,241831
"548",37980,1,2002,253505
"549",37980,1,2003,267316
"550",37980,1,2004,280141
"551",37980,1,2005,295637
"552",37980,1,2006,311662
"553",37980,2,2001,221087
"554",37980,2,2002,231297
"555",37980,2,2003,243781
"556",37980,2,2004,255334
"557",37980,2,2005,269913
"558",37980,2,2006,285024
"559",37980,11,2001,9879
"560",37980,11,2002,NA
"561",37980,11,2003,NA
"562",37980,11,2004,NA
"563",37980,11,2005,13300
"564",37980,11,2006,NA
"565",37980,35,2001,13981
"566",37980,35,2002,14524
"567",37980,35,2003,15262
"568",37980,35,2004,15582
"569",37980,35,2005,16080
"570",37980,35,2006,16574
"571",37980,38,2001,450
"572",37980,38,2002,440
"573",37980,38,2003,NA
"574",37980,38,2004,NA
"575",37980,38,2005,NA
"576",37980,38,2006,NA
"577",37980,40,2001,1352
"578",37980,40,2002,1430
"579",37980,40,2003,1508
"580",37980,40,2004,1708
"581",37980,40,2005,1780
"582",37980,40,2006,1877
"583",37980,50,2001,31703
"584",37980,50,2002,34033
"585",37980,50,2003,36183
"586",37980,50,2004,37974
"587",37980,50,2005,42841
"588",37980,50,2006,46607
"589",37980,55,2001,33358
"590",37980,55,2002,34516
"591",37980,55,2003,36689
"592",37980,55,2004,38595
"593",37980,55,2005,39202
"594",37980,55,2006,41388
"595",37980,74,2001,4379
"596",37980,74,2002,4624
"597",37980,74,2003,4708
"598",37980,74,2004,5012
"599",37980,74,2005,5289
"600",37980,74,2006,5650
"601",37980,102,2001,65061
"602",37980,102,2002,68549
"603",37980,102,2003,72872
"604",37980,102,2004,76569
"605",37980,102,2005,82043
"606",37980,102,2006,87995
"607",37980,103,2001,NA
"608",37980,103,2002,33675
"609",37980,103,2003,NA
"610",37980,103,2004,NA
"611",37980,103,2005,42106
"612",37980,103,2006,44786
"613",37980,105,2001,6147
"614",37980,105,2002,6562
"615",37980,105,2003,6827
"616",37980,105,2004,7272
"617",37980,105,2005,7593
"618",37980,105,2006,8099
"619",37980,999,2001,75521
"620",37980,999,2002,55152
"621",37980,999,2003,93267
"622",37980,999,2004,97429
"623",37980,999,2005,45403
"624",37980,999,2006,58686
"625",41860,1,2001,230363
"626",41860,1,2002,229704
"627",41860,1,2003,235762
"628",41860,1,2004,251725
"629",41860,1,2005,272882
"630",41860,1,2006,292078
"631",41860,2,2001,210305
"632",41860,2,2002,208136
"633",41860,2,2003,213080
"634",41860,2,2004,227895
"635",41860,2,2005,248052
"636",41860,2,2006,265865
"637",41860,11,2001,10326
"638",41860,11,2002,10017
"639",41860,11,2003,10061
"640",41860,11,2004,10845
"641",41860,11,2005,11886
"642",41860,11,2006,11853
"643",41860,35,2001,15259
"644",41860,35,2002,15612
"645",41860,35,2003,15625
"646",41860,35,2004,16014
"647",41860,35,2005,16670
"648",41860,35,2006,17619
"649",41860,38,2001,86
"650",41860,38,2002,72
"651",41860,38,2003,82
"652",41860,38,2004,NA
"653",41860,38,2005,NA
"654",41860,38,2006,NA
"655",41860,40,2001,949
"656",41860,40,2002,979
"657",41860,40,2003,933
"658",41860,40,2004,1058
"659",41860,40,2005,1149
"660",41860,40,2006,1242
"661",41860,50,2001,23725
"662",41860,50,2002,23637
"663",41860,50,2003,23720
"664",41860,50,2004,25072
"665",41860,50,2005,27776
"666",41860,50,2006,30707
"667",41860,55,2001,32647
"668",41860,55,2002,35165
"669",41860,55,2003,37097
"670",41860,55,2004,40198
"671",41860,55,2005,43634
"672",41860,55,2006,47254
"673",41860,74,2001,5925
"674",41860,74,2002,6089
"675",41860,74,2003,6240
"676",41860,74,2004,6743
"677",41860,74,2005,7017
"678",41860,74,2006,7713
"679",41860,102,2001,56371
"680",41860,102,2002,58802
"681",41860,102,2003,60817
"682",41860,102,2004,65270
"683",41860,102,2005,71410
"684",41860,102,2006,77961
"685",41860,103,2001,42393
"686",41860,103,2002,39249
"687",41860,103,2003,39416
"688",41860,103,2004,42745
"689",41860,103,2005,47504
"690",41860,103,2006,51749
"691",41860,105,2001,8001
"692",41860,105,2002,8407
"693",41860,105,2003,8608
"694",41860,105,2004,9203
"695",41860,105,2005,9795
"696",41860,105,2006,10488
"697",41860,999,2001,34681
"698",41860,999,2002,31675
"699",41860,999,2003,33163
"700",41860,999,2004,34577
"701",41860,999,2005,36041
"702",41860,999,2006,35492
"703",47900,1,2001,264478
"704",47900,1,2002,278074
"705",47900,1,2003,296109
"706",47900,1,2004,321225
"707",47900,1,2005,347295
"708",47900,1,2006,366669
"709",47900,2,2001,210899
"710",47900,2,2002,220160
"711",47900,2,2003,235099
"712",47900,2,2004,255008
"713",47900,2,2005,276885
