"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2001","2002","2003","2004","2005","2006"
"35660","Niles-Benton Harbor, MI (MSA)",1,"Total Gross Domestic Product by Metropolitan Area",200,GDP by Metropolitan Area (millions of current dollars),4380,4635,4636,4738,4824,5059
"35660","Niles-Benton Harbor, MI (MSA)",2," Private industries",200,GDP by Metropolitan Area (millions of current dollars),3980,4225,4226,4310,4378,4598
"35660","Niles-Benton Harbor, MI (MSA)",3,"   Agriculture, forestry, fishing, and hunting",200,GDP by Metropolitan Area (millions of current dollars),49,31,"(D)","(D)","(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",4,"     Crop and animal production (Farms)",200,GDP by Metropolitan Area (millions of current dollars),44,27,60,71,57,77
"35660","Niles-Benton Harbor, MI (MSA)",5,"     Forestry, fishing, and related activities",200,GDP by Metropolitan Area (millions of current dollars),4,4,"(D)","(D)","(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",6,"   Mining",200,GDP by Metropolitan Area (millions of current dollars),9,9,8,"(D)",14,17
"35660","Niles-Benton Harbor, MI (MSA)",7,"     Oil and gas extraction",200,GDP by Metropolitan Area (millions of current dollars),"(L)","(L)","(L)","(L)","(L)","(L)"
"35660","Niles-Benton Harbor, MI (MSA)",8,"     Mining, except oil and gas",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",9,"     Support activities for mining",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)",0,"(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",10,"   Utilities",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",11,"   Construction",200,GDP by Metropolitan Area (millions of current dollars),147,148,148,158,175,177
"35660","Niles-Benton Harbor, MI (MSA)",12,"   Manufacturing",200,GDP by Metropolitan Area (millions of current dollars),1228,1358,1313,1305,1218,1262
"35660","Niles-Benton Harbor, MI (MSA)",13,"     Durable goods",200,GDP by Metropolitan Area (millions of current dollars),1046,1164,1131,1135,"(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",14,"       Wood product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),11,11,11,13,12,9
"35660","Niles-Benton Harbor, MI (MSA)",15,"       Nonmetallic mineral product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),9,9,9,9,13,12
"35660","Niles-Benton Harbor, MI (MSA)",16,"       Primary metal manufacturing",200,GDP by Metropolitan Area (millions of current dollars),89,85,75,83,91,96
"35660","Niles-Benton Harbor, MI (MSA)",17,"       Fabricated metal product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),93,93,89,96,106,122
"35660","Niles-Benton Harbor, MI (MSA)",18,"       Machinery manufacturing",200,GDP by Metropolitan Area (millions of current dollars),181,172,168,159,174,170
"35660","Niles-Benton Harbor, MI (MSA)",19,"       Computer and electronic product manufacturing",200,GDP by Metropolitan Area (millions of current dollars),37,28,30,23,25,29
"35660","Niles-Benton Harbor, MI (MSA)",20,"       Electrical equipment and appliance manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)","(D)","(D)"
"35660","Niles-Benton Harbor, MI (MSA)",21,"       Motor vehicle, body, trailer, and parts manufacturing",200,GDP by Metropolitan Area (millions of current dollars),"(D)","(D)","(D)","(D)",113,78
