"county","cbsa","cntyname","cbsaname","pop2k","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2000 census","county to cbsa alloc factor"
"01001","33860","Autauga AL","Montgomery, AL Metropolitan Statistical Area",43671,1 
"01003","19300","Baldwin AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",140415,1 
"01005","21640","Barbour AL","Eufaula, AL-GA Micropolitan Statistical Area",29038,1 
"01007","13820","Bibb AL","Birmingham-Hoover, AL Metropolitan Statistical Area",20826,1 
"01009","13820","Blount AL","Birmingham-Hoover, AL Metropolitan Statistical Area",51024,1 
"01011"," ","Bullock AL"," ",11714,1 
"01013"," ","Butler AL"," ",21399,1 
"01015","11500","Calhoun AL","Anniston-Oxford, AL Metropolitan Statistical Area",112249,1 
"01017","46740","Chambers AL","Valley, AL Micropolitan Statistical Area",36583,1 
"01019"," ","Cherokee AL"," ",23988,1 
"01021","13820","Chilton AL","Birmingham-Hoover, AL Metropolitan Statistical Area",39593,1 
"01023"," ","Choctaw AL"," ",15922,1 
"01025"," ","Clarke AL"," ",27867,1 
"01027"," ","Clay AL"," ",14254,1 
"01029"," ","Cleburne AL"," ",14123,1 
"01031","21460","Coffee AL","Enterprise-Ozark, AL Micropolitan Statistical Area",43615,1 
"01033","22520","Colbert AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",54984,1 
"01035"," ","Conecuh AL"," ",14089,1 
"01037","10760","Coosa AL","Alexander City, AL Micropolitan Statistical Area",12202,1 
"01039"," ","Covington AL"," ",37631,1 
"01041"," ","Crenshaw AL"," ",13665,1 
"01043","18980","Cullman AL","Cullman, AL Micropolitan Statistical Area",77483,1 
"01045","21460","Dale AL","Enterprise-Ozark, AL Micropolitan Statistical Area",49129,1 
"01047","42820","Dallas AL","Selma, AL Micropolitan Statistical Area",46365,1 
"01049","22840","DeKalb AL","Fort Payne, AL Micropolitan Statistical Area",64452,1 
"01051","33860","Elmore AL","Montgomery, AL Metropolitan Statistical Area",65874,1 
"01053"," ","Escambia AL"," ",38440,1 
"01055","23460","Etowah AL","Gadsden, AL Metropolitan Statistical Area",103459,1 
"01057"," ","Fayette AL"," ",18495,1 
"01059"," ","Franklin AL"," ",31223,1 
"01061","20020","Geneva AL","Dothan, AL Metropolitan Statistical Area",25764,1 
"01063","46220","Greene AL","Tuscaloosa, AL Metropolitan Statistical Area",9974,1 
"01065","46220","Hale AL","Tuscaloosa, AL Metropolitan Statistical Area",17185,1 
"01067","20020","Henry AL","Dothan, AL Metropolitan Statistical Area",16310,1 
"01069","20020","Houston AL","Dothan, AL Metropolitan Statistical Area",88787,1 
"01071","42460","Jackson AL","Scottsboro, AL Micropolitan Statistical Area",53926,1 
"01073","13820","Jefferson AL","Birmingham-Hoover, AL Metropolitan Statistical Area",662047,1 
"01075"," ","Lamar AL"," ",15904,1 
"01077","22520","Lauderdale AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",87966,1 
"01079","19460","Lawrence AL","Decatur, AL Metropolitan Statistical Area",34803,1 
"01081","12220","Lee AL","Auburn-Opelika, AL Metropolitan Statistical Area",115092,1 
"01083","26620","Limestone AL","Huntsville, AL Metropolitan Statistical Area",65676,1 
"01085","33860","Lowndes AL","Montgomery, AL Metropolitan Statistical Area",13473,1 
"01087","46260","Macon AL","Tuskegee, AL Micropolitan Statistical Area",24105,1 
"01089","26620","Madison AL","Huntsville, AL Metropolitan Statistical Area",276700,1 
"01091"," ","Marengo AL"," ",22539,1 
"01093"," ","Marion AL"," ",31214,1 
"01095","10700","Marshall AL","Albertville, AL Micropolitan Statistical Area",82231,1 
"01097","33660","Mobile AL","Mobile, AL Metropolitan Statistical Area",399843,1 
"01099"," ","Monroe AL"," ",24324,1 
"01101","33860","Montgomery AL","Montgomery, AL Metropolitan Statistical Area",223510,1 
"01103","19460","Morgan AL","Decatur, AL Metropolitan Statistical Area",111064,1 
"01105"," ","Perry AL"," ",11861,1 
"01107"," ","Pickens AL"," ",20949,1 
"01109","45980","Pike AL","Troy, AL Micropolitan Statistical Area",29605,1 
"01111"," ","Randolph AL"," ",22380,1 
"01113","17980","Russell AL","Columbus, GA-AL Metropolitan Statistical Area",49756,1 
"01115","13820","St. Clair AL","Birmingham-Hoover, AL Metropolitan Statistical Area",64742,1 
"01117","13820","Shelby AL","Birmingham-Hoover, AL Metropolitan Statistical Area",143293,1 
"01119"," ","Sumter AL"," ",14798,1 
"01121","45180","Talladega AL","Talladega-Sylacauga, AL Micropolitan Statistical Area",80321,1 
"01123","10760","Tallapoosa AL","Alexander City, AL Micropolitan Statistical Area",41475,1 
"01125","46220","Tuscaloosa AL","Tuscaloosa, AL Metropolitan Statistical Area",164875,1 
"01127","13820","Walker AL","Birmingham-Hoover, AL Metropolitan Statistical Area",70713,1 
"01129"," ","Washington AL"," ",18097,1 
"01131"," ","Wilcox AL"," ",13183,1 
"01133"," ","Winston AL"," ",24843,1 
"02013"," ","Aleutians East Borough AK"," ",2697,1 
"02016"," ","Aleutians West Census Area AK"," ",5465,1 
"02020","11260","Anchorage Borough AK","Anchorage, AK Metropolitan Statistical Area",260283,1 
"02050"," ","Bethel Census Area AK"," ",16006,1 
"02060"," ","Bristol Bay Borough AK"," ",1258,1 
"02068"," ","Denali Borough AK"," ",1893,1 
"02070"," ","Dillingham Census Area AK"," ",4922,1 
"02090","21820","Fairbanks North Star Borough AK","Fairbanks, AK Metropolitan Statistical Area",82840,1 
"02100"," ","Haines Borough AK"," ",2392,1 
"02110","27940","Juneau Borough AK","Juneau, AK Micropolitan Statistical Area",30711,1 
"02122"," ","Kenai Peninsula Borough AK"," ",49691,1 
"02130","28540","Ketchikan Gateway Borough AK","Ketchikan, AK Micropolitan Statistical Area",14070,1 
"02150","28980","Kodiak Island Borough AK","Kodiak, AK Micropolitan Statistical Area",13913,1 
"02164"," ","Lake and Peninsula Borough AK"," ",1823,1 
"02170","11260","Matanuska-Susitna Borough AK","Anchorage, AK Metropolitan Statistical Area",59322,1 
"02180"," ","Nome Census Area AK"," ",9196,1 
"02185"," ","North Slope Borough AK"," ",7385,1 
"02188"," ","Northwest Arctic Borough AK"," ",7208,1 
"02201"," ","Prince of Wales-Outer Ketchikan Census A"," ",6146,1 
"02220"," ","Sitka Borough AK"," ",8835,1 
"02232"," ","Skagway-Hoonah-Angoon Census Area AK"," ",3436,1 
"02240"," ","Southeast Fairbanks Census Area AK"," ",6174,1 
"02261"," ","Valdez-Cordova Census Area AK"," ",10195,1 
"02270"," ","Wade Hampton Census Area AK"," ",7028,1 
"02280"," ","Wrangell-Petersburg Census Area AK"," ",6684,1 
