"state","puma5","county","stab","cntyname","pop2k","afact"
"FIPS state","puma5","county","State Postal Code","cntyname","Total Pop, 2000 census","puma5 to county alloc factor"
"01","00100","01033","AL","Colbert AL",54984,0.385 
"01","00100","01077","AL","Lauderdale AL",87966,0.615 
"01","00200","01089","AL","Madison AL",157952,1 
"01","00300","01083","AL","Limestone AL",65676,0.356 
"01","00300","01089","AL","Madison AL",118748,0.644 
"01","00400","01049","AL","DeKalb AL",64452,0.544 
"01","00400","01071","AL","Jackson AL",53926,0.456 
"01","00500","01043","AL","Cullman AL",77483,0.42 
"01","00500","01095","AL","Marshall AL",82231,0.446 
"01","00500","01133","AL","Winston AL",24843,0.135 
"01","00600","01079","AL","Lawrence AL",34803,0.239 
"01","00600","01103","AL","Morgan AL",111064,0.761 
"01","00700","01057","AL","Fayette AL",18495,0.139 
"01","00700","01059","AL","Franklin AL",31223,0.235 
"01","00700","01075","AL","Lamar AL",15904,0.12 
"01","00700","01093","AL","Marion AL",31214,0.235 
"01","00700","01107","AL","Pickens AL",20949,0.158 
"01","00700","01119","AL","Sumter AL",14798,0.112 
"01","00800","01009","AL","Blount AL",51024,0.274 
"01","00800","01115","AL","St. Clair AL",64742,0.347 
"01","00800","01127","AL","Walker AL",70713,0.379 
"01","00901","01073","AL","Jefferson AL",103629,1 
"01","00902","01073","AL","Jefferson AL",123233,1 
"01","00903","01073","AL","Jefferson AL",154204,1 
"01","00904","01073","AL","Jefferson AL",177089,1 
"01","00905","01073","AL","Jefferson AL",103892,1 
"01","01000","01055","AL","Etowah AL",103459,1 
"01","01100","01019","AL","Cherokee AL",23988,0.155 
"01","01100","01027","AL","Clay AL",14254,0.092 
"01","01100","01029","AL","Cleburne AL",14123,0.091 
"01","01100","01111","AL","Randolph AL",22380,0.144 
"01","01100","01121","AL","Talladega AL",80321,0.518 
"01","01200","01015","AL","Calhoun AL",112249,1 
"01","01300","01117","AL","Shelby AL",143293,1 
"01","01400","01125","AL","Tuscaloosa AL",164875,1 
"01","01500","01007","AL","Bibb AL",20826,0.162 
"01","01500","01047","AL","Dallas AL",46365,0.36 
"01","01500","01063","AL","Greene AL",9974,0.077 
"01","01500","01065","AL","Hale AL",17185,0.133 
"01","01500","01091","AL","Marengo AL",22539,0.175 
"01","01500","01105","AL","Perry AL",11861,0.092 
"01","01600","01017","AL","Chambers AL",36583,0.282 
"01","01600","01021","AL","Chilton AL",39593,0.305 
