"year","cbsasub","state","bedrooms","rent"
"2006","METRO11500M11500",1,0,394
"2006","METRO12220M12220",1,0,368
"2006","METRO13820M13820",1,0,464
"2006","METRO13820N01021",1,0,304
"2006","METRO13820N01127",1,0,389
"2006","METRO17980M17980",1,0,498
"2006","METRO19460M19460",1,0,395
"2006","METRO20020M20020",1,0,375
"2006","METRO20020N01067",1,0,311
"2006","METRO22520M22520",1,0,421
"2006","METRO23460M23460",1,0,387
"2006","METRO26620M26620",1,0,454
"2006","METRO33660M33660",1,0,500
"2006","METRO33860M33860",1,0,491
"2006","METRO46220M46220",1,0,440
"2006","NCNTY01003N01003",1,0,444
"2006","NCNTY01005N01005",1,0,389
"2006","NCNTY01011N01011",1,0,337
"2006","NCNTY01013N01013",1,0,337
"2006","NCNTY01017N01017",1,0,361
"2006","NCNTY01019N01019",1,0,416
"2006","NCNTY01023N01023",1,0,387
"2006","NCNTY01025N01025",1,0,303
"2006","NCNTY01027N01027",1,0,389
"2006","NCNTY01029N01029",1,0,388
"2006","NCNTY01031N01031",1,0,359
"2006","NCNTY01035N01035",1,0,387
"2006","NCNTY01037N01037",1,0,359
"2006","NCNTY01039N01039",1,0,374
"2006","NCNTY01041N01041",1,0,337
"2006","NCNTY01043N01043",1,0,401
"2006","NCNTY01045N01045",1,0,359
"2006","NCNTY01047N01047",1,0,312
"2006","NCNTY01049N01049",1,0,343
"2006","NCNTY01053N01053",1,0,386
"2006","NCNTY01057N01057",1,0,307
"2006","NCNTY01059N01059",1,0,304
"2006","NCNTY01071N01071",1,0,389
"2006","NCNTY01075N01075",1,0,311
"2006","NCNTY01087N01087",1,0,336
"2006","NCNTY01091N01091",1,0,392
"2006","NCNTY01093N01093",1,0,304
"2006","NCNTY01095N01095",1,0,407
"2006","NCNTY01099N01099",1,0,389
"2006","NCNTY01105N01105",1,0,392
"2006","NCNTY01107N01107",1,0,306
"2006","NCNTY01109N01109",1,0,354
"2006","NCNTY01111N01111",1,0,389
"2006","NCNTY01119N01119",1,0,311
"2006","NCNTY01121N01121",1,0,395
"2006","NCNTY01123N01123",1,0,360
"2006","NCNTY01129N01129",1,0,387
"2006","NCNTY01131N01131",1,0,387
"2006","NCNTY01133N01133",1,0,305
"2006","METRO11260M11260",2,0,676
"2006","METRO11260N02170",2,0,532
"2006","METRO21820M21820",2,0,566
"2006","NCNTY02013N02013",2,0,764
"2006","NCNTY02016N02016",2,0,764
"2006","NCNTY02050N02050",2,0,877
"2006","NCNTY02060N02060",2,0,764
"2006","NCNTY02068N02068",2,0,600
"2006","NCNTY02070N02070",2,0,764
"2006","NCNTY02100N02100",2,0,600
"2006","NCNTY02110N02110",2,0,722
"2006","NCNTY02122N02122",2,0,531
"2006","NCNTY02130N02130",2,0,644
"2006","NCNTY02150N02150",2,0,714
"2006","NCNTY02164N02164",2,0,764
"2006","NCNTY02180N02180",2,0,764
"2006","NCNTY02185N02185",2,0,774
"2006","NCNTY02188N02188",2,0,764
"2006","NCNTY02201N02201",2,0,764
"2006","NCNTY02220N02220",2,0,656
"2006","NCNTY02232N02232",2,0,764
"2006","NCNTY02240N02240",2,0,600
"2006","NCNTY02261N02261",2,0,600
"2006","NCNTY02270N02270",2,0,764
"2006","NCNTY02280N02280",2,0,764
"2006","NCNTY02282N02282",2,0,764
"2006","NCNTY02290N02290",2,0,764
"2006","METRO22380M22380",4,0,733
"2006","METRO38060M38060",4,0,544
"2006","METRO39140M39140",4,0,610
"2006","METRO46060M46060",4,0,486
"2006","METRO49740M49740",4,0,535
"2006","NCNTY04001N04001",4,0,361
"2006","NCNTY04003N04003",4,0,430
"2006","NCNTY04007N04007",4,0,486
"2006","NCNTY04009N04009",4,0,487
"2006","NCNTY04011N04011",4,0,444
"2006","NCNTY04012N04012",4,0,488
"2006","NCNTY04015N04015",4,0,551
"2006","NCNTY04017N04017",4,0,440
"2006","NCNTY04023N04023",4,0,505
"2006","METRO22220M22220",5,0,440
"2006","METRO22900M22900",5,0,354
"2006","METRO22900N05047",5,0,321
"2006","METRO26300M26300",5,0,394
"2006","METRO27860M27860",5,0,436
"2006","METRO27860N05111",5,0,322
"2006","METRO30780M30780",5,0,508
"2006","METRO30780N05053",5,0,411
"2006","METRO32820M32820",5,0,569
"2006","METRO38220M38220",5,0,389
"2006","METRO45500M45500",5,0,449
"2006","NCNTY05001N05001",5,0,330
"2006","NCNTY05003N05003",5,0,359
"2006","NCNTY05005N05005",5,0,374
"2006","NCNTY05009N05009",5,0,411
"2006","NCNTY05011N05011",5,0,367
"2006","NCNTY05013N05013",5,0,354
"2006","NCNTY05015N05015",5,0,412
"2006","NCNTY05017N05017",5,0,367
"2006","NCNTY05019N05019",5,0,419
"2006","NCNTY05021N05021",5,0,391
"2006","NCNTY05023N05023",5,0,456
"2006","NCNTY05027N05027",5,0,322
"2006","NCNTY05029N05029",5,0,415
"2006","NCNTY05037N05037",5,0,412
"2006","NCNTY05039N05039",5,0,354
"2006","NCNTY05041N05041",5,0,367
"2006","NCNTY05043N05043",5,0,360
"2006","NCNTY05049N05049",5,0,392
"2006","NCNTY05055N05055",5,0,357
"2006","NCNTY05057N05057",5,0,361
"2006","NCNTY05059N05059",5,0,411
"2006","NCNTY05061N05061",5,0,342
"2006","NCNTY05063N05063",5,0,363
"2006","NCNTY05065N05065",5,0,392
"2006","NCNTY05067N05067",5,0,409
"2006","NCNTY05071N05071",5,0,321
"2006","NCNTY05073N05073",5,0,393
"2006","NCNTY05075N05075",5,0,323
"2006","NCNTY05077N05077",5,0,404
"2006","NCNTY05081N05081",5,0,393
"2006","NCNTY05083N05083",5,0,322
"2006","NCNTY05089N05089",5,0,395
"2006","NCNTY05093N05093",5,0,333
"2006","NCNTY05095N05095",5,0,412
