State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
1,450,383,397,487,660,770,"Anniston, AL MSA",450,AL,112249
1,580,357,425,551,746,769,"Auburn--Opelika, AL MSA",580,AL,115092
1,1000,479,563,627,803,857,"Birmingham, AL MSA",1000,AL,921106
1,1800,487,514,588,772,915,"Columbus, GA--AL MSA",1800,AL,49756
1,2030,382,437,492,672,691,"Decatur, AL MSA",2030,AL,145867
1,2180,351,421,467,639,729,"Dothan, AL MSA",2180,AL,137916
1,2650,411,412,504,664,774,"Florence, AL MSA",2650,AL,142950
1,2880,376,430,500,653,673,"Gadsden, AL MSA",2880,AL,103459
1,3440,442,471,567,775,915,"Huntsville, AL MSA",3440,AL,342376
1,5160,484,520,602,795,942,"Mobile, AL MSA",5160,AL,540258
1,5240,477,551,622,839,1091,"Montgomery, AL MSA",5240,AL,333055
1,8600,429,483,604,806,830,"Tuscaloosa, AL MSA",8600,AL,164875
1,10000005,372,373,449,616,728,Barbour County,9999,AL,29038
1,10000007,406,407,489,585,603,Bibb County,9999,AL,20826
1,10000011,324,402,479,573,590,Bullock County,9999,AL,11714
1,10000013,324,402,479,573,590,Butler County,9999,AL,21399
1,10000017,348,407,452,599,616,Chambers County,9999,AL,36583
1,10000019,405,421,488,583,601,Cherokee County,9999,AL,23988
1,10000021,304,421,467,583,658,Chilton County,9999,AL,39593
1,10000023,348,356,420,529,681,Choctaw County,9999,AL,15922
1,10000025,294,398,453,543,795,Clarke County,9999,AL,27867
1,10000027,377,378,455,564,749,Clay County,9999,AL,14254
1,10000029,377,378,455,564,749,Cleburne County,9999,AL,14123
1,10000031,348,435,492,717,863,Coffee County,9999,AL,43615
1,10000035,348,356,420,529,681,Conecuh County,9999,AL,14089
1,10000037,344,404,449,606,692,Coosa County,9999,AL,12202
1,10000039,354,358,445,566,762,Covington County,9999,AL,37631
1,10000041,324,402,479,573,590,Crenshaw County,9999,AL,13665
1,10000043,390,407,468,646,761,Cullman County,9999,AL,77483
1,10000047,304,422,468,562,595,Dallas County,9999,AL,46365
1,10000049,335,378,454,585,635,DeKalb County,9999,AL,64452
1,10000053,356,357,430,540,631,Escambia County,9999,AL,38440
1,10000057,262,304,401,583,705,Fayette County,9999,AL,18495
1,10000059,287,371,444,573,748,Franklin County,9999,AL,31223
1,10000061,351,389,462,574,806,Geneva County,9999,AL,25764
1,10000063,382,386,459,563,578,Greene County,9999,AL,9974
1,10000065,382,386,459,563,578,Hale County,9999,AL,17185
1,10000067,300,417,462,554,643,Henry County,9999,AL,16310
1,10000071,367,393,443,558,778,Jackson County,9999,AL,53926
1,10000075,275,346,414,551,726,Lamar County,9999,AL,15904
1,10000085,348,356,420,529,681,Lowndes County,9999,AL,13473
1,10000087,329,377,464,600,617,Macon County,9999,AL,24105
1,10000091,382,386,459,563,578,Marengo County,9999,AL,22539
1,10000093,273,320,421,546,741,Marion County,9999,AL,31214
1,10000095,396,428,477,656,704,Marshall County,9999,AL,82231
1,10000099,341,369,411,600,676,Monroe County,9999,AL,24324
1,10000105,382,386,459,563,578,Perry County,9999,AL,11861
1,10000107,275,346,420,551,739,Pickens County,9999,AL,20949
1,10000109,320,352,422,550,566,Pike County,9999,AL,29605
1,10000111,377,378,455,564,749,Randolph County,9999,AL,22380
1,10000119,275,365,414,551,726,Sumter County,9999,AL,14798
1,10000121,384,385,461,622,810,Talladega County,9999,AL,80321
1,10000123,341,368,445,647,708,Tallapoosa County,9999,AL,41475
1,10000127,378,379,456,589,729,Walker County,9999,AL,70713
1,10000129,348,356,420,529,681,Washington County,9999,AL,18097
1,10000131,348,356,420,529,681,Wilcox County,9999,AL,13183
1,10000133,277,325,427,512,635,Winston County,9999,AL,24843
2,380,648,733,930,1353,1631,"Anchorage, AK MSA",380,AK,260283
2,20000013,740,802,1052,1286,1325,Aleutians East Borough,9999,AK,2697
