State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1,METRO11500M11500,"Anniston-Oxford, AL MSA",410,425,521,705,824,AL,112249
1,METRO12220M12220,"Auburn-Opelika, AL MSA",383,457,589,801,822,AL,115092
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",483,555,619,789,846,AL,941932
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",308,425,472,588,664,AL,39593
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",384,385,461,596,739,AL,70713
1,METRO17980M17980,"Columbus, GA-AL MSA",518,549,625,824,975,AL,49756
1,METRO19460M19460,"Decatur, AL MSA",411,468,527,719,740,AL,145867
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",390,454,504,640,734,AL,114551
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",323,447,496,592,688,AL,16310
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",438,440,540,712,828,AL,142950
1,METRO23460M23460,"Gadsden, AL MSA",403,461,536,700,724,AL,103459
1,METRO26620M26620,"Huntsville, AL MSA",472,504,604,829,977,AL,342376
1,METRO33660M33660,"Mobile, AL MSA",520,551,629,828,998,AL,399843
1,METRO33860M33860,"Montgomery, AL MSA",511,587,667,896,1169,AL,346528
1,METRO46220M46220,"Tuscaloosa, AL MSA",458,514,642,842,868,AL,192034
1,NCNTY01003N01003,"Baldwin County, AL",462,621,691,940,1200,AL,140415
1,NCNTY01005N01005,"Barbour County, AL",399,399,479,659,779,AL,29038
1,NCNTY01011N01011,"Bullock County, AL",350,430,513,615,633,AL,11714
1,NCNTY01013N01013,"Butler County, AL",350,430,513,615,633,AL,21399
1,NCNTY01017N01017,"Chambers County, AL",374,436,484,641,662,AL,36583
1,NCNTY01019N01019,"Cherokee County, AL",433,450,523,622,643,AL,23988
1,NCNTY01023N01023,"Choctaw County, AL",376,384,453,571,737,AL,15922
1,NCNTY01025N01025,"Clarke County, AL",314,425,484,580,852,AL,27867
1,NCNTY01027N01027,"Clay County, AL",405,406,486,603,799,AL,14254
1,NCNTY01029N01029,"Cleburne County, AL",403,405,486,603,799,AL,14123
1,NCNTY01031N01031,"Coffee County, AL",373,465,527,768,924,AL,43615
1,NCNTY01035N01035,"Conecuh County, AL",376,384,453,571,737,AL,14089
1,NCNTY01037N01037,"Coosa County, AL",369,432,480,648,742,AL,12202
1,NCNTY01039N01039,"Covington County, AL",380,384,475,606,816,AL,37631
1,NCNTY01041N01041,"Crenshaw County, AL",350,430,513,615,633,AL,13665
1,NCNTY01043N01043,"Cullman County, AL",417,435,504,692,814,AL,77483
1,NCNTY01045N01045,"Dale County, AL",374,437,486,675,839,AL,49129
1,NCNTY01047N01047,"Dallas County, AL",324,453,502,601,636,AL,46365
1,NCNTY01049N01049,"DeKalb County, AL",356,407,485,626,679,AL,64452
1,NCNTY01053N01053,"Escambia County, AL",381,382,461,578,673,AL,38440
1,NCNTY01057N01057,"Fayette County, AL",298,344,453,662,799,AL,18495
1,NCNTY01059N01059,"Franklin County, AL",309,397,474,613,799,AL,31223
1,NCNTY01071N01071,"Jackson County, AL",394,420,473,598,832,AL,53926
1,NCNTY01075N01075,"Lamar County, AL",302,379,453,603,793,AL,15904
1,NCNTY01087N01087,"Macon County, AL",349,404,497,639,660,AL,24105
1,NCNTY01091N01091,"Marengo County, AL",408,413,491,603,619,AL,22539
1,NCNTY01093N01093,"Marion County, AL",294,344,453,585,795,AL,31214
