State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
1,METRO11500M11500,"Anniston-Oxford, AL MSA",437,453,556,752,879,AL,112249
1,METRO12220M12220,"Auburn-Opelika, AL MSA",408,487,627,853,875,AL,115092
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",584,672,749,954,1024,AL,941932
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",372,514,571,711,803,AL,39593
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",464,466,557,720,893,AL,70713
1,METRO17980M17980,"Columbus, GA-AL MSA",564,597,680,896,1061,AL,49756
1,METRO19460M19460,"Decatur, AL MSA",437,498,561,766,788,AL,145867
1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",413,481,534,678,778,AL,114551
1,METRO20020N01067,"Henry County, AL HUD Metro FMR Area",342,474,526,628,730,AL,16310
1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",467,469,575,758,882,AL,142950
1,METRO23460M23460,"Gadsden, AL MSA",428,489,569,743,768,AL,103459
1,METRO26620M26620,"Huntsville, AL MSA",504,538,645,885,1044,AL,342376
1,METRO33660M33660,"Mobile, AL MSA",553,586,669,880,1062,AL,399843
1,METRO33860M33860,"Montgomery, AL MSA",542,623,708,951,1241,AL,346528
1,METRO46220M46220,"Tuscaloosa, AL MSA",488,547,684,897,925,AL,192034
1,NCNTY01003N01003,"Baldwin County, AL",491,660,735,1000,1276,AL,140415
1,NCNTY01005N01005,"Barbour County, AL",423,425,509,700,828,AL,29038
1,NCNTY01011N01011,"Bullock County, AL",372,456,544,652,671,AL,11714
1,NCNTY01013N01013,"Butler County, AL",372,456,544,652,671,AL,21399
1,NCNTY01017N01017,"Chambers County, AL",397,463,514,681,703,AL,36583
1,NCNTY01019N01019,"Cherokee County, AL",458,476,553,658,680,AL,23988
1,NCNTY01023N01023,"Choctaw County, AL",399,408,481,606,782,AL,15922
1,NCNTY01025N01025,"Clarke County, AL",334,452,515,617,907,AL,27867
1,NCNTY01027N01027,"Clay County, AL",431,432,517,641,850,AL,14254
1,NCNTY01029N01029,"Cleburne County, AL",429,431,517,641,850,AL,14123
1,NCNTY01031N01031,"Coffee County, AL",396,493,559,815,980,AL,43615
1,NCNTY01035N01035,"Conecuh County, AL",399,408,481,606,782,AL,14089
1,NCNTY01037N01037,"Coosa County, AL",391,458,509,687,786,AL,12202
1,NCNTY01039N01039,"Covington County, AL",403,408,504,643,866,AL,37631
1,NCNTY01041N01041,"Crenshaw County, AL",372,456,544,652,671,AL,13665
1,NCNTY01043N01043,"Cullman County, AL",440,460,532,731,859,AL,77483
1,NCNTY01045N01045,"Dale County, AL",398,465,517,718,893,AL,49129
1,NCNTY01047N01047,"Dallas County, AL",344,480,532,637,674,AL,46365
1,NCNTY01049N01049,"DeKalb County, AL",379,433,516,666,722,AL,64452
1,NCNTY01053N01053,"Escambia County, AL",404,405,489,613,713,AL,38440
1,NCNTY01057N01057,"Fayette County, AL",316,365,481,703,848,AL,18495
1,NCNTY01059N01059,"Franklin County, AL",328,421,503,650,848,AL,31223
1,NCNTY01071N01071,"Jackson County, AL",418,446,502,635,884,AL,53926
1,NCNTY01075N01075,"Lamar County, AL",321,402,481,640,842,AL,15904
1,NCNTY01087N01087,"Macon County, AL",370,428,527,678,699,AL,24105
1,NCNTY01091N01091,"Marengo County, AL",433,439,522,642,658,AL,22539
1,NCNTY01093N01093,"Marion County, AL",313,365,481,621,844,AL,31214
1,NCNTY01095N01095,"Marshall County, AL",449,487,542,745,798,AL,82231
1,NCNTY01099N01099,"Monroe County, AL",400,433,481,702,793,AL,24324
1,NCNTY01105N01105,"Perry County, AL",433,439,522,642,658,AL,11861
1,NCNTY01107N01107,"Pickens County, AL",316,395,481,630,843,AL,20949
1,NCNTY01109N01109,"Pike County, AL",365,400,481,625,645,AL,29605
1,NCNTY01111N01111,"Randolph County, AL",431,432,517,641,850,AL,22380
1,NCNTY01119N01119,"Sumter County, AL",321,423,481,640,842,AL,14798
1,NCNTY01121N01121,"Talladega County, AL",437,438,525,711,926,AL,80321
1,NCNTY01123N01123,"Tallapoosa County, AL",388,417,504,736,804,AL,41475
1,NCNTY01129N01129,"Washington County, AL",399,408,481,606,782,AL,18097
1,NCNTY01131N01131,"Wilcox County, AL",399,408,481,606,782,AL,13183
1,NCNTY01133N01133,"Winston County, AL",318,371,487,584,724,AL,24843
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",682,778,975,1421,1712,AK,260283
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",601,725,899,1310,1552,AK,59322
2,METRO21820M21820,"Fairbanks, AK MSA",638,774,982,1409,1519,AK,82840
2,NCNTY02013N02013,"Aleutians East Borough, AK",860,932,1222,1496,1541,AK,2697
2,NCNTY02016N02016,"Aleutians West Census Area, AK",860,932,1222,1496,1541,AK,5465
2,NCNTY02050N02050,"Bethel Census Area, AK",988,1187,1440,1722,2527,AK,16006
2,NCNTY02060N02060,"Bristol Bay Borough, AK",860,932,1222,1496,1541,AK,1258
2,NCNTY02068N02068,"Denali Borough, AK",673,847,1037,1497,1642,AK,1893
2,NCNTY02070N02070,"Dillingham Census Area, AK",860,932,1222,1496,1541,AK,4922
2,NCNTY02100N02100,"Haines Borough, AK",673,847,1037,1497,1642,AK,2392
2,NCNTY02110N02110,"Juneau City and Borough, AK",813,980,1250,1650,2109,AK,30711
2,NCNTY02122N02122,"Kenai Peninsula Borough, AK",598,691,830,1153,1433,AK,49691
2,NCNTY02130N02130,"Ketchikan Gateway Borough, AK",725,961,1113,1622,1953,AK,14070
2,NCNTY02150N02150,"Kodiak Island Borough, AK",804,941,1237,1736,1786,AK,13913
2,NCNTY02164N02164,"Lake and Peninsula Borough, AK",860,932,1222,1496,1541,AK,1823
2,NCNTY02180N02180,"Nome Census Area, AK",860,1005,1224,1496,1542,AK,9196
2,NCNTY02185N02185,"North Slope Borough, AK",873,1024,1345,1610,1657,AK,7385
2,NCNTY02188N02188,"Northwest Arctic Borough, AK",860,932,1222,1496,1541,AK,7208
2,NCNTY02201N02201,"Prince of Wales-Outer Ketchikan Census Area, AK",860,932,1222,1496,1541,AK,6146
2,NCNTY02220N02220,"Sitka City and Borough, AK",738,892,1095,1542,1922,AK,8835
2,NCNTY02232N02232,"Skagway-Hoonah-Angoon Census Area, AK",860,932,1222,1496,1541,AK,3436
2,NCNTY02240N02240,"Southeast Fairbanks Census Area, AK",673,847,1037,1497,1642,AK,6174
2,NCNTY02261N02261,"Valdez-Cordova Census Area, AK",673,847,1037,1497,1642,AK,10195
2,NCNTY02270N02270,"Wade Hampton Census Area, AK",860,932,1222,1496,1541,AK,7028
2,NCNTY02280N02280,"Wrangell-Petersburg Census Area, AK",860,932,1222,1496,1541,AK,6684
2,NCNTY02282N02282,"Yakutat City and Borough, AK",860,932,1222,1496,1541,AK,808
2,NCNTY02290N02290,"Yukon-Koyukuk Census Area, AK",860,932,1222,1496,1541,AK,6551
4,METRO22380M22380,"Flagstaff, AZ MSA",845,974,1109,1443,1900,AZ,116320
4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",611,653,771,1089,1236,AZ,155032
4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",609,715,862,1256,1498,AZ,3251876
4,METRO39140M39140,"Prescott, AZ MSA",692,703,867,1263,1315,AZ,167517
4,METRO46060M46060,"Tucson, AZ MSA",501,588,769,1110,1246,AZ,843746
4,METRO49740M49740,"Yuma, AZ MSA",591,659,783,1116,1317,AZ,160026
4,NCNTY04001N04001,"Apache County, AZ",407,544,602,843,1032,AZ,69423
4,NCNTY04003N04003,"Cochise County, AZ",488,574,727,1010,1278,AZ,117755
4,NCNTY04007N04007,"Gila County, AZ",553,647,850,1218,1255,AZ,51335
4,NCNTY04009N04009,"Graham County, AZ",553,597,665,940,1045,AZ,33489
4,NCNTY04011N04011,"Greenlee County, AZ",504,572,721,998,1170,AZ,8547
4,NCNTY04012N04012,"La Paz County, AZ",555,556,702,1026,1055,AZ,19715
4,NCNTY04017N04017,"Navajo County, AZ",499,554,716,972,1247,AZ,97470
4,NCNTY04023N04023,"Santa Cruz County, AZ",573,575,739,1073,1105,AZ,38381
5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",500,528,672,976,1045,AR,325364
5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",401,453,571,771,853,AR,168318
5,METRO22900N05047,"Franklin County, AR HUD Metro FMR Area",334,427,514,639,762,AR,17771
5,METRO26300M26300,"Hot Springs, AR MSA",442,552,682,878,906,AR,88068
5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",497,514,596,845,870,AR,82148
5,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",335,421,514,684,770,AR,25614
5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",583,648,722,986,1073,AR,594054
5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",469,471,564,817,843,AR,16464
5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",665,720,802,1069,1123,AR,50866
5,METRO38220M38220,"Pine Bluff, AR MSA",437,517,633,774,867,AR,107341
5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",506,508,623,784,857,AR,40443
5,NCNTY05001N05001,"Arkansas County, AR",371,430,566,747,769,AR,20749
5,NCNTY05003N05003,"Ashley County, AR",403,462,581,709,730,AR,24209
5,NCNTY05005N05005,"Baxter County, AR",420,479,590,773,1037,AR,38386
5,NCNTY05009N05009,"Boone County, AR",461,471,555,710,785,AR,33948
5,NCNTY05011N05011,"Bradley County, AR",391,399,527,657,714,AR,12600
5,NCNTY05013N05013,"Calhoun County, AR",380,475,531,675,846,AR,5744
5,NCNTY05015N05015,"Carroll County, AR",462,463,590,724,1035,AR,25357
5,NCNTY05017N05017,"Chicot County, AR",391,399,527,657,714,AR,14117
5,NCNTY05019N05019,"Clark County, AR",472,473,568,752,775,AR,23546
5,NCNTY05021N05021,"Clay County, AR",406,426,514,687,708,AR,17609
5,NCNTY05023N05023,"Cleburne County, AR",514,515,617,795,1087,AR,24046
5,NCNTY05027N05027,"Columbia County, AR",361,461,556,707,845,AR,25603
5,NCNTY05029N05029,"Conway County, AR",465,468,560,716,749,AR,20336
5,NCNTY05037N05037,"Cross County, AR",458,459,550,800,837,AR,19526
5,NCNTY05039N05039,"Dallas County, AR",380,475,531,675,846,AR,9210
5,NCNTY05041N05041,"Desha County, AR",391,399,527,676,714,AR,15341
5,NCNTY05043N05043,"Drew County, AR",384,485,592,774,1029,AR,18723
5,NCNTY05049N05049,"Fulton County, AR",418,419,528,694,802,AR,11642
5,NCNTY05055N05055,"Greene County, AR",393,493,545,796,819,AR,37331
5,NCNTY05057N05057,"Hempstead County, AR",406,468,560,670,775,AR,23587
5,NCNTY05059N05059,"Hot Spring County, AR",454,455,546,728,877,AR,30353
5,NCNTY05061N05061,"Howard County, AR",355,423,514,653,674,AR,14300
5,NCNTY05063N05063,"Independence County, AR",409,502,560,713,811,AR,34233
5,NCNTY05065N05065,"Izard County, AR",418,419,528,694,802,AR,13249
5,NCNTY05067N05067,"Jackson County, AR",425,445,514,685,707,AR,18418
5,NCNTY05071N05071,"Johnson County, AR",347,475,534,720,940,AR,22781
5,NCNTY05073N05073,"Lafayette County, AR",443,483,568,680,784,AR,8559
5,NCNTY05075N05075,"Lawrence County, AR",335,422,514,641,797,AR,17774
5,NCNTY05077N05077,"Lee County, AR",430,431,527,719,827,AR,12580
5,NCNTY05081N05081,"Little River County, AR",443,483,568,694,784,AR,13628
5,NCNTY05083N05083,"Logan County, AR",334,462,514,748,793,AR,22486
5,NCNTY05089N05089,"Marion County, AR",416,417,521,699,756,AR,16140
