MSA,State,County,rent50_2,rent50_0,rent50_1,rent50_3,rent50_4,State_Alpha,CountyName,pop,FMRtype,msaname,StateName,FMRArea
450,1,15,447,301,358,623,706,AL,Calhoun,116034,40,"Anniston, AL",ALABAMA,450
580,1,81,529,294,412,687,869,AL,Lee,87146,40,"Aurburn-Opelika, Al",ALABAMA,580
1000,1,9,596,453,512,809,896,AL,Blount,39248,40,"Birmingham, AL",ALABAMA,1000
1000,1,73,596,453,512,809,896,AL,Jefferson,651525,40,"Birmingham, AL",ALABAMA,1000
1000,1,115,596,453,512,809,896,AL,St. Clair,50009,40,"Birmingham, AL",ALABAMA,1000
1000,1,117,596,453,512,809,896,AL,Shelby,99358,40,"Birmingham, AL",ALABAMA,1000
1800,1,113,552,414,460,721,783,AL,Russell,46860,40,"Columbus, GA-AL",ALABAMA,1800
2030,1,79,499,392,397,646,773,AL,Lawrence,31513,40,"Decatur, AL",ALABAMA,2030
2030,1,103,499,392,397,646,773,AL,Morgan,100043,40,"Decatur, AL",ALABAMA,2030
2180,1,45,469,369,377,644,653,AL,Dale,49633,40,"Dothan, AL",ALABAMA,2180
2180,1,69,469,369,377,644,653,AL,Houston,81331,40,"Dothan, AL",ALABAMA,2180
2650,1,33,509,345,397,636,713,AL,Colbert,51666,40,"Florence, AL",ALABAMA,2650
2650,1,77,509,345,397,636,713,AL,Lauderdale,79661,40,"Florence, AL",ALABAMA,2650
2880,1,55,432,306,374,561,690,AL,Etowah,99840,40,"Gadsden, AL",ALABAMA,2880
3440,1,83,595,412,483,792,944,AL,Limestone,54135,40,"Huntsville, AL",ALABAMA,3440
3440,1,89,595,412,483,792,944,AL,Madison,238912,40,"Huntsville, AL",ALABAMA,3440
5160,1,3,548,428,478,739,867,AL,Baldwin,98280,40,"Mobile, AL",ALABAMA,5160
5160,1,97,548,428,478,739,867,AL,Mobile,378643,40,"Mobile, AL",ALABAMA,5160
5240,1,1,575,456,486,784,943,AL,Autauga,34222,40,"Montgomery, AL",ALABAMA,5240
5240,1,51,575,456,486,784,943,AL,Elmore,49210,40,"Montgomery, AL",ALABAMA,5240
5240,1,101,575,456,486,784,943,AL,Montgomery,209085,40,"Montgomery, AL",ALABAMA,5240
8600,1,125,553,389,416,761,804,AL,Tuscaloosa,150522,40,"Tuscaloosa, AL",ALABAMA,8600
10000,1,5,400,283,336,519,596,AL,Barbour,25417,40,,ALABAMA,100005
10000,1,7,400,283,336,541,649,AL,Bibb,16576,40,,ALABAMA,100007
10000,1,11,400,283,336,519,596,AL,Bullock,11042,40,,ALABAMA,100011
10000,1,13,400,283,336,519,596,AL,Butler,21892,40,,ALABAMA,100013
10000,1,17,400,283,336,519,597,AL,Chambers,36876,40,,ALABAMA,100017
10000,1,19,400,283,336,519,596,AL,Cherokee,19543,40,,ALABAMA,100019
10000,1,21,400,293,336,519,596,AL,Chilton,32458,40,,ALABAMA,100021
10000,1,23,400,283,336,519,596,AL,Choctaw,16018,40,,ALABAMA,100023
10000,1,25,400,283,336,519,596,AL,Clarke,27240,40,,ALABAMA,100025
10000,1,27,400,283,336,519,596,AL,Clay,13252,40,,ALABAMA,100027
10000,1,29,400,283,336,519,596,AL,Cleburne,12730,40,,ALABAMA,100029
10000,1,31,505,277,389,704,790,AL,Coffee,40240,40,,ALABAMA,100031
10000,1,35,400,283,336,519,596,AL,Conecuh,14054,40,,ALABAMA,100035
10000,1,37,400,283,336,519,596,AL,Coosa,11063,40,,ALABAMA,100037
10000,1,39,400,283,336,519,596,AL,Covington,36478,40,,ALABAMA,100039
10000,1,41,400,283,336,519,596,AL,Crenshaw,13635,40,,ALABAMA,100041
10000,1,43,400,283,336,533,648,AL,Cullman,67613,40,,ALABAMA,100043
10000,1,47,400,283,336,519,596,AL,Dallas,48130,40,,ALABAMA,100047
10000,1,49,400,283,336,519,596,AL,DeKalb,54651,40,,ALABAMA,100049
10000,1,53,400,283,336,519,596,AL,Escambia,35518,40,,ALABAMA,100053
10000,1,57,400,283,336,519,596,AL,Fayette,17962,40,,ALABAMA,100057
10000,1,59,400,283,336,519,596,AL,Franklin,27814,40,,ALABAMA,100059
10000,1,61,400,283,336,519,596,AL,Geneva,23647,40,,ALABAMA,100061
10000,1,63,400,283,336,519,596,AL,Greene,10153,40,,ALABAMA,100063
10000,1,65,400,283,336,519,596,AL,Hale,15498,40,,ALABAMA,100065
10000,1,67,400,283,336,519,596,AL,Henry,15374,40,,ALABAMA,100067
10000,1,71,400,305,336,519,637,AL,Jackson,47796,40,,ALABAMA,100071
10000,1,75,400,283,336,519,596,AL,Lamar,15715,40,,ALABAMA,100075
10000,1,85,400,283,336,519,596,AL,Lowndes,12658,40,,ALABAMA,100085
10000,1,87,464,310,348,581,651,AL,Macon,24928,40,,ALABAMA,100087
10000,1,91,400,283,336,519,596,AL,Marengo,23084,40,,ALABAMA,100091
