MSA,State,County,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4
450,1,15,112249,Calhoun County,"Anniston, AL MSA",40,Alabama,AL,303,358,448,625,708
580,1,81,115092,Lee County,"Auburn--Opelika, AL MSA",40,Alabama,AL,296,413,531,690,872
1000,1,9,51024,Blount County,"Birmingham, AL MSA",40,Alabama,AL,455,514,598,812,899
1000,1,73,662047,Jefferson County,"Birmingham, AL MSA",40,Alabama,AL,455,514,598,812,899
1000,1,115,64742,St. Clair County,"Birmingham, AL MSA",40,Alabama,AL,455,514,598,812,899
1000,1,117,143293,Shelby County,"Birmingham, AL MSA",40,Alabama,AL,455,514,598,812,899
1800,1,113,49756,Russell County,"Columbus, GA--AL MSA",40,Alabama,AL,416,462,554,723,785
2030,1,79,34803,Lawrence County,"Decatur, AL MSA",40,Alabama,AL,394,398,501,650,777
2030,1,103,111064,Morgan County,"Decatur, AL MSA",40,Alabama,AL,394,398,501,650,777
2180,1,45,49129,Dale County,"Dothan, AL MSA",40,Alabama,AL,370,379,471,647,657
2180,1,69,88787,Houston County,"Dothan, AL MSA",40,Alabama,AL,370,379,471,647,657
2650,1,33,54984,Colbert County,"Florence, AL MSA",40,Alabama,AL,347,398,511,638,715
2650,1,77,87966,Lauderdale County,"Florence, AL MSA",40,Alabama,AL,347,398,511,638,715
2880,1,55,103459,Etowah County,"Gadsden, AL MSA",40,Alabama,AL,307,376,433,563,693
3440,1,83,65676,Limestone County,"Huntsville, AL MSA",40,Alabama,AL,413,485,597,796,947
3440,1,89,276700,Madison County,"Huntsville, AL MSA",40,Alabama,AL,413,485,597,796,947
5160,1,3,140415,Baldwin County,"Mobile, AL MSA",40,Alabama,AL,428,479,550,740,867
5160,1,97,399843,Mobile County,"Mobile, AL MSA",40,Alabama,AL,428,479,550,740,867
5240,1,1,43671,Autauga County,"Montgomery, AL MSA",40,Alabama,AL,457,488,577,786,947
5240,1,51,65874,Elmore County,"Montgomery, AL MSA",40,Alabama,AL,457,488,577,786,947
5240,1,101,223510,Montgomery County,"Montgomery, AL MSA",40,Alabama,AL,457,488,577,786,947
8600,1,125,164875,Tuscaloosa County,"Tuscaloosa, AL MSA",40,Alabama,AL,390,416,555,761,805
10000,1,5,29038,Barbour County,,40,Alabama,AL,282,336,400,519,595
10000,1,7,20826,Bibb County,,40,Alabama,AL,282,336,400,541,648
10000,1,11,11714,Bullock County,,40,Alabama,AL,282,336,400,519,595
10000,1,13,21399,Butler County,,40,Alabama,AL,282,336,400,519,595
10000,1,17,36583,Chambers County,,40,Alabama,AL,282,336,400,519,596
10000,1,19,23988,Cherokee County,,40,Alabama,AL,282,336,400,519,595
10000,1,21,39593,Chilton County,,40,Alabama,AL,293,336,400,519,595
10000,1,23,15922,Choctaw County,,40,Alabama,AL,282,336,400,519,595
10000,1,25,27867,Clarke County,,40,Alabama,AL,282,336,400,519,595
10000,1,27,14254,Clay County,,40,Alabama,AL,282,336,400,519,595
10000,1,29,14123,Cleburne County,,40,Alabama,AL,282,336,400,519,595
10000,1,31,43615,Coffee County,,40,Alabama,AL,276,389,505,702,788
10000,1,35,14089,Conecuh County,,40,Alabama,AL,282,336,400,519,595
10000,1,37,12202,Coosa County,,40,Alabama,AL,282,336,400,519,595
10000,1,39,37631,Covington County,,40,Alabama,AL,282,336,400,519,595
