FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,State,msa,county,CountyName,MSAName,stco,pop2000,State_Alpha
40,409,438,560,740,929,48,40,441,Taylor County,"Abilene, TX MSA",48441,126555,TX
60,282,306,339,426,597,72,60,3,Aguada Municipio,"Aguadilla, PR MSA",72003,42042,PR
60,282,306,339,426,597,72,60,5,Aguadilla Municipio,"Aguadilla, PR MSA",72005,64685,PR
60,282,306,339,426,597,72,60,99,Moca Municipio,"Aguadilla, PR MSA",72099,39697,PR
80,486,560,724,931,961,39,80,133,Portage County,"Akron, OH PMSA",39133,152061,OH
80,486,560,724,931,961,39,80,153,Summit County,"Akron, OH PMSA",39153,542899,OH
120,464,491,564,751,824,13,120,95,Dougherty County,"Albany, GA MSA",13095,96065,GA
120,464,491,564,751,824,13,120,177,Lee County,"Albany, GA MSA",13177,24757,GA
160,569,600,719,862,927,36,160,1,Albany County,"Albany--Schenectady--Troy, NY MSA",36001,294565,NY
160,569,600,719,862,927,36,160,57,Montgomery County,"Albany--Schenectady--Troy, NY MSA",36057,49708,NY
160,569,600,719,862,927,36,160,83,Rensselaer County,"Albany--Schenectady--Troy, NY MSA",36083,152538,NY
160,569,600,719,862,927,36,160,91,Saratoga County,"Albany--Schenectady--Troy, NY MSA",36091,200635,NY
160,569,600,719,862,927,36,160,93,Schenectady County,"Albany--Schenectady--Troy, NY MSA",36093,146555,NY
160,569,600,719,862,927,36,160,95,Schoharie County,"Albany--Schenectady--Troy, NY MSA",36095,31582,NY
200,470,553,699,1017,1224,35,200,1,Bernalillo County,"Albuquerque, NM MSA",35001,556678,NM
200,470,553,699,1017,1224,35,200,43,Sandoval County,"Albuquerque, NM MSA",35043,89908,NM
200,470,553,699,1017,1224,35,200,61,Valencia County,"Albuquerque, NM MSA",35061,66152,NM
220,427,432,515,690,712,22,220,79,Rapides Parish,"Alexandria, LA MSA",22079,126337,LA
240,492,598,706,937,1009,42,240,25,Carbon County,"Allentown--Bethlehem--Easton, PA MSA",42025,58802,PA
240,492,598,706,937,1009,42,240,77,Lehigh County,"Allentown--Bethlehem--Easton, PA MSA",42077,312090,PA
240,492,598,706,937,1009,42,240,95,Northampton County,"Allentown--Bethlehem--Easton, PA MSA",42095,267066,PA
280,385,433,531,697,717,42,280,13,Blair County,"Altoona, PA MSA",42013,129144,PA
320,445,458,575,799,899,48,320,375,Potter County,"Amarillo, TX MSA",48375,113546,TX
320,445,458,575,799,899,48,320,381,Randall County,"Amarillo, TX MSA",48381,104312,TX
380,648,733,930,1353,1631,2,380,20,Anchorage Municipality,"Anchorage, AK MSA",02020,260283,AK
440,695,766,909,1184,1230,26,440,91,Lenawee County,"Ann Arbor, MI PMSA",26091,98890,MI
440,695,766,909,1184,1230,26,440,93,Livingston County,"Ann Arbor, MI PMSA",26093,156951,MI
440,695,766,909,1184,1230,26,440,161,Washtenaw County,"Ann Arbor, MI PMSA",26161,322895,MI
450,383,397,487,660,770,1,450,15,Calhoun County,"Anniston, AL MSA",01015,112249,AL
460,456,487,596,821,949,55,460,15,Calumet County,"Appleton--Oshkosh--Neenah, WI MSA",55015,40631,WI
460,456,487,596,821,949,55,460,87,Outagamie County,"Appleton--Oshkosh--Neenah, WI MSA",55087,160971,WI
460,456,487,596,821,949,55,460,139,Winnebago County,"Appleton--Oshkosh--Neenah, WI MSA",55139,156763,WI
470,286,310,345,465,539,72,470,13,Arecibo Municipio,"Arecibo, PR PMSA",72013,100131,PR
470,286,310,345,465,539,72,470,27,Camuy Municipio,"Arecibo, PR PMSA",72027,35244,PR
470,286,310,345,465,539,72,470,65,Hatillo Municipio,"Arecibo, PR PMSA",72065,38925,PR
480,505,577,647,889,1135,37,480,21,Buncombe County,"Asheville, NC MSA",37021,206330,NC
480,505,577,647,889,1135,37,480,115,Madison County,"Asheville, NC MSA",37115,19635,NC
500,460,524,651,915,946,13,500,59,Clarke County,"Athens, GA MSA",13059,101489,GA
500,460,524,651,915,946,13,500,195,Madison County,"Athens, GA MSA",13195,25730,GA
500,460,524,651,915,946,13,500,219,Oconee County,"Athens, GA MSA",13219,26225,GA
520,769,834,928,1150,1295,13,520,13,Barrow County,"Atlanta, GA MSA",13013,46144,GA
520,769,834,928,1150,1295,13,520,15,Bartow County,"Atlanta, GA MSA",13015,76019,GA
520,769,834,928,1150,1295,13,520,45,Carroll County,"Atlanta, GA MSA",13045,87268,GA
520,769,834,928,1150,1295,13,520,57,Cherokee County,"Atlanta, GA MSA",13057,141903,GA
520,769,834,928,1150,1295,13,520,63,Clayton County,"Atlanta, GA MSA",13063,236517,GA
520,769,834,928,1150,1295,13,520,67,Cobb County,"Atlanta, GA MSA",13067,607751,GA
520,769,834,928,1150,1295,13,520,77,Coweta County,"Atlanta, GA MSA",13077,89215,GA
520,769,834,928,1150,1295,13,520,89,DeKalb County,"Atlanta, GA MSA",13089,665865,GA
520,769,834,928,1150,1295,13,520,97,Douglas County,"Atlanta, GA MSA",13097,92174,GA
520,769,834,928,1150,1295,13,520,113,Fayette County,"Atlanta, GA MSA",13113,91263,GA
520,769,834,928,1150,1295,13,520,117,Forsyth County,"Atlanta, GA MSA",13117,98407,GA
520,769,834,928,1150,1295,13,520,121,Fulton County,"Atlanta, GA MSA",13121,816006,GA
520,769,834,928,1150,1295,13,520,135,Gwinnett County,"Atlanta, GA MSA",13135,588448,GA
520,769,834,928,1150,1295,13,520,151,Henry County,"Atlanta, GA MSA",13151,119341,GA
520,769,834,928,1150,1295,13,520,217,Newton County,"Atlanta, GA MSA",13217,62001,GA
520,769,834,928,1150,1295,13,520,223,Paulding County,"Atlanta, GA MSA",13223,81678,GA
520,769,834,928,1150,1295,13,520,227,Pickens County,"Atlanta, GA MSA",13227,22983,GA
520,769,834,928,1150,1295,13,520,247,Rockdale County,"Atlanta, GA MSA",13247,70111,GA
520,769,834,928,1150,1295,13,520,255,Spalding County,"Atlanta, GA MSA",13255,58417,GA
520,769,834,928,1150,1295,13,520,297,Walton County,"Atlanta, GA MSA",13297,60687,GA
560,706,761,900,1154,1268,34,560,1,Atlantic County,"Atlantic--Cape May, NJ PMSA",34001,252552,NJ
560,706,761,900,1154,1268,34,560,9,Cape May County,"Atlantic--Cape May, NJ PMSA",34009,102326,NJ
580,357,425,551,746,769,1,580,81,Lee County,"Auburn--Opelika, AL MSA",01081,115092,AL
600,470,523,589,812,864,13,600,73,Columbia County,"Augusta--Aiken, GA--SC MSA",13073,89288,GA
600,470,523,589,812,864,13,600,189,McDuffie County,"Augusta--Aiken, GA--SC MSA",13189,21231,GA
600,470,523,589,812,864,13,600,245,Richmond County,"Augusta--Aiken, GA--SC MSA",13245,199775,GA
600,470,523,589,812,864,45,600,3,Aiken County,"Augusta--Aiken, GA--SC MSA",45003,142552,SC
600,470,523,589,812,864,45,600,37,Edgefield County,"Augusta--Aiken, GA--SC MSA",45037,24595,SC
640,656,747,912,1240,1435,48,640,21,Bastrop County,"Austin--San Marcos, TX MSA",48021,57733,TX
640,656,747,912,1240,1435,48,640,55,Caldwell County,"Austin--San Marcos, TX MSA",48055,32194,TX
640,656,747,912,1240,1435,48,640,209,Hays County,"Austin--San Marcos, TX MSA",48209,97589,TX
640,656,747,912,1240,1435,48,640,453,Travis County,"Austin--San Marcos, TX MSA",48453,812280,TX
640,656,747,912,1240,1435,48,640,491,Williamson County,"Austin--San Marcos, TX MSA",48491,249967,TX
680,501,540,639,932,1123,6,680,29,Kern County,"Bakersfield, CA MSA",06029,661645,CA
720,662,750,900,1155,1428,24,720,3,Anne Arundel County,"Baltimore, MD PMSA",24003,489656,MD
720,662,750,900,1155,1428,24,720,5,Baltimore County,"Baltimore, MD PMSA",24005,754292,MD
720,662,750,900,1155,1428,24,720,13,Carroll County,"Baltimore, MD PMSA",24013,150897,MD
720,662,750,900,1155,1428,24,720,25,Harford County,"Baltimore, MD PMSA",24025,218590,MD
720,662,750,900,1155,1428,24,720,27,Howard County,"Baltimore, MD PMSA",24027,159588,MD
720,662,750,900,1155,1428,24,720,35,Queen Anne's County,"Baltimore, MD PMSA",24035,40563,MD
720,662,750,900,1155,1428,24,720,510,Baltimore city,"Baltimore, MD PMSA",24510,651154,MD
721,,,,,,24,721,28,"Columbia, MD","Columbia, MD MSA**",24028,88254,MD
730,454,529,678,865,956,23,730,19,Veazie town,"Bangor, ME MSA",23019,87262,ME
730,454,529,678,865,956,23,730,27,Winterport town,"Bangor, ME MSA",23027,3602,ME
740,625,746,960,1150,1182,25,740,1,Yarmouth town,"Barnstable--Yarmouth, MA MSA",25001,162582,MA
760,482,523,608,791,960,22,760,5,Ascension Parish,"Baton Rouge, LA MSA",22005,76627,LA
760,482,523,608,791,960,22,760,33,East Baton Rouge Parish,"Baton Rouge, LA MSA",22033,412852,LA
760,482,523,608,791,960,22,760,63,Livingston Parish,"Baton Rouge, LA MSA",22063,91814,LA
760,482,523,608,791,960,22,760,121,West Baton Rouge Parish,"Baton Rouge, LA MSA",22121,21601,LA
840,440,490,585,748,791,48,840,199,Hardin County,"Beaumont--Port Arthur, TX MSA",48199,48073,TX
840,440,490,585,748,791,48,840,245,Jefferson County,"Beaumont--Port Arthur, TX MSA",48245,252051,TX
840,440,490,585,748,791,48,840,361,Orange County,"Beaumont--Port Arthur, TX MSA",48361,84966,TX
860,525,578,724,1056,1248,53,860,73,Whatcom County,"Bellingham, WA MSA",53073,166814,WA
870,415,472,586,736,899,26,870,21,Berrien County,"Benton Harbor, MI MSA",26021,162453,MI
875,906,990,1132,1428,1729,34,875,3,Bergen County,"Bergen--Passaic, NJ PMSA",34003,884118,NJ
875,906,990,1132,1428,1729,34,875,31,Passaic County,"Bergen--Passaic, NJ PMSA",34031,489049,NJ
877,497,540,649,861,986,54,877,3,Berkeley County,Berkeley County MSA**,54003,75905,WV
880,406,452,581,817,962,30,880,111,Yellowstone County,"Billings, MT MSA",30111,129352,MT
920,497,532,627,859,885,28,920,45,Hancock County,"Biloxi--Gulfport--Pascagoula, MS MSA",28045,42967,MS
920,497,532,627,859,885,28,920,47,Harrison County,"Biloxi--Gulfport--Pascagoula, MS MSA",28047,189601,MS
920,497,532,627,859,885,28,920,59,Jackson County,"Biloxi--Gulfport--Pascagoula, MS MSA",28059,131420,MS
960,459,460,553,721,871,36,960,7,Broome County,"Binghamton, NY MSA",36007,200536,NY
960,459,460,553,721,871,36,960,107,Tioga County,"Binghamton, NY MSA",36107,51784,NY
1000,479,563,627,803,857,1,1000,9,Blount County,"Birmingham, AL MSA",01009,51024,AL
1000,479,563,627,803,857,1,1000,73,Jefferson County,"Birmingham, AL MSA",01073,662047,AL
1000,479,563,627,803,857,1,1000,115,St. Clair County,"Birmingham, AL MSA",01115,64742,AL
1000,479,563,627,803,857,1,1000,117,Shelby County,"Birmingham, AL MSA",01117,143293,AL
1010,412,443,541,787,812,38,1010,15,Burleigh County,"Bismarck, ND MSA",38015,69416,ND
1010,412,443,541,787,812,38,1010,59,Morton County,"Bismarck, ND MSA",38059,25303,ND
1020,467,554,663,963,1121,18,1020,105,Monroe County,"Bloomington, IN MSA",18105,120563,IN
1040,456,513,649,869,1115,17,1040,113,McLean County,"Bloomington--Normal, IL MSA",17113,150433,IL
1080,506,601,686,1000,1099,16,1080,1,Ada County,"Boise City, ID MSA",16001,300904,ID
1080,506,601,686,1000,1099,16,1080,27,Canyon County,"Boise City, ID MSA",16027,131441,ID
1120,1066,1120,1308,1593,1898,25,1120,5,Taunton city,"Boston, MA--NH PMSA",25005,108350,MA
1120,1066,1120,1308,1593,1898,25,1120,9,Wenham town,"Boston, MA--NH PMSA",25009,458546,MA
1120,1066,1120,1308,1593,1898,25,1120,17,Woburn city,"Boston, MA--NH PMSA",25017,1171779,MA
1120,1066,1120,1308,1593,1898,25,1120,21,Wrentham town,"Boston, MA--NH PMSA",25021,645865,MA
1120,1066,1120,1308,1593,1898,25,1120,23,Wareham town,"Boston, MA--NH PMSA",25023,239872,MA
1120,1066,1120,1308,1593,1898,25,1120,25,Winthrop town,"Boston, MA--NH PMSA",25025,689807,MA
1120,1066,1120,1308,1593,1898,25,1120,27,Upton town,"Boston, MA--NH PMSA",25027,83832,MA
1120,1066,1120,1308,1593,1898,33,1120,15,South Hampton town,"Boston, MA--NH PMSA",33015,8778,NH
1125,750,853,1082,1576,1885,8,1125,13,Boulder County,"Boulder--Longmont, CO PMSA",08013,269814,CO
1145,526,587,674,922,957,48,1145,39,Brazoria County,"Brazoria, TX PMSA",48039,241767,TX
1150,621,666,811,1157,1285,53,1150,35,Kitsap County,"Bremerton, WA PMSA",53035,231969,WA
1160,678,840,995,1189,1440,9,1160,1,Trumbull town,"Bridgeport, CT PMSA",09001,345708,CT
1160,678,840,995,1189,1440,9,1160,9,Seymour town,"Bridgeport, CT PMSA",09009,113771,CT
1200,853,914,1136,1359,1649,25,1200,5,Raynham town,"Brockton, MA PMSA",25005,34038,MA
1200,853,914,1136,1359,1649,25,1200,21,Avon town,"Brockton, MA PMSA",25021,4443,MA
1200,853,914,1136,1359,1649,25,1200,23,Whitman town,"Brockton, MA PMSA",25023,216978,MA
1220,388,435,571,721,879,39,1220,15,Brown County,Brown County MSA**,39015,42285,OH
1240,426,468,535,677,791,48,1240,61,Cameron County,"Brownsville--Harlingen--San Benito, TX MSA",48061,335227,TX
1260,505,576,706,986,1014,48,1260,41,Brazos County,"Bryan--College Station, TX MSA",48041,152415,TX
1280,538,542,648,806,899,36,1280,29,Erie County,"Buffalo--Niagara Falls, NY MSA",36029,950265,NY
1280,538,542,648,806,899,36,1280,63,Niagara County,"Buffalo--Niagara Falls, NY MSA",36063,219846,NY
