fips,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,county,State,CouSub,pop2000,countyname,CBSASub,Areaname,county_town_name,state_alpha
0100199999,580,666,757,1017,1327,1,1,99999,43671,Autauga County,METRO33860M33860,"Montgomery, AL MSA",Autauga County,AL
0100399999,524,705,785,1068,1363,3,1,99999,140415,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",Baldwin County,AL
0100599999,453,454,544,749,885,5,1,99999,29038,Barbour County,NCNTY01005N01005,"Barbour County, AL",Barbour County,AL
0100799999,590,679,757,964,1035,7,1,99999,20826,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,AL
0100999999,590,679,757,964,1035,9,1,99999,51024,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,AL
0101199999,397,487,581,696,717,11,1,99999,11714,Bullock County,NCNTY01011N01011,"Bullock County, AL",Bullock County,AL
0101399999,397,487,581,696,717,13,1,99999,21399,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,AL
0101599999,467,484,594,804,939,15,1,99999,112249,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",Calhoun County,AL
0101799999,424,494,549,727,750,17,1,99999,36583,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,AL
0101999999,489,508,590,702,725,19,1,99999,23988,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,AL
0102199999,398,550,611,761,859,21,1,99999,39593,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,AL
0102399999,426,436,514,648,836,23,1,99999,15922,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,AL
0102599999,356,483,550,659,969,25,1,99999,27867,Clarke County,NCNTY01025N01025,"Clarke County, AL",Clarke County,AL
0102799999,460,461,552,684,908,27,1,99999,14254,Clay County,NCNTY01027N01027,"Clay County, AL",Clay County,AL
0102999999,458,460,552,684,908,29,1,99999,14123,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,AL
0103199999,423,527,598,872,1048,31,1,99999,43615,Coffee County,NCNTY01031N01031,"Coffee County, AL",Coffee County,AL
0103399999,499,500,614,810,942,33,1,99999,54984,Colbert County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,AL
0103599999,426,436,514,648,836,35,1,99999,14089,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,AL
0103799999,418,490,544,734,840,37,1,99999,12202,Coosa County,NCNTY01037N01037,"Coosa County, AL",Coosa County,AL
0103999999,430,435,538,686,924,39,1,99999,37631,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,AL
0104199999,397,487,581,696,717,41,1,99999,13665,Crenshaw County,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,AL
0104399999,471,492,569,782,919,43,1,99999,77483,Cullman County,NCNTY01043N01043,"Cullman County, AL",Cullman County,AL
0104599999,424,496,552,766,953,45,1,99999,49129,Dale County,NCNTY01045N01045,"Dale County, AL",Dale County,AL
0104799999,368,513,569,682,721,47,1,99999,46365,Dallas County,NCNTY01047N01047,"Dallas County, AL",Dallas County,AL
