"year","fips","state","county","bedrooms","rent"
"2006",100199999,1,1,0,491
"2006",100399999,1,3,0,444
"2006",100599999,1,5,0,389
"2006",100799999,1,7,0,464
"2006",100999999,1,9,0,464
"2006",101199999,1,11,0,337
"2006",101399999,1,13,0,337
"2006",101599999,1,15,0,394
"2006",101799999,1,17,0,361
"2006",101999999,1,19,0,416
"2006",102199999,1,21,0,304
"2006",102399999,1,23,0,387
"2006",102599999,1,25,0,303
"2006",102799999,1,27,0,389
"2006",102999999,1,29,0,388
"2006",103199999,1,31,0,359
"2006",103399999,1,33,0,421
"2006",103599999,1,35,0,387
"2006",103799999,1,37,0,359
"2006",103999999,1,39,0,374
"2006",104199999,1,41,0,337
"2006",104399999,1,43,0,401
"2006",104599999,1,45,0,359
"2006",104799999,1,47,0,312
"2006",104999999,1,49,0,343
"2006",105199999,1,51,0,491
"2006",105399999,1,53,0,386
"2006",105599999,1,55,0,387
"2006",105799999,1,57,0,307
"2006",105999999,1,59,0,304
"2006",106199999,1,61,0,375
"2006",106399999,1,63,0,440
"2006",106599999,1,65,0,440
"2006",106799999,1,67,0,311
"2006",106999999,1,69,0,375
"2006",107199999,1,71,0,389
"2006",107399999,1,73,0,464
"2006",107599999,1,75,0,311
"2006",107799999,1,77,0,421
"2006",107999999,1,79,0,395
"2006",108199999,1,81,0,368
"2006",108399999,1,83,0,454
"2006",108599999,1,85,0,491
"2006",108799999,1,87,0,336
"2006",108999999,1,89,0,454
"2006",109199999,1,91,0,392
"2006",109399999,1,93,0,304
"2006",109599999,1,95,0,407
"2006",109799999,1,97,0,500
"2006",109999999,1,99,0,389
"2006",110199999,1,101,0,491
"2006",110399999,1,103,0,395
"2006",110599999,1,105,0,392
"2006",110799999,1,107,0,306
"2006",110999999,1,109,0,354
"2006",111199999,1,111,0,389
"2006",111399999,1,113,0,498
"2006",111599999,1,115,0,464
"2006",111799999,1,117,0,464
"2006",111999999,1,119,0,311
"2006",112199999,1,121,0,395
"2006",112399999,1,123,0,360
"2006",112599999,1,125,0,440
"2006",112799999,1,127,0,389
"2006",112999999,1,129,0,387
"2006",113199999,1,131,0,387
"2006",113399999,1,133,0,305
"2006",201399999,2,13,0,764
"2006",201699999,2,16,0,764
"2006",202099999,2,20,0,676
"2006",205099999,2,50,0,877
"2006",206099999,2,60,0,764
"2006",206899999,2,68,0,600
"2006",207099999,2,70,0,764
"2006",209099999,2,90,0,566
"2006",210099999,2,100,0,600
"2006",211099999,2,110,0,722
"2006",212299999,2,122,0,531
"2006",213099999,2,130,0,644
"2006",215099999,2,150,0,714
"2006",216499999,2,164,0,764
"2006",217099999,2,170,0,532
"2006",218099999,2,180,0,764
"2006",218599999,2,185,0,774
"2006",218899999,2,188,0,764
"2006",220199999,2,201,0,764
"2006",222099999,2,220,0,656
