"Appendix A.  Movers Within and Between States, the District of Columbia, and Puerto Rico:  2005 American Community Survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Universe: Population 1 year and over in households who moved within or between states, the District of Columbia, and Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in --,Residence 1 year ago in --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia ,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Puerto Rico,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE,Estimate,MOE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"580,353 ","+/- 22,382",608 ,+/- 432,574 ,+/- 542,"3,168 ","+/- 1,655","3,025 ","+/- 1,149","1,922 ","+/- 1,155",321 ,+/- 359,563 ,+/- 636,191 ,+/- 256,"15,641 ","+/- 3,260","17,776 ","+/- 3,359",753 ,+/- 725,162 ,+/- 194,"3,410 ","+/- 1,135","1,705 ",+/- 885,375 ,+/- 522,397 ,+/- 429,"1,712 ",+/- 988,"4,887 ","+/- 1,697",24 ,+/- 40,"1,653 ","+/- 1,027",361 ,+/- 280,"2,878 ","+/- 1,454",58 ,+/- 99,"10,093 ","+/- 2,842","1,768 ","+/- 1,059",0 ,+/- 270,409 ,+/- 434,709 ,+/- 534,461 ,+/- 696,951 ,+/- 888,540 ,+/- 483,"3,222 ","+/- 1,455","1,512 ",+/- 793,80 ,+/- 135,"2,099 ","+/- 1,145","2,347 ","+/- 1,429",81 ,+/- 137,753 ,+/- 491,161 ,+/- 202,0 ,+/- 270,"2,426 ","+/- 1,106",0 ,+/- 270,"9,037 ","+/- 2,611","7,532 ","+/- 2,338",200 ,+/- 173,163 ,+/- 220,"2,572 ","+/- 1,142","1,324 ",+/- 817,432 ,+/- 467,303 ,+/- 230,436 ,+/- 507
Alaska,152 ,+/- 176,"84,150 ","+/- 6,528",883 ,+/- 530,54 ,+/- 83,"3,898 ","+/- 1,708","1,791 ","+/- 1,193",0 ,+/- 233,0 ,+/- 233,0 ,+/- 233,940 ,+/- 618,816 ,+/- 872,284 ,+/- 345,735 ,+/- 476,578 ,+/- 369,235 ,+/- 308,96 ,+/- 112,700 ,+/- 584,119 ,+/- 174,62 ,+/- 102,37 ,+/- 61,203 ,+/- 245,148 ,+/- 241,486 ,+/- 364,637 ,+/- 536,"1,517 ","+/- 1,106",243 ,+/- 293,121 ,+/- 179,148 ,+/- 244,485 ,+/- 410,444 ,+/- 595,109 ,+/- 197,395 ,+/- 388,462 ,+/- 383,579 ,+/- 378,133 ,+/- 217,35 ,+/- 60,327 ,+/- 382,"1,461 ",+/- 811,216 ,+/- 239,261 ,+/- 395,0 ,+/- 233,653 ,+/- 897,373 ,+/- 552,167 ,+/- 181,"1,835 ",+/- 808,"1,241 ",+/- 903,0 ,+/- 233,618 ,+/- 537,"5,711 ","+/- 2,516",0 ,+/- 233,765 ,+/- 465,222 ,+/- 353
Arizona,"1,427 ",+/- 784,"1,836 ","+/- 1,443","917,186 ","+/- 26,917","1,845 ",+/- 948,"94,296 ","+/- 7,715","11,512 ","+/- 2,930","1,809 ","+/- 1,168",240 ,+/- 242,"1,182 ","+/- 1,200","7,184 ","+/- 2,502",630 ,+/- 473,"1,216 ",+/- 639,"2,940 ","+/- 1,674","11,523 ","+/- 2,628","3,724 ","+/- 1,803","1,551 ",+/- 836,"1,917 ","+/- 1,234",949 ,+/- 783,"1,577 ",+/- 935,401 ,+/- 352,"3,119 ","+/- 1,493","2,213 ",+/- 923,"8,529 ","+/- 2,780","4,569 ","+/- 1,381","1,323 ",+/- 826,"2,364 ","+/- 1,070","1,689 ",+/- 751,"2,716 ","+/- 1,352","10,080 ","+/- 2,370",809 ,+/- 758,"4,790 ","+/- 2,076","11,561 ","+/- 3,394","6,756 ","+/- 1,767","2,935 ","+/- 1,301","1,314 ",+/- 805,"5,640 ","+/- 2,072","2,264 ",+/- 726,"5,572 ","+/- 1,639","5,993 ","+/- 2,047",0 ,+/- 291,594 ,+/- 570,"1,474 ","+/- 1,350",841 ,+/- 496,"4,889 ","+/- 2,109","17,452 ","+/- 3,996","7,086 ","+/- 2,423",315 ,+/- 319,"4,196 ","+/- 2,459","10,335 ","+/- 2,314",527 ,+/- 468,"7,798 ","+/- 2,272","1,458 ",+/- 811
Arkansas,"1,894 ","+/- 1,228",660 ,+/- 504,"1,266 ",+/- 617,"390,364 ","+/- 17,198","6,167 ","+/- 2,263","1,999 ","+/- 1,159",66 ,+/- 109,0 ,+/- 260,0 ,+/- 260,"5,223 ","+/- 2,061","1,082 ",+/- 794,522 ,+/- 498,171 ,+/- 175,"3,618 ","+/- 1,466","1,417 ","+/- 1,070",394 ,+/- 312,"1,269 ",+/- 823,639 ,+/- 408,"6,515 ","+/- 2,560",16 ,+/- 31,43 ,+/- 88,"1,421 ",+/- 934,973 ,+/- 543,496 ,+/- 472,"4,238 ","+/- 1,674","9,701 ","+/- 2,954",73 ,+/- 83,590 ,+/- 666,431 ,+/- 323,0 ,+/- 260,483 ,+/- 693,"1,108 ",+/- 916,957 ,+/- 652,838 ,+/- 447,136 ,+/- 233,794 ,+/- 515,"8,670 ","+/- 2,413",788 ,+/- 609,695 ,+/- 605,33 ,+/- 59,0 ,+/- 260,"1,770 ","+/- 1,195",337 ,+/- 383,"5,090 ","+/- 1,778","19,937 ","+/- 4,429",293 ,+/- 475,0 ,+/- 260,"1,355 ",+/- 997,"1,062 ","+/- 1,260",59 ,+/- 77,"1,542 ","+/- 1,232",41 ,+/- 71
California,"4,375 ","+/- 3,603","5,274 ","+/- 1,769","28,156 ","+/- 4,098","2,481 ","+/- 1,232","4,904,586 ","+/- 75,490","14,321 ","+/- 3,059","7,248 ","+/- 2,753",807 ,+/- 706,"3,472 ","+/- 1,434","25,252 ","+/- 4,332","9,788 ","+/- 3,362","10,706 ","+/- 2,438","5,123 ","+/- 2,507","15,848 ","+/- 2,991","5,611 ","+/- 2,010","4,766 ","+/- 1,573","4,922 ","+/- 1,746","2,829 ","+/- 1,881","7,383 ","+/- 2,938","1,056 ",+/- 620,"6,634 ","+/- 2,903","11,032 ","+/- 2,193","10,073 ","+/- 3,035","6,502 ","+/- 1,663","2,660 ","+/- 1,180","8,504 ","+/- 2,479","2,605 ","+/- 1,189","3,463 ","+/- 1,581","28,299 ","+/- 5,628","1,109 ",+/- 510,"11,816 ","+/- 3,220","6,141 ","+/- 2,092","26,079 ","+/- 5,947","16,462 ","+/- 6,076","1,449 ",+/- 933,"7,969 ","+/- 2,137","3,153 ","+/- 1,369","17,194 ","+/- 3,471","9,637 ","+/- 2,156",494 ,+/- 380,"1,714 ","+/- 1,002","2,311 ","+/- 1,033","1,378 ","+/- 1,708","3,790 ","+/- 1,441","36,030 ","+/- 6,084","11,421 ","+/- 2,821",656 ,+/- 390,"15,780 ","+/- 3,684","29,727 ","+/- 5,382",329 ,+/- 280,"3,958 ","+/- 1,599","1,425 ","+/- 1,003"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"1,495 ","+/- 1,016","2,392 ","+/- 1,240","7,018 ","+/- 1,957","1,218 ",+/- 795,"25,350 ","+/- 5,016","706,496 ","+/- 21,482",565 ,+/- 507,123 ,+/- 197,555 ,+/- 482,"8,463 ","+/- 3,063","3,072 ","+/- 1,475",494 ,+/- 320,"1,383 ",+/- 678,"3,889 ","+/- 1,454","2,503 ","+/- 1,330","1,610 ",+/- 661,"4,531 ","+/- 2,001","1,451 ",+/- 856,"1,681 ",+/- 918,655 ,+/- 501,"1,969 ","+/- 1,147","2,089 ","+/- 1,011","1,163 ",+/- 730,"3,183 ","+/- 1,734","1,304 ",+/- 870,"3,409 ","+/- 1,526","2,695 ","+/- 1,554","5,204 ","+/- 1,888","3,731 ","+/- 1,326","1,508 ",+/- 842,757 ,+/- 521,"6,547 ","+/- 2,338","6,458 ","+/- 2,194","4,607 ","+/- 2,295","1,074 ",+/- 579,"2,870 ","+/- 1,027","2,481 ","+/- 1,157","2,478 ","+/- 1,209","4,581 ","+/- 1,570",58 ,+/- 93,368 ,+/- 443,"1,023 ",+/- 527,"1,978 ","+/- 1,654","2,384 ","+/- 1,012","14,916 ","+/- 3,144","5,138 ","+/- 1,960",127 ,+/- 211,"3,260 ","+/- 1,481","3,650 ","+/- 1,515",539 ,+/- 743,"3,498 ","+/- 1,160","5,690 ","+/- 2,494"
Connecticut,520 ,+/- 502,310 ,+/- 320,49 ,+/- 82,0 ,+/- 274,"3,979 ","+/- 1,650",887 ,+/- 797,"299,172 ","+/- 14,268",186 ,+/- 315,"1,502 ","+/- 1,977","5,265 ","+/- 1,796",752 ,+/- 578,363 ,+/- 336,0 ,+/- 274,"1,841 ","+/- 1,228",395 ,+/- 453,75 ,+/- 123,655 ,+/- 776,326 ,+/- 285,94 ,+/- 111,541 ,+/- 375,"2,233 ","+/- 1,252","7,492 ","+/- 1,818","1,332 ",+/- 855,52 ,+/- 84,55 ,+/- 92,341 ,+/- 312,143 ,+/- 242,109 ,+/- 180,387 ,+/- 343,"1,654 ",+/- 859,"3,485 ","+/- 1,505",0 ,+/- 274,"26,319 ","+/- 4,870","1,735 ",+/- 887,0 ,+/- 274,"1,463 ",+/- 741,0 ,+/- 274,200 ,+/- 157,"3,278 ","+/- 1,458",791 ,+/- 736,"3,646 ","+/- 1,890",477 ,+/- 399,0 ,+/- 274,366 ,+/- 439,"1,612 ",+/- 891,42 ,+/- 72,"2,016 ","+/- 1,444","1,656 ",+/- 766,634 ,+/- 502,140 ,+/- 179,50 ,+/- 85,0 ,+/- 274
