Date	1.Year.CMT	3.Year.CMT	5.Year.CMT	3.Month.TBill	6.Month.TBill	6.Month.CD
1/7/2000 	6.03 	6.39 	6.46 	5.36 	5.59 	6.13
1/14/2000 	6.12 	6.48 	6.56 	5.24 	5.42 	6.15
1/21/2000 	6.13 	6.53 	6.65 	5.35 	5.54 	6.15
1/28/2000 	6.17 	6.54 	6.63 	5.39 	5.52 	6.15
2/4/2000 	6.24 	6.63 	6.66 	5.56 	5.71 	6.24
2/11/2000 	6.20 	6.74 	6.76 	5.55 	5.77 	6.25
2/18/2000 	6.23 	6.71 	6.74 	5.51 	5.76 	6.25
2/25/2000 	6.22 	6.57 	6.59 	5.64 	5.77 	6.28
3/3/2000 	6.18 	6.55 	6.58 	5.67 	5.77 	6.26
3/10/2000 	6.18 	6.56 	6.60 	5.69 	5.83 	6.29
3/17/2000 	6.20 	6.50 	6.50 	5.73 	5.86 	6.33
3/24/2000 	6.24 	6.50 	6.44 	5.78 	5.90 	6.39
3/31/2000 	6.30 	6.53 	6.42 	5.72 	5.91 	6.48
4/7/2000 	6.17 	6.33 	6.20 	5.71 	5.90 	6.47
4/14/2000 	6.14 	6.29 	6.18 	5.68 	5.86 	6.47
4/21/2000 	6.09 	6.30 	6.24 	5.65 	5.77 	6.49
4/28/2000 	6.19 	6.49 	6.42 	5.62 	5.75 	6.58
5/5/2000 	6.24 	6.72 	6.66 	5.78 	5.94 	6.79
5/12/2000 	6.38 	6.82 	6.74 	6.02 	6.15 	6.90
5/19/2000 	6.40 	6.84 	6.74 	6.07 	6.25 	7.00
5/26/2000 	6.28 	6.72 	6.65 	5.81 	6.13 	7.01
6/2/2000 	6.30 	6.60 	6.49 	5.73 	6.15 	7.02
6/9/2000 	6.23 	6.47 	6.35 	5.80 	6.04 	6.92
6/16/2000 	6.14 	6.40 	6.27 	5.78 	6.01 	6.89
6/23/2000 	6.15 	6.42 	6.29 	5.69 	5.92 	6.86
6/30/2000 	6.13 	6.37 	6.25 	5.68 	5.96 	6.92
7/7/2000 	6.08 	6.25 	6.13 	5.83 	5.98 	6.89
7/14/2000 	6.09 	6.28 	6.18 	5.90 	5.95 	6.84
7/21/2000 	6.11 	6.34 	6.24 	5.96 	6.02 	6.88
7/28/2000 	6.06 	6.25 	6.16 	6.01 	6.01 	6.83
8/4/2000 	6.09 	6.18 	6.09 	6.09 	6.12 	6.83
8/11/2000 	6.17 	6.15 	6.04 	6.10 	6.06 	6.75
8/18/2000 	6.21 	6.24 	6.11 	6.09 	6.08 	6.75
8/25/2000 	6.20 	6.17 	6.04 	6.11 	6.09 	6.74
9/1/2000 	6.23 	6.13 	6.02 	6.14 	6.10 	6.72
9/8/2000 	6.20 	6.03 	5.95 	6.07 	6.03 	6.70
9/15/2000 	6.14 	6.03 	5.95 	5.95 	5.96 	6.69
9/22/2000 	6.09 	6.03 	5.95 	5.96 	5.94 	6.66
9/29/2000 	6.08 	5.97 	5.90 	6.01 	5.99 	6.67
10/6/2000 	6.06 	5.95 	5.90 	6.08 	6.04 	6.67
10/13/2000 	5.98 	5.85 	5.79 	6.08 	6.06 	6.66
10/20/2000 	5.94 	5.77 	5.70 	6.08 	5.99 	6.64
10/27/2000 	6.01 	5.80 	5.73 	6.16 	6.05 	6.64
11/3/2000 	6.11 	5.86 	5.82 	6.18 	6.08 	6.65
11/10/2000 	6.14 	5.90 	5.82 	6.22 	6.11 	6.65
11/17/2000 	6.09 	5.80 	5.69 	6.19 	6.07 	6.62
11/24/2000 	6.09 	5.75 	5.63 	6.18 	6.05 	6.61
12/1/2000 	6.00 	5.61 	5.52 	6.16 	6.05 	6.60
12/8/2000 	5.72 	5.41 	5.33 	5.97 	5.84 	6.42
12/15/2000 	5.73 	5.35 	5.25 	5.90 	5.79 	6.36
12/22/2000 	5.44 	5.12 	5.02 	5.77 	5.66 	6.21
12/29/2000 	5.34 	5.06 	4.98 	5.70 	5.50 	6.11
1/5/2001 	4.89 	4.77 	4.80 	5.70 	5.36 	5.76
1/12/2001 	4.79 	4.73 	4.81 	5.05 	4.83 	5.40
1/19/2001 	4.85 	4.81 	4.85 	5.22 	5.06 	5.46
1/26/2001 	4.83 	4.81 	4.94 	5.09 	4.92 	5.35
2/2/2001 	4.66 	4.70 	4.87 	4.98 	4.84 	5.20
2/9/2001 	4.72 	4.74 	4.90 	4.92 	4.76 	5.18
2/16/2001 	4.80 	4.81 	4.95 	4.90 	4.75 	5.19
2/23/2001 	4.69 	4.72 	4.93 	4.91 	4.77 	5.11
3/2/2001 	4.47 	4.51 	4.74 	4.71 	4.50 	4.89
3/9/2001 	4.47 	4.53 	4.75 	4.70 	4.53 	4.89
